date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,114.75,114.75,114.75,114.75,114.75,"31,462","Aug 25, 2023"
24-08-2023,112.50,112.50,110.00,112.50,112.50,"56,088","Aug 24, 2023"
23-08-2023,110.30,110.30,110.00,110.30,110.30,"26,673","Aug 23, 2023"
22-08-2023,110.30,110.30,110.10,110.30,110.30,"25,218","Aug 22, 2023"
21-08-2023,110.10,111.90,110.10,110.10,110.10,"14,550","Aug 21, 2023"
18-08-2023,112.35,113.80,112.35,112.35,112.35,"25,991","Aug 18, 2023"
17-08-2023,114.65,116.00,114.65,114.65,114.65,"17,642","Aug 17, 2023"
16-08-2023,116.00,116.00,115.00,116.00,116.00,"28,190","Aug 16, 2023"
14-08-2023,116.00,116.00,113.80,116.00,116.00,"57,697","Aug 14, 2023"
11-08-2023,116.10,116.80,116.00,116.10,116.10,"117,488","Aug 11, 2023"
10-08-2023,114.55,114.55,114.55,114.55,114.55,"14,575","Aug 10, 2023"
09-08-2023,112.35,112.35,112.35,112.35,112.35,"27,517","Aug 09, 2023"
08-08-2023,110.15,110.15,110.15,110.15,110.15,"20,385","Aug 08, 2023"
07-08-2023,108.00,108.00,105.50,108.00,108.00,"100,106","Aug 07, 2023"
04-08-2023,107.60,107.60,107.60,107.60,107.60,"39,463","Aug 04, 2023"
03-08-2023,109.80,109.80,109.80,109.80,109.80,"54,169","Aug 03, 2023"
02-08-2023,112.05,112.20,112.05,112.05,112.05,"112,570","Aug 02, 2023"
01-08-2023,114.30,114.30,114.30,114.30,114.30,"16,237","Aug 01, 2023"
31-07-2023,116.60,116.60,116.60,116.60,116.60,"35,185","Jul 31, 2023"
28-07-2023,118.95,119.10,118.95,118.95,118.95,"93,794","Jul 28, 2023"
27-07-2023,120.00,122.00,113.00,121.35,121.35,"338,234","Jul 27, 2023"
26-07-2023,116.20,116.20,111.30,116.20,116.20,"414,594","Jul 26, 2023"
26-07-2023,0.75 Dividend,,,,,,"Jul 26, 2023"
25-07-2023,111.45,111.45,108.00,111.45,110.70,"311,628","Jul 25, 2023"
24-07-2023,106.15,106.15,105.05,106.15,105.44,"156,131","Jul 24, 2023"
21-07-2023,101.85,103.00,99.25,101.10,100.42,"103,337","Jul 21, 2023"
20-07-2023,100.00,102.00,99.00,101.30,100.62,"178,917","Jul 20, 2023"
19-07-2023,99.10,101.00,97.80,100.20,99.53,"191,735","Jul 19, 2023"
18-07-2023,99.65,102.30,97.00,99.35,98.68,"69,457","Jul 18, 2023"
17-07-2023,96.40,100.00,96.40,99.65,98.98,"134,183","Jul 17, 2023"
14-07-2023,94.00,97.90,92.60,96.40,95.75,"113,826","Jul 14, 2023"
13-07-2023,93.70,95.20,92.00,93.25,92.62,"136,912","Jul 13, 2023"
12-07-2023,93.35,94.00,92.05,93.70,93.07,"53,938","Jul 12, 2023"
11-07-2023,93.40,94.30,93.00,93.35,92.72,"24,839","Jul 11, 2023"
10-07-2023,94.45,94.50,91.50,93.45,92.82,"51,033","Jul 10, 2023"
07-07-2023,94.95,94.95,92.40,92.70,92.08,"38,214","Jul 07, 2023"
06-07-2023,93.80,94.50,92.80,93.45,92.82,"38,420","Jul 06, 2023"
05-07-2023,93.90,95.00,92.45,93.80,93.17,"36,003","Jul 05, 2023"
04-07-2023,95.00,95.20,92.10,93.20,92.57,"63,069","Jul 04, 2023"
03-07-2023,95.80,96.40,93.75,94.00,93.37,"183,733","Jul 03, 2023"
30-06-2023,93.40,96.00,93.00,94.30,93.67,"56,217","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,91.05,94.60,91.00,93.60,92.97,"54,381","Jun 27, 2023"
26-06-2023,93.05,95.85,90.10,90.60,89.99,"64,675","Jun 26, 2023"
23-06-2023,95.70,95.70,92.15,93.05,92.42,"108,928","Jun 23, 2023"
22-06-2023,101.80,101.80,95.55,96.90,96.25,"187,040","Jun 22, 2023"
21-06-2023,99.00,103.60,99.00,101.25,100.57,"356,331","Jun 21, 2023"
20-06-2023,97.30,100.15,97.00,98.75,98.09,"262,375","Jun 20, 2023"
19-06-2023,97.40,98.50,95.60,96.85,96.20,"160,179","Jun 19, 2023"
16-06-2023,98.80,100.70,95.35,96.95,96.30,"180,273","Jun 16, 2023"
15-06-2023,101.00,101.80,97.60,98.25,97.59,"238,953","Jun 15, 2023"
14-06-2023,97.40,104.10,96.65,100.50,99.82,"960,364","Jun 14, 2023"
13-06-2023,96.80,98.00,96.25,96.90,96.25,"102,715","Jun 13, 2023"
12-06-2023,97.75,98.95,94.15,96.25,95.60,"159,546","Jun 12, 2023"
09-06-2023,95.35,99.00,95.10,96.65,96.00,"362,998","Jun 09, 2023"
08-06-2023,97.40,97.50,94.40,94.70,94.06,"149,950","Jun 08, 2023"
07-06-2023,99.20,99.85,96.00,96.80,96.15,"266,807","Jun 07, 2023"
06-06-2023,93.60,102.70,92.80,98.55,97.89,"1,213,479","Jun 06, 2023"
05-06-2023,90.00,93.55,89.95,92.85,92.23,"162,168","Jun 05, 2023"
02-06-2023,93.20,94.00,89.50,90.45,89.84,"151,265","Jun 02, 2023"
01-06-2023,92.30,94.20,92.10,92.65,92.03,"126,687","Jun 01, 2023"
31-05-2023,91.70,93.45,91.25,92.25,91.63,"140,484","May 31, 2023"
30-05-2023,93.85,93.85,90.70,91.05,90.44,"116,069","May 30, 2023"
29-05-2023,93.95,95.95,91.40,93.55,92.92,"274,971","May 29, 2023"
26-05-2023,98.80,101.45,92.15,93.40,92.77,"459,444","May 26, 2023"
25-05-2023,92.40,99.70,92.20,97.85,97.19,"1,053,216","May 25, 2023"
24-05-2023,87.10,95.00,86.55,91.85,91.23,"910,681","May 24, 2023"
23-05-2023,84.00,89.85,83.80,87.75,87.16,"333,663","May 23, 2023"
22-05-2023,83.90,85.55,83.00,84.00,83.43,"121,665","May 22, 2023"
19-05-2023,83.50,84.90,82.35,83.55,82.99,"100,156","May 19, 2023"
18-05-2023,84.70,85.55,82.10,83.00,82.44,"121,735","May 18, 2023"
17-05-2023,84.85,84.85,82.50,83.80,83.24,"93,577","May 17, 2023"
16-05-2023,85.90,85.90,81.85,82.20,81.65,"125,069","May 16, 2023"
15-05-2023,84.50,86.00,81.70,82.25,81.70,"141,169","May 15, 2023"
12-05-2023,83.25,87.75,83.05,85.55,84.97,"145,169","May 12, 2023"
11-05-2023,83.15,84.35,82.45,83.25,82.69,"107,474","May 11, 2023"
10-05-2023,82.50,83.45,81.60,82.75,82.19,"55,824","May 10, 2023"
09-05-2023,84.50,84.85,82.25,82.45,81.90,"90,157","May 09, 2023"
08-05-2023,87.50,87.50,84.30,84.35,83.78,"36,578","May 08, 2023"
05-05-2023,85.20,87.10,81.25,85.00,84.43,"81,906","May 05, 2023"
04-05-2023,85.30,86.45,84.35,85.20,84.63,"48,731","May 04, 2023"
03-05-2023,84.00,87.00,84.00,84.95,84.38,"98,498","May 03, 2023"
02-05-2023,83.65,85.80,83.50,84.45,83.88,"80,246","May 02, 2023"
28-04-2023,83.60,84.60,82.60,83.55,82.99,"55,895","Apr 28, 2023"
27-04-2023,80.70,83.35,80.65,82.75,82.19,"46,951","Apr 27, 2023"
26-04-2023,83.95,85.50,79.20,80.05,79.51,"197,501","Apr 26, 2023"
25-04-2023,85.25,85.30,82.50,83.70,83.14,"70,754","Apr 25, 2023"
24-04-2023,83.00,86.00,83.00,84.40,83.83,"65,375","Apr 24, 2023"
21-04-2023,82.55,85.30,82.55,83.80,83.24,"70,010","Apr 21, 2023"
20-04-2023,82.85,85.50,82.10,83.80,83.24,"83,218","Apr 20, 2023"
19-04-2023,82.50,83.50,81.20,82.25,81.70,"43,597","Apr 19, 2023"
18-04-2023,81.50,84.25,81.50,82.50,81.94,"61,918","Apr 18, 2023"
17-04-2023,82.50,82.60,80.45,82.00,81.45,"63,176","Apr 17, 2023"
13-04-2023,82.50,83.35,82.15,82.85,82.29,"36,248","Apr 13, 2023"
12-04-2023,84.00,85.50,82.10,83.00,82.44,"92,315","Apr 12, 2023"
11-04-2023,81.00,85.70,81.00,83.90,83.34,"199,204","Apr 11, 2023"
10-04-2023,79.65,82.00,78.90,80.85,80.31,"86,160","Apr 10, 2023"
06-04-2023,78.70,80.50,77.50,79.65,79.11,"107,652","Apr 06, 2023"
05-04-2023,79.50,79.50,77.00,78.20,77.67,"124,009","Apr 05, 2023"
03-04-2023,75.00,80.50,73.15,78.60,78.07,"460,403","Apr 03, 2023"
31-03-2023,71.00,79.00,71.00,74.30,73.80,"617,891","Mar 31, 2023"
29-03-2023,64.75,66.95,64.30,65.85,65.41,"99,700","Mar 29, 2023"
28-03-2023,65.00,68.40,63.05,64.70,64.26,"187,381","Mar 28, 2023"
27-03-2023,67.05,67.20,63.85,64.20,63.77,"94,089","Mar 27, 2023"
24-03-2023,68.70,69.20,66.60,66.65,66.20,"67,909","Mar 24, 2023"
23-03-2023,68.10,69.40,66.60,68.80,68.34,"112,790","Mar 23, 2023"
22-03-2023,66.55,68.60,66.05,68.10,67.64,"114,520","Mar 22, 2023"
21-03-2023,65.85,66.80,65.15,66.20,65.75,"43,675","Mar 21, 2023"
20-03-2023,64.00,67.15,64.00,65.35,64.91,"40,963","Mar 20, 2023"
17-03-2023,66.15,67.30,66.15,66.95,66.50,"32,136","Mar 17, 2023"
16-03-2023,67.15,67.15,64.80,65.65,65.21,"61,333","Mar 16, 2023"
15-03-2023,67.80,68.70,66.60,66.95,66.50,"48,780","Mar 15, 2023"
14-03-2023,68.45,68.90,66.25,67.40,66.95,"56,859","Mar 14, 2023"
13-03-2023,69.80,70.30,67.50,68.30,67.84,"72,786","Mar 13, 2023"
10-03-2023,72.35,72.80,69.40,69.70,69.23,"126,614","Mar 10, 2023"
09-03-2023,71.75,74.05,71.40,72.75,72.26,"124,334","Mar 09, 2023"
08-03-2023,71.50,72.00,70.50,71.40,70.92,"35,572","Mar 08, 2023"
06-03-2023,71.35,72.65,70.90,72.00,71.52,"82,537","Mar 06, 2023"
03-03-2023,70.45,71.75,70.10,70.85,70.37,"112,597","Mar 03, 2023"
02-03-2023,70.35,70.70,69.60,69.95,69.48,"162,575","Mar 02, 2023"
01-03-2023,67.15,71.10,67.05,70.05,69.58,"173,268","Mar 01, 2023"
