date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"30,548.90","30,722.25","30,032.35","30,390.00","30,390.00","1,261","Aug 25, 2023"
24-08-2023,"30,350.00","30,657.10","30,281.10","30,548.90","30,548.90","2,085","Aug 24, 2023"
23-08-2023,"29,580.55","30,450.00","29,177.00","30,242.65","30,242.65","5,384","Aug 23, 2023"
22-08-2023,"29,275.00","29,600.00","29,000.00","29,580.55","29,580.55","2,279","Aug 22, 2023"
21-08-2023,"29,126.70","29,443.00","28,666.00","29,034.20","29,034.20","2,220","Aug 21, 2023"
18-08-2023,"29,124.65","29,549.95","28,638.80","29,126.70","29,126.70","2,629","Aug 18, 2023"
17-08-2023,"28,739.00","29,283.20","28,692.45","29,174.65","29,174.65","2,543","Aug 17, 2023"
16-08-2023,"28,650.00","29,296.35","28,420.05","28,746.55","28,746.55","3,761","Aug 16, 2023"
14-08-2023,"29,451.05","29,464.90","28,469.00","28,680.35","28,680.35","3,895","Aug 14, 2023"
11-08-2023,"27,862.35","29,750.00","27,728.20","29,469.30","29,469.30","10,075","Aug 11, 2023"
10-08-2023,"26,990.00","28,334.75","26,650.25","28,119.45","28,119.45","17,315","Aug 10, 2023"
09-08-2023,"27,504.45","27,696.05","26,628.00","26,828.15","26,828.15","5,135","Aug 09, 2023"
08-08-2023,"27,600.00","28,005.00","27,362.50","27,493.60","27,493.60","2,420","Aug 08, 2023"
07-08-2023,"28,050.00","28,539.55","27,030.00","27,407.55","27,407.55","5,426","Aug 07, 2023"
04-08-2023,"28,650.00","28,776.85","27,555.00","28,165.50","28,165.50","1,338","Aug 04, 2023"
03-08-2023,"28,345.00","28,665.55","28,144.10","28,509.45","28,509.45","1,750","Aug 03, 2023"
02-08-2023,"28,647.70","28,890.00","27,777.10","28,267.15","28,267.15","3,309","Aug 02, 2023"
01-08-2023,"28,987.00","29,097.90","28,501.00","28,590.45","28,590.45","14,027","Aug 01, 2023"
31-07-2023,"27,899.00","29,029.00","27,776.50","28,922.55","28,922.55","5,342","Jul 31, 2023"
28-07-2023,"27,924.00","28,100.00","27,710.00","27,791.75","27,791.75","2,161","Jul 28, 2023"
27-07-2023,"28,000.00","28,137.45","27,530.00","27,730.75","27,730.75","1,205","Jul 27, 2023"
26-07-2023,"28,237.00","28,349.90","27,875.00","27,955.75","27,955.75","1,568","Jul 26, 2023"
26-07-2023,100 Dividend,,,,,,"Jul 26, 2023"
