date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,126.30,127.50,125.00,126.20,126.20,"11,892","Aug 25, 2023"
24-08-2023,125.65,127.15,125.50,126.45,126.45,"8,519","Aug 24, 2023"
23-08-2023,127.70,127.70,125.65,126.90,126.90,"8,062","Aug 23, 2023"
22-08-2023,127.90,127.90,124.05,126.20,126.20,"8,254","Aug 22, 2023"
21-08-2023,127.80,127.80,122.35,124.90,124.90,"15,099","Aug 21, 2023"
18-08-2023,126.10,128.65,125.00,125.95,125.95,"8,426","Aug 18, 2023"
17-08-2023,128.50,128.50,126.50,127.45,127.45,"8,760","Aug 17, 2023"
16-08-2023,128.55,129.75,125.55,126.40,126.40,"20,300","Aug 16, 2023"
14-08-2023,134.20,134.20,126.10,130.70,130.70,"17,451","Aug 14, 2023"
11-08-2023,132.90,133.00,131.00,132.50,132.50,"11,424","Aug 11, 2023"
10-08-2023,128.65,133.00,128.65,130.85,130.85,"13,982","Aug 10, 2023"
09-08-2023,134.55,134.55,130.15,130.70,130.70,"7,280","Aug 09, 2023"
08-08-2023,134.00,134.05,131.20,131.90,131.90,"5,347","Aug 08, 2023"
07-08-2023,134.45,134.45,132.00,132.75,132.75,"8,951","Aug 07, 2023"
04-08-2023,130.80,133.50,129.95,131.85,131.85,"38,000","Aug 04, 2023"
03-08-2023,135.00,135.00,126.75,129.00,129.00,"21,256","Aug 03, 2023"
02-08-2023,126.85,127.80,126.10,126.85,126.85,"12,802","Aug 02, 2023"
01-08-2023,129.95,130.50,125.85,126.25,126.25,"38,914","Aug 01, 2023"
31-07-2023,130.00,130.05,128.10,128.55,128.55,"11,095","Jul 31, 2023"
28-07-2023,130.00,130.00,127.05,127.80,127.80,"11,633","Jul 28, 2023"
27-07-2023,129.00,130.50,126.55,127.25,127.25,"24,838","Jul 27, 2023"
26-07-2023,131.50,131.50,128.55,129.00,129.00,"19,142","Jul 26, 2023"
25-07-2023,131.25,132.00,128.05,129.55,129.55,"17,032","Jul 25, 2023"
24-07-2023,129.50,130.90,129.00,129.60,129.60,"15,250","Jul 24, 2023"
21-07-2023,131.30,132.00,129.55,130.40,130.40,"18,542","Jul 21, 2023"
20-07-2023,130.00,134.50,130.00,131.25,131.25,"44,553","Jul 20, 2023"
19-07-2023,133.05,135.90,130.25,131.40,131.40,"40,181","Jul 19, 2023"
18-07-2023,140.45,140.45,130.60,131.75,131.75,"37,949","Jul 18, 2023"
17-07-2023,143.10,143.10,136.60,137.70,137.70,"17,392","Jul 17, 2023"
14-07-2023,142.70,143.05,140.00,141.05,141.05,"15,838","Jul 14, 2023"
13-07-2023,144.45,145.45,140.35,140.60,140.60,"36,911","Jul 13, 2023"
12-07-2023,144.80,147.50,139.60,141.95,141.95,"56,926","Jul 12, 2023"
11-07-2023,137.00,160.00,136.80,142.10,142.10,"160,483","Jul 11, 2023"
10-07-2023,137.05,139.90,133.00,134.80,134.80,"26,426","Jul 10, 2023"
07-07-2023,138.40,138.40,132.35,134.45,134.45,"8,049","Jul 07, 2023"
06-07-2023,137.10,139.15,137.10,137.85,137.85,"9,652","Jul 06, 2023"
05-07-2023,138.50,138.90,136.50,137.10,137.10,"9,265","Jul 05, 2023"
04-07-2023,139.50,141.00,138.00,138.60,138.60,"17,854","Jul 04, 2023"
03-07-2023,141.40,141.80,137.05,138.15,138.15,"13,878","Jul 03, 2023"
30-06-2023,141.50,141.50,139.25,139.95,139.95,"8,573","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,140.00,140.00,138.55,139.70,139.70,"13,158","Jun 27, 2023"
26-06-2023,142.65,142.65,138.00,138.20,138.20,"11,763","Jun 26, 2023"
23-06-2023,140.40,142.00,138.05,141.05,141.05,"25,583","Jun 23, 2023"
22-06-2023,140.75,140.90,138.05,138.25,138.25,"9,240","Jun 22, 2023"
21-06-2023,140.50,141.40,139.00,139.35,139.35,"10,689","Jun 21, 2023"
20-06-2023,139.25,141.25,138.00,139.25,139.25,"22,262","Jun 20, 2023"
19-06-2023,140.00,141.70,138.00,138.55,138.55,"18,567","Jun 19, 2023"
16-06-2023,140.40,140.90,138.00,138.65,138.65,"17,561","Jun 16, 2023"
15-06-2023,140.50,140.70,138.00,138.60,138.60,"12,609","Jun 15, 2023"
14-06-2023,146.80,146.80,138.60,139.10,139.10,"34,608","Jun 14, 2023"
13-06-2023,139.30,144.30,139.30,141.15,141.15,"58,403","Jun 13, 2023"
12-06-2023,139.35,143.00,137.55,139.30,139.30,"56,197","Jun 12, 2023"
09-06-2023,139.45,139.45,135.10,137.30,137.30,"17,308","Jun 09, 2023"
08-06-2023,140.05,142.95,135.00,137.20,137.20,"34,584","Jun 08, 2023"
07-06-2023,141.60,147.95,141.00,141.45,141.45,"47,600","Jun 07, 2023"
06-06-2023,138.95,143.00,138.00,141.05,141.05,"28,468","Jun 06, 2023"
05-06-2023,140.00,140.80,136.45,137.70,137.70,"13,707","Jun 05, 2023"
02-06-2023,138.70,140.80,136.20,138.35,138.35,"41,609","Jun 02, 2023"
01-06-2023,138.95,138.95,135.05,136.15,136.15,"25,182","Jun 01, 2023"
31-05-2023,134.80,141.70,134.80,136.65,136.65,"60,300","May 31, 2023"
30-05-2023,136.20,142.80,131.05,134.80,134.80,"92,739","May 30, 2023"
29-05-2023,130.90,149.00,128.50,140.00,140.00,"201,250","May 29, 2023"
26-05-2023,130.00,130.00,127.00,127.15,127.15,"19,377","May 26, 2023"
25-05-2023,126.00,128.45,126.00,127.90,127.90,"5,200","May 25, 2023"
24-05-2023,127.80,129.40,125.25,127.65,127.65,"12,546","May 24, 2023"
23-05-2023,129.50,129.90,127.00,127.30,127.30,"16,339","May 23, 2023"
22-05-2023,130.00,133.00,127.25,128.15,128.15,"32,810","May 22, 2023"
19-05-2023,127.55,129.60,123.25,128.60,128.60,"15,364","May 19, 2023"
18-05-2023,129.90,129.90,125.50,126.30,126.30,"11,827","May 18, 2023"
17-05-2023,128.00,129.15,127.05,128.25,128.25,"8,249","May 17, 2023"
