date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,44.70,46.50,43.60,44.15,44.15,"378,843","Aug 25, 2023"
24-08-2023,46.75,46.75,44.25,44.70,44.70,"748,363","Aug 24, 2023"
23-08-2023,41.50,46.50,41.00,45.80,45.80,"2,396,715","Aug 23, 2023"
22-08-2023,39.60,41.80,39.60,41.05,41.05,"406,770","Aug 22, 2023"
21-08-2023,40.25,40.25,39.40,39.60,39.60,"86,321","Aug 21, 2023"
18-08-2023,40.05,40.40,39.40,40.00,40.00,"91,309","Aug 18, 2023"
17-08-2023,40.00,40.60,39.75,39.85,39.85,"77,967","Aug 17, 2023"
16-08-2023,39.80,40.80,39.80,40.10,40.10,"105,800","Aug 16, 2023"
14-08-2023,40.55,40.55,39.70,39.95,39.95,"92,519","Aug 14, 2023"
11-08-2023,41.95,42.35,39.80,40.30,40.30,"312,786","Aug 11, 2023"
10-08-2023,40.25,42.80,40.20,41.40,41.40,"598,779","Aug 10, 2023"
09-08-2023,40.00,41.10,39.70,40.10,40.10,"246,267","Aug 09, 2023"
08-08-2023,40.25,40.40,39.55,39.70,39.70,"64,978","Aug 08, 2023"
07-08-2023,40.00,40.40,39.70,39.95,39.95,"89,246","Aug 07, 2023"
04-08-2023,41.00,41.20,39.90,40.10,40.10,"101,529","Aug 04, 2023"
03-08-2023,40.05,40.50,39.45,39.80,39.80,"129,432","Aug 03, 2023"
02-08-2023,41.50,41.50,39.50,40.10,40.10,"151,076","Aug 02, 2023"
01-08-2023,41.85,42.50,40.95,41.25,41.25,"218,942","Aug 01, 2023"
31-07-2023,39.60,42.30,39.60,41.55,41.55,"408,703","Jul 31, 2023"
28-07-2023,40.00,40.25,39.55,39.60,39.60,"47,756","Jul 28, 2023"
27-07-2023,40.00,40.10,39.50,39.60,39.60,"72,276","Jul 27, 2023"
26-07-2023,39.65,39.90,39.25,39.50,39.50,"64,453","Jul 26, 2023"
25-07-2023,39.75,40.30,39.40,39.70,39.70,"84,579","Jul 25, 2023"
24-07-2023,40.10,40.50,39.50,39.60,39.60,"80,975","Jul 24, 2023"
21-07-2023,40.00,40.15,39.50,39.85,39.85,"73,228","Jul 21, 2023"
20-07-2023,39.95,40.25,39.40,39.65,39.65,"71,655","Jul 20, 2023"
19-07-2023,39.75,40.65,39.40,39.80,39.80,"79,084","Jul 19, 2023"
18-07-2023,40.10,40.40,38.95,39.70,39.70,"129,624","Jul 18, 2023"
17-07-2023,40.10,40.60,39.20,39.85,39.85,"83,274","Jul 17, 2023"
14-07-2023,40.05,40.25,39.65,39.80,39.80,"92,734","Jul 14, 2023"
13-07-2023,40.30,40.80,39.65,39.75,39.75,"70,059","Jul 13, 2023"
12-07-2023,41.00,41.25,40.00,40.15,40.15,"105,539","Jul 12, 2023"
11-07-2023,41.00,41.50,40.35,40.75,40.75,"84,874","Jul 11, 2023"
10-07-2023,41.30,41.45,40.50,40.80,40.80,"43,272","Jul 10, 2023"
07-07-2023,41.40,42.40,41.10,41.45,41.45,"69,886","Jul 07, 2023"
06-07-2023,41.45,42.45,41.45,41.85,41.85,"214,920","Jul 06, 2023"
05-07-2023,40.00,43.00,40.00,41.45,41.45,"433,430","Jul 05, 2023"
04-07-2023,40.35,41.25,40.20,40.45,40.45,"83,946","Jul 04, 2023"
03-07-2023,40.20,41.25,40.00,40.10,40.10,"139,401","Jul 03, 2023"
30-06-2023,39.65,40.55,39.60,40.00,40.00,"73,350","Jun 30, 2023"
28-06-2023,39.80,39.80,39.80,39.80,39.80,-,"Jun 28, 2023"
27-06-2023,39.55,40.20,39.50,39.80,39.80,"57,835","Jun 27, 2023"
26-06-2023,40.05,40.40,39.15,39.40,39.40,"106,259","Jun 26, 2023"
23-06-2023,40.60,40.75,39.75,39.85,39.85,"87,975","Jun 23, 2023"
22-06-2023,41.30,41.65,40.45,40.60,40.60,"133,540","Jun 22, 2023"
21-06-2023,42.75,42.80,40.90,41.05,41.05,"183,139","Jun 21, 2023"
20-06-2023,41.30,44.45,41.00,42.55,42.55,"610,948","Jun 20, 2023"
19-06-2023,41.65,42.05,40.90,41.10,41.10,"117,966","Jun 19, 2023"
16-06-2023,41.60,43.10,41.30,41.45,41.45,"169,286","Jun 16, 2023"
15-06-2023,41.80,42.15,41.00,41.35,41.35,"117,236","Jun 15, 2023"
14-06-2023,41.25,43.25,41.05,41.40,41.40,"294,295","Jun 14, 2023"
13-06-2023,41.60,41.80,41.00,41.25,41.25,"56,735","Jun 13, 2023"
12-06-2023,42.00,42.15,40.45,41.45,41.45,"163,885","Jun 12, 2023"
09-06-2023,40.05,42.25,40.05,41.40,41.40,"305,885","Jun 09, 2023"
08-06-2023,41.60,42.30,39.45,39.80,39.80,"111,489","Jun 08, 2023"
07-06-2023,41.00,42.10,41.00,41.35,41.35,"123,591","Jun 07, 2023"
06-06-2023,40.50,42.10,40.35,41.00,41.00,"132,191","Jun 06, 2023"
05-06-2023,39.90,41.60,39.70,40.80,40.80,"171,925","Jun 05, 2023"
