date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"4,339.95","4,345.00","4,220.20","4,259.30","4,259.30","193,283","Aug 25, 2023"
25-08-2023,5.5 Dividend,,,,,,"Aug 25, 2023"
24-08-2023,"4,334.00","4,390.00","4,316.25","4,336.95","4,331.45","233,683","Aug 24, 2023"
23-08-2023,"4,344.00","4,347.10","4,293.80","4,302.60","4,297.14","144,208","Aug 23, 2023"
22-08-2023,"4,339.75","4,339.75","4,286.00","4,324.30","4,318.82","216,566","Aug 22, 2023"
21-08-2023,"4,298.80","4,331.20","4,251.00","4,317.20","4,311.73","294,745","Aug 21, 2023"
18-08-2023,"4,314.80","4,343.45","4,270.00","4,279.50","4,274.07","230,500","Aug 18, 2023"
17-08-2023,"4,309.85","4,341.90","4,275.55","4,313.70","4,308.23","183,884","Aug 17, 2023"
16-08-2023,"4,354.70","4,400.00","4,255.10","4,299.85","4,294.40","295,770","Aug 16, 2023"
14-08-2023,"4,500.00","4,500.00","4,254.20","4,354.70","4,349.18","753,925","Aug 14, 2023"
11-08-2023,"4,516.55","4,559.00","4,487.00","4,526.65","4,520.91","212,151","Aug 11, 2023"
10-08-2023,"4,519.85","4,550.00","4,479.10","4,505.10","4,499.39","169,628","Aug 10, 2023"
09-08-2023,"4,487.90","4,557.00","4,415.55","4,520.95","4,515.22","392,322","Aug 09, 2023"
08-08-2023,"4,547.95","4,547.95","4,445.00","4,476.65","4,470.97","151,125","Aug 08, 2023"
07-08-2023,"4,460.25","4,541.15","4,417.60","4,525.95","4,520.21","235,866","Aug 07, 2023"
04-08-2023,"4,311.00","4,449.00","4,311.00","4,438.05","4,432.42","199,490","Aug 04, 2023"
03-08-2023,"4,408.00","4,438.00","4,325.00","4,372.95","4,367.40","195,937","Aug 03, 2023"
02-08-2023,"4,508.00","4,557.00","4,380.00","4,408.00","4,402.41","217,964","Aug 02, 2023"
01-08-2023,"4,578.75","4,589.30","4,498.00","4,519.65","4,513.92","119,691","Aug 01, 2023"
31-07-2023,"4,505.55","4,608.00","4,505.55","4,552.80","4,547.03","254,120","Jul 31, 2023"
28-07-2023,"4,424.95","4,541.95","4,410.25","4,516.20","4,510.47","415,070","Jul 28, 2023"
27-07-2023,"4,402.00","4,491.55","4,368.00","4,400.10","4,394.52","334,733","Jul 27, 2023"
26-07-2023,"4,335.35","4,420.45","4,331.45","4,398.50","4,392.92","214,947","Jul 26, 2023"
25-07-2023,"4,335.00","4,369.45","4,271.15","4,333.10","4,327.60","230,780","Jul 25, 2023"
24-07-2023,"4,250.00","4,350.00","4,250.00","4,322.05","4,316.57","291,808","Jul 24, 2023"
21-07-2023,"4,204.00","4,317.65","4,199.20","4,225.80","4,220.44","413,021","Jul 21, 2023"
20-07-2023,"4,500.00","4,505.10","4,141.10","4,204.00","4,198.67","1,566,115","Jul 20, 2023"
19-07-2023,"4,495.50","4,614.35","4,485.00","4,493.50","4,487.80","422,756","Jul 19, 2023"
18-07-2023,"4,421.00","4,545.00","4,421.00","4,490.85","4,485.16","350,377","Jul 18, 2023"
17-07-2023,"4,393.90","4,456.70","4,377.15","4,418.95","4,413.35","194,300","Jul 17, 2023"
14-07-2023,"4,426.00","4,463.30","4,355.35","4,383.80","4,378.24","273,514","Jul 14, 2023"
13-07-2023,"4,544.75","4,558.00","4,395.00","4,407.30","4,401.71","226,427","Jul 13, 2023"
