date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,8.90,8.90,8.45,8.70,8.70,"69,784","Aug 25, 2023"
24-08-2023,8.95,8.95,8.40,8.75,8.75,"604,555","Aug 24, 2023"
23-08-2023,9.00,9.00,8.60,8.65,8.65,"312,548","Aug 23, 2023"
22-08-2023,8.95,9.15,8.70,8.75,8.75,"364,292","Aug 22, 2023"
21-08-2023,9.05,9.35,8.65,8.75,8.75,"438,317","Aug 21, 2023"
18-08-2023,9.25,9.25,8.75,8.95,8.95,"1,457,559","Aug 18, 2023"
17-08-2023,9.50,9.50,8.95,9.05,9.05,"484,519","Aug 17, 2023"
16-08-2023,9.50,9.70,9.20,9.35,9.35,"211,682","Aug 16, 2023"
14-08-2023,9.70,9.70,9.45,9.50,9.50,"402,429","Aug 14, 2023"
11-08-2023,9.95,9.95,9.65,9.75,9.75,"160,156","Aug 11, 2023"
10-08-2023,10.00,10.00,9.65,9.70,9.70,"377,498","Aug 10, 2023"
09-08-2023,9.80,10.10,9.80,9.85,9.85,"211,982","Aug 09, 2023"
08-08-2023,10.00,10.15,9.80,9.95,9.95,"139,681","Aug 08, 2023"
07-08-2023,10.15,10.20,9.85,9.90,9.90,"229,116","Aug 07, 2023"
04-08-2023,10.25,10.25,9.85,9.95,9.95,"208,767","Aug 04, 2023"
03-08-2023,10.05,10.20,9.90,9.95,9.95,"245,589","Aug 03, 2023"
02-08-2023,10.40,10.40,10.05,10.05,10.05,"363,703","Aug 02, 2023"
01-08-2023,10.55,10.55,10.20,10.20,10.20,"406,848","Aug 01, 2023"
31-07-2023,10.60,10.60,10.20,10.35,10.35,"121,239","Jul 31, 2023"
28-07-2023,10.70,10.75,10.25,10.40,10.40,"160,124","Jul 28, 2023"
27-07-2023,10.60,10.70,10.25,10.35,10.35,"442,316","Jul 27, 2023"
26-07-2023,10.80,10.80,10.50,10.60,10.60,"91,470","Jul 26, 2023"
25-07-2023,10.90,11.00,10.25,10.65,10.65,"351,982","Jul 25, 2023"
24-07-2023,10.80,10.80,10.50,10.65,10.65,"147,517","Jul 24, 2023"
21-07-2023,10.30,10.70,10.30,10.60,10.60,"219,689","Jul 21, 2023"
20-07-2023,10.50,10.60,10.25,10.45,10.45,"282,455","Jul 20, 2023"
19-07-2023,10.55,10.55,10.15,10.30,10.30,"154,916","Jul 19, 2023"
18-07-2023,10.55,10.55,10.25,10.35,10.35,"110,901","Jul 18, 2023"
17-07-2023,10.60,10.60,10.20,10.30,10.30,"114,400","Jul 17, 2023"
14-07-2023,10.60,10.60,10.30,10.40,10.40,"111,204","Jul 14, 2023"
13-07-2023,10.55,10.70,10.35,10.35,10.35,"168,284","Jul 13, 2023"
12-07-2023,10.75,10.75,10.30,10.55,10.55,"436,852","Jul 12, 2023"
11-07-2023,10.60,10.80,10.40,10.50,10.50,"178,808","Jul 11, 2023"
10-07-2023,10.40,10.95,10.40,10.50,10.50,"328,983","Jul 10, 2023"
07-07-2023,10.95,10.95,10.70,10.80,10.80,"189,651","Jul 07, 2023"
06-07-2023,10.75,10.95,10.75,10.90,10.90,"225,007","Jul 06, 2023"
05-07-2023,10.60,11.10,10.60,10.85,10.85,"217,739","Jul 05, 2023"
04-07-2023,11.25,11.25,11.00,11.00,11.00,"401,340","Jul 04, 2023"
03-07-2023,11.55,11.65,11.05,11.20,11.20,"470,070","Jul 03, 2023"
30-06-2023,11.40,11.55,11.20,11.40,11.40,"852,668","Jun 30, 2023"
28-06-2023,11.15,11.15,11.15,11.15,11.15,-,"Jun 28, 2023"
27-06-2023,10.15,11.35,10.05,11.15,11.15,"1,091,413","Jun 27, 2023"
26-06-2023,10.35,10.45,9.80,9.95,9.95,"1,665,496","Jun 26, 2023"
23-06-2023,10.50,10.65,10.20,10.25,10.25,"1,298,515","Jun 23, 2023"
