date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,37.95,37.95,36.20,36.60,36.60,131,"Aug 25, 2023"
24-08-2023,35.05,36.40,34.10,36.40,36.40,950,"Aug 24, 2023"
23-08-2023,36.00,37.00,34.90,35.90,35.90,"32,564","Aug 23, 2023"
22-08-2023,36.45,36.45,35.50,36.00,36.00,"45,568","Aug 22, 2023"
21-08-2023,36.10,36.10,35.95,35.95,35.95,424,"Aug 21, 2023"
18-08-2023,36.00,36.00,35.10,36.00,36.00,144,"Aug 18, 2023"
17-08-2023,37.00,37.00,35.20,36.50,36.50,601,"Aug 17, 2023"
16-08-2023,36.75,37.00,36.75,37.00,37.00,111,"Aug 16, 2023"
14-08-2023,37.90,37.90,37.75,37.75,37.75,461,"Aug 14, 2023"
11-08-2023,36.90,36.90,35.90,36.90,36.90,170,"Aug 11, 2023"
10-08-2023,36.90,36.90,36.90,36.90,36.90,217,"Aug 10, 2023"
09-08-2023,38.25,38.25,35.90,36.90,36.90,506,"Aug 09, 2023"
08-08-2023,38.00,38.00,35.65,37.70,37.70,"1,021","Aug 08, 2023"
07-08-2023,39.40,39.40,36.55,37.50,37.50,"1,739","Aug 07, 2023"
04-08-2023,35.80,37.55,35.80,37.55,37.55,"1,273","Aug 04, 2023"
03-08-2023,35.80,35.80,35.75,35.80,35.80,411,"Aug 03, 2023"
02-08-2023,35.00,35.00,34.10,34.10,34.10,254,"Aug 02, 2023"
01-08-2023,34.05,34.15,34.00,34.15,34.15,512,"Aug 01, 2023"
31-07-2023,36.60,36.60,34.05,34.05,34.05,"3,063","Jul 31, 2023"
28-07-2023,34.80,34.90,34.00,34.90,34.90,801,"Jul 28, 2023"
27-07-2023,35.00,35.00,33.25,33.25,33.25,200,"Jul 27, 2023"
26-07-2023,35.00,35.00,34.80,35.00,35.00,387,"Jul 26, 2023"
25-07-2023,35.00,35.00,34.70,34.75,34.75,131,"Jul 25, 2023"
24-07-2023,38.00,38.00,36.05,36.50,36.50,422,"Jul 24, 2023"
21-07-2023,39.40,39.40,36.00,36.30,36.30,"2,076","Jul 21, 2023"
20-07-2023,36.00,37.80,36.00,37.70,37.70,299,"Jul 20, 2023"
19-07-2023,37.80,37.80,36.00,36.00,36.00,122,"Jul 19, 2023"
18-07-2023,36.75,36.75,36.00,36.00,36.00,57,"Jul 18, 2023"
17-07-2023,37.75,37.75,36.75,36.75,36.75,398,"Jul 17, 2023"
14-07-2023,37.80,37.80,36.30,37.75,37.75,265,"Jul 14, 2023"
13-07-2023,37.80,37.80,36.00,36.00,36.00,304,"Jul 13, 2023"
12-07-2023,39.00,39.00,37.80,37.80,37.80,"1,177","Jul 12, 2023"
11-07-2023,38.50,39.90,36.60,39.75,39.75,"1,989","Jul 11, 2023"
10-07-2023,40.00,40.00,38.50,38.50,38.50,953,"Jul 10, 2023"
07-07-2023,38.70,38.70,38.50,38.50,38.50,"2,343","Jul 07, 2023"
06-07-2023,36.80,37.70,36.00,36.90,36.90,"3,877","Jul 06, 2023"
05-07-2023,38.00,38.00,37.80,37.80,37.80,46,"Jul 05, 2023"
04-07-2023,36.10,37.80,36.10,37.80,37.80,409,"Jul 04, 2023"
03-07-2023,37.30,37.30,36.00,36.00,36.00,276,"Jul 03, 2023"
30-06-2023,37.50,37.50,37.00,37.30,37.30,842,"Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,37.50,38.00,37.20,38.00,38.00,"3,466","Jun 27, 2023"
26-06-2023,37.50,37.50,36.70,37.50,37.50,"1,013","Jun 26, 2023"
23-06-2023,37.50,37.50,37.50,37.50,37.50,-,"Jun 23, 2023"
22-06-2023,38.00,38.00,37.50,37.50,37.50,245,"Jun 22, 2023"
21-06-2023,39.00,39.00,38.00,38.10,38.10,37,"Jun 21, 2023"
20-06-2023,36.55,39.00,36.55,39.00,39.00,569,"Jun 20, 2023"
19-06-2023,37.90,37.95,37.00,37.50,37.50,"1,940","Jun 19, 2023"
16-06-2023,39.90,39.90,37.95,37.95,37.95,361,"Jun 16, 2023"
15-06-2023,39.25,39.25,37.60,38.95,38.95,114,"Jun 15, 2023"
14-06-2023,39.50,39.50,37.50,37.55,37.55,316,"Jun 14, 2023"
13-06-2023,37.05,39.60,35.90,39.45,39.45,"3,841","Jun 13, 2023"
12-06-2023,37.75,37.75,37.00,37.75,37.75,443,"Jun 12, 2023"
09-06-2023,37.60,39.00,37.60,37.70,37.70,"1,072","Jun 09, 2023"
08-06-2023,39.85,39.90,38.60,38.60,38.60,"1,461","Jun 08, 2023"
07-06-2023,36.50,39.00,36.50,38.00,38.00,"1,447","Jun 07, 2023"
