date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,549.00","2,549.00","2,487.05","2,507.00","2,507.00","2,313,884","Aug 25, 2023"
24-08-2023,"2,580.00","2,613.00","2,531.10","2,539.55","2,539.55","4,558,367","Aug 24, 2023"
23-08-2023,"2,720.00","2,722.40","2,488.85","2,530.30","2,530.30","5,251,316","Aug 23, 2023"
22-08-2023,"2,668.85","2,721.00","2,654.10","2,698.05","2,698.05","10,291,468","Aug 22, 2023"
21-08-2023,"2,588.00","2,655.00","2,580.50","2,639.75","2,639.75","10,479,200","Aug 21, 2023"
18-08-2023,"2,477.50","2,665.95","2,461.30","2,577.40","2,577.40","14,679,923","Aug 18, 2023"
17-08-2023,"2,454.95","2,487.20","2,442.05","2,479.70","2,479.70","7,769,452","Aug 17, 2023"
16-08-2023,"2,450.00","2,465.00","2,420.00","2,445.10","2,445.10","7,084,828","Aug 16, 2023"
14-08-2023,"2,480.00","2,484.95","2,400.05","2,456.00","2,456.00","9,786,919","Aug 14, 2023"
11-08-2023,"2,550.05","2,568.15","2,518.20","2,539.50","2,539.50","7,157,372","Aug 11, 2023"
10-08-2023,"2,510.00","2,577.50","2,510.00","2,552.40","2,552.40","8,140,756","Aug 10, 2023"
09-08-2023,"2,488.35","2,516.90","2,472.00","2,507.10","2,507.10","5,781,400","Aug 09, 2023"
08-08-2023,"2,563.25","2,563.25","2,461.30","2,474.55","2,474.55","6,127,920","Aug 08, 2023"
07-08-2023,"2,550.95","2,569.00","2,516.40","2,550.50","2,550.50","4,684,333","Aug 07, 2023"
04-08-2023,"2,545.30","2,557.90","2,502.00","2,541.80","2,541.80","3,294,056","Aug 04, 2023"
03-08-2023,"2,469.90","2,550.00","2,462.00","2,532.60","2,532.60","4,720,470","Aug 03, 2023"
02-08-2023,"2,493.00","2,514.00","2,451.00","2,473.55","2,473.55","2,506,971","Aug 02, 2023"
01-08-2023,"2,504.85","2,514.00","2,455.25","2,481.10","2,481.10","1,575,727","Aug 01, 2023"
31-07-2023,"2,477.00","2,518.00","2,467.00","2,492.20","2,492.20","3,359,974","Jul 31, 2023"
28-07-2023,"2,437.00","2,481.65","2,431.10","2,463.20","2,463.20","2,339,800","Jul 28, 2023"
27-07-2023,"2,470.75","2,485.00","2,415.00","2,428.40","2,428.40","2,243,944","Jul 27, 2023"
26-07-2023,"2,472.45","2,506.00","2,446.00","2,470.75","2,470.75","4,021,773","Jul 26, 2023"
25-07-2023,"2,428.00","2,479.00","2,416.00","2,466.65","2,466.65","3,017,555","Jul 25, 2023"
24-07-2023,"2,430.00","2,439.40","2,412.05","2,418.20","2,418.20","1,113,193","Jul 24, 2023"
21-07-2023,"2,410.00","2,457.85","2,395.30","2,416.30","2,416.30","2,280,563","Jul 21, 2023"
20-07-2023,"2,428.95","2,433.90","2,400.00","2,419.75","2,419.75","1,564,275","Jul 20, 2023"
19-07-2023,"2,428.65","2,443.00","2,416.90","2,423.75","2,423.75","1,637,260","Jul 19, 2023"
18-07-2023,"2,415.00","2,510.00","2,405.20","2,416.90","2,416.90","5,978,272","Jul 18, 2023"
17-07-2023,"2,399.90","2,459.50","2,391.30","2,408.55","2,408.55","3,090,373","Jul 17, 2023"
14-07-2023,"2,375.00","2,385.00","2,340.00","2,376.10","2,376.10","1,353,535","Jul 14, 2023"
13-07-2023,"2,397.00","2,405.70","2,355.55","2,362.05","2,362.05","1,247,741","Jul 13, 2023"
12-07-2023,"2,429.90","2,432.00","2,380.45","2,387.90","2,387.90","1,445,282","Jul 12, 2023"
11-07-2023,"2,423.75","2,444.95","2,388.00","2,422.90","2,422.90","2,247,776","Jul 11, 2023"
10-07-2023,"2,392.80","2,462.70","2,355.00","2,410.25","2,410.25","3,771,285","Jul 10, 2023"
07-07-2023,"2,395.00","2,409.95","2,368.10","2,379.60","2,379.60","1,823,645","Jul 07, 2023"
07-07-2023,1.2 Dividend,,,,,,"Jul 07, 2023"
06-07-2023,"2,399.15","2,427.60","2,390.00","2,402.90","2,401.70","2,476,366","Jul 06, 2023"
06-07-2023,1.2 Dividend,,,,,,"Jul 06, 2023"
05-07-2023,"2,391.00","2,412.05","2,374.00","2,399.15","2,396.75","2,198,481","Jul 05, 2023"
04-07-2023,"2,397.00","2,414.00","2,373.05","2,387.70","2,385.31","2,308,684","Jul 04, 2023"
03-07-2023,"2,405.00","2,417.85","2,373.20","2,385.50","2,383.12","2,662,358","Jul 03, 2023"
30-06-2023,"2,437.95","2,437.95","2,350.00","2,388.05","2,385.66","5,125,497","Jun 30, 2023"
28-06-2023,"2,284.45","2,284.45","2,284.45","2,284.45","2,282.17",-,"Jun 28, 2023"
27-06-2023,"2,328.95","2,343.85","2,271.00","2,284.45","2,282.17","3,361,053","Jun 27, 2023"
26-06-2023,"2,210.05","2,336.45","2,173.05","2,295.60","2,293.31","7,847,341","Jun 26, 2023"
23-06-2023,"2,392.30","2,392.30","2,163.30","2,233.55","2,231.32","15,213,238","Jun 23, 2023"
22-06-2023,"2,425.10","2,449.95","2,360.00","2,397.25","2,394.85","8,459,191","Jun 22, 2023"
21-06-2023,"2,426.70","2,440.00","2,393.10","2,405.95","2,403.55","7,418,013","Jun 21, 2023"
20-06-2023,"2,435.00","2,435.00","2,390.00","2,414.80","2,412.39","2,479,711","Jun 20, 2023"
19-06-2023,"2,504.00","2,521.60","2,350.00","2,401.40","2,399.00","11,475,674","Jun 19, 2023"
16-06-2023,"2,499.20","2,526.90","2,487.40","2,509.60","2,507.09","7,999,982","Jun 16, 2023"
15-06-2023,"2,469.00","2,527.00","2,462.90","2,485.65","2,483.17","3,744,029","Jun 15, 2023"
14-06-2023,"2,469.90","2,484.80","2,452.35","2,457.15","2,454.69","1,364,403","Jun 14, 2023"
13-06-2023,"2,499.00","2,505.00","2,442.20","2,462.55","2,460.09","2,210,990","Jun 13, 2023"
12-06-2023,"2,460.00","2,505.00","2,432.60","2,484.80","2,482.32","2,804,898","Jun 12, 2023"
09-06-2023,"2,447.95","2,458.90","2,428.00","2,451.15","2,448.70","1,948,506","Jun 09, 2023"
08-06-2023,"2,450.00","2,475.90","2,369.05","2,429.15","2,426.72","3,781,621","Jun 08, 2023"
07-06-2023,"2,453.00","2,466.95","2,435.00","2,439.55","2,437.11","2,522,516","Jun 07, 2023"
06-06-2023,"2,475.00","2,506.95","2,425.90","2,433.65","2,431.22","6,473,608","Jun 06, 2023"
05-06-2023,"2,463.20","2,514.00","2,428.00","2,433.95","2,431.52","2,956,768","Jun 05, 2023"
02-06-2023,"2,535.00","2,538.90","2,425.00","2,445.05","2,442.61","5,543,791","Jun 02, 2023"
01-06-2023,"2,499.90","2,560.00","2,485.30","2,492.15","2,489.66","1,704,946","Jun 01, 2023"
31-05-2023,"2,482.00","2,573.00","2,428.00","2,493.35","2,490.86","4,268,439","May 31, 2023"
30-05-2023,"2,529.30","2,554.15","2,475.15","2,496.45","2,493.96","1,736,953","May 30, 2023"
29-05-2023,"2,570.00","2,583.50","2,523.00","2,534.05","2,531.52","2,779,432","May 29, 2023"
26-05-2023,"2,565.00","2,599.95","2,535.15","2,544.35","2,541.81","3,963,515","May 26, 2023"
25-05-2023,"2,440.00","2,558.80","2,386.65","2,537.45","2,534.91","8,434,009","May 25, 2023"
24-05-2023,"2,709.00","2,750.00","2,425.35","2,475.60","2,473.13","23,465,761","May 24, 2023"
23-05-2023,"2,410.90","2,759.45","2,400.00","2,633.70","2,631.07","28,432,888","May 23, 2023"
22-05-2023,"2,010.00","2,347.00","1,983.40","2,326.10","2,323.78","26,311,368","May 22, 2023"
19-05-2023,"1,888.00","1,983.00","1,872.10","1,956.05","1,954.10","7,541,150","May 19, 2023"
18-05-2023,"1,910.05","1,924.00","1,877.20","1,890.00","1,888.11","2,437,396","May 18, 2023"
17-05-2023,"1,900.00","1,919.95","1,857.75","1,899.50","1,897.60","3,632,797","May 17, 2023"
16-05-2023,"1,927.00","1,935.00","1,881.00","1,889.15","1,887.26","3,058,799","May 16, 2023"
15-05-2023,"1,959.90","1,964.70","1,880.00","1,916.05","1,914.14","4,836,782","May 15, 2023"
12-05-2023,"2,009.00","2,010.00","1,946.55","1,964.70","1,962.74","3,816,201","May 12, 2023"
11-05-2023,"1,925.00","2,013.75","1,910.00","1,984.65","1,982.67","8,835,941","May 11, 2023"
10-05-2023,"1,899.00","1,914.90","1,883.95","1,892.15","1,890.26","1,970,906","May 10, 2023"
09-05-2023,"1,900.00","1,930.00","1,889.10","1,896.10","1,894.21","2,700,563","May 09, 2023"
08-05-2023,"1,920.30","1,926.90","1,876.00","1,887.50","1,885.61","2,835,197","May 08, 2023"
05-05-2023,"1,954.80","1,955.00","1,903.15","1,920.30","1,918.38","6,137,744","May 05, 2023"
04-05-2023,"1,839.05","1,935.00","1,839.05","1,911.25","1,909.34","4,842,127","May 04, 2023"
03-05-2023,"1,919.00","1,940.00","1,785.35","1,839.00","1,837.16","5,849,432","May 03, 2023"
02-05-2023,"1,935.00","1,966.00","1,908.00","1,919.85","1,917.93","3,813,963","May 02, 2023"
28-04-2023,"1,868.05","1,944.00","1,857.15","1,924.95","1,923.03","6,159,130","Apr 28, 2023"
27-04-2023,"1,848.00","1,864.95","1,832.55","1,853.05","1,851.20","1,782,360","Apr 27, 2023"
26-04-2023,"1,854.00","1,874.00","1,826.40","1,847.90","1,846.05","2,422,711","Apr 26, 2023"
25-04-2023,"1,806.00","1,913.75","1,801.80","1,844.60","1,842.76","5,364,841","Apr 25, 2023"
24-04-2023,"1,804.00","1,817.40","1,775.80","1,801.95","1,800.15","1,963,582","Apr 24, 2023"
21-04-2023,"1,846.00","1,853.25","1,796.05","1,803.00","1,801.20","2,090,833","Apr 21, 2023"
20-04-2023,"1,855.00","1,878.90","1,836.85","1,842.90","1,841.06","2,016,823","Apr 20, 2023"
19-04-2023,"1,847.00","1,877.70","1,835.00","1,853.85","1,852.00","2,455,884","Apr 19, 2023"
18-04-2023,"1,892.00","1,902.75","1,830.00","1,850.95","1,849.10","2,542,401","Apr 18, 2023"
17-04-2023,"1,870.75","1,904.90","1,847.00","1,878.75","1,876.87","2,983,032","Apr 17, 2023"
13-04-2023,"1,855.00","1,885.00","1,826.05","1,870.75","1,868.88","3,402,280","Apr 13, 2023"
12-04-2023,"1,814.00","1,858.75","1,797.05","1,847.25","1,845.40","4,809,035","Apr 12, 2023"
