date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,329.90,334.70,319.00,323.20,323.20,"11,836,492","Aug 25, 2023"
24-08-2023,330.00,339.85,322.85,328.80,328.80,"23,268,024","Aug 24, 2023"
23-08-2023,353.00,359.25,312.30,322.85,322.85,"49,358,727","Aug 23, 2023"
22-08-2023,333.50,349.90,331.00,347.40,347.40,"36,573,300","Aug 22, 2023"
21-08-2023,306.70,328.00,305.55,324.85,324.85,"35,884,689","Aug 21, 2023"
18-08-2023,286.95,321.65,286.25,304.60,304.60,"58,120,641","Aug 18, 2023"
17-08-2023,284.60,288.50,282.00,286.55,286.55,"18,159,548","Aug 17, 2023"
16-08-2023,286.00,291.70,274.40,279.90,279.90,"33,737,517","Aug 16, 2023"
14-08-2023,283.30,288.95,276.05,286.10,286.10,"10,660,571","Aug 14, 2023"
11-08-2023,283.75,289.40,280.75,288.10,288.10,"10,008,733","Aug 11, 2023"
10-08-2023,278.10,291.00,276.45,281.90,281.90,"13,815,594","Aug 10, 2023"
09-08-2023,280.70,284.00,276.10,277.15,277.15,"7,433,237","Aug 09, 2023"
08-08-2023,273.00,282.00,264.75,280.25,280.25,"11,629,958","Aug 08, 2023"
07-08-2023,279.90,280.85,272.10,273.30,273.30,"5,331,796","Aug 07, 2023"
04-08-2023,284.00,284.50,275.20,278.50,278.50,"10,293,961","Aug 04, 2023"
03-08-2023,268.55,280.45,264.10,274.85,274.85,"17,323,631","Aug 03, 2023"
02-08-2023,273.40,276.45,260.60,267.70,267.70,"6,899,383","Aug 02, 2023"
01-08-2023,275.85,279.90,270.35,273.20,273.20,"7,924,194","Aug 01, 2023"
31-07-2023,260.00,275.50,259.50,273.30,273.30,"15,925,979","Jul 31, 2023"
28-07-2023,254.00,260.50,251.25,258.55,258.55,"6,180,690","Jul 28, 2023"
27-07-2023,256.40,257.70,250.10,253.00,253.00,"3,251,677","Jul 27, 2023"
26-07-2023,262.00,265.45,252.90,255.50,255.50,"14,364,433","Jul 26, 2023"
25-07-2023,238.00,262.90,238.00,260.15,260.15,"16,455,999","Jul 25, 2023"
24-07-2023,242.85,242.85,237.15,238.00,238.00,"2,445,770","Jul 24, 2023"
21-07-2023,243.15,244.90,240.95,241.75,241.75,"2,001,794","Jul 21, 2023"
20-07-2023,245.70,246.95,243.50,244.15,244.15,"1,364,692","Jul 20, 2023"
19-07-2023,248.00,248.75,245.00,245.70,245.70,"1,554,790","Jul 19, 2023"
18-07-2023,246.95,254.45,242.80,246.55,246.55,"5,590,646","Jul 18, 2023"
17-07-2023,245.35,249.55,243.35,245.70,245.70,"3,871,997","Jul 17, 2023"
14-07-2023,237.65,242.70,236.00,241.90,241.90,"2,505,497","Jul 14, 2023"
13-07-2023,242.25,242.95,235.85,237.20,237.20,"2,138,783","Jul 13, 2023"
12-07-2023,245.45,245.50,239.00,240.85,240.85,"2,057,207","Jul 12, 2023"
11-07-2023,242.05,245.75,241.35,244.20,244.20,"2,080,819","Jul 11, 2023"
10-07-2023,244.70,249.35,237.30,242.05,242.05,"4,409,516","Jul 10, 2023"
07-07-2023,245.05,247.70,242.80,243.75,243.75,"1,903,403","Jul 07, 2023"
06-07-2023,245.65,248.40,245.45,246.45,246.45,"2,188,169","Jul 06, 2023"
05-07-2023,247.10,249.40,245.05,245.65,245.65,"2,211,677","Jul 05, 2023"
04-07-2023,249.00,251.70,246.20,247.10,247.10,"2,360,805","Jul 04, 2023"
03-07-2023,252.25,252.25,248.00,248.45,248.45,"2,501,293","Jul 03, 2023"
30-06-2023,256.00,256.60,249.00,249.85,249.85,"2,722,288","Jun 30, 2023"
28-06-2023,253.10,253.10,253.10,253.10,253.10,-,"Jun 28, 2023"
27-06-2023,255.00,257.95,252.05,253.10,253.10,"2,774,315","Jun 27, 2023"
26-06-2023,234.05,254.40,231.00,250.60,250.60,"8,107,191","Jun 26, 2023"
23-06-2023,256.60,256.80,241.00,242.40,242.40,"7,292,829","Jun 23, 2023"
22-06-2023,260.50,263.30,255.85,256.60,256.60,"2,706,152","Jun 22, 2023"
21-06-2023,261.65,265.70,259.55,260.65,260.65,"2,666,965","Jun 21, 2023"
20-06-2023,263.60,265.40,260.05,261.70,261.70,"1,958,707","Jun 20, 2023"
19-06-2023,266.90,268.70,261.00,263.65,263.65,"2,782,345","Jun 19, 2023"
16-06-2023,271.00,273.00,264.80,266.10,266.10,"3,777,293","Jun 16, 2023"
15-06-2023,266.60,274.15,265.25,269.25,269.25,"4,817,968","Jun 15, 2023"
14-06-2023,268.20,271.40,263.30,265.25,265.25,"3,529,920","Jun 14, 2023"
