date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,84.95,86.50,83.05,86.00,86.00,"77,448","Aug 25, 2023"
24-08-2023,84.20,86.90,84.20,84.35,84.35,"66,369","Aug 24, 2023"
23-08-2023,84.35,85.25,83.75,84.05,84.05,"54,712","Aug 23, 2023"
22-08-2023,82.65,85.10,82.65,84.50,84.50,"67,346","Aug 22, 2023"
21-08-2023,85.00,86.75,80.35,82.65,82.65,"78,473","Aug 21, 2023"
18-08-2023,81.05,84.90,80.20,83.80,83.80,"162,522","Aug 18, 2023"
17-08-2023,81.90,82.80,80.25,80.85,80.85,"63,763","Aug 17, 2023"
16-08-2023,79.50,82.00,78.60,81.10,81.10,"79,370","Aug 16, 2023"
14-08-2023,82.00,82.65,79.00,79.45,79.45,"122,609","Aug 14, 2023"
11-08-2023,87.70,87.95,80.10,80.80,80.80,"334,423","Aug 11, 2023"
10-08-2023,90.25,92.70,89.15,89.80,89.80,"60,268","Aug 10, 2023"
09-08-2023,92.80,92.80,90.00,90.25,90.25,"40,038","Aug 09, 2023"
08-08-2023,89.50,92.45,89.50,91.45,91.45,"52,375","Aug 08, 2023"
07-08-2023,89.00,91.70,89.00,90.35,90.35,"38,889","Aug 07, 2023"
04-08-2023,90.00,91.45,88.75,88.95,88.95,"37,379","Aug 04, 2023"
03-08-2023,89.80,90.45,88.50,89.15,89.15,"38,762","Aug 03, 2023"
02-08-2023,92.50,92.50,87.10,88.60,88.60,"70,677","Aug 02, 2023"
01-08-2023,92.00,92.90,90.75,91.50,91.50,"74,573","Aug 01, 2023"
31-07-2023,91.25,92.00,89.80,90.90,90.90,"72,175","Jul 31, 2023"
28-07-2023,92.95,92.95,89.15,90.35,90.35,"47,312","Jul 28, 2023"
27-07-2023,93.85,94.00,91.20,91.80,91.80,"50,000","Jul 27, 2023"
26-07-2023,93.00,94.20,92.00,92.10,92.10,"54,135","Jul 26, 2023"
25-07-2023,90.95,93.15,90.85,92.50,92.50,"68,453","Jul 25, 2023"
24-07-2023,89.90,91.75,89.90,90.95,90.95,"37,452","Jul 24, 2023"
21-07-2023,91.50,93.70,89.50,90.05,90.05,"63,251","Jul 21, 2023"
20-07-2023,92.60,92.60,90.70,91.15,91.15,"23,641","Jul 20, 2023"
19-07-2023,92.00,93.80,91.25,91.60,91.60,"56,955","Jul 19, 2023"
18-07-2023,92.90,92.90,90.15,91.25,91.25,"43,824","Jul 18, 2023"
17-07-2023,93.95,93.95,91.50,91.90,91.90,"47,793","Jul 17, 2023"
14-07-2023,92.40,93.75,91.55,92.75,92.75,"42,319","Jul 14, 2023"
13-07-2023,92.55,95.90,90.95,91.40,91.40,"203,429","Jul 13, 2023"
12-07-2023,93.65,93.65,91.00,91.45,91.45,"53,656","Jul 12, 2023"
11-07-2023,93.20,95.50,92.60,92.85,92.85,"204,904","Jul 11, 2023"
10-07-2023,89.25,93.90,88.85,92.60,92.60,"344,639","Jul 10, 2023"
07-07-2023,87.95,89.70,86.60,89.05,89.05,"56,583","Jul 07, 2023"
06-07-2023,89.30,89.30,86.40,87.10,87.10,"47,910","Jul 06, 2023"
05-07-2023,89.45,89.45,87.55,87.95,87.95,"29,188","Jul 05, 2023"
04-07-2023,90.80,91.15,88.00,88.70,88.70,"57,455","Jul 04, 2023"
03-07-2023,89.80,90.50,88.65,89.80,89.80,"54,077","Jul 03, 2023"
30-06-2023,88.90,90.90,87.50,88.95,88.95,"124,396","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,89.10,89.10,86.65,87.80,87.80,"34,131","Jun 27, 2023"
26-06-2023,87.35,89.00,84.35,88.10,88.10,"102,753","Jun 26, 2023"
23-06-2023,88.90,88.90,86.50,87.05,87.05,"21,827","Jun 23, 2023"
22-06-2023,89.70,90.45,87.60,88.20,88.20,"40,001","Jun 22, 2023"
21-06-2023,89.50,89.90,88.50,88.75,88.75,"16,241","Jun 21, 2023"
20-06-2023,89.90,89.90,88.30,88.70,88.70,"34,754","Jun 20, 2023"
19-06-2023,91.95,91.95,88.50,88.85,88.85,"55,091","Jun 19, 2023"
16-06-2023,90.55,91.80,89.15,91.10,91.10,"85,995","Jun 16, 2023"
15-06-2023,90.65,90.65,88.50,89.30,89.30,"27,073","Jun 15, 2023"
14-06-2023,91.10,91.10,88.90,89.90,89.90,"36,638","Jun 14, 2023"
13-06-2023,90.80,91.00,89.40,89.90,89.90,"65,913","Jun 13, 2023"
12-06-2023,88.90,90.70,88.50,90.45,90.45,"70,069","Jun 12, 2023"
09-06-2023,87.15,88.85,86.20,87.80,87.80,"60,681","Jun 09, 2023"
08-06-2023,87.35,89.20,85.50,86.05,86.05,"75,629","Jun 08, 2023"
07-06-2023,88.45,89.20,87.00,87.40,87.40,"51,734","Jun 07, 2023"
06-06-2023,89.50,89.50,87.50,87.75,87.75,"40,404","Jun 06, 2023"
05-06-2023,88.40,89.80,87.50,87.85,87.85,"41,053","Jun 05, 2023"
02-06-2023,88.75,89.90,87.00,87.60,87.60,"83,435","Jun 02, 2023"
01-06-2023,89.00,91.00,88.00,88.90,88.90,"69,059","Jun 01, 2023"
31-05-2023,91.25,91.45,87.45,88.65,88.65,"88,731","May 31, 2023"
31-05-2023,1.4 Dividend,,,,,,"May 31, 2023"
30-05-2023,92.40,92.40,88.80,90.90,89.50,"32,499","May 30, 2023"
29-05-2023,92.25,92.30,91.10,91.85,90.44,"56,332","May 29, 2023"
26-05-2023,92.70,92.70,89.70,90.90,89.50,"103,895","May 26, 2023"
25-05-2023,91.60,96.50,90.30,92.05,90.63,"423,910","May 25, 2023"
24-05-2023,92.00,93.70,89.15,90.05,88.66,"276,667","May 24, 2023"
23-05-2023,87.60,97.90,87.00,91.45,90.04,"1,205,135","May 23, 2023"
22-05-2023,90.20,92.75,85.55,86.30,84.97,"256,051","May 22, 2023"
19-05-2023,88.00,89.70,84.55,86.60,85.27,"189,114","May 19, 2023"
18-05-2023,83.00,89.00,83.00,87.15,85.81,"247,502","May 18, 2023"
17-05-2023,84.00,84.55,81.85,83.00,81.72,"27,936","May 17, 2023"
16-05-2023,83.45,85.00,82.45,83.90,82.61,"57,172","May 16, 2023"
15-05-2023,81.80,83.40,80.65,82.50,81.23,"32,300","May 15, 2023"
12-05-2023,82.50,83.95,80.85,81.70,80.44,"25,403","May 12, 2023"
