date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,328.90,332.00,320.00,321.25,321.25,"249,829","Aug 25, 2023"
24-08-2023,328.60,333.90,325.50,327.65,327.65,"242,455","Aug 24, 2023"
23-08-2023,333.50,333.50,325.00,327.30,327.30,"162,145","Aug 23, 2023"
22-08-2023,329.80,331.70,325.05,329.05,329.05,"132,368","Aug 22, 2023"
21-08-2023,329.00,335.25,325.20,328.80,328.80,"174,516","Aug 21, 2023"
18-08-2023,329.40,337.05,329.00,329.20,329.20,"138,957","Aug 18, 2023"
17-08-2023,330.00,335.40,328.65,329.80,329.80,"262,671","Aug 17, 2023"
16-08-2023,330.00,335.70,327.65,328.55,328.55,"101,976","Aug 16, 2023"
14-08-2023,335.00,344.95,329.55,333.50,333.50,"436,346","Aug 14, 2023"
11-08-2023,333.40,334.00,326.00,329.00,329.00,"105,376","Aug 11, 2023"
10-08-2023,331.00,341.25,325.85,332.45,332.45,"411,662","Aug 10, 2023"
09-08-2023,336.80,336.80,326.15,329.00,329.00,"190,639","Aug 09, 2023"
08-08-2023,334.60,337.40,331.25,334.50,334.50,"143,345","Aug 08, 2023"
07-08-2023,343.15,346.55,329.65,332.05,332.05,"278,991","Aug 07, 2023"
04-08-2023,337.50,343.60,333.80,341.50,341.50,"272,818","Aug 04, 2023"
04-08-2023,1 Dividend,,,,,,"Aug 04, 2023"
03-08-2023,335.00,341.80,333.00,335.25,334.25,"450,550","Aug 03, 2023"
02-08-2023,322.55,338.00,317.00,332.55,331.56,"390,780","Aug 02, 2023"
01-08-2023,330.00,331.50,319.95,322.55,321.59,"214,478","Aug 01, 2023"
31-07-2023,329.10,336.70,325.80,328.80,327.82,"326,891","Jul 31, 2023"
28-07-2023,309.00,339.75,307.55,327.30,326.32,"2,034,696","Jul 28, 2023"
27-07-2023,311.85,314.20,305.00,309.15,308.23,"89,722","Jul 27, 2023"
26-07-2023,309.55,315.15,303.80,310.20,309.27,"171,211","Jul 26, 2023"
25-07-2023,309.55,313.55,305.00,308.80,307.88,"190,019","Jul 25, 2023"
24-07-2023,303.30,318.40,297.10,308.75,307.83,"471,811","Jul 24, 2023"
21-07-2023,301.90,306.10,299.65,301.85,300.95,"157,922","Jul 21, 2023"
20-07-2023,299.90,303.40,294.00,302.05,301.15,"216,154","Jul 20, 2023"
19-07-2023,294.90,310.80,292.20,299.85,298.96,"888,562","Jul 19, 2023"
18-07-2023,293.40,297.05,289.50,293.55,292.67,"133,876","Jul 18, 2023"
17-07-2023,285.65,294.30,284.15,292.25,291.38,"206,868","Jul 17, 2023"
14-07-2023,284.00,286.70,282.50,284.45,283.60,"78,474","Jul 14, 2023"
13-07-2023,285.50,288.85,280.00,283.45,282.60,"232,142","Jul 13, 2023"
