date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,100.25","1,110.00","1,076.00","1,090.00","1,090.00","98,763","Aug 25, 2023"
24-08-2023,"1,090.80","1,103.25","1,083.15","1,100.25","1,100.25","213,279","Aug 24, 2023"
23-08-2023,"1,087.80","1,095.00","1,081.70","1,084.05","1,084.05","94,452","Aug 23, 2023"
22-08-2023,"1,080.00","1,093.60","1,076.05","1,083.05","1,083.05","120,604","Aug 22, 2023"
21-08-2023,"1,082.85","1,084.80","1,067.20","1,074.70","1,074.70","116,541","Aug 21, 2023"
18-08-2023,"1,079.00","1,088.00","1,062.65","1,082.85","1,082.85","149,058","Aug 18, 2023"
17-08-2023,"1,091.80","1,106.90","1,077.00","1,079.95","1,079.95","173,404","Aug 17, 2023"
16-08-2023,"1,067.35","1,095.00","1,060.00","1,091.85","1,091.85","180,116","Aug 16, 2023"
14-08-2023,"1,071.10","1,080.00","1,056.00","1,067.60","1,067.60","175,548","Aug 14, 2023"
11-08-2023,"1,102.90","1,105.30","1,067.35","1,071.10","1,071.10","307,112","Aug 11, 2023"
10-08-2023,"1,110.95","1,114.80","1,095.00","1,100.30","1,100.30","146,845","Aug 10, 2023"
09-08-2023,"1,115.00","1,129.85","1,111.00","1,121.10","1,121.10","175,599","Aug 09, 2023"
08-08-2023,"1,116.75","1,135.00","1,105.50","1,111.40","1,111.40","212,789","Aug 08, 2023"
07-08-2023,"1,145.45","1,145.45","1,100.00","1,110.55","1,110.55","387,327","Aug 07, 2023"
04-08-2023,"1,107.00","1,142.90","1,105.00","1,109.35","1,109.35","277,201","Aug 04, 2023"
03-08-2023,"1,119.10","1,139.05","1,096.00","1,098.95","1,098.95","369,441","Aug 03, 2023"
02-08-2023,"1,149.00","1,165.00","1,106.30","1,119.10","1,119.10","547,388","Aug 02, 2023"
01-08-2023,"1,084.00","1,165.00","1,075.05","1,138.85","1,138.85","2,121,051","Aug 01, 2023"
31-07-2023,"1,050.95","1,076.90","1,048.10","1,073.75","1,073.75","185,779","Jul 31, 2023"
28-07-2023,"1,061.05","1,068.65","1,044.05","1,046.80","1,046.80","215,880","Jul 28, 2023"
27-07-2023,"1,083.80","1,088.95","1,061.05","1,066.20","1,066.20","158,483","Jul 27, 2023"
26-07-2023,"1,043.75","1,086.85","1,032.00","1,076.70","1,076.70","372,310","Jul 26, 2023"
25-07-2023,"1,054.60","1,058.00","1,032.00","1,036.30","1,036.30","151,081","Jul 25, 2023"
24-07-2023,"1,045.00","1,063.10","1,037.00","1,050.65","1,050.65","162,475","Jul 24, 2023"
21-07-2023,"1,063.65","1,063.65","1,043.35","1,047.30","1,047.30","138,521","Jul 21, 2023"
