date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,894.90,915.55,874.90,897.50,897.50,"68,714","Aug 25, 2023"
24-08-2023,910.45,915.90,881.15,887.45,887.45,"61,078","Aug 24, 2023"
23-08-2023,921.80,933.65,894.00,902.40,902.40,"80,664","Aug 23, 2023"
22-08-2023,940.00,960.00,906.20,917.40,917.40,"200,166","Aug 22, 2023"
21-08-2023,826.85,953.00,821.75,920.50,920.50,"709,879","Aug 21, 2023"
18-08-2023,833.00,849.55,817.10,821.50,821.50,"60,581","Aug 18, 2023"
17-08-2023,866.20,873.45,825.00,832.15,832.15,"63,989","Aug 17, 2023"
16-08-2023,819.70,862.00,817.15,858.70,858.70,"102,613","Aug 16, 2023"
14-08-2023,821.10,832.40,765.05,807.60,807.60,"120,119","Aug 14, 2023"
11-08-2023,841.50,850.00,817.30,826.75,826.75,"92,899","Aug 11, 2023"
10-08-2023,843.25,857.00,834.05,838.40,838.40,"63,213","Aug 10, 2023"
09-08-2023,858.90,863.75,831.10,837.85,837.85,"39,172","Aug 09, 2023"
08-08-2023,840.90,863.90,825.00,850.60,850.60,"46,101","Aug 08, 2023"
07-08-2023,862.10,869.75,830.10,840.95,840.95,"84,276","Aug 07, 2023"
04-08-2023,878.20,889.75,843.40,858.30,858.30,"155,693","Aug 04, 2023"
03-08-2023,825.00,880.00,825.00,875.75,875.75,"279,109","Aug 03, 2023"
02-08-2023,834.70,844.00,802.00,821.90,821.90,"83,674","Aug 02, 2023"
01-08-2023,848.00,858.95,830.30,833.90,833.90,"65,642","Aug 01, 2023"
31-07-2023,828.90,849.00,825.10,838.05,838.05,"76,726","Jul 31, 2023"
28-07-2023,852.95,864.95,821.20,827.35,827.35,"73,988","Jul 28, 2023"
27-07-2023,808.40,850.00,797.00,840.10,840.10,"73,538","Jul 27, 2023"
26-07-2023,802.50,816.90,790.00,802.00,802.00,"50,382","Jul 26, 2023"
25-07-2023,834.20,844.70,787.95,804.90,804.90,"95,217","Jul 25, 2023"
24-07-2023,814.65,850.00,787.00,830.60,830.60,"151,170","Jul 24, 2023"
21-07-2023,788.00,814.65,780.00,802.15,802.15,"62,473","Jul 21, 2023"
20-07-2023,820.00,824.00,780.05,783.05,783.05,"94,425","Jul 20, 2023"
19-07-2023,817.00,835.00,801.75,821.60,821.60,"286,313","Jul 19, 2023"
18-07-2023,771.00,822.85,768.65,808.40,808.40,"747,265","Jul 18, 2023"
17-07-2023,689.00,782.80,686.00,759.50,759.50,"970,855","Jul 17, 2023"
14-07-2023,671.25,684.00,665.65,681.15,681.15,"91,491","Jul 14, 2023"
13-07-2023,638.00,687.95,638.00,666.50,666.50,"281,591","Jul 13, 2023"
12-07-2023,618.35,634.95,616.30,629.05,629.05,"31,587","Jul 12, 2023"
11-07-2023,623.65,623.70,613.90,617.35,617.35,"28,616","Jul 11, 2023"
10-07-2023,613.95,619.20,604.00,616.60,616.60,"27,361","Jul 10, 2023"
07-07-2023,618.80,618.80,604.75,607.35,607.35,"20,846","Jul 07, 2023"
06-07-2023,618.50,623.30,607.75,609.85,609.85,"45,579","Jul 06, 2023"
05-07-2023,616.00,623.85,614.70,617.55,617.55,"42,349","Jul 05, 2023"
04-07-2023,620.55,630.45,614.55,616.90,616.90,"38,178","Jul 04, 2023"
03-07-2023,635.10,639.90,622.35,624.15,624.15,"37,773","Jul 03, 2023"
30-06-2023,627.80,639.90,627.00,635.10,635.10,"61,249","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,607.70,641.25,603.70,630.05,630.05,"103,708","Jun 27, 2023"
26-06-2023,610.30,613.80,604.00,607.70,607.70,"16,150","Jun 26, 2023"
23-06-2023,612.55,617.95,602.95,606.75,606.75,"54,936","Jun 23, 2023"
22-06-2023,611.10,621.25,610.00,615.60,615.60,"31,364","Jun 22, 2023"
21-06-2023,615.25,621.60,608.50,611.10,611.10,"45,446","Jun 21, 2023"
20-06-2023,617.25,624.50,613.15,616.95,616.95,"38,706","Jun 20, 2023"
19-06-2023,619.50,628.40,613.00,615.05,615.05,"82,181","Jun 19, 2023"
16-06-2023,611.00,617.00,610.55,613.70,613.70,"31,306","Jun 16, 2023"
15-06-2023,622.35,624.00,608.75,610.25,610.25,"41,525","Jun 15, 2023"
14-06-2023,633.00,633.05,615.55,618.45,618.45,"29,052","Jun 14, 2023"
13-06-2023,620.00,630.00,616.10,623.90,623.90,"77,375","Jun 13, 2023"
12-06-2023,607.65,612.70,600.85,608.90,608.90,"44,660","Jun 12, 2023"
09-06-2023,604.00,610.55,600.80,606.00,606.00,"32,651","Jun 09, 2023"
