date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,34.55,35.20,34.50,34.60,34.60,"31,271","Aug 25, 2023"
24-08-2023,35.80,35.80,34.80,34.85,34.85,"43,872","Aug 24, 2023"
23-08-2023,35.70,35.90,35.00,35.35,35.35,"63,073","Aug 23, 2023"
22-08-2023,34.50,35.90,34.50,35.35,35.35,"257,744","Aug 22, 2023"
21-08-2023,34.35,34.60,33.50,34.10,34.10,"36,169","Aug 21, 2023"
18-08-2023,34.10,34.45,33.50,33.85,33.85,"34,134","Aug 18, 2023"
17-08-2023,34.05,34.50,34.05,34.10,34.10,"28,321","Aug 17, 2023"
16-08-2023,34.80,34.80,34.05,34.20,34.20,"27,458","Aug 16, 2023"
14-08-2023,35.00,35.00,34.00,34.20,34.20,"28,087","Aug 14, 2023"
11-08-2023,34.50,35.20,34.05,34.30,34.30,"41,557","Aug 11, 2023"
10-08-2023,33.90,34.45,33.90,34.10,34.10,"20,835","Aug 10, 2023"
09-08-2023,34.45,34.45,33.70,33.90,33.90,"61,278","Aug 09, 2023"
08-08-2023,34.25,35.25,33.60,33.95,33.95,"112,511","Aug 08, 2023"
07-08-2023,34.10,35.15,33.80,34.40,34.40,"83,954","Aug 07, 2023"
04-08-2023,32.95,34.85,32.90,34.10,34.10,"100,489","Aug 04, 2023"
03-08-2023,35.25,35.25,33.85,34.00,34.00,"76,132","Aug 03, 2023"
02-08-2023,35.25,35.25,34.75,34.75,34.75,"44,102","Aug 02, 2023"
01-08-2023,35.25,35.30,34.70,34.90,34.90,"39,614","Aug 01, 2023"
31-07-2023,33.50,35.25,33.50,34.85,34.85,"61,320","Jul 31, 2023"
28-07-2023,33.90,34.00,33.30,33.70,33.70,"25,137","Jul 28, 2023"
27-07-2023,34.25,34.35,33.70,33.75,33.75,"20,982","Jul 27, 2023"
26-07-2023,34.00,34.20,33.75,33.80,33.80,"13,563","Jul 26, 2023"
25-07-2023,33.70,33.95,33.60,33.85,33.85,"19,299","Jul 25, 2023"
24-07-2023,33.70,33.90,33.45,33.70,33.70,"29,620","Jul 24, 2023"
21-07-2023,33.45,34.00,33.45,33.80,33.80,"27,375","Jul 21, 2023"
20-07-2023,34.35,34.50,34.05,34.20,34.20,"30,802","Jul 20, 2023"
19-07-2023,33.20,34.30,33.20,34.25,34.25,"49,970","Jul 19, 2023"
18-07-2023,33.85,34.30,33.20,33.35,33.35,"47,062","Jul 18, 2023"
17-07-2023,34.00,34.55,33.95,34.05,34.05,"37,292","Jul 17, 2023"
14-07-2023,33.80,34.80,33.80,34.15,34.15,"25,969","Jul 14, 2023"
13-07-2023,34.80,35.20,34.00,34.25,34.25,"34,192","Jul 13, 2023"
12-07-2023,34.15,35.15,34.15,34.45,34.45,"32,856","Jul 12, 2023"
11-07-2023,34.45,35.10,33.85,34.10,34.10,"54,750","Jul 11, 2023"
10-07-2023,35.70,35.70,33.75,34.55,34.55,"56,757","Jul 10, 2023"
07-07-2023,35.25,35.50,34.55,35.00,35.00,"48,091","Jul 07, 2023"
06-07-2023,35.80,35.80,35.10,35.30,35.30,"32,921","Jul 06, 2023"
05-07-2023,35.00,36.00,34.55,35.20,35.20,"76,195","Jul 05, 2023"
04-07-2023,35.25,35.60,34.95,35.05,35.05,"26,234","Jul 04, 2023"
03-07-2023,35.40,35.95,34.75,35.10,35.10,"63,518","Jul 03, 2023"
30-06-2023,35.00,35.80,34.80,35.40,35.40,"38,298","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,35.25,35.85,34.95,35.20,35.20,"24,898","Jun 27, 2023"
26-06-2023,35.20,35.95,35.20,35.35,35.35,"12,943","Jun 26, 2023"
23-06-2023,36.90,36.90,34.90,35.20,35.20,"38,594","Jun 23, 2023"
22-06-2023,36.95,37.00,35.30,36.10,36.10,"48,630","Jun 22, 2023"
21-06-2023,34.95,36.75,34.95,36.45,36.45,"78,749","Jun 21, 2023"
20-06-2023,35.45,36.40,33.85,34.85,34.85,"80,244","Jun 20, 2023"
19-06-2023,37.00,37.50,35.00,35.90,35.90,"80,328","Jun 19, 2023"
16-06-2023,37.10,38.00,36.15,36.70,36.70,"71,173","Jun 16, 2023"
15-06-2023,37.95,38.50,37.00,37.10,37.10,"47,440","Jun 15, 2023"
14-06-2023,36.45,38.70,36.15,37.15,37.15,"122,279","Jun 14, 2023"
13-06-2023,36.00,37.00,35.50,36.10,36.10,"62,307","Jun 13, 2023"
12-06-2023,37.00,37.00,34.30,35.70,35.70,"39,051","Jun 12, 2023"
09-06-2023,36.70,37.35,36.05,36.30,36.30,"24,935","Jun 09, 2023"
08-06-2023,37.80,38.00,36.50,36.70,36.70,"33,594","Jun 08, 2023"
07-06-2023,37.75,38.30,37.30,37.65,37.65,"69,577","Jun 07, 2023"
06-06-2023,34.45,38.90,34.45,37.70,37.70,"310,465","Jun 06, 2023"
05-06-2023,35.25,35.45,34.30,34.80,34.80,"55,936","Jun 05, 2023"
02-06-2023,35.55,35.60,34.70,35.15,35.15,"73,519","Jun 02, 2023"
01-06-2023,35.00,35.50,34.50,35.00,35.00,"65,085","Jun 01, 2023"
31-05-2023,34.30,35.25,34.00,34.95,34.95,"44,071","May 31, 2023"
30-05-2023,35.35,35.35,34.10,34.30,34.30,"39,822","May 30, 2023"
29-05-2023,35.50,35.50,34.50,34.80,34.80,"27,667","May 29, 2023"
26-05-2023,34.30,35.65,34.30,34.70,34.70,"28,090","May 26, 2023"
25-05-2023,35.90,35.90,34.75,35.20,35.20,"24,741","May 25, 2023"
24-05-2023,35.70,35.75,35.00,35.25,35.25,"21,994","May 24, 2023"
23-05-2023,35.75,36.30,34.60,34.90,34.90,"60,451","May 23, 2023"
22-05-2023,35.95,36.00,35.60,35.75,35.75,"20,405","May 22, 2023"
19-05-2023,37.70,37.70,34.50,36.00,36.00,"84,998","May 19, 2023"
18-05-2023,37.20,37.85,37.20,37.25,37.25,"12,634","May 18, 2023"
17-05-2023,37.40,37.90,37.15,37.60,37.60,"24,310","May 17, 2023"
16-05-2023,37.35,38.00,37.20,37.20,37.20,"24,076","May 16, 2023"
15-05-2023,37.25,38.00,37.20,37.35,37.35,"24,106","May 15, 2023"
12-05-2023,37.75,39.20,37.45,37.60,37.60,"26,109","May 12, 2023"
11-05-2023,37.40,38.25,37.35,37.75,37.75,"28,026","May 11, 2023"
10-05-2023,37.40,38.10,36.60,37.20,37.20,"38,955","May 10, 2023"
09-05-2023,39.00,39.00,37.30,37.50,37.50,"22,908","May 09, 2023"
08-05-2023,37.80,39.00,37.80,38.25,38.25,"33,101","May 08, 2023"
05-05-2023,39.70,39.70,37.50,38.10,38.10,"48,572","May 05, 2023"
04-05-2023,38.20,39.60,37.70,38.90,38.90,"93,389","May 04, 2023"
03-05-2023,38.25,38.90,37.20,37.55,37.55,"64,660","May 03, 2023"
02-05-2023,38.55,39.00,37.90,38.05,38.05,"49,754","May 02, 2023"
28-04-2023,37.55,38.15,37.55,37.70,37.70,"50,987","Apr 28, 2023"
27-04-2023,37.60,38.45,36.70,37.40,37.40,"85,128","Apr 27, 2023"
26-04-2023,37.30,39.15,36.75,37.60,37.60,"150,078","Apr 26, 2023"
25-04-2023,37.35,38.35,36.00,36.55,36.55,"112,959","Apr 25, 2023"
24-04-2023,37.30,38.20,37.30,37.70,37.70,"20,816","Apr 24, 2023"
21-04-2023,38.30,38.45,37.30,37.70,37.70,"38,157","Apr 21, 2023"
20-04-2023,38.50,38.55,37.45,37.65,37.65,"37,747","Apr 20, 2023"
19-04-2023,38.25,38.95,37.45,37.90,37.90,"53,372","Apr 19, 2023"
18-04-2023,40.00,40.15,37.10,38.25,38.25,"114,940","Apr 18, 2023"
17-04-2023,38.00,39.80,37.25,39.60,39.60,"106,111","Apr 17, 2023"
13-04-2023,41.05,41.10,36.90,37.80,37.80,"345,228","Apr 13, 2023"
12-04-2023,35.35,41.70,34.65,41.60,41.60,"655,432","Apr 12, 2023"
11-04-2023,33.85,35.45,33.85,34.75,34.75,"40,774","Apr 11, 2023"
10-04-2023,34.75,34.75,33.50,33.55,33.55,"24,555","Apr 10, 2023"
06-04-2023,34.50,34.95,33.90,34.25,34.25,"83,917","Apr 06, 2023"
05-04-2023,33.35,34.70,33.35,34.50,34.50,"64,076","Apr 05, 2023"
03-04-2023,31.95,33.70,31.10,33.35,33.35,"159,144","Apr 03, 2023"
31-03-2023,30.95,31.80,30.95,31.35,31.35,"74,668","Mar 31, 2023"
29-03-2023,32.00,32.00,29.95,30.90,30.90,"154,362","Mar 29, 2023"
28-03-2023,31.05,31.80,29.90,30.65,30.65,"57,469","Mar 28, 2023"
27-03-2023,32.95,32.95,31.20,31.30,31.30,"69,405","Mar 27, 2023"
24-03-2023,33.60,33.60,32.05,32.20,32.20,"85,779","Mar 24, 2023"
23-03-2023,33.30,34.55,32.60,33.30,33.30,"91,812","Mar 23, 2023"
22-03-2023,32.20,35.45,31.75,34.15,34.15,"104,015","Mar 22, 2023"
21-03-2023,31.70,32.80,31.70,32.70,32.70,"22,614","Mar 21, 2023"
20-03-2023,33.00,33.00,31.50,31.55,31.55,"23,062","Mar 20, 2023"
17-03-2023,32.40,33.15,32.05,32.40,32.40,"86,900","Mar 17, 2023"
16-03-2023,33.25,33.90,31.90,32.65,32.65,"52,799","Mar 16, 2023"
15-03-2023,33.45,33.90,32.70,33.40,33.40,"41,255","Mar 15, 2023"
14-03-2023,34.50,34.50,31.70,32.75,32.75,"53,968","Mar 14, 2023"
13-03-2023,34.95,35.10,33.40,33.60,33.60,"63,220","Mar 13, 2023"
10-03-2023,35.40,35.40,34.05,34.25,34.25,"23,662","Mar 10, 2023"
