date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,276.00,279.75,266.55,273.10,273.10,"155,661","Aug 25, 2023"
24-08-2023,274.95,276.85,272.30,273.85,273.85,"245,791","Aug 24, 2023"
23-08-2023,273.55,281.40,271.00,273.80,273.80,"567,536","Aug 23, 2023"
22-08-2023,273.60,281.35,270.30,271.85,271.85,"50,568","Aug 22, 2023"
21-08-2023,277.15,278.00,272.50,273.60,273.60,"25,570","Aug 21, 2023"
18-08-2023,275.60,277.95,272.05,274.40,274.40,"66,995","Aug 18, 2023"
17-08-2023,277.70,279.85,274.10,275.10,275.10,"105,752","Aug 17, 2023"
16-08-2023,278.05,280.00,275.00,278.55,278.55,"68,468","Aug 16, 2023"
14-08-2023,281.00,283.90,272.00,277.40,277.40,"41,978","Aug 14, 2023"
11-08-2023,282.00,286.35,265.00,277.90,277.90,"66,381","Aug 11, 2023"
10-08-2023,285.05,287.85,277.05,281.05,281.05,"59,568","Aug 10, 2023"
09-08-2023,285.05,285.60,281.00,284.05,284.05,"33,501","Aug 09, 2023"
08-08-2023,287.70,287.70,283.05,284.40,284.40,"47,866","Aug 08, 2023"
07-08-2023,288.70,288.90,282.00,285.05,285.05,"48,499","Aug 07, 2023"
04-08-2023,270.80,291.00,266.00,285.75,285.75,"442,786","Aug 04, 2023"
03-08-2023,269.05,270.40,266.00,267.45,267.45,"29,820","Aug 03, 2023"
02-08-2023,270.80,272.00,265.50,269.00,269.00,"52,453","Aug 02, 2023"
01-08-2023,269.60,272.00,265.00,267.90,267.90,"92,348","Aug 01, 2023"
31-07-2023,269.75,275.00,265.50,268.80,268.80,"77,545","Jul 31, 2023"
28-07-2023,269.90,279.95,264.00,266.85,266.85,"83,008","Jul 28, 2023"
27-07-2023,274.00,274.90,263.20,265.45,265.45,"141,442","Jul 27, 2023"
26-07-2023,276.75,282.00,258.25,268.30,268.30,"1,073,772","Jul 26, 2023"
25-07-2023,275.80,285.80,265.80,274.05,274.05,"2,348,683","Jul 25, 2023"
24-07-2023,322.00,327.50,264.85,270.90,270.90,"2,692,090","Jul 24, 2023"
21-07-2023,334.90,343.65,282.05,317.60,317.60,"1,702,594","Jul 21, 2023"
20-07-2023,328.50,334.70,327.90,332.35,332.35,"133,723","Jul 20, 2023"
19-07-2023,327.75,330.00,326.50,326.90,326.90,"82,071","Jul 19, 2023"
18-07-2023,327.20,330.00,325.50,325.60,325.60,"73,766","Jul 18, 2023"
17-07-2023,327.45,341.40,321.65,324.10,324.10,"509,959","Jul 17, 2023"
14-07-2023,307.80,343.80,306.90,326.75,326.75,"1,525,794","Jul 14, 2023"
13-07-2023,301.50,309.70,299.55,305.65,305.65,"235,987","Jul 13, 2023"
12-07-2023,298.90,304.15,297.90,298.80,298.80,"171,105","Jul 12, 2023"
11-07-2023,283.10,302.00,282.90,296.75,296.75,"546,554","Jul 11, 2023"
10-07-2023,282.35,283.00,281.30,282.15,282.15,"61,367","Jul 10, 2023"
07-07-2023,280.05,282.00,279.50,280.10,280.10,"68,365","Jul 07, 2023"
06-07-2023,277.05,284.00,277.05,278.25,278.25,"373,826","Jul 06, 2023"
05-07-2023,276.75,277.85,275.50,276.05,276.05,"104,403","Jul 05, 2023"
04-07-2023,278.85,281.70,273.45,274.65,274.65,"545,453","Jul 04, 2023"
03-07-2023,322.95,324.20,254.80,272.90,272.90,"10,566,721","Jul 03, 2023"
30-06-2023,318.00,324.75,299.00,318.50,318.50,"972,230","Jun 30, 2023"
28-06-2023,305.60,305.60,305.60,305.60,305.60,-,"Jun 28, 2023"
27-06-2023,306.80,309.00,305.50,305.60,305.60,"351,428","Jun 27, 2023"
26-06-2023,303.95,308.75,303.95,304.85,304.85,"119,775","Jun 26, 2023"
23-06-2023,303.00,306.70,302.90,303.30,303.30,"278,226","Jun 23, 2023"
22-06-2023,291.40,311.55,291.20,302.45,302.45,"1,497,577","Jun 22, 2023"
21-06-2023,290.70,292.65,290.45,290.50,290.50,"127,751","Jun 21, 2023"
20-06-2023,287.90,290.60,287.90,289.85,289.85,"166,739","Jun 20, 2023"
19-06-2023,285.55,289.00,285.45,287.25,287.25,"210,676","Jun 19, 2023"
16-06-2023,284.80,287.00,284.80,284.85,284.85,"347,661","Jun 16, 2023"
15-06-2023,284.00,286.50,283.85,284.10,284.10,"606,105","Jun 15, 2023"
14-06-2023,283.30,285.40,282.80,283.10,283.10,"400,199","Jun 14, 2023"
13-06-2023,282.60,288.00,282.15,282.20,282.20,"696,910","Jun 13, 2023"
12-06-2023,281.35,284.50,281.30,281.45,281.45,"611,615","Jun 12, 2023"
09-06-2023,280.90,284.25,280.60,280.70,280.70,"306,405","Jun 09, 2023"
08-06-2023,277.45,284.70,277.10,280.05,280.05,"615,832","Jun 08, 2023"
07-06-2023,278.00,281.00,275.90,276.55,276.55,"514,174","Jun 07, 2023"
06-06-2023,281.40,288.00,274.90,275.00,275.00,"1,665,918","Jun 06, 2023"
05-06-2023,280.05,289.90,278.45,278.60,278.60,"1,051,064","Jun 05, 2023"
02-06-2023,278.50,292.00,277.95,278.10,278.10,"1,659,628","Jun 02, 2023"
01-06-2023,278.60,294.90,277.00,277.10,277.10,"800,350","Jun 01, 2023"
31-05-2023,277.05,286.70,276.90,277.10,277.10,"1,118,291","May 31, 2023"
30-05-2023,277.65,305.75,276.50,276.55,276.55,"696,352","May 30, 2023"
29-05-2023,282.95,286.60,276.00,276.70,276.70,"573,558","May 29, 2023"
26-05-2023,280.05,286.75,275.45,275.85,275.85,"195,080","May 26, 2023"
25-05-2023,286.95,293.90,276.00,278.50,278.50,"323,297","May 25, 2023"
24-05-2023,282.00,292.15,282.00,286.60,286.60,"53,750","May 24, 2023"
23-05-2023,279.00,292.00,278.95,284.25,284.25,"196,468","May 23, 2023"
22-05-2023,292.25,311.60,270.55,278.95,278.95,"1,552,643","May 22, 2023"
19-05-2023,296.00,304.00,290.70,292.00,292.00,"364,508","May 19, 2023"
18-05-2023,298.00,309.00,291.00,295.00,295.00,"646,134","May 18, 2023"
17-05-2023,262.25,304.00,262.25,299.25,299.25,"2,243,919","May 17, 2023"
16-05-2023,262.50,267.60,260.10,262.45,262.45,"69,323","May 16, 2023"
15-05-2023,259.75,262.80,256.00,260.95,260.95,"69,935","May 15, 2023"
12-05-2023,257.00,263.00,253.00,259.75,259.75,"93,333","May 12, 2023"
11-05-2023,255.50,265.00,255.50,257.40,257.40,"65,957","May 11, 2023"
10-05-2023,251.15,255.25,249.45,254.85,254.85,"133,735","May 10, 2023"
09-05-2023,251.95,257.40,250.05,251.15,251.15,"38,196","May 09, 2023"
08-05-2023,244.00,252.10,243.85,251.80,251.80,"62,943","May 08, 2023"
05-05-2023,246.60,249.45,243.35,244.35,244.35,"17,308","May 05, 2023"
04-05-2023,247.00,250.00,243.35,246.40,246.40,"37,690","May 04, 2023"
03-05-2023,248.30,250.00,242.30,245.40,245.40,"58,912","May 03, 2023"
02-05-2023,252.50,254.65,247.25,247.65,247.65,"41,586","May 02, 2023"
28-04-2023,250.80,257.00,248.05,254.65,254.65,"181,958","Apr 28, 2023"
27-04-2023,240.00,252.25,240.00,250.85,250.85,"211,493","Apr 27, 2023"
26-04-2023,244.85,244.85,232.00,239.50,239.50,"17,374","Apr 26, 2023"
25-04-2023,243.45,244.70,242.50,243.05,243.05,"10,982","Apr 25, 2023"
24-04-2023,247.00,247.80,242.30,243.45,243.45,"47,985","Apr 24, 2023"
21-04-2023,241.15,246.80,239.25,246.15,246.15,"128,322","Apr 21, 2023"
20-04-2023,239.85,245.00,239.00,241.15,241.15,"93,547","Apr 20, 2023"
19-04-2023,230.10,246.80,229.40,239.00,239.00,"235,482","Apr 19, 2023"
18-04-2023,228.60,236.15,226.25,231.30,231.30,"106,884","Apr 18, 2023"
17-04-2023,223.50,243.00,221.10,228.75,228.75,"292,129","Apr 17, 2023"
13-04-2023,229.50,231.90,222.40,223.95,223.95,"84,684","Apr 13, 2023"
12-04-2023,212.15,229.90,212.15,224.40,224.40,"164,313","Apr 12, 2023"
11-04-2023,219.95,220.00,214.00,214.45,214.45,"8,128","Apr 11, 2023"
10-04-2023,219.00,221.80,212.00,216.00,216.00,"56,638","Apr 10, 2023"
06-04-2023,214.85,217.70,211.15,212.65,212.65,"21,097","Apr 06, 2023"
05-04-2023,215.70,219.50,210.00,210.35,210.35,"52,106","Apr 05, 2023"
03-04-2023,213.45,222.20,213.45,215.70,215.70,"121,634","Apr 03, 2023"
31-03-2023,213.15,216.40,210.00,213.45,213.45,"264,196","Mar 31, 2023"
29-03-2023,218.00,221.10,212.00,213.05,213.05,"18,167","Mar 29, 2023"
28-03-2023,224.05,224.60,219.85,220.25,220.25,"41,643","Mar 28, 2023"
27-03-2023,225.00,226.90,221.00,223.50,223.50,"204,338","Mar 27, 2023"
24-03-2023,228.00,230.05,222.20,223.60,223.60,"90,099","Mar 24, 2023"
23-03-2023,222.00,230.85,220.05,225.55,225.55,"64,849","Mar 23, 2023"
22-03-2023,208.95,226.00,208.95,222.65,222.65,"290,442","Mar 22, 2023"
21-03-2023,210.10,211.15,206.00,207.15,207.15,"181,293","Mar 21, 2023"
20-03-2023,211.80,215.70,206.55,208.00,208.00,"305,297","Mar 20, 2023"
17-03-2023,216.00,216.00,208.55,211.95,211.95,"250,777","Mar 17, 2023"
16-03-2023,210.95,212.75,201.95,210.85,210.85,"155,442","Mar 16, 2023"
15-03-2023,209.00,214.95,206.05,207.20,207.20,"13,237","Mar 15, 2023"
14-03-2023,212.00,212.00,204.00,207.85,207.85,"23,966","Mar 14, 2023"
13-03-2023,212.00,216.95,206.00,208.05,208.05,"71,887","Mar 13, 2023"
10-03-2023,217.40,220.10,213.80,214.90,214.90,"17,143","Mar 10, 2023"
09-03-2023,221.65,225.70,216.85,217.40,217.40,"20,052","Mar 09, 2023"
08-03-2023,224.95,226.20,220.50,221.25,221.25,"15,629","Mar 08, 2023"
06-03-2023,228.20,231.55,225.00,225.45,225.45,"56,787","Mar 06, 2023"
03-03-2023,230.50,233.80,226.50,229.90,229.90,"34,203","Mar 03, 2023"
02-03-2023,235.75,236.00,230.20,232.60,232.60,"15,582","Mar 02, 2023"
01-03-2023,249.40,249.40,224.25,232.30,232.30,"358,984","Mar 01, 2023"
28-02-2023,238.05,255.00,237.15,241.95,241.95,"153,696","Feb 28, 2023"
27-02-2023,233.00,239.95,233.00,238.05,238.05,"14,059","Feb 27, 2023"
24-02-2023,237.05,238.70,231.00,235.35,235.35,"11,748","Feb 24, 2023"
23-02-2023,233.00,243.50,233.00,237.60,237.60,"13,104","Feb 23, 2023"
22-02-2023,242.45,244.95,235.00,236.60,236.60,"28,678","Feb 22, 2023"
21-02-2023,234.50,246.00,233.10,242.45,242.45,"34,628","Feb 21, 2023"
20-02-2023,237.00,242.50,235.00,235.20,235.20,"38,136","Feb 20, 2023"
17-02-2023,242.00,242.00,235.00,236.15,236.15,"11,044","Feb 17, 2023"
16-02-2023,233.00,251.95,233.00,236.25,236.25,"55,847","Feb 16, 2023"
15-02-2023,220.20,247.90,220.20,238.40,238.40,"56,221","Feb 15, 2023"
14-02-2023,229.00,232.70,218.10,220.20,220.20,"24,676","Feb 14, 2023"
13-02-2023,238.00,238.15,228.30,231.45,231.45,"15,398","Feb 13, 2023"
10-02-2023,238.45,245.00,235.80,238.15,238.15,"48,092","Feb 10, 2023"
09-02-2023,250.45,250.45,235.25,236.35,236.35,"16,939","Feb 09, 2023"
08-02-2023,236.35,246.50,235.05,244.25,244.25,"231,910","Feb 08, 2023"
07-02-2023,255.60,259.90,234.00,236.35,236.35,"339,616","Feb 07, 2023"
06-02-2023,235.00,254.80,234.10,250.60,250.60,"282,387","Feb 06, 2023"
03-02-2023,243.00,243.00,232.10,239.20,239.20,"94,130","Feb 03, 2023"
02-02-2023,236.00,244.95,230.40,240.30,240.30,"16,973","Feb 02, 2023"
01-02-2023,243.05,249.15,234.00,236.55,236.55,"41,357","Feb 01, 2023"
31-01-2023,255.15,257.75,240.10,243.35,243.35,"34,843","Jan 31, 2023"
30-01-2023,266.20,273.60,250.20,251.65,251.65,"63,078","Jan 30, 2023"
27-01-2023,258.95,274.00,250.20,266.25,266.25,"1,019,428","Jan 27, 2023"
25-01-2023,272.00,272.10,250.00,259.35,259.35,"140,393","Jan 25, 2023"
24-01-2023,274.20,274.20,267.05,270.70,270.70,"625,194","Jan 24, 2023"
23-01-2023,268.50,277.95,267.00,270.70,270.70,"423,594","Jan 23, 2023"
20-01-2023,270.00,271.10,263.30,268.50,268.50,"147,589","Jan 20, 2023"
19-01-2023,267.90,274.80,267.00,271.40,271.40,"721,952","Jan 19, 2023"
18-01-2023,244.00,270.95,241.00,269.30,269.30,"940,207","Jan 18, 2023"
17-01-2023,241.05,248.00,237.00,245.85,245.85,"162,220","Jan 17, 2023"
16-01-2023,231.05,244.80,225.60,241.85,241.85,"303,052","Jan 16, 2023"
13-01-2023,231.45,233.55,225.10,228.45,228.45,"161,613","Jan 13, 2023"
12-01-2023,223.95,231.80,220.00,229.55,229.55,"623,801","Jan 12, 2023"
11-01-2023,201.10,234.00,200.05,226.65,226.65,"748,735","Jan 11, 2023"
10-01-2023,186.00,201.60,183.00,196.15,196.15,"204,129","Jan 10, 2023"
09-01-2023,181.95,187.90,181.95,185.05,185.05,"90,520","Jan 09, 2023"
06-01-2023,183.95,185.60,180.10,180.95,180.95,"107,382","Jan 06, 2023"
05-01-2023,185.90,188.00,183.05,184.00,184.00,"123,103","Jan 05, 2023"
04-01-2023,188.05,190.55,185.00,185.45,185.45,"150,854","Jan 04, 2023"
03-01-2023,194.00,194.00,188.50,190.00,190.00,"105,803","Jan 03, 2023"
02-01-2023,192.50,196.00,187.00,189.40,189.40,"290,026","Jan 02, 2023"
30-12-2022,197.60,197.60,188.00,190.10,190.10,"208,697","Dec 30, 2022"
29-12-2022,201.00,201.90,193.35,193.85,193.85,"395,919","Dec 29, 2022"
28-12-2022,204.70,207.55,200.05,202.10,202.10,"447,786","Dec 28, 2022"
27-12-2022,204.90,213.50,204.05,204.75,204.75,"555,445","Dec 27, 2022"
26-12-2022,215.00,218.00,200.00,202.50,202.50,"1,184,182","Dec 26, 2022"
23-12-2022,273.00,273.00,218.40,218.40,218.40,"1,712,658","Dec 23, 2022"
