date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,26.75,26.75,26.40,26.60,26.60,"12,345","Aug 25, 2023"
24-08-2023,26.10,26.80,25.80,26.40,26.40,"10,738","Aug 24, 2023"
23-08-2023,26.50,26.50,26.05,26.10,26.10,"8,598","Aug 23, 2023"
22-08-2023,26.65,26.65,26.05,26.20,26.20,"8,219","Aug 22, 2023"
21-08-2023,26.90,26.90,25.50,26.10,26.10,"7,285","Aug 21, 2023"
18-08-2023,26.85,27.35,26.00,26.35,26.35,"16,952","Aug 18, 2023"
17-08-2023,27.40,27.40,26.05,26.85,26.85,"10,090","Aug 17, 2023"
16-08-2023,26.65,27.40,26.00,26.55,26.55,"41,304","Aug 16, 2023"
14-08-2023,26.45,26.55,26.00,26.10,26.10,"1,819","Aug 14, 2023"
11-08-2023,27.00,27.00,26.00,26.45,26.45,"5,507","Aug 11, 2023"
10-08-2023,26.60,26.60,26.00,26.55,26.55,"9,218","Aug 10, 2023"
09-08-2023,26.60,26.60,26.00,26.50,26.50,"8,313","Aug 09, 2023"
08-08-2023,26.65,26.65,25.30,26.30,26.30,"6,256","Aug 08, 2023"
07-08-2023,26.70,26.70,26.00,26.15,26.15,"18,200","Aug 07, 2023"
04-08-2023,25.95,26.50,25.90,26.30,26.30,"14,272","Aug 04, 2023"
03-08-2023,25.60,26.50,25.60,25.95,25.95,"11,973","Aug 03, 2023"
02-08-2023,26.60,26.60,25.85,25.95,25.95,"17,281","Aug 02, 2023"
01-08-2023,26.55,26.75,25.95,26.20,26.20,"16,560","Aug 01, 2023"
31-07-2023,26.90,26.90,25.80,26.55,26.55,"10,054","Jul 31, 2023"
28-07-2023,26.60,26.95,25.90,26.20,26.20,"6,699","Jul 28, 2023"
27-07-2023,26.95,26.95,26.00,26.10,26.10,"6,841","Jul 27, 2023"
26-07-2023,27.00,27.00,26.40,26.60,26.60,"2,877","Jul 26, 2023"
25-07-2023,26.55,27.00,25.55,26.60,26.60,"12,482","Jul 25, 2023"
24-07-2023,27.20,27.20,26.00,26.60,26.60,"7,959","Jul 24, 2023"
21-07-2023,26.50,27.40,26.35,26.65,26.65,"17,530","Jul 21, 2023"
20-07-2023,27.80,27.80,26.50,27.25,27.25,"17,510","Jul 20, 2023"
19-07-2023,27.80,27.80,26.25,26.55,26.55,"31,740","Jul 19, 2023"
18-07-2023,27.50,27.75,26.50,27.40,27.40,"1,794","Jul 18, 2023"
17-07-2023,27.90,27.90,26.50,26.95,26.95,"6,678","Jul 17, 2023"
14-07-2023,26.05,27.75,26.05,27.10,27.10,"20,146","Jul 14, 2023"
13-07-2023,27.35,27.35,26.15,26.45,26.45,"10,588","Jul 13, 2023"
12-07-2023,27.20,27.40,26.00,26.65,26.65,"12,445","Jul 12, 2023"
11-07-2023,27.50,28.25,26.00,26.50,26.50,"14,996","Jul 11, 2023"
10-07-2023,27.90,28.40,27.30,27.30,27.30,"6,225","Jul 10, 2023"
07-07-2023,27.50,28.35,27.00,27.35,27.35,"15,633","Jul 07, 2023"
06-07-2023,27.45,28.70,27.45,27.55,27.55,"12,557","Jul 06, 2023"
05-07-2023,28.60,28.85,27.70,28.00,28.00,"3,606","Jul 05, 2023"
04-07-2023,27.90,28.75,27.40,28.55,28.55,"9,255","Jul 04, 2023"
03-07-2023,28.50,28.80,27.60,27.95,27.95,"8,871","Jul 03, 2023"
30-06-2023,27.50,28.70,27.50,28.50,28.50,"7,056","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,28.50,29.00,27.40,27.85,27.85,"5,248","Jun 27, 2023"
26-06-2023,29.45,29.45,27.80,28.35,28.35,"7,154","Jun 26, 2023"
23-06-2023,28.90,29.80,28.00,28.85,28.85,"8,588","Jun 23, 2023"
22-06-2023,29.00,29.00,28.05,28.95,28.95,"4,570","Jun 22, 2023"
21-06-2023,28.75,29.45,27.40,29.30,29.30,"6,559","Jun 21, 2023"
20-06-2023,29.00,29.40,27.95,28.75,28.75,"15,252","Jun 20, 2023"
19-06-2023,30.00,30.00,28.80,29.10,29.10,"10,932","Jun 19, 2023"
16-06-2023,30.35,30.90,29.90,30.15,30.15,"5,383","Jun 16, 2023"
15-06-2023,32.00,32.50,29.90,30.30,30.30,"23,730","Jun 15, 2023"
14-06-2023,31.50,33.00,31.25,31.45,31.45,"26,337","Jun 14, 2023"
13-06-2023,32.45,33.35,30.30,32.15,32.15,"161,629","Jun 13, 2023"
12-06-2023,34.00,34.00,31.50,32.05,32.05,"71,992","Jun 12, 2023"
09-06-2023,32.65,35.45,31.50,34.15,34.15,"461,777","Jun 09, 2023"
08-06-2023,28.50,32.20,27.95,31.05,31.05,"412,117","Jun 08, 2023"
07-06-2023,26.75,29.50,26.50,28.40,28.40,"234,289","Jun 07, 2023"
06-06-2023,25.60,27.50,24.95,26.75,26.75,"148,714","Jun 06, 2023"
05-06-2023,25.55,26.00,24.45,25.05,25.05,"35,127","Jun 05, 2023"
02-06-2023,24.85,25.45,23.95,25.20,25.20,"68,591","Jun 02, 2023"
01-06-2023,24.40,24.90,23.50,24.35,24.35,"16,663","Jun 01, 2023"
31-05-2023,24.05,24.70,22.50,23.85,23.85,"53,266","May 31, 2023"
30-05-2023,25.10,25.10,23.25,24.05,24.05,"34,875","May 30, 2023"
29-05-2023,24.50,24.95,23.90,24.70,24.70,"14,919","May 29, 2023"
26-05-2023,23.50,25.40,23.00,23.85,23.85,"98,890","May 26, 2023"
25-05-2023,24.90,25.45,24.00,24.20,24.20,"63,358","May 25, 2023"
24-05-2023,25.45,25.50,24.55,24.70,24.70,"50,920","May 24, 2023"
23-05-2023,25.35,25.95,24.70,25.00,25.00,"42,755","May 23, 2023"
22-05-2023,25.00,25.95,25.00,25.35,25.35,"48,956","May 22, 2023"
19-05-2023,26.60,26.70,25.40,25.65,25.65,"37,438","May 19, 2023"
18-05-2023,27.25,27.25,26.00,26.10,26.10,"35,880","May 18, 2023"
17-05-2023,27.20,27.20,26.20,26.35,26.35,"16,308","May 17, 2023"
16-05-2023,26.00,26.70,25.65,26.05,26.05,"30,492","May 16, 2023"
15-05-2023,26.75,27.00,26.45,26.65,26.65,"12,407","May 15, 2023"
12-05-2023,27.10,27.15,26.20,26.70,26.70,"26,829","May 12, 2023"
11-05-2023,28.80,28.80,26.00,26.60,26.60,"162,070","May 11, 2023"
10-05-2023,25.75,29.05,25.40,28.20,28.20,"156,037","May 10, 2023"
09-05-2023,26.25,26.60,25.50,25.75,25.75,"22,801","May 09, 2023"
08-05-2023,26.85,26.85,25.20,25.65,25.65,"40,692","May 08, 2023"
05-05-2023,26.50,26.65,24.25,25.80,25.80,"48,543","May 05, 2023"
04-05-2023,25.80,26.40,25.80,26.30,26.30,"13,793","May 04, 2023"
03-05-2023,26.20,26.90,25.65,26.30,26.30,"48,055","May 03, 2023"
02-05-2023,25.55,26.20,25.55,25.95,25.95,"27,651","May 02, 2023"
28-04-2023,26.00,26.30,25.50,25.55,25.55,"55,146","Apr 28, 2023"
27-04-2023,24.35,26.50,24.35,25.60,25.60,"51,230","Apr 27, 2023"
26-04-2023,25.60,26.55,23.85,24.40,24.40,"155,031","Apr 26, 2023"
25-04-2023,26.05,26.05,25.35,25.55,25.55,"36,100","Apr 25, 2023"
24-04-2023,26.15,27.45,25.60,25.90,25.90,"35,514","Apr 24, 2023"
21-04-2023,26.15,27.00,26.00,26.75,26.75,"19,841","Apr 21, 2023"
20-04-2023,27.20,27.20,26.00,26.10,26.10,"30,624","Apr 20, 2023"
19-04-2023,27.35,27.35,26.40,26.50,26.50,"26,988","Apr 19, 2023"
18-04-2023,27.75,27.75,26.20,26.40,26.40,"28,273","Apr 18, 2023"
17-04-2023,28.40,28.40,26.35,26.55,26.55,"43,593","Apr 17, 2023"
13-04-2023,27.35,28.45,26.85,27.25,27.25,"47,477","Apr 13, 2023"
12-04-2023,29.30,29.30,27.50,28.10,28.10,"26,000","Apr 12, 2023"
11-04-2023,27.50,27.60,26.90,27.00,27.00,"32,687","Apr 11, 2023"
10-04-2023,28.70,28.70,26.60,26.85,26.85,"32,538","Apr 10, 2023"
06-04-2023,27.65,28.70,27.25,27.70,27.70,"48,227","Apr 06, 2023"
05-04-2023,26.45,27.95,25.15,27.65,27.65,"74,324","Apr 05, 2023"
03-04-2023,24.60,26.05,24.60,25.90,25.90,"32,723","Apr 03, 2023"
31-03-2023,23.25,24.10,23.10,23.70,23.70,"33,694","Mar 31, 2023"
29-03-2023,23.10,24.60,23.00,23.10,23.10,"56,894","Mar 29, 2023"
28-03-2023,24.05,25.50,23.05,23.50,23.50,"54,577","Mar 28, 2023"
27-03-2023,26.80,26.80,24.50,24.85,24.85,"46,708","Mar 27, 2023"
24-03-2023,25.50,26.40,24.50,25.60,25.60,"58,665","Mar 24, 2023"
23-03-2023,27.85,27.90,24.85,25.65,25.65,"106,436","Mar 23, 2023"
22-03-2023,27.40,28.10,26.40,27.40,27.40,"30,081","Mar 22, 2023"
21-03-2023,25.60,27.70,25.60,27.35,27.35,"31,012","Mar 21, 2023"
20-03-2023,27.35,27.45,26.25,26.60,26.60,"21,799","Mar 20, 2023"
17-03-2023,27.75,27.75,26.10,27.35,27.35,"31,731","Mar 17, 2023"
16-03-2023,27.80,28.25,25.35,26.20,26.20,"42,964","Mar 16, 2023"
15-03-2023,27.35,28.35,26.80,27.25,27.25,"22,347","Mar 15, 2023"
14-03-2023,27.65,28.50,27.00,27.15,27.15,"29,336","Mar 14, 2023"
13-03-2023,28.65,29.40,27.05,27.45,27.45,"33,090","Mar 13, 2023"
10-03-2023,28.10,29.20,27.60,28.15,28.15,"29,892","Mar 10, 2023"
09-03-2023,30.00,30.30,28.05,28.95,28.95,"44,158","Mar 09, 2023"
08-03-2023,29.55,30.70,29.00,29.35,29.35,"35,681","Mar 08, 2023"
06-03-2023,30.90,30.90,29.65,30.15,30.15,"31,272","Mar 06, 2023"
03-03-2023,29.10,30.90,29.10,30.20,30.20,"41,420","Mar 03, 2023"
02-03-2023,29.35,29.90,28.65,29.10,29.10,"22,996","Mar 02, 2023"
01-03-2023,29.40,30.00,28.70,29.50,29.50,"24,702","Mar 01, 2023"
28-02-2023,27.90,29.80,27.85,29.50,29.50,"36,962","Feb 28, 2023"
27-02-2023,29.90,29.90,27.65,27.90,27.90,"31,546","Feb 27, 2023"
24-02-2023,29.70,30.00,27.80,28.40,28.40,"26,005","Feb 24, 2023"
23-02-2023,28.60,29.80,28.40,29.20,29.20,"16,296","Feb 23, 2023"
22-02-2023,30.50,30.50,28.25,28.60,28.60,"39,925","Feb 22, 2023"
21-02-2023,31.50,31.50,28.65,29.20,29.20,"38,309","Feb 21, 2023"
20-02-2023,32.20,32.20,30.20,30.95,30.95,"32,722","Feb 20, 2023"
17-02-2023,32.35,32.65,31.35,31.55,31.55,"26,543","Feb 17, 2023"
16-02-2023,33.95,33.95,32.30,33.00,33.00,"19,179","Feb 16, 2023"
15-02-2023,33.95,34.50,30.70,32.35,32.35,"35,757","Feb 15, 2023"
14-02-2023,33.15,35.65,30.25,32.60,32.60,"43,948","Feb 14, 2023"
13-02-2023,34.90,36.35,32.60,33.15,33.15,"42,909","Feb 13, 2023"
10-02-2023,37.00,37.50,34.50,34.90,34.90,"157,720","Feb 10, 2023"
09-02-2023,36.40,37.65,32.45,35.70,35.70,"383,485","Feb 09, 2023"
08-02-2023,35.80,36.05,34.00,36.05,36.05,"184,164","Feb 08, 2023"
07-02-2023,27.10,30.05,26.40,30.05,30.05,"277,002","Feb 07, 2023"
06-02-2023,25.15,25.45,24.50,25.05,25.05,"13,932","Feb 06, 2023"
