date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,236.90,238.00,231.25,233.80,233.80,"4,569","Aug 25, 2023"
24-08-2023,239.00,239.00,233.00,233.95,233.95,"11,093","Aug 24, 2023"
23-08-2023,239.50,239.50,231.95,234.00,234.00,"6,101","Aug 23, 2023"
22-08-2023,233.85,238.45,233.35,236.55,236.55,"4,875","Aug 22, 2023"
21-08-2023,239.40,239.50,233.00,234.10,234.10,"8,345","Aug 21, 2023"
18-08-2023,234.05,239.70,233.30,236.60,236.60,"6,356","Aug 18, 2023"
17-08-2023,243.00,243.00,231.40,234.20,234.20,"9,859","Aug 17, 2023"
16-08-2023,237.00,239.00,236.05,238.25,238.25,"5,464","Aug 16, 2023"
14-08-2023,236.10,238.05,232.95,236.40,236.40,"8,813","Aug 14, 2023"
11-08-2023,242.35,242.35,236.10,238.85,238.85,"19,076","Aug 11, 2023"
10-08-2023,259.90,261.60,237.05,243.25,243.25,"31,773","Aug 10, 2023"
09-08-2023,268.70,268.70,255.60,256.90,256.90,"14,554","Aug 09, 2023"
08-08-2023,274.95,275.00,262.15,264.20,264.20,"49,387","Aug 08, 2023"
07-08-2023,242.35,260.45,242.35,258.45,258.45,"47,106","Aug 07, 2023"
04-08-2023,245.25,246.00,237.00,243.05,243.05,"13,727","Aug 04, 2023"
03-08-2023,244.45,245.05,239.25,242.15,242.15,"5,766","Aug 03, 2023"
02-08-2023,242.15,246.90,238.10,239.80,239.80,"9,625","Aug 02, 2023"
01-08-2023,251.80,251.80,243.65,245.55,245.55,"12,364","Aug 01, 2023"
31-07-2023,245.00,248.35,243.30,245.30,245.30,"8,799","Jul 31, 2023"
28-07-2023,249.80,249.80,241.50,242.80,242.80,"5,815","Jul 28, 2023"
27-07-2023,239.95,249.00,238.00,245.15,245.15,"11,773","Jul 27, 2023"
26-07-2023,241.85,241.95,238.00,239.45,239.45,"2,026","Jul 26, 2023"
25-07-2023,242.45,242.45,238.25,240.45,240.45,"5,629","Jul 25, 2023"
24-07-2023,238.20,242.95,236.55,239.50,239.50,"6,847","Jul 24, 2023"
21-07-2023,242.10,244.70,237.30,239.10,239.10,"13,016","Jul 21, 2023"
20-07-2023,246.10,246.35,240.30,243.15,243.15,"6,448","Jul 20, 2023"
19-07-2023,237.40,247.65,237.40,243.70,243.70,"14,549","Jul 19, 2023"
18-07-2023,244.60,244.75,235.55,237.35,237.35,"14,335","Jul 18, 2023"
17-07-2023,241.85,252.85,238.40,243.55,243.55,"19,825","Jul 17, 2023"
14-07-2023,238.00,243.95,234.45,238.35,238.35,"16,102","Jul 14, 2023"
13-07-2023,239.75,244.00,235.00,235.50,235.50,"10,684","Jul 13, 2023"
12-07-2023,244.30,245.20,238.00,238.45,238.45,"8,890","Jul 12, 2023"
11-07-2023,243.05,247.70,240.80,241.55,241.55,"9,826","Jul 11, 2023"
10-07-2023,247.95,254.00,240.70,242.90,242.90,"17,604","Jul 10, 2023"
07-07-2023,245.80,251.90,237.50,241.00,241.00,"15,130","Jul 07, 2023"
06-07-2023,243.35,250.05,240.85,245.80,245.80,"10,446","Jul 06, 2023"
05-07-2023,238.05,249.70,235.85,242.50,242.50,"15,493","Jul 05, 2023"
04-07-2023,240.25,240.25,234.75,237.15,237.15,"5,111","Jul 04, 2023"
03-07-2023,239.00,243.35,235.55,239.80,239.80,"7,530","Jul 03, 2023"
30-06-2023,244.60,248.45,235.25,238.75,238.75,"12,291","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,235.65,237.70,232.40,233.50,233.50,"3,330","Jun 27, 2023"
26-06-2023,238.65,238.65,236.00,236.40,236.40,"2,904","Jun 26, 2023"
23-06-2023,241.65,245.20,234.95,239.65,239.65,"7,391","Jun 23, 2023"
22-06-2023,245.00,245.30,238.55,240.00,240.00,"5,762","Jun 22, 2023"
21-06-2023,248.90,252.00,244.05,245.00,245.00,"6,783","Jun 21, 2023"
20-06-2023,245.20,248.00,244.00,245.40,245.40,"5,124","Jun 20, 2023"
19-06-2023,249.35,252.90,242.70,244.95,244.95,"9,380","Jun 19, 2023"
16-06-2023,252.40,253.20,246.55,249.30,249.30,"10,310","Jun 16, 2023"
15-06-2023,258.00,258.90,250.00,251.80,251.80,"17,848","Jun 15, 2023"
14-06-2023,242.00,258.05,237.30,255.70,255.70,"48,358","Jun 14, 2023"
13-06-2023,245.15,245.15,237.85,238.75,238.75,"7,447","Jun 13, 2023"
12-06-2023,236.15,245.00,236.15,241.55,241.55,"17,280","Jun 12, 2023"
09-06-2023,231.05,242.00,230.95,237.25,237.25,"11,758","Jun 09, 2023"
08-06-2023,239.00,240.45,231.00,231.65,231.65,"9,851","Jun 08, 2023"
07-06-2023,234.85,242.00,231.25,235.00,235.00,"16,902","Jun 07, 2023"
06-06-2023,225.20,235.85,225.20,231.40,231.40,"11,559","Jun 06, 2023"
05-06-2023,226.50,228.90,224.15,227.45,227.45,"5,843","Jun 05, 2023"
02-06-2023,226.05,227.90,224.10,225.85,225.85,"6,067","Jun 02, 2023"
01-06-2023,224.60,228.30,224.60,226.55,226.55,"3,105","Jun 01, 2023"
31-05-2023,224.95,233.55,222.95,225.10,225.10,"13,140","May 31, 2023"
30-05-2023,228.25,235.90,227.65,233.55,233.55,"10,041","May 30, 2023"
29-05-2023,228.00,234.20,226.10,229.75,229.75,"8,887","May 29, 2023"
26-05-2023,227.95,232.45,226.00,227.40,227.40,"5,590","May 26, 2023"
25-05-2023,226.40,228.90,225.05,227.95,227.95,"4,840","May 25, 2023"
24-05-2023,222.40,226.45,221.20,226.00,226.00,"2,626","May 24, 2023"
23-05-2023,227.75,227.80,222.05,222.90,222.90,"4,337","May 23, 2023"
22-05-2023,223.90,225.45,220.05,222.60,222.60,"2,266","May 22, 2023"
19-05-2023,227.00,227.00,222.30,223.05,223.05,"3,093","May 19, 2023"
18-05-2023,229.05,231.65,224.90,225.85,225.85,"6,561","May 18, 2023"
17-05-2023,230.25,232.40,226.60,227.40,227.40,"5,100","May 17, 2023"
16-05-2023,232.90,234.00,228.00,231.85,231.85,"6,304","May 16, 2023"
15-05-2023,232.60,234.95,228.10,228.85,228.85,"6,496","May 15, 2023"
12-05-2023,238.05,238.65,231.15,231.50,231.50,"4,535","May 12, 2023"
11-05-2023,230.25,239.20,227.95,237.45,237.45,"6,897","May 11, 2023"
10-05-2023,230.80,235.30,230.00,230.65,230.65,"5,562","May 10, 2023"
09-05-2023,238.35,238.35,229.70,231.25,231.25,"5,004","May 09, 2023"
08-05-2023,233.90,236.80,233.50,234.50,234.50,"2,544","May 08, 2023"
05-05-2023,233.85,237.80,230.35,232.45,232.45,"4,427","May 05, 2023"
04-05-2023,230.05,232.95,228.55,230.45,230.45,"4,606","May 04, 2023"
03-05-2023,233.65,234.00,228.25,229.25,229.25,"3,955","May 03, 2023"
02-05-2023,237.70,237.70,230.15,232.00,232.00,"6,977","May 02, 2023"
28-04-2023,229.45,244.00,227.90,235.95,235.95,"24,402","Apr 28, 2023"
27-04-2023,228.50,231.25,223.00,228.70,228.70,"2,838","Apr 27, 2023"
26-04-2023,227.30,229.80,225.50,227.85,227.85,"2,460","Apr 26, 2023"
25-04-2023,232.00,232.05,226.00,227.35,227.35,"2,162","Apr 25, 2023"
24-04-2023,228.95,229.95,226.75,228.65,228.65,"2,568","Apr 24, 2023"
21-04-2023,231.40,231.40,225.00,226.65,226.65,"3,295","Apr 21, 2023"
20-04-2023,231.55,231.95,226.50,229.75,229.75,"3,610","Apr 20, 2023"
19-04-2023,229.30,235.45,226.75,228.20,228.20,"3,117","Apr 19, 2023"
18-04-2023,230.65,232.90,224.45,230.70,230.70,"4,500","Apr 18, 2023"
17-04-2023,233.45,233.45,227.05,228.30,228.30,"3,743","Apr 17, 2023"
13-04-2023,240.20,244.70,230.30,231.85,231.85,"9,398","Apr 13, 2023"
12-04-2023,226.35,250.00,222.05,238.85,238.85,"13,690","Apr 12, 2023"
11-04-2023,227.65,227.65,225.05,226.80,226.80,"2,069","Apr 11, 2023"
10-04-2023,221.40,227.00,220.10,225.60,225.60,"4,270","Apr 10, 2023"
06-04-2023,222.75,223.10,219.25,221.45,221.45,"2,970","Apr 06, 2023"
05-04-2023,218.85,223.10,215.55,221.75,221.75,"4,676","Apr 05, 2023"
03-04-2023,206.45,221.95,206.45,216.35,216.35,"7,356","Apr 03, 2023"
31-03-2023,206.00,210.05,202.70,205.05,205.05,"10,798","Mar 31, 2023"
29-03-2023,202.75,207.15,201.65,203.35,203.35,"13,031","Mar 29, 2023"
28-03-2023,207.25,208.05,201.05,202.20,202.20,"8,613","Mar 28, 2023"
27-03-2023,216.90,216.95,205.80,207.90,207.90,"11,128","Mar 27, 2023"
24-03-2023,219.00,221.00,215.05,216.70,216.70,"5,582","Mar 24, 2023"
23-03-2023,214.95,219.35,214.30,218.10,218.10,"16,337","Mar 23, 2023"
22-03-2023,212.30,219.95,211.65,216.15,216.15,"7,714","Mar 22, 2023"
21-03-2023,213.40,216.95,211.25,212.85,212.85,"9,924","Mar 21, 2023"
20-03-2023,224.05,224.05,211.00,212.10,212.10,"6,338","Mar 20, 2023"
17-03-2023,222.45,223.10,216.05,217.15,217.15,"4,212","Mar 17, 2023"
16-03-2023,220.00,224.00,218.10,220.85,220.85,"5,933","Mar 16, 2023"
15-03-2023,222.00,224.95,221.50,222.40,222.40,"3,919","Mar 15, 2023"
14-03-2023,224.90,226.90,219.00,219.90,219.90,"10,163","Mar 14, 2023"
13-03-2023,229.90,231.05,224.05,225.00,225.00,"7,694","Mar 13, 2023"
10-03-2023,233.50,234.30,228.05,230.85,230.85,"6,137","Mar 10, 2023"
09-03-2023,230.05,235.95,224.05,233.45,233.45,"21,192","Mar 09, 2023"
08-03-2023,225.40,230.75,225.40,229.55,229.55,"4,736","Mar 08, 2023"
06-03-2023,225.15,231.95,223.25,227.35,227.35,"9,366","Mar 06, 2023"
03-03-2023,222.65,227.15,221.65,224.05,224.05,"11,280","Mar 03, 2023"
02-03-2023,226.10,229.00,221.70,223.45,223.45,"4,811","Mar 02, 2023"
01-03-2023,225.30,230.05,223.55,226.70,226.70,"6,661","Mar 01, 2023"
28-02-2023,222.65,229.00,220.05,226.40,226.40,"12,320","Feb 28, 2023"
27-02-2023,225.50,226.25,220.05,221.65,221.65,"9,596","Feb 27, 2023"
24-02-2023,230.60,231.15,222.35,223.85,223.85,"12,437","Feb 24, 2023"
23-02-2023,232.85,234.65,226.10,227.70,227.70,"17,985","Feb 23, 2023"
22-02-2023,231.45,237.45,227.80,232.50,232.50,"20,739","Feb 22, 2023"
21-02-2023,226.70,235.55,224.85,233.80,233.80,"14,917","Feb 21, 2023"
20-02-2023,232.65,238.90,226.30,227.70,227.70,"20,175","Feb 20, 2023"
17-02-2023,248.40,248.95,232.00,233.75,233.75,"30,487","Feb 17, 2023"
16-02-2023,219.15,257.00,219.15,248.65,248.65,"93,100","Feb 16, 2023"
15-02-2023,218.05,223.95,211.10,220.70,220.70,"13,350","Feb 15, 2023"
14-02-2023,220.05,223.45,209.70,214.25,214.25,"14,301","Feb 14, 2023"
13-02-2023,222.00,222.05,218.25,220.00,220.00,"5,521","Feb 13, 2023"
10-02-2023,227.50,230.85,218.10,222.00,222.00,"11,440","Feb 10, 2023"
09-02-2023,230.85,231.00,218.10,227.20,227.20,"45,227","Feb 09, 2023"
08-02-2023,231.00,231.00,226.50,227.50,227.50,"4,360","Feb 08, 2023"
07-02-2023,225.65,235.95,220.20,227.15,227.15,"15,540","Feb 07, 2023"
06-02-2023,228.30,230.65,220.00,222.40,222.40,"11,808","Feb 06, 2023"
03-02-2023,234.70,235.90,227.00,229.30,229.30,"7,499","Feb 03, 2023"
02-02-2023,244.05,244.05,230.00,233.00,233.00,"16,495","Feb 02, 2023"
01-02-2023,250.00,251.30,238.00,243.05,243.05,"7,318","Feb 01, 2023"
31-01-2023,246.55,248.00,241.05,247.15,247.15,"5,492","Jan 31, 2023"
30-01-2023,246.90,250.60,242.00,243.00,243.00,"6,963","Jan 30, 2023"
27-01-2023,255.00,255.00,240.95,247.65,247.65,"4,320","Jan 27, 2023"
25-01-2023,251.70,253.70,249.00,249.75,249.75,"3,032","Jan 25, 2023"
24-01-2023,256.90,257.95,250.00,251.75,251.75,"2,872","Jan 24, 2023"
23-01-2023,260.00,260.00,255.05,257.35,257.35,"10,931","Jan 23, 2023"
20-01-2023,264.45,264.45,255.90,257.45,257.45,"6,356","Jan 20, 2023"
19-01-2023,263.10,265.00,260.00,261.30,261.30,"2,720","Jan 19, 2023"
18-01-2023,270.00,270.00,260.20,261.75,261.75,"16,300","Jan 18, 2023"
17-01-2023,262.60,264.00,260.20,261.80,261.80,"3,622","Jan 17, 2023"
16-01-2023,265.60,265.95,261.10,263.20,263.20,"3,742","Jan 16, 2023"
13-01-2023,267.00,268.90,262.60,264.45,264.45,"13,393","Jan 13, 2023"
12-01-2023,270.00,270.90,263.30,265.70,265.70,"2,905","Jan 12, 2023"
11-01-2023,269.05,271.10,265.00,265.70,265.70,"6,427","Jan 11, 2023"
10-01-2023,277.50,277.95,268.10,269.05,269.05,"4,203","Jan 10, 2023"
09-01-2023,285.15,285.15,274.00,275.70,275.70,"6,570","Jan 09, 2023"
06-01-2023,276.30,285.00,275.70,282.50,282.50,"11,892","Jan 06, 2023"
05-01-2023,273.00,281.90,273.00,278.40,278.40,"9,147","Jan 05, 2023"
04-01-2023,285.70,285.85,271.70,273.05,273.05,"9,259","Jan 04, 2023"
03-01-2023,281.40,290.00,278.00,284.45,284.45,"13,016","Jan 03, 2023"
02-01-2023,263.10,285.00,263.10,280.25,280.25,"31,496","Jan 02, 2023"
30-12-2022,257.90,268.10,257.90,264.85,264.85,"8,518","Dec 30, 2022"
29-12-2022,259.10,260.95,255.55,257.90,257.90,"4,201","Dec 29, 2022"
28-12-2022,256.40,261.20,253.85,259.10,259.10,"10,614","Dec 28, 2022"
27-12-2022,249.25,257.00,246.85,254.90,254.90,"24,164","Dec 27, 2022"
26-12-2022,241.00,255.00,238.80,246.00,246.00,"15,316","Dec 26, 2022"
23-12-2022,254.65,259.45,239.70,241.70,241.70,"15,918","Dec 23, 2022"
22-12-2022,279.15,279.15,260.00,262.00,262.00,"13,757","Dec 22, 2022"
21-12-2022,277.45,283.00,272.15,273.70,273.70,"15,886","Dec 21, 2022"
20-12-2022,279.20,284.25,274.00,282.10,282.10,"8,737","Dec 20, 2022"
19-12-2022,281.10,282.00,276.05,277.70,277.70,"10,615","Dec 19, 2022"
16-12-2022,280.00,284.70,278.55,282.85,282.85,"7,653","Dec 16, 2022"
15-12-2022,281.25,290.75,279.30,282.10,282.10,"10,321","Dec 15, 2022"
14-12-2022,294.00,294.40,284.60,285.05,285.05,"16,838","Dec 14, 2022"
13-12-2022,292.10,295.85,287.50,293.25,293.25,"4,922","Dec 13, 2022"
12-12-2022,296.00,297.10,285.10,287.85,287.85,"13,850","Dec 12, 2022"
09-12-2022,297.35,300.95,293.50,296.15,296.15,"6,756","Dec 09, 2022"
08-12-2022,302.75,304.20,292.55,294.55,294.55,"12,637","Dec 08, 2022"
07-12-2022,299.15,304.45,295.00,298.30,298.30,"15,048","Dec 07, 2022"
06-12-2022,310.50,311.60,295.30,299.10,299.10,"13,846","Dec 06, 2022"
05-12-2022,303.55,312.45,302.00,305.60,305.60,"8,937","Dec 05, 2022"
02-12-2022,306.00,310.95,301.30,301.85,301.85,"17,594","Dec 02, 2022"
01-12-2022,316.00,318.60,305.40,305.85,305.85,"21,616","Dec 01, 2022"
30-11-2022,315.00,324.10,312.00,314.40,314.40,"5,616","Nov 30, 2022"
29-11-2022,328.00,329.00,317.00,320.50,320.50,"4,729","Nov 29, 2022"
28-11-2022,319.70,329.05,312.30,322.15,322.15,"12,876","Nov 28, 2022"
25-11-2022,314.65,320.00,309.55,317.55,317.55,"7,055","Nov 25, 2022"
24-11-2022,317.50,319.80,307.95,310.00,310.00,"6,002","Nov 24, 2022"
23-11-2022,312.95,319.90,308.00,317.50,317.50,"7,512","Nov 23, 2022"
22-11-2022,317.85,319.45,305.25,308.40,308.40,"6,554","Nov 22, 2022"
21-11-2022,304.40,319.05,304.25,313.25,313.25,"4,941","Nov 21, 2022"
18-11-2022,315.50,318.00,305.00,306.80,306.80,"9,420","Nov 18, 2022"
17-11-2022,317.00,330.40,311.30,315.70,315.70,"11,855","Nov 17, 2022"
16-11-2022,333.90,333.90,315.00,317.05,317.05,"39,339","Nov 16, 2022"
15-11-2022,291.00,353.10,291.00,339.85,339.85,"215,542","Nov 15, 2022"
