date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,10.70,10.70,10.50,10.60,10.60,"169,013","Aug 25, 2023"
24-08-2023,11.00,11.10,10.35,10.45,10.45,"640,510","Aug 24, 2023"
23-08-2023,11.00,11.30,10.55,10.80,10.80,"701,210","Aug 23, 2023"
22-08-2023,11.50,11.50,10.80,10.80,10.80,"766,116","Aug 22, 2023"
21-08-2023,11.25,11.45,11.10,11.35,11.35,"1,119,143","Aug 21, 2023"
18-08-2023,10.50,10.95,10.40,10.95,10.95,"693,945","Aug 18, 2023"
17-08-2023,10.30,10.50,10.25,10.45,10.45,"193,965","Aug 17, 2023"
16-08-2023,10.20,10.40,10.10,10.30,10.30,"185,917","Aug 16, 2023"
14-08-2023,10.75,10.75,10.30,10.40,10.40,"405,998","Aug 14, 2023"
11-08-2023,10.80,10.90,10.55,10.80,10.80,"180,103","Aug 11, 2023"
10-08-2023,10.70,10.80,10.35,10.60,10.60,"276,440","Aug 10, 2023"
09-08-2023,10.80,10.80,10.35,10.55,10.55,"400,773","Aug 09, 2023"
08-08-2023,10.95,10.95,10.35,10.40,10.40,"286,491","Aug 08, 2023"
07-08-2023,11.00,11.00,10.45,10.55,10.55,"295,689","Aug 07, 2023"
04-08-2023,10.85,11.10,10.50,10.80,10.80,"93,487","Aug 04, 2023"
03-08-2023,10.60,11.00,10.40,10.85,10.85,"158,273","Aug 03, 2023"
02-08-2023,11.20,11.20,10.35,10.60,10.60,"369,958","Aug 02, 2023"
01-08-2023,11.50,11.50,10.80,10.90,10.90,"260,078","Aug 01, 2023"
31-07-2023,11.00,11.15,10.90,11.00,11.00,"113,354","Jul 31, 2023"
28-07-2023,10.80,11.20,10.80,10.90,10.90,"216,982","Jul 28, 2023"
27-07-2023,11.15,11.50,10.70,11.20,11.20,"178,891","Jul 27, 2023"
26-07-2023,11.50,11.50,11.05,11.15,11.15,"163,036","Jul 26, 2023"
25-07-2023,11.45,11.75,11.20,11.30,11.30,"233,385","Jul 25, 2023"
24-07-2023,11.30,11.60,11.20,11.20,11.20,"158,347","Jul 24, 2023"
21-07-2023,11.50,11.60,10.75,11.20,11.20,"228,639","Jul 21, 2023"
20-07-2023,11.50,11.60,11.25,11.30,11.30,"234,014","Jul 20, 2023"
19-07-2023,11.70,11.80,11.20,11.55,11.55,"193,872","Jul 19, 2023"
18-07-2023,11.15,11.70,11.10,11.60,11.60,"296,713","Jul 18, 2023"
17-07-2023,11.65,11.65,11.10,11.20,11.20,"298,880","Jul 17, 2023"
14-07-2023,12.20,12.20,11.50,11.60,11.60,"530,470","Jul 14, 2023"
13-07-2023,11.85,12.80,11.85,12.10,12.10,"498,336","Jul 13, 2023"
12-07-2023,12.15,12.65,11.95,12.45,12.45,"600,699","Jul 12, 2023"
11-07-2023,12.50,12.70,12.10,12.20,12.20,"434,173","Jul 11, 2023"
10-07-2023,12.75,13.15,12.10,12.45,12.45,"813,470","Jul 10, 2023"
07-07-2023,12.05,13.00,11.50,12.55,12.55,"1,966,989","Jul 07, 2023"
06-07-2023,13.30,13.75,11.35,12.05,12.05,"3,621,011","Jul 06, 2023"
05-07-2023,12.40,13.45,12.20,13.25,13.25,"6,289,785","Jul 05, 2023"
04-07-2023,9.95,11.30,9.90,11.30,11.30,"4,253,802","Jul 04, 2023"
03-07-2023,9.30,9.55,9.25,9.45,9.45,"142,086","Jul 03, 2023"
30-06-2023,9.40,9.40,9.25,9.30,9.30,"79,031","Jun 30, 2023"
28-06-2023,9.40,9.40,9.40,9.40,9.40,-,"Jun 28, 2023"
27-06-2023,9.50,9.55,9.35,9.40,9.40,"59,441","Jun 27, 2023"
26-06-2023,9.55,9.55,9.30,9.40,9.40,"64,786","Jun 26, 2023"
23-06-2023,9.60,9.60,9.45,9.45,9.45,"86,712","Jun 23, 2023"
22-06-2023,9.75,9.75,9.50,9.55,9.55,"155,336","Jun 22, 2023"
21-06-2023,9.80,9.80,9.65,9.70,9.70,"133,728","Jun 21, 2023"
20-06-2023,9.80,9.80,9.60,9.75,9.75,"222,952","Jun 20, 2023"
19-06-2023,9.85,9.85,9.65,9.70,9.70,"131,057","Jun 19, 2023"
16-06-2023,9.55,10.00,9.35,9.70,9.70,"289,676","Jun 16, 2023"
15-06-2023,9.60,9.75,9.45,9.45,9.45,"128,402","Jun 15, 2023"
14-06-2023,9.75,9.80,9.60,9.60,9.60,"173,183","Jun 14, 2023"
13-06-2023,9.90,9.90,9.65,9.70,9.70,"155,979","Jun 13, 2023"
12-06-2023,9.20,9.80,9.20,9.70,9.70,"690,239","Jun 12, 2023"
09-06-2023,9.15,9.25,9.05,9.15,9.15,"250,517","Jun 09, 2023"
08-06-2023,9.15,9.15,9.00,9.05,9.05,"117,371","Jun 08, 2023"
07-06-2023,8.95,9.15,8.95,9.05,9.05,"169,389","Jun 07, 2023"
06-06-2023,9.10,9.15,8.90,8.95,8.95,"133,846","Jun 06, 2023"
05-06-2023,9.00,9.15,8.90,8.95,8.95,"203,687","Jun 05, 2023"
02-06-2023,8.95,9.00,8.80,8.90,8.90,"147,543","Jun 02, 2023"
01-06-2023,9.00,9.05,8.75,8.80,8.80,"321,771","Jun 01, 2023"
31-05-2023,9.05,9.05,8.80,9.00,9.00,"234,015","May 31, 2023"
30-05-2023,9.10,9.10,8.95,9.05,9.05,"67,128","May 30, 2023"
29-05-2023,9.10,9.15,8.95,9.00,9.00,"82,114","May 29, 2023"
26-05-2023,9.15,9.25,8.95,9.00,9.00,"135,787","May 26, 2023"
25-05-2023,9.15,9.15,8.85,8.95,8.95,"128,610","May 25, 2023"
24-05-2023,9.10,9.20,8.95,9.05,9.05,"90,241","May 24, 2023"
23-05-2023,9.15,9.25,9.00,9.10,9.10,"100,742","May 23, 2023"
22-05-2023,9.05,9.20,8.70,9.05,9.05,"153,241","May 22, 2023"
19-05-2023,9.25,9.35,9.05,9.10,9.10,"156,714","May 19, 2023"
18-05-2023,9.55,9.55,9.10,9.20,9.20,"181,925","May 18, 2023"
17-05-2023,9.80,9.80,9.25,9.35,9.35,"162,456","May 17, 2023"
16-05-2023,9.65,9.85,9.10,9.60,9.60,"555,890","May 16, 2023"
15-05-2023,9.90,9.95,9.45,9.55,9.55,"159,461","May 15, 2023"
12-05-2023,10.05,10.05,9.55,9.80,9.80,"189,715","May 12, 2023"
11-05-2023,10.00,10.15,9.65,9.80,9.80,"288,440","May 11, 2023"
10-05-2023,10.25,10.55,9.90,9.95,9.95,"958,759","May 10, 2023"
09-05-2023,9.45,10.30,9.20,9.75,9.75,"2,088,483","May 09, 2023"
08-05-2023,8.65,8.80,8.60,8.70,8.70,"109,581","May 08, 2023"
05-05-2023,8.65,8.80,8.60,8.70,8.70,"63,698","May 05, 2023"
04-05-2023,8.45,8.75,8.35,8.55,8.55,"75,157","May 04, 2023"
03-05-2023,8.65,8.65,8.40,8.40,8.40,"54,772","May 03, 2023"
02-05-2023,8.35,8.70,8.20,8.55,8.55,"173,163","May 02, 2023"
28-04-2023,8.40,8.40,8.15,8.25,8.25,"119,460","Apr 28, 2023"
27-04-2023,8.30,8.35,8.20,8.30,8.30,"104,189","Apr 27, 2023"
26-04-2023,8.55,8.55,8.20,8.30,8.30,"165,254","Apr 26, 2023"
25-04-2023,8.55,8.65,8.45,8.45,8.45,"57,978","Apr 25, 2023"
24-04-2023,8.50,8.65,8.45,8.55,8.55,"53,821","Apr 24, 2023"
21-04-2023,8.75,8.80,8.55,8.55,8.55,"46,048","Apr 21, 2023"
20-04-2023,8.80,8.90,8.60,8.70,8.70,"78,051","Apr 20, 2023"
19-04-2023,8.40,9.05,8.40,8.70,8.70,"186,940","Apr 19, 2023"
18-04-2023,8.55,8.55,8.35,8.50,8.50,"32,512","Apr 18, 2023"
17-04-2023,8.70,8.70,8.30,8.35,8.35,"91,588","Apr 17, 2023"
13-04-2023,8.70,8.70,8.45,8.55,8.55,"53,648","Apr 13, 2023"
12-04-2023,8.70,8.75,8.50,8.55,8.55,"108,088","Apr 12, 2023"
11-04-2023,8.60,8.80,8.35,8.65,8.65,"170,243","Apr 11, 2023"
10-04-2023,8.75,8.85,8.55,8.70,8.70,"98,543","Apr 10, 2023"
06-04-2023,9.35,9.60,7.75,8.85,8.85,"544,539","Apr 06, 2023"
05-04-2023,8.10,9.45,8.00,9.30,9.30,"795,530","Apr 05, 2023"
03-04-2023,7.50,8.00,7.35,7.90,7.90,"160,493","Apr 03, 2023"
31-03-2023,7.35,7.40,7.20,7.30,7.30,"244,273","Mar 31, 2023"
29-03-2023,7.10,7.40,7.00,7.10,7.10,"903,132","Mar 29, 2023"
28-03-2023,7.55,7.65,7.25,7.30,7.30,"324,708","Mar 28, 2023"
27-03-2023,7.45,7.75,7.40,7.55,7.55,"583,965","Mar 27, 2023"
24-03-2023,7.90,7.90,7.50,7.75,7.75,"426,589","Mar 24, 2023"
23-03-2023,7.95,7.95,7.40,7.65,7.65,"632,567","Mar 23, 2023"
22-03-2023,8.15,8.15,7.65,7.80,7.80,"167,282","Mar 22, 2023"
21-03-2023,8.20,8.20,7.55,7.85,7.85,"448,480","Mar 21, 2023"
20-03-2023,8.45,8.65,7.45,7.85,7.85,"491,729","Mar 20, 2023"
17-03-2023,8.35,8.45,8.30,8.30,8.30,"127,309","Mar 17, 2023"
16-03-2023,8.35,8.60,8.20,8.35,8.35,"192,217","Mar 16, 2023"
15-03-2023,8.35,8.70,8.35,8.45,8.45,"85,260","Mar 15, 2023"
14-03-2023,8.85,8.85,8.30,8.45,8.45,"157,621","Mar 14, 2023"
13-03-2023,8.85,8.90,8.60,8.70,8.70,"194,473","Mar 13, 2023"
10-03-2023,8.85,8.95,8.80,8.80,8.80,"96,017","Mar 10, 2023"
09-03-2023,9.00,9.00,8.80,8.95,8.95,"119,332","Mar 09, 2023"
08-03-2023,9.05,9.05,8.85,8.95,8.95,"64,385","Mar 08, 2023"
06-03-2023,9.05,9.20,8.85,9.00,9.00,"260,353","Mar 06, 2023"
03-03-2023,8.90,9.35,8.70,9.05,9.05,"136,416","Mar 03, 2023"
02-03-2023,8.90,9.00,8.65,8.90,8.90,"79,674","Mar 02, 2023"
01-03-2023,8.75,9.00,8.65,8.80,8.80,"113,517","Mar 01, 2023"
28-02-2023,8.80,8.80,8.50,8.75,8.75,"83,955","Feb 28, 2023"
27-02-2023,8.95,8.95,8.30,8.65,8.65,"137,950","Feb 27, 2023"
24-02-2023,8.80,8.95,8.75,8.85,8.85,"35,100","Feb 24, 2023"
23-02-2023,9.00,9.05,8.30,8.65,8.65,"207,418","Feb 23, 2023"
22-02-2023,9.10,9.15,8.75,9.00,9.00,"88,416","Feb 22, 2023"
21-02-2023,9.15,9.15,8.90,9.00,9.00,"78,707","Feb 21, 2023"
20-02-2023,9.15,9.20,8.90,9.05,9.05,"74,219","Feb 20, 2023"
17-02-2023,9.45,9.45,9.00,9.05,9.05,"116,471","Feb 17, 2023"
