date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,771.00,778.90,752.15,753.25,753.25,"7,882","Aug 25, 2023"
24-08-2023,777.15,781.70,765.15,771.30,771.30,"8,392","Aug 24, 2023"
23-08-2023,771.60,789.90,767.00,772.35,772.35,"11,044","Aug 23, 2023"
22-08-2023,777.65,791.95,765.50,770.70,770.70,"10,404","Aug 22, 2023"
21-08-2023,770.00,793.85,762.55,773.55,773.55,"19,853","Aug 21, 2023"
18-08-2023,790.90,800.00,771.05,775.05,775.05,"11,433","Aug 18, 2023"
17-08-2023,800.30,812.50,785.20,796.60,796.60,"15,515","Aug 17, 2023"
16-08-2023,784.85,804.90,770.00,800.30,800.30,"29,222","Aug 16, 2023"
14-08-2023,805.60,810.00,764.60,778.65,778.65,"39,521","Aug 14, 2023"
11-08-2023,879.95,880.00,795.65,803.55,803.55,"91,143","Aug 11, 2023"
10-08-2023,829.00,837.95,802.00,806.15,806.15,"20,542","Aug 10, 2023"
09-08-2023,801.25,832.75,801.25,826.10,826.10,"36,844","Aug 09, 2023"
08-08-2023,818.00,849.00,795.15,802.70,802.70,"45,336","Aug 08, 2023"
07-08-2023,790.05,845.25,785.30,816.75,816.75,"68,189","Aug 07, 2023"
04-08-2023,788.00,809.70,771.60,796.30,796.30,"22,668","Aug 04, 2023"
03-08-2023,768.40,804.20,762.15,787.60,787.60,"35,164","Aug 03, 2023"
03-08-2023,9 Dividend,,,,,,"Aug 03, 2023"
02-08-2023,785.75,785.75,753.05,771.65,762.65,"38,987","Aug 02, 2023"
02-08-2023,9 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,747.50,804.00,746.95,779.05,761.07,"139,412","Aug 01, 2023"
31-07-2023,734.00,745.55,727.05,741.20,724.09,"32,599","Jul 31, 2023"
28-07-2023,718.60,733.90,714.20,728.80,711.98,"16,003","Jul 28, 2023"
27-07-2023,710.00,734.40,700.95,718.60,702.01,"20,749","Jul 27, 2023"
26-07-2023,711.85,723.45,707.00,711.85,695.42,"14,701","Jul 26, 2023"
25-07-2023,722.40,725.90,715.00,718.15,701.57,"10,606","Jul 25, 2023"
24-07-2023,728.00,728.00,710.00,715.85,699.33,"22,377","Jul 24, 2023"
21-07-2023,699.00,729.00,698.10,715.15,698.64,"91,032","Jul 21, 2023"
20-07-2023,660.25,701.00,660.25,697.60,681.50,"47,244","Jul 20, 2023"
19-07-2023,672.00,681.95,662.20,666.65,651.26,"10,092","Jul 19, 2023"
18-07-2023,670.85,677.95,667.60,671.05,655.56,"15,856","Jul 18, 2023"
17-07-2023,671.20,678.00,665.00,668.20,652.78,"18,361","Jul 17, 2023"
14-07-2023,663.15,675.00,655.10,671.20,655.71,"33,017","Jul 14, 2023"
13-07-2023,670.00,675.00,650.50,653.35,638.27,"46,960","Jul 13, 2023"
12-07-2023,668.90,685.00,662.05,665.10,649.75,"38,250","Jul 12, 2023"
11-07-2023,643.00,689.90,638.00,662.40,647.11,"152,149","Jul 11, 2023"
10-07-2023,629.00,639.00,627.50,636.80,622.10,"14,853","Jul 10, 2023"
07-07-2023,630.00,637.45,612.25,628.10,613.60,"17,777","Jul 07, 2023"
06-07-2023,638.00,640.50,623.55,625.90,611.45,"20,629","Jul 06, 2023"
05-07-2023,618.00,642.85,618.00,635.55,620.88,"53,548","Jul 05, 2023"
04-07-2023,607.60,648.70,597.05,618.10,603.83,"102,992","Jul 04, 2023"
03-07-2023,606.00,607.95,595.55,597.85,584.05,"6,807","Jul 03, 2023"
30-06-2023,588.50,597.45,588.50,595.45,581.71,"6,381","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,594.00,604.40,590.10,592.15,578.48,"8,380","Jun 27, 2023"
26-06-2023,589.05,594.85,588.00,591.10,577.46,"6,424","Jun 26, 2023"
23-06-2023,599.00,610.00,588.20,589.20,575.60,"10,175","Jun 23, 2023"
22-06-2023,613.10,617.00,594.00,596.50,582.73,"7,806","Jun 22, 2023"
21-06-2023,606.65,620.85,602.60,608.10,594.06,"9,979","Jun 21, 2023"
20-06-2023,601.90,616.45,601.90,610.45,596.36,"5,306","Jun 20, 2023"
19-06-2023,620.20,622.30,601.05,608.00,593.97,"21,912","Jun 19, 2023"
16-06-2023,623.65,635.00,616.00,617.35,603.10,"31,886","Jun 16, 2023"
15-06-2023,609.00,632.90,608.75,617.80,603.54,"39,172","Jun 15, 2023"
14-06-2023,614.45,617.50,605.35,609.45,595.38,"6,554","Jun 14, 2023"
13-06-2023,619.45,622.00,607.95,610.90,596.80,"10,994","Jun 13, 2023"
12-06-2023,576.35,619.00,576.35,613.30,599.14,"31,766","Jun 12, 2023"
09-06-2023,592.30,595.05,573.10,576.35,563.05,"10,621","Jun 09, 2023"
08-06-2023,610.90,612.00,587.10,590.75,577.11,"11,210","Jun 08, 2023"
07-06-2023,606.00,616.60,600.15,607.90,593.87,"28,389","Jun 07, 2023"
06-06-2023,565.00,609.00,558.20,600.15,586.30,"21,123","Jun 06, 2023"
05-06-2023,570.00,570.35,561.00,563.60,550.59,"3,642","Jun 05, 2023"
02-06-2023,568.75,572.90,562.50,563.35,550.35,"2,153","Jun 02, 2023"
01-06-2023,576.10,579.10,560.00,563.15,550.15,"4,700","Jun 01, 2023"
31-05-2023,586.00,586.00,571.00,572.90,559.68,"1,933","May 31, 2023"
30-05-2023,584.80,584.80,575.00,582.30,568.86,"1,755","May 30, 2023"
29-05-2023,588.00,588.00,566.45,568.85,555.72,"1,956","May 29, 2023"
26-05-2023,565.00,573.85,563.15,566.10,553.03,"2,086","May 26, 2023"
25-05-2023,570.85,573.55,563.05,563.65,550.64,"1,516","May 25, 2023"
24-05-2023,576.50,577.10,567.00,567.50,554.40,"2,107","May 24, 2023"
23-05-2023,574.95,584.95,574.10,577.30,563.98,"2,784","May 23, 2023"
22-05-2023,574.30,580.00,561.00,573.95,560.70,"12,188","May 22, 2023"
19-05-2023,600.25,607.05,595.05,596.40,582.63,"8,651","May 19, 2023"
18-05-2023,609.90,609.90,598.45,603.85,589.91,"2,760","May 18, 2023"
17-05-2023,602.05,611.05,593.05,597.30,583.51,"7,881","May 17, 2023"
16-05-2023,598.25,614.00,596.00,599.55,585.71,"6,360","May 16, 2023"
15-05-2023,601.30,601.80,590.00,599.10,585.27,"3,116","May 15, 2023"
12-05-2023,592.80,602.95,590.05,596.10,582.34,"4,327","May 12, 2023"
11-05-2023,574.45,592.00,573.05,590.40,576.77,"5,535","May 11, 2023"
10-05-2023,568.00,579.95,568.00,571.10,557.92,"1,078","May 10, 2023"
09-05-2023,578.35,587.85,575.60,578.25,564.90,"1,980","May 09, 2023"
08-05-2023,564.25,585.00,561.60,578.15,564.81,"6,648","May 08, 2023"
05-05-2023,592.60,596.10,554.50,564.25,551.23,"13,366","May 05, 2023"
04-05-2023,609.80,609.80,586.80,588.75,575.16,"4,929","May 04, 2023"
03-05-2023,607.45,611.30,600.10,601.50,587.62,"2,832","May 03, 2023"
02-05-2023,624.00,624.00,605.65,607.15,593.14,"5,067","May 02, 2023"
28-04-2023,606.90,610.00,599.30,608.30,594.26,"2,699","Apr 28, 2023"
27-04-2023,599.45,610.00,599.20,604.20,590.25,"3,783","Apr 27, 2023"
26-04-2023,605.00,605.00,593.00,594.80,581.07,"1,873","Apr 26, 2023"
25-04-2023,596.15,608.50,591.30,602.20,588.30,"3,127","Apr 25, 2023"
24-04-2023,596.90,606.00,593.00,602.70,588.79,"3,707","Apr 24, 2023"
21-04-2023,610.90,610.90,585.95,592.75,579.07,"3,492","Apr 21, 2023"
20-04-2023,591.25,605.95,591.25,600.10,586.25,"2,391","Apr 20, 2023"
19-04-2023,594.00,612.05,585.15,601.90,588.01,"15,307","Apr 19, 2023"
18-04-2023,587.05,598.95,586.05,596.00,582.24,"6,299","Apr 18, 2023"
17-04-2023,575.00,587.05,567.25,583.00,569.54,"5,552","Apr 17, 2023"
13-04-2023,539.30,593.85,538.00,572.60,559.38,"32,407","Apr 13, 2023"
12-04-2023,542.30,547.90,535.10,539.30,526.85,"6,625","Apr 12, 2023"
11-04-2023,534.25,549.35,534.25,540.60,528.12,"4,517","Apr 11, 2023"
10-04-2023,539.30,546.50,535.00,538.65,526.22,"4,654","Apr 10, 2023"
06-04-2023,528.70,536.65,527.15,535.75,523.38,"3,215","Apr 06, 2023"
05-04-2023,521.70,529.85,517.00,528.45,516.25,"5,850","Apr 05, 2023"
