date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,842.40,843.85,827.10,843.20,843.20,"9,457","Aug 25, 2023"
24-08-2023,849.10,849.90,832.00,836.95,836.95,"13,989","Aug 24, 2023"
23-08-2023,840.00,855.00,827.45,842.95,842.95,"10,987","Aug 23, 2023"
22-08-2023,830.20,850.75,827.00,844.05,844.05,"16,382","Aug 22, 2023"
21-08-2023,837.00,844.95,825.00,835.70,835.70,"8,647","Aug 21, 2023"
18-08-2023,819.60,854.50,816.50,837.00,837.00,"18,715","Aug 18, 2023"
17-08-2023,826.45,826.95,816.00,818.80,818.80,"8,402","Aug 17, 2023"
16-08-2023,823.55,828.95,817.00,822.40,822.40,"8,949","Aug 16, 2023"
14-08-2023,836.90,836.90,802.35,819.45,819.45,"23,663","Aug 14, 2023"
11-08-2023,840.00,840.00,825.00,829.60,829.60,"11,285","Aug 11, 2023"
10-08-2023,846.00,854.95,833.50,836.85,836.85,"13,779","Aug 10, 2023"
09-08-2023,861.10,866.00,841.90,846.20,846.20,"14,121","Aug 09, 2023"
08-08-2023,860.00,878.00,850.00,855.10,855.10,"26,155","Aug 08, 2023"
07-08-2023,866.90,879.80,853.00,856.10,856.10,"17,849","Aug 07, 2023"
04-08-2023,863.00,871.80,857.65,861.30,861.30,"15,613","Aug 04, 2023"
03-08-2023,874.95,885.00,850.05,865.90,865.90,"28,132","Aug 03, 2023"
02-08-2023,849.00,895.00,848.10,874.85,874.85,"138,215","Aug 02, 2023"
01-08-2023,840.80,852.00,818.85,844.95,844.95,"73,342","Aug 01, 2023"
31-07-2023,833.75,855.00,821.05,840.80,840.80,"46,788","Jul 31, 2023"
28-07-2023,825.00,828.80,815.05,822.95,822.95,"43,625","Jul 28, 2023"
27-07-2023,835.00,845.00,800.35,819.05,819.05,"54,604","Jul 27, 2023"
26-07-2023,880.00,880.00,831.30,835.20,835.20,"85,779","Jul 26, 2023"
25-07-2023,847.90,899.80,847.00,888.85,888.85,"167,060","Jul 25, 2023"
24-07-2023,838.50,847.95,831.30,841.20,841.20,"10,449","Jul 24, 2023"
21-07-2023,850.05,856.35,836.00,839.65,839.65,"7,757","Jul 21, 2023"
20-07-2023,857.95,872.55,840.50,851.00,851.00,"17,354","Jul 20, 2023"
19-07-2023,864.00,866.00,840.00,852.50,852.50,"12,160","Jul 19, 2023"
18-07-2023,840.05,865.00,832.50,860.50,860.50,"16,031","Jul 18, 2023"
17-07-2023,849.85,856.95,840.10,845.15,845.15,"13,413","Jul 17, 2023"
14-07-2023,828.00,854.90,828.00,849.85,849.85,"10,385","Jul 14, 2023"
13-07-2023,853.95,867.90,816.00,831.25,831.25,"19,582","Jul 13, 2023"
12-07-2023,850.00,858.15,835.20,844.15,844.15,"22,086","Jul 12, 2023"
11-07-2023,828.00,860.25,825.55,841.90,841.90,"23,761","Jul 11, 2023"
10-07-2023,862.95,878.35,825.50,831.30,831.30,"22,298","Jul 10, 2023"
07-07-2023,877.30,884.00,856.85,864.45,864.45,"20,120","Jul 07, 2023"
06-07-2023,873.75,886.90,873.75,877.30,877.30,"17,455","Jul 06, 2023"
05-07-2023,868.80,889.00,864.00,873.75,873.75,"39,580","Jul 05, 2023"
04-07-2023,877.00,919.65,852.20,860.20,860.20,"98,100","Jul 04, 2023"
03-07-2023,822.00,891.00,816.70,876.05,876.05,"146,591","Jul 03, 2023"
30-06-2023,801.00,827.85,792.80,814.90,814.90,"90,049","Jun 30, 2023"
28-06-2023,752.65,752.65,752.65,752.65,752.65,-,"Jun 28, 2023"
27-06-2023,751.40,755.05,742.00,752.65,752.65,"7,786","Jun 27, 2023"
26-06-2023,755.35,755.35,742.20,743.95,743.95,"6,511","Jun 26, 2023"
23-06-2023,760.35,760.35,745.15,747.95,747.95,"12,434","Jun 23, 2023"
22-06-2023,764.05,775.25,748.00,752.80,752.80,"26,100","Jun 22, 2023"
21-06-2023,785.00,785.00,757.00,767.00,767.00,"34,138","Jun 21, 2023"
20-06-2023,776.35,790.00,769.10,782.85,782.85,"28,570","Jun 20, 2023"
19-06-2023,780.45,783.85,765.50,771.90,771.90,"10,717","Jun 19, 2023"
16-06-2023,780.00,794.00,772.00,774.65,774.65,"18,529","Jun 16, 2023"
15-06-2023,740.00,792.00,740.00,777.60,777.60,"43,565","Jun 15, 2023"
14-06-2023,744.05,749.85,734.75,736.95,736.95,"10,959","Jun 14, 2023"
13-06-2023,751.10,757.55,741.75,744.00,744.00,"11,505","Jun 13, 2023"
12-06-2023,750.00,755.65,744.15,746.40,746.40,"11,538","Jun 12, 2023"
09-06-2023,775.00,776.25,743.50,747.40,747.40,"30,904","Jun 09, 2023"
08-06-2023,777.60,801.95,764.00,770.40,770.40,"34,918","Jun 08, 2023"
07-06-2023,758.60,793.00,758.60,777.60,777.60,"26,338","Jun 07, 2023"
06-06-2023,771.95,771.95,749.00,757.75,757.75,"13,331","Jun 06, 2023"
05-06-2023,765.30,774.90,747.15,760.55,760.55,"17,911","Jun 05, 2023"
02-06-2023,755.00,760.40,744.05,751.95,751.95,"18,776","Jun 02, 2023"
01-06-2023,746.15,759.70,745.00,748.25,748.25,"7,910","Jun 01, 2023"
31-05-2023,766.90,766.90,744.80,746.15,746.15,"12,982","May 31, 2023"
30-05-2023,776.70,782.15,751.15,756.35,756.35,"13,788","May 30, 2023"
29-05-2023,763.00,777.85,749.10,765.30,765.30,"23,555","May 29, 2023"
26-05-2023,737.75,765.00,737.75,758.80,758.80,"8,283","May 26, 2023"
25-05-2023,737.90,750.00,728.95,736.65,736.65,"9,777","May 25, 2023"
24-05-2023,746.55,760.95,723.10,736.55,736.55,"18,557","May 24, 2023"
23-05-2023,765.00,775.20,745.00,749.55,749.55,"13,743","May 23, 2023"
