date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,297.00,297.00,291.05,291.80,291.80,"4,253","Aug 25, 2023"
24-08-2023,294.00,298.80,292.00,294.15,294.15,"32,797","Aug 24, 2023"
23-08-2023,293.00,296.95,289.05,290.05,290.05,"16,887","Aug 23, 2023"
22-08-2023,289.80,295.00,289.30,293.20,293.20,"22,314","Aug 22, 2023"
21-08-2023,291.05,295.35,288.90,289.50,289.50,"8,591","Aug 21, 2023"
18-08-2023,294.40,297.95,289.15,291.05,291.05,"16,739","Aug 18, 2023"
17-08-2023,288.00,298.95,288.00,294.40,294.40,"40,341","Aug 17, 2023"
16-08-2023,292.80,298.60,285.60,287.20,287.20,"43,022","Aug 16, 2023"
14-08-2023,285.10,297.50,285.10,292.80,292.80,"42,260","Aug 14, 2023"
11-08-2023,302.50,303.90,271.70,298.50,298.50,"51,122","Aug 11, 2023"
10-08-2023,305.00,305.00,297.70,298.95,298.95,"29,089","Aug 10, 2023"
09-08-2023,295.00,308.00,293.70,304.65,304.65,"53,295","Aug 09, 2023"
08-08-2023,300.95,308.00,292.80,295.50,295.50,"22,950","Aug 08, 2023"
07-08-2023,292.40,303.00,291.80,300.85,300.85,"30,272","Aug 07, 2023"
04-08-2023,298.35,298.95,292.00,293.60,293.60,"7,467","Aug 04, 2023"
03-08-2023,290.40,297.20,288.10,295.00,295.00,"16,069","Aug 03, 2023"
02-08-2023,298.95,300.00,285.35,290.20,290.20,"20,660","Aug 02, 2023"
01-08-2023,293.95,305.95,292.30,298.45,298.45,"70,764","Aug 01, 2023"
31-07-2023,291.25,299.95,286.95,294.75,294.75,"41,304","Jul 31, 2023"
28-07-2023,282.25,298.35,279.30,286.95,286.95,"52,834","Jul 28, 2023"
27-07-2023,287.20,287.20,280.50,282.00,282.00,"11,367","Jul 27, 2023"
26-07-2023,285.05,286.80,281.00,281.65,281.65,"8,112","Jul 26, 2023"
25-07-2023,281.15,287.15,279.30,284.00,284.00,"22,544","Jul 25, 2023"
24-07-2023,277.95,280.00,273.35,279.00,279.00,"13,384","Jul 24, 2023"
21-07-2023,278.60,281.45,275.15,276.50,276.50,"33,729","Jul 21, 2023"
20-07-2023,281.90,284.70,275.00,276.85,276.85,"40,725","Jul 20, 2023"
19-07-2023,287.90,287.90,278.35,279.70,279.70,"15,527","Jul 19, 2023"
18-07-2023,293.00,293.00,282.25,286.00,286.00,"17,565","Jul 18, 2023"
17-07-2023,284.00,294.00,282.45,286.55,286.55,"71,181","Jul 17, 2023"
14-07-2023,283.20,283.20,276.05,276.90,276.90,"10,291","Jul 14, 2023"
13-07-2023,275.95,278.40,272.85,275.85,275.85,"10,842","Jul 13, 2023"
12-07-2023,279.20,280.90,270.90,273.65,273.65,"14,330","Jul 12, 2023"
11-07-2023,278.30,281.90,274.85,279.15,279.15,"12,206","Jul 11, 2023"
10-07-2023,282.55,283.20,274.00,276.30,276.30,"10,824","Jul 10, 2023"
07-07-2023,271.00,282.50,271.00,279.70,279.70,"20,208","Jul 07, 2023"
06-07-2023,276.10,283.05,268.40,272.30,272.30,"27,277","Jul 06, 2023"
05-07-2023,279.70,287.00,276.60,277.80,277.80,"24,597","Jul 05, 2023"
04-07-2023,274.85,283.05,268.55,278.35,278.35,"36,331","Jul 04, 2023"
03-07-2023,281.10,284.00,271.95,272.95,272.95,"21,763","Jul 03, 2023"
30-06-2023,291.00,292.75,281.10,282.35,282.35,"28,433","Jun 30, 2023"
28-06-2023,281.90,281.90,281.90,281.90,281.90,-,"Jun 28, 2023"
27-06-2023,272.85,287.00,265.15,281.90,281.90,"63,394","Jun 27, 2023"
26-06-2023,271.50,273.50,268.30,270.15,270.15,"10,066","Jun 26, 2023"
23-06-2023,267.00,274.40,266.00,268.85,268.85,"28,789","Jun 23, 2023"
22-06-2023,265.80,270.00,263.10,268.30,268.30,"15,346","Jun 22, 2023"
21-06-2023,267.85,270.00,260.80,264.80,264.80,"17,992","Jun 21, 2023"
20-06-2023,263.95,273.90,263.00,267.45,267.45,"50,714","Jun 20, 2023"
19-06-2023,246.80,280.00,244.00,263.70,263.70,"163,808","Jun 19, 2023"
16-06-2023,245.15,247.85,244.00,244.75,244.75,"4,825","Jun 16, 2023"
15-06-2023,243.75,248.95,243.05,244.00,244.00,"6,997","Jun 15, 2023"
14-06-2023,244.10,246.15,240.05,242.50,242.50,"3,449","Jun 14, 2023"
13-06-2023,248.60,248.60,240.40,241.85,241.85,"7,484","Jun 13, 2023"
12-06-2023,248.00,251.05,243.05,246.95,246.95,"10,162","Jun 12, 2023"
09-06-2023,249.75,259.00,243.95,249.35,249.35,"22,271","Jun 09, 2023"
08-06-2023,245.25,250.90,244.85,247.55,247.55,"8,130","Jun 08, 2023"
07-06-2023,244.15,247.00,241.15,243.80,243.80,"3,720","Jun 07, 2023"
06-06-2023,243.55,243.90,240.00,241.05,241.05,"2,799","Jun 06, 2023"
05-06-2023,244.95,246.95,241.65,242.45,242.45,"4,654","Jun 05, 2023"
02-06-2023,246.90,247.70,239.00,243.05,243.05,"5,601","Jun 02, 2023"
01-06-2023,250.90,250.90,243.00,243.50,243.50,"9,173","Jun 01, 2023"
31-05-2023,230.00,247.45,230.00,242.25,242.25,"22,835","May 31, 2023"
30-05-2023,231.00,237.90,229.00,231.00,231.00,"14,130","May 30, 2023"
29-05-2023,239.90,241.40,233.05,234.50,234.50,"20,333","May 29, 2023"
26-05-2023,254.95,256.00,238.00,245.60,245.60,"13,088","May 26, 2023"
25-05-2023,250.45,256.25,250.45,253.70,253.70,"4,792","May 25, 2023"
24-05-2023,254.40,255.00,250.30,251.20,251.20,"3,802","May 24, 2023"
23-05-2023,253.05,255.90,252.20,254.40,254.40,"3,671","May 23, 2023"
22-05-2023,259.00,259.00,250.45,251.55,251.55,"7,347","May 22, 2023"
19-05-2023,254.15,264.85,251.75,259.40,259.40,"19,998","May 19, 2023"
18-05-2023,259.00,259.00,249.05,252.90,252.90,"5,463","May 18, 2023"
17-05-2023,249.75,256.95,249.75,255.30,255.30,"5,722","May 17, 2023"
16-05-2023,252.35,254.65,248.00,250.15,250.15,"6,186","May 16, 2023"
15-05-2023,256.00,259.90,250.25,252.35,252.35,"5,545","May 15, 2023"
12-05-2023,255.25,257.95,253.15,256.05,256.05,"3,716","May 12, 2023"
11-05-2023,255.35,259.35,248.50,255.50,255.50,"9,952","May 11, 2023"
10-05-2023,258.00,258.20,244.95,253.75,253.75,"9,913","May 10, 2023"
09-05-2023,248.00,261.00,248.00,255.55,255.55,"8,825","May 09, 2023"
08-05-2023,249.85,261.30,248.00,250.30,250.30,"14,445","May 08, 2023"
05-05-2023,253.10,253.10,248.05,248.95,248.95,"3,834","May 05, 2023"
04-05-2023,245.70,257.75,242.05,253.05,253.05,"14,747","May 04, 2023"
03-05-2023,239.65,250.50,239.65,245.70,245.70,"12,542","May 03, 2023"
02-05-2023,245.00,251.40,238.00,239.00,239.00,"7,759","May 02, 2023"
28-04-2023,244.90,253.95,239.05,245.00,245.00,"16,845","Apr 28, 2023"
27-04-2023,246.90,246.90,237.40,238.75,238.75,"5,097","Apr 27, 2023"
26-04-2023,228.20,248.50,227.85,241.40,241.40,"43,178","Apr 26, 2023"
25-04-2023,234.70,234.70,227.30,228.30,228.30,"7,261","Apr 25, 2023"
24-04-2023,220.95,233.00,217.10,229.50,229.50,"15,686","Apr 24, 2023"
21-04-2023,216.05,220.45,216.05,218.70,218.70,"3,201","Apr 21, 2023"
20-04-2023,218.85,220.90,212.60,215.60,215.60,"7,005","Apr 20, 2023"
19-04-2023,215.80,222.40,215.05,217.90,217.90,"5,696","Apr 19, 2023"
18-04-2023,220.00,223.00,211.20,215.65,215.65,"13,479","Apr 18, 2023"
17-04-2023,225.90,228.90,215.55,219.70,219.70,"9,500","Apr 17, 2023"
13-04-2023,226.75,227.90,222.60,224.50,224.50,"1,898","Apr 13, 2023"
12-04-2023,223.85,228.00,221.70,225.85,225.85,"4,275","Apr 12, 2023"
11-04-2023,221.55,226.00,220.05,223.10,223.10,"6,472","Apr 11, 2023"
10-04-2023,224.00,224.00,216.25,219.95,219.95,"5,826","Apr 10, 2023"
06-04-2023,217.95,224.10,216.35,218.35,218.35,"12,450","Apr 06, 2023"
05-04-2023,212.60,222.00,210.30,216.25,216.25,"20,776","Apr 05, 2023"
03-04-2023,203.55,214.15,203.55,209.85,209.85,"14,647","Apr 03, 2023"
31-03-2023,206.10,211.75,198.25,200.25,200.25,"26,548","Mar 31, 2023"
29-03-2023,207.00,210.70,203.45,206.00,206.00,"12,629","Mar 29, 2023"
28-03-2023,205.95,207.70,202.30,206.00,206.00,"17,129","Mar 28, 2023"
27-03-2023,212.70,214.40,206.00,206.35,206.35,"16,887","Mar 27, 2023"
24-03-2023,219.95,222.60,212.00,212.90,212.90,"8,889","Mar 24, 2023"
23-03-2023,222.05,224.00,218.25,219.15,219.15,"8,348","Mar 23, 2023"
22-03-2023,220.50,226.00,217.90,222.35,222.35,"10,729","Mar 22, 2023"
21-03-2023,220.25,221.65,216.50,220.65,220.65,"6,028","Mar 21, 2023"
20-03-2023,222.30,225.95,218.05,220.45,220.45,"5,707","Mar 20, 2023"
17-03-2023,217.95,229.00,217.95,223.20,223.20,"6,375","Mar 17, 2023"
16-03-2023,219.00,219.00,209.05,216.45,216.45,"14,467","Mar 16, 2023"
15-03-2023,220.55,224.95,215.30,218.20,218.20,"8,547","Mar 15, 2023"
14-03-2023,228.00,231.30,215.95,220.30,220.30,"15,605","Mar 14, 2023"
13-03-2023,237.85,238.75,225.00,226.65,226.65,"5,160","Mar 13, 2023"
10-03-2023,238.00,240.80,235.00,236.50,236.50,"6,005","Mar 10, 2023"
09-03-2023,239.50,239.85,237.00,237.70,237.70,"2,815","Mar 09, 2023"
08-03-2023,240.95,240.95,235.05,237.65,237.65,"10,037","Mar 08, 2023"
06-03-2023,243.00,245.25,235.00,236.20,236.20,"7,941","Mar 06, 2023"
03-03-2023,235.00,243.40,234.55,239.35,239.35,"5,543","Mar 03, 2023"
02-03-2023,241.30,243.50,234.50,235.25,235.25,"3,672","Mar 02, 2023"
01-03-2023,221.30,240.00,220.50,238.55,238.55,"17,217","Mar 01, 2023"
28-02-2023,223.35,224.85,217.30,220.10,220.10,"7,235","Feb 28, 2023"
27-02-2023,225.90,227.95,220.00,220.50,220.50,"3,629","Feb 27, 2023"
24-02-2023,230.00,235.00,214.45,225.75,225.75,"34,337","Feb 24, 2023"
23-02-2023,248.70,251.95,229.35,231.80,231.80,"39,969","Feb 23, 2023"
22-02-2023,250.10,250.80,245.00,248.30,248.30,"4,105","Feb 22, 2023"
21-02-2023,257.00,257.00,246.55,248.65,248.65,"5,990","Feb 21, 2023"
20-02-2023,251.00,256.00,250.85,252.10,252.10,"3,955","Feb 20, 2023"
17-02-2023,250.60,253.05,249.00,251.20,251.20,"5,644","Feb 17, 2023"
16-02-2023,250.00,257.85,249.00,250.25,250.25,"4,044","Feb 16, 2023"
15-02-2023,250.10,253.90,248.75,249.75,249.75,"5,568","Feb 15, 2023"
14-02-2023,263.05,265.45,246.25,250.10,250.10,"17,643","Feb 14, 2023"
13-02-2023,269.00,273.40,260.25,262.40,262.40,"10,043","Feb 13, 2023"
10-02-2023,265.80,268.45,263.50,264.20,264.20,"6,704","Feb 10, 2023"
09-02-2023,269.35,272.25,266.50,267.90,267.90,"3,889","Feb 09, 2023"
08-02-2023,280.00,286.00,262.15,269.35,269.35,"27,226","Feb 08, 2023"
07-02-2023,264.80,304.00,263.15,281.25,281.25,"80,237","Feb 07, 2023"
06-02-2023,264.55,270.00,261.10,264.80,264.80,"8,918","Feb 06, 2023"
03-02-2023,257.10,263.00,255.00,259.40,259.40,"3,626","Feb 03, 2023"
02-02-2023,261.00,261.00,255.00,258.65,258.65,"4,512","Feb 02, 2023"
01-02-2023,259.95,261.70,252.85,257.00,257.00,"5,249","Feb 01, 2023"
31-01-2023,262.10,263.45,243.85,256.75,256.75,"22,869","Jan 31, 2023"
30-01-2023,265.35,265.65,259.05,261.05,261.05,"5,554","Jan 30, 2023"
27-01-2023,267.15,267.70,258.60,260.15,260.15,"8,153","Jan 27, 2023"
25-01-2023,271.90,274.40,266.50,268.70,268.70,"4,521","Jan 25, 2023"
24-01-2023,269.85,277.00,265.55,271.65,271.65,"6,235","Jan 24, 2023"
23-01-2023,271.90,272.00,266.00,268.35,268.35,"5,586","Jan 23, 2023"
20-01-2023,271.30,272.10,263.05,266.25,266.25,"2,738","Jan 20, 2023"
19-01-2023,272.10,272.55,270.05,271.70,271.70,"1,251","Jan 19, 2023"
18-01-2023,265.90,273.45,263.80,271.45,271.45,"8,349","Jan 18, 2023"
17-01-2023,267.40,269.80,261.00,263.60,263.60,"7,986","Jan 17, 2023"
16-01-2023,270.00,275.00,266.00,266.65,266.65,"5,188","Jan 16, 2023"
13-01-2023,274.95,274.95,270.10,270.55,270.55,"3,777","Jan 13, 2023"
12-01-2023,274.15,276.55,269.05,270.90,270.90,"4,407","Jan 12, 2023"
11-01-2023,270.00,278.95,269.30,272.25,272.25,"8,794","Jan 11, 2023"
10-01-2023,274.40,275.95,265.05,267.80,267.80,"8,940","Jan 10, 2023"
09-01-2023,278.00,279.80,270.00,272.10,272.10,"5,166","Jan 09, 2023"
06-01-2023,281.40,281.60,272.85,275.40,275.40,"6,775","Jan 06, 2023"
05-01-2023,279.90,282.75,277.65,279.20,279.20,"6,422","Jan 05, 2023"
04-01-2023,288.05,288.05,278.05,278.90,278.90,"12,515","Jan 04, 2023"
03-01-2023,284.90,308.00,282.30,289.70,289.70,"77,476","Jan 03, 2023"
02-01-2023,262.00,285.50,262.00,276.30,276.30,"14,360","Jan 02, 2023"
30-12-2022,265.95,269.40,260.15,265.85,265.85,"9,972","Dec 30, 2022"
29-12-2022,261.25,265.50,261.00,263.00,263.00,"7,795","Dec 29, 2022"
28-12-2022,264.40,265.85,262.00,263.50,263.50,"5,169","Dec 28, 2022"
27-12-2022,258.80,266.00,258.00,264.10,264.10,"9,292","Dec 27, 2022"
26-12-2022,255.40,272.95,253.50,256.05,256.05,"11,805","Dec 26, 2022"
23-12-2022,264.05,266.95,253.05,255.40,255.40,"8,150","Dec 23, 2022"
22-12-2022,273.20,274.35,263.65,267.15,267.15,"16,275","Dec 22, 2022"
21-12-2022,278.95,278.95,273.10,273.15,273.15,"11,744","Dec 21, 2022"
20-12-2022,273.80,278.10,273.15,275.05,275.05,"7,940","Dec 20, 2022"
19-12-2022,274.65,276.30,273.10,273.65,273.65,"4,632","Dec 19, 2022"
16-12-2022,282.35,283.75,273.20,275.05,275.05,"9,940","Dec 16, 2022"
15-12-2022,283.00,284.40,280.20,280.90,280.90,"12,594","Dec 15, 2022"
14-12-2022,280.75,283.85,277.00,280.10,280.10,"10,994","Dec 14, 2022"
13-12-2022,281.30,285.90,278.15,279.30,279.30,"6,445","Dec 13, 2022"
12-12-2022,280.00,288.05,277.00,281.25,281.25,"6,754","Dec 12, 2022"
09-12-2022,292.00,295.00,275.95,280.15,280.15,"18,714","Dec 09, 2022"
08-12-2022,285.95,293.00,285.00,289.40,289.40,"4,310","Dec 08, 2022"
07-12-2022,289.60,295.25,289.10,290.20,290.20,"8,836","Dec 07, 2022"
06-12-2022,290.05,294.05,287.50,289.40,289.40,"7,034","Dec 06, 2022"
05-12-2022,285.00,292.45,285.00,290.10,290.10,"10,456","Dec 05, 2022"
02-12-2022,286.75,291.50,280.40,289.55,289.55,"13,661","Dec 02, 2022"
01-12-2022,293.95,296.00,282.75,284.65,284.65,"24,042","Dec 01, 2022"
30-11-2022,276.35,295.50,276.35,286.35,286.35,"28,752","Nov 30, 2022"
29-11-2022,273.85,280.15,273.85,278.60,278.60,"12,305","Nov 29, 2022"
28-11-2022,281.85,281.85,273.20,273.85,273.85,"5,962","Nov 28, 2022"
25-11-2022,272.00,274.80,271.50,273.00,273.00,"9,631","Nov 25, 2022"
24-11-2022,273.00,282.95,270.10,274.40,274.40,"43,805","Nov 24, 2022"
23-11-2022,280.00,280.00,273.15,276.10,276.10,"4,443","Nov 23, 2022"
22-11-2022,270.20,278.00,265.30,275.15,275.15,"14,213","Nov 22, 2022"
21-11-2022,274.95,274.95,268.60,272.00,272.00,"2,370","Nov 21, 2022"
18-11-2022,276.85,276.85,269.90,272.15,272.15,"3,489","Nov 18, 2022"
17-11-2022,274.00,275.00,270.50,271.60,271.60,"5,065","Nov 17, 2022"
16-11-2022,271.00,277.05,271.00,273.90,273.90,"8,192","Nov 16, 2022"
15-11-2022,273.45,273.50,271.05,272.80,272.80,"7,170","Nov 15, 2022"
14-11-2022,281.40,281.40,270.00,272.85,272.85,"18,772","Nov 14, 2022"
11-11-2022,284.00,287.00,280.65,282.80,282.80,"7,724","Nov 11, 2022"
10-11-2022,285.00,285.00,274.05,278.90,278.90,"11,168","Nov 10, 2022"
09-11-2022,281.20,285.00,280.00,280.60,280.60,"9,925","Nov 09, 2022"
07-11-2022,283.00,284.05,278.10,280.50,280.50,"5,964","Nov 07, 2022"
04-11-2022,282.55,282.55,277.05,277.80,277.80,"4,212","Nov 04, 2022"
03-11-2022,282.20,283.95,275.00,277.05,277.05,"18,551","Nov 03, 2022"
02-11-2022,283.95,288.65,280.10,284.30,284.30,"12,012","Nov 02, 2022"
01-11-2022,281.65,284.90,280.00,280.50,280.50,"7,038","Nov 01, 2022"
31-10-2022,284.80,286.95,281.00,282.05,282.05,"5,101","Oct 31, 2022"
28-10-2022,283.10,290.00,280.00,282.30,282.30,"6,152","Oct 28, 2022"
27-10-2022,290.00,290.00,280.00,281.45,281.45,"5,325","Oct 27, 2022"
25-10-2022,287.30,290.95,281.50,286.65,286.65,"6,947","Oct 25, 2022"
24-10-2022,294.85,294.95,278.60,285.40,285.40,"5,367","Oct 24, 2022"
21-10-2022,290.10,294.00,288.15,289.10,289.10,"3,722","Oct 21, 2022"
20-10-2022,285.00,292.35,285.00,289.10,289.10,"4,598","Oct 20, 2022"
19-10-2022,288.00,295.80,288.00,289.00,289.00,"3,713","Oct 19, 2022"
18-10-2022,297.75,297.75,288.55,291.35,291.35,"2,986","Oct 18, 2022"
17-10-2022,301.55,304.00,290.05,292.00,292.00,"5,591","Oct 17, 2022"
14-10-2022,298.05,305.00,292.60,295.65,295.65,"12,588","Oct 14, 2022"
13-10-2022,295.90,299.15,285.00,292.25,292.25,"6,930","Oct 13, 2022"
12-10-2022,302.50,302.50,292.60,297.55,297.55,"4,155","Oct 12, 2022"
11-10-2022,304.00,304.00,295.05,296.65,296.65,"4,312","Oct 11, 2022"
10-10-2022,295.90,304.00,291.55,299.50,299.50,"7,968","Oct 10, 2022"
07-10-2022,299.95,299.95,294.00,295.85,295.85,"6,981","Oct 07, 2022"
06-10-2022,291.95,297.90,291.00,294.15,294.15,"8,835","Oct 06, 2022"
04-10-2022,290.00,292.85,286.70,288.60,288.60,"4,318","Oct 04, 2022"
03-10-2022,291.50,296.30,284.05,285.50,285.50,"5,194","Oct 03, 2022"
30-09-2022,287.80,293.40,286.00,291.50,291.50,"5,195","Sep 30, 2022"
29-09-2022,294.85,294.85,284.55,286.50,286.50,"6,131","Sep 29, 2022"
28-09-2022,286.00,294.95,285.75,287.55,287.55,"6,200","Sep 28, 2022"
27-09-2022,300.00,300.15,285.65,292.40,292.40,"10,975","Sep 27, 2022"
26-09-2022,308.00,308.00,284.70,288.10,288.10,"22,532","Sep 26, 2022"
23-09-2022,324.60,324.60,305.10,306.90,306.90,"12,572","Sep 23, 2022"
22-09-2022,328.00,328.00,314.95,318.90,318.90,"8,263","Sep 22, 2022"
21-09-2022,326.15,328.90,316.00,322.75,322.75,"7,072","Sep 21, 2022"
20-09-2022,313.00,330.00,313.00,326.15,326.15,"37,203","Sep 20, 2022"
19-09-2022,321.85,321.85,306.30,313.00,313.00,"9,688","Sep 19, 2022"
16-09-2022,323.00,324.00,308.20,311.65,311.65,"21,651","Sep 16, 2022"
15-09-2022,329.50,329.55,320.00,323.70,323.70,"29,217","Sep 15, 2022"
15-09-2022,8 Dividend,,,,,,"Sep 15, 2022"
14-09-2022,334.00,336.95,326.80,332.00,324.00,"21,510","Sep 14, 2022"
13-09-2022,336.60,346.90,334.00,335.35,327.27,"84,743","Sep 13, 2022"
12-09-2022,336.00,336.00,324.25,331.30,323.32,"34,733","Sep 12, 2022"
09-09-2022,328.00,337.35,324.60,329.80,321.85,"42,525","Sep 09, 2022"
08-09-2022,319.95,332.05,318.10,325.10,317.27,"55,533","Sep 08, 2022"
07-09-2022,300.00,317.70,300.00,316.10,308.48,"26,059","Sep 07, 2022"
06-09-2022,318.00,320.40,274.85,301.55,294.28,"41,054","Sep 06, 2022"
05-09-2022,315.00,316.25,305.00,313.30,305.75,"11,511","Sep 05, 2022"
02-09-2022,316.00,318.55,307.15,309.15,301.70,"19,060","Sep 02, 2022"
01-09-2022,312.00,320.80,310.85,313.65,306.09,"11,424","Sep 01, 2022"
30-08-2022,315.00,318.50,312.00,312.35,304.82,"8,510","Aug 30, 2022"
29-08-2022,304.00,314.90,300.65,311.70,304.19,"22,514","Aug 29, 2022"
26-08-2022,312.45,313.00,304.65,306.35,298.97,"9,279","Aug 26, 2022"
25-08-2022,313.10,319.45,307.00,307.75,300.33,"21,303","Aug 25, 2022"
24-08-2022,302.00,326.45,302.00,313.10,305.56,"78,412","Aug 24, 2022"
23-08-2022,293.65,306.00,293.65,300.75,293.50,"16,396","Aug 23, 2022"
22-08-2022,299.00,299.00,291.70,293.85,286.77,"10,845","Aug 22, 2022"
19-08-2022,301.95,308.60,296.95,299.35,292.14,"17,310","Aug 19, 2022"
18-08-2022,299.00,302.05,293.65,296.60,289.45,"14,428","Aug 18, 2022"
17-08-2022,307.90,307.90,292.50,299.10,291.89,"16,280","Aug 17, 2022"
