date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,629.00,630.25,618.75,624.75,624.75,"503,060","Aug 25, 2023"
24-08-2023,631.95,631.95,623.50,625.05,625.05,"473,806","Aug 24, 2023"
23-08-2023,629.95,630.75,625.00,626.00,626.00,"407,991","Aug 23, 2023"
22-08-2023,630.95,631.95,626.65,628.20,628.20,"451,646","Aug 22, 2023"
21-08-2023,630.00,631.00,622.05,627.80,627.80,"619,689","Aug 21, 2023"
18-08-2023,625.00,630.40,624.00,627.65,627.65,"836,536","Aug 18, 2023"
17-08-2023,619.50,626.80,617.00,622.30,622.30,"698,956","Aug 17, 2023"
16-08-2023,615.05,619.60,611.10,616.50,616.50,"625,155","Aug 16, 2023"
14-08-2023,632.00,637.90,610.05,613.50,613.50,"2,877,344","Aug 14, 2023"
11-08-2023,623.20,623.35,607.45,617.75,617.75,"1,164,806","Aug 11, 2023"
10-08-2023,626.95,626.95,622.45,623.95,623.95,"578,673","Aug 10, 2023"
09-08-2023,625.55,627.40,620.00,624.45,624.45,"555,575","Aug 09, 2023"
08-08-2023,628.75,628.90,623.70,625.55,625.55,"482,495","Aug 08, 2023"
07-08-2023,629.50,631.50,624.00,626.70,626.70,"540,105","Aug 07, 2023"
04-08-2023,628.30,631.75,623.40,626.15,626.15,"859,182","Aug 04, 2023"
03-08-2023,632.00,632.90,623.00,624.75,624.75,"600,969","Aug 03, 2023"
02-08-2023,640.80,640.80,631.50,634.65,634.65,"836,766","Aug 02, 2023"
01-08-2023,637.65,643.70,632.80,641.45,641.45,"1,035,791","Aug 01, 2023"
31-07-2023,624.40,636.00,622.00,634.85,634.85,"932,957","Jul 31, 2023"
28-07-2023,630.00,631.45,622.05,624.40,624.40,"533,054","Jul 28, 2023"
28-07-2023,3.2 Dividend,,,,,,"Jul 28, 2023"
27-07-2023,634.95,637.45,631.00,631.90,628.70,"478,617","Jul 27, 2023"
27-07-2023,3.2 Dividend,,,,,,"Jul 27, 2023"
26-07-2023,630.95,633.80,626.80,632.90,626.51,"584,634","Jul 26, 2023"
25-07-2023,629.00,632.00,621.95,627.90,621.56,"823,199","Jul 25, 2023"
24-07-2023,630.00,630.00,623.80,625.05,618.74,"594,094","Jul 24, 2023"
21-07-2023,618.00,626.55,614.30,624.15,617.85,"1,928,304","Jul 21, 2023"
20-07-2023,644.70,644.70,609.40,612.30,606.12,"6,234,263","Jul 20, 2023"
19-07-2023,647.40,659.80,642.25,644.75,638.24,"2,899,712","Jul 19, 2023"
18-07-2023,665.05,669.00,637.00,642.80,636.31,"35,513,220","Jul 18, 2023"
17-07-2023,686.45,697.85,682.75,685.00,678.09,"359,663","Jul 17, 2023"
14-07-2023,687.70,691.15,682.00,684.65,677.74,"247,470","Jul 14, 2023"
13-07-2023,700.95,706.00,681.25,687.70,680.76,"304,274","Jul 13, 2023"
12-07-2023,684.00,703.00,681.00,699.75,692.69,"662,748","Jul 12, 2023"
11-07-2023,693.05,695.90,677.00,679.45,672.59,"429,480","Jul 11, 2023"
10-07-2023,703.30,703.30,690.00,693.05,686.05,"235,562","Jul 10, 2023"
07-07-2023,703.35,708.00,697.00,699.80,692.74,"476,340","Jul 07, 2023"
06-07-2023,688.00,709.00,685.80,703.35,696.25,"1,346,869","Jul 06, 2023"
05-07-2023,682.95,687.95,674.00,686.40,679.47,"446,949","Jul 05, 2023"
04-07-2023,691.80,693.50,676.30,680.05,673.19,"561,478","Jul 04, 2023"
03-07-2023,688.00,695.00,685.50,688.35,681.40,"987,918","Jul 03, 2023"
30-06-2023,660.00,684.95,656.30,681.20,674.32,"2,029,556","Jun 30, 2023"
