date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,54.70,56.30,54.65,55.00,55.00,"14,530","Aug 25, 2023"
24-08-2023,55.75,57.50,54.65,56.05,56.05,"14,580","Aug 24, 2023"
23-08-2023,54.65,57.35,54.65,55.75,55.75,"17,798","Aug 23, 2023"
22-08-2023,53.20,54.95,52.80,54.65,54.65,"23,531","Aug 22, 2023"
21-08-2023,53.80,54.20,52.00,52.35,52.35,"37,172","Aug 21, 2023"
18-08-2023,57.00,57.00,54.50,54.50,54.50,"89,325","Aug 18, 2023"
17-08-2023,52.35,57.85,52.35,57.35,57.35,"165,984","Aug 17, 2023"
16-08-2023,55.10,55.10,55.10,55.10,55.10,"6,525","Aug 16, 2023"
14-08-2023,58.00,58.00,58.00,58.00,58.00,"5,601","Aug 14, 2023"
11-08-2023,61.05,61.05,61.05,61.05,61.05,"4,838","Aug 11, 2023"
10-08-2023,64.25,64.25,64.25,64.25,64.25,"10,026","Aug 10, 2023"
09-08-2023,67.60,67.60,67.60,67.60,67.60,"14,493","Aug 09, 2023"
08-08-2023,70.90,71.90,69.85,71.15,71.15,"12,944","Aug 08, 2023"
07-08-2023,72.00,72.00,68.80,69.85,69.85,"33,542","Aug 07, 2023"
04-08-2023,68.00,70.90,68.00,69.55,69.55,"29,176","Aug 04, 2023"
03-08-2023,70.60,71.00,69.00,70.00,70.00,"6,685","Aug 03, 2023"
02-08-2023,72.50,72.50,69.45,70.60,70.60,"37,357","Aug 02, 2023"
01-08-2023,70.50,71.60,68.00,70.85,70.85,"44,324","Aug 01, 2023"
31-07-2023,68.90,69.95,68.25,69.65,69.65,"28,658","Jul 31, 2023"
28-07-2023,67.00,69.80,66.05,67.65,67.65,"32,029","Jul 28, 2023"
27-07-2023,67.60,68.00,66.60,67.40,67.40,"7,245","Jul 27, 2023"
26-07-2023,66.95,69.80,66.95,67.80,67.80,"4,973","Jul 26, 2023"
25-07-2023,66.50,67.95,66.50,66.80,66.80,"11,449","Jul 25, 2023"
24-07-2023,68.00,70.00,67.50,68.15,68.15,"9,488","Jul 24, 2023"
21-07-2023,71.85,71.85,68.05,68.80,68.80,"20,836","Jul 21, 2023"
20-07-2023,65.00,68.90,65.00,68.90,68.90,"31,213","Jul 20, 2023"
19-07-2023,65.95,67.95,65.30,65.65,65.65,"8,616","Jul 19, 2023"
18-07-2023,68.05,68.05,65.00,66.00,66.00,"36,394","Jul 18, 2023"
17-07-2023,69.90,69.90,67.00,68.15,68.15,"13,475","Jul 17, 2023"
14-07-2023,69.40,69.40,67.15,68.75,68.75,"6,011","Jul 14, 2023"
13-07-2023,69.00,71.00,66.85,68.65,68.65,"12,194","Jul 13, 2023"
12-07-2023,70.30,71.65,68.00,70.20,70.20,"20,184","Jul 12, 2023"
11-07-2023,72.00,72.00,68.50,70.30,70.30,"17,811","Jul 11, 2023"
10-07-2023,66.30,69.20,66.30,69.20,69.20,"22,122","Jul 10, 2023"
07-07-2023,66.00,67.50,65.90,65.95,65.95,"14,043","Jul 07, 2023"
06-07-2023,66.00,67.20,64.70,65.65,65.65,"9,466","Jul 06, 2023"
05-07-2023,64.50,66.50,64.00,65.90,65.90,"8,680","Jul 05, 2023"
04-07-2023,67.50,68.20,64.10,64.35,64.35,"55,848","Jul 04, 2023"
03-07-2023,69.25,69.25,65.80,67.45,67.45,"24,283","Jul 03, 2023"
30-06-2023,68.55,69.90,67.50,68.10,68.10,"12,157","Jun 30, 2023"
