date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,429.70","1,448.05","1,405.00","1,416.95","1,416.95","29,950","Aug 25, 2023"
24-08-2023,"1,424.00","1,458.00","1,408.55","1,428.30","1,428.30","68,034","Aug 24, 2023"
23-08-2023,"1,419.00","1,425.00","1,400.00","1,408.45","1,408.45","45,377","Aug 23, 2023"
22-08-2023,"1,425.00","1,433.85","1,400.00","1,408.90","1,408.90","62,677","Aug 22, 2023"
21-08-2023,"1,391.95","1,425.25","1,388.55","1,422.45","1,422.45","55,895","Aug 21, 2023"
18-08-2023,"1,400.00","1,412.40","1,350.00","1,391.95","1,391.95","163,547","Aug 18, 2023"
17-08-2023,"1,434.00","1,436.75","1,400.05","1,406.10","1,406.10","79,621","Aug 17, 2023"
16-08-2023,"1,433.25","1,453.00","1,405.05","1,424.40","1,424.40","73,841","Aug 16, 2023"
14-08-2023,"1,426.00","1,447.85","1,386.65","1,418.20","1,418.20","114,298","Aug 14, 2023"
11-08-2023,"1,300.00","1,493.00","1,290.20","1,426.30","1,426.30","610,410","Aug 11, 2023"
10-08-2023,"1,300.25","1,300.25","1,289.05","1,292.75","1,292.75","37,225","Aug 10, 2023"
09-08-2023,"1,299.50","1,301.95","1,285.00","1,288.20","1,288.20","29,511","Aug 09, 2023"
08-08-2023,"1,299.30","1,308.25","1,289.45","1,299.45","1,299.45","53,603","Aug 08, 2023"
07-08-2023,"1,298.00","1,318.80","1,257.25","1,291.30","1,291.30","104,259","Aug 07, 2023"
04-08-2023,"1,249.00","1,294.25","1,240.05","1,288.20","1,288.20","160,166","Aug 04, 2023"
03-08-2023,"1,235.90","1,255.00","1,220.65","1,236.50","1,236.50","42,810","Aug 03, 2023"
02-08-2023,"1,250.00","1,267.00","1,212.40","1,235.10","1,235.10","113,552","Aug 02, 2023"
01-08-2023,"1,169.00","1,274.85","1,168.95","1,255.55","1,255.55","183,200","Aug 01, 2023"
31-07-2023,"1,142.00","1,179.95","1,122.35","1,163.40","1,163.40","177,951","Jul 31, 2023"
28-07-2023,"1,125.00","1,144.70","1,100.00","1,141.15","1,141.15","86,070","Jul 28, 2023"
27-07-2023,"1,105.00","1,125.00","1,098.05","1,121.70","1,121.70","93,466","Jul 27, 2023"
26-07-2023,"1,070.95","1,104.00","1,066.40","1,100.80","1,100.80","129,271","Jul 26, 2023"
25-07-2023,"1,064.90","1,075.00","1,056.75","1,067.60","1,067.60","81,632","Jul 25, 2023"
24-07-2023,"1,049.00","1,061.55","1,046.55","1,058.60","1,058.60","41,469","Jul 24, 2023"
