date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,26.95,28.40,26.65,27.85,27.85,"1,176,996","Aug 25, 2023"
24-08-2023,27.95,27.95,27.00,27.05,27.05,"464,427","Aug 24, 2023"
24-08-2023,0.007 Dividend,,,,,,"Aug 24, 2023"
23-08-2023,28.05,28.70,27.40,27.60,27.59,"1,094,788","Aug 23, 2023"
22-08-2023,26.60,28.45,26.50,27.90,27.89,"3,222,511","Aug 22, 2023"
21-08-2023,26.70,27.30,26.40,26.65,26.64,"602,546","Aug 21, 2023"
18-08-2023,27.50,27.95,26.25,26.55,26.54,"824,561","Aug 18, 2023"
17-08-2023,26.25,27.85,25.90,27.60,27.59,"1,630,274","Aug 17, 2023"
16-08-2023,26.00,26.45,25.75,25.95,25.94,"358,199","Aug 16, 2023"
14-08-2023,26.00,27.00,25.45,26.40,26.39,"528,097","Aug 14, 2023"
11-08-2023,26.30,27.00,26.15,26.45,26.44,"778,064","Aug 11, 2023"
10-08-2023,26.20,27.45,26.00,26.20,26.19,"1,418,384","Aug 10, 2023"
09-08-2023,25.80,26.20,25.40,25.90,25.89,"304,278","Aug 09, 2023"
08-08-2023,26.05,26.25,25.40,25.55,25.54,"179,853","Aug 08, 2023"
07-08-2023,25.60,26.40,25.60,25.95,25.94,"360,810","Aug 07, 2023"
04-08-2023,25.50,26.15,25.40,25.50,25.49,"399,783","Aug 04, 2023"
03-08-2023,25.25,25.50,24.95,25.30,25.29,"248,415","Aug 03, 2023"
02-08-2023,25.90,26.30,24.60,25.10,25.09,"491,605","Aug 02, 2023"
01-08-2023,26.50,26.55,25.75,26.00,25.99,"388,343","Aug 01, 2023"
31-07-2023,25.70,26.55,25.40,26.25,26.24,"1,013,078","Jul 31, 2023"
28-07-2023,25.80,25.85,25.10,25.35,25.34,"286,434","Jul 28, 2023"
27-07-2023,26.00,26.70,25.40,25.70,25.69,"766,991","Jul 27, 2023"
26-07-2023,24.90,26.25,24.75,25.65,25.64,"716,404","Jul 26, 2023"
25-07-2023,24.80,24.95,24.60,24.70,24.69,"183,112","Jul 25, 2023"
24-07-2023,24.90,25.20,24.70,24.75,24.74,"144,802","Jul 24, 2023"
21-07-2023,25.15,25.15,24.85,24.90,24.89,"213,908","Jul 21, 2023"
20-07-2023,25.05,25.75,25.00,25.15,25.14,"224,292","Jul 20, 2023"
19-07-2023,25.45,25.60,25.05,25.20,25.19,"221,249","Jul 19, 2023"
18-07-2023,25.70,25.95,25.05,25.15,25.14,"291,934","Jul 18, 2023"
17-07-2023,25.15,26.25,25.10,25.55,25.54,"535,075","Jul 17, 2023"
14-07-2023,25.00,25.95,24.70,25.40,25.39,"476,903","Jul 14, 2023"
13-07-2023,25.30,25.60,24.60,24.85,24.84,"352,381","Jul 13, 2023"
12-07-2023,25.00,25.95,25.00,25.25,25.24,"512,710","Jul 12, 2023"
11-07-2023,25.65,25.85,24.80,24.90,24.89,"395,901","Jul 11, 2023"
10-07-2023,25.25,26.15,24.75,25.65,25.64,"449,862","Jul 10, 2023"
07-07-2023,25.65,26.15,24.70,25.10,25.09,"669,696","Jul 07, 2023"
06-07-2023,23.60,26.50,23.60,25.70,25.69,"2,605,294","Jul 06, 2023"
05-07-2023,23.75,24.40,23.50,23.65,23.64,"214,464","Jul 05, 2023"
04-07-2023,23.70,24.25,23.45,23.55,23.54,"223,655","Jul 04, 2023"
03-07-2023,23.65,23.85,23.40,23.55,23.54,"160,628","Jul 03, 2023"
30-06-2023,23.45,24.10,23.40,23.65,23.64,"157,413","Jun 30, 2023"
28-06-2023,23.90,23.90,23.90,23.90,23.89,-,"Jun 28, 2023"
27-06-2023,23.65,24.15,23.55,23.90,23.89,"192,626","Jun 27, 2023"
26-06-2023,23.75,24.00,23.35,23.65,23.64,"135,752","Jun 26, 2023"
23-06-2023,24.40,24.40,23.45,23.70,23.69,"241,306","Jun 23, 2023"
22-06-2023,24.80,24.95,23.80,24.25,24.24,"351,682","Jun 22, 2023"
21-06-2023,25.15,25.55,24.55,24.65,24.64,"496,491","Jun 21, 2023"
20-06-2023,24.65,25.50,24.50,24.95,24.94,"337,797","Jun 20, 2023"
19-06-2023,24.60,24.80,24.50,24.65,24.64,"345,453","Jun 19, 2023"
16-06-2023,24.95,25.60,24.35,24.55,24.54,"696,604","Jun 16, 2023"
15-06-2023,24.05,24.90,24.05,24.60,24.59,"783,402","Jun 15, 2023"
14-06-2023,23.85,24.60,23.65,24.10,24.09,"383,856","Jun 14, 2023"
13-06-2023,23.75,24.80,23.55,23.70,23.69,"444,166","Jun 13, 2023"
12-06-2023,23.75,24.35,23.55,23.75,23.74,"225,216","Jun 12, 2023"
09-06-2023,23.90,24.50,23.55,23.60,23.59,"154,931","Jun 09, 2023"
08-06-2023,24.05,24.45,23.55,23.65,23.64,"180,577","Jun 08, 2023"
07-06-2023,23.90,24.40,23.90,24.05,24.04,"196,609","Jun 07, 2023"
06-06-2023,24.05,24.90,24.05,24.25,24.24,"326,032","Jun 06, 2023"
05-06-2023,22.35,24.65,22.35,24.10,24.09,"825,072","Jun 05, 2023"
02-06-2023,22.60,22.85,22.25,22.30,22.29,"213,335","Jun 02, 2023"
01-06-2023,22.40,22.85,22.40,22.60,22.59,"71,066","Jun 01, 2023"
31-05-2023,22.55,23.05,22.30,22.55,22.54,"96,054","May 31, 2023"
