date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,37.60,37.60,35.60,36.20,36.20,"7,593","Aug 25, 2023"
24-08-2023,36.95,37.50,36.20,36.40,36.40,"21,244","Aug 24, 2023"
23-08-2023,36.90,37.55,36.20,36.95,36.95,"7,162","Aug 23, 2023"
22-08-2023,35.90,37.20,35.50,36.90,36.90,"20,830","Aug 22, 2023"
21-08-2023,35.15,38.35,35.15,35.90,35.90,"17,930","Aug 21, 2023"
18-08-2023,36.50,36.95,35.60,36.55,36.55,"11,370","Aug 18, 2023"
17-08-2023,37.00,38.10,36.50,36.75,36.75,"15,262","Aug 17, 2023"
16-08-2023,39.00,39.00,36.15,36.45,36.45,"19,859","Aug 16, 2023"
14-08-2023,38.30,38.60,36.55,37.15,37.15,"64,632","Aug 14, 2023"
11-08-2023,39.00,39.40,37.30,38.50,38.50,"72,834","Aug 11, 2023"
10-08-2023,41.20,41.80,38.60,38.75,38.75,"100,661","Aug 10, 2023"
09-08-2023,42.10,42.80,40.30,40.85,40.85,"70,021","Aug 09, 2023"
08-08-2023,44.80,44.80,41.90,42.10,42.10,"129,550","Aug 08, 2023"
07-08-2023,40.75,44.55,40.30,43.50,43.50,"443,415","Aug 07, 2023"
04-08-2023,41.35,43.60,40.10,41.05,41.05,"904,416","Aug 04, 2023"
03-08-2023,33.95,40.80,33.00,40.80,40.80,"1,284,747","Aug 03, 2023"
02-08-2023,31.75,36.00,31.15,34.00,34.00,"812,306","Aug 02, 2023"
01-08-2023,30.40,32.00,30.25,31.15,31.15,"54,294","Aug 01, 2023"
31-07-2023,30.65,31.10,30.05,30.15,30.15,"54,801","Jul 31, 2023"
28-07-2023,31.10,31.25,30.60,31.00,31.00,"9,824","Jul 28, 2023"
27-07-2023,30.75,31.25,30.20,30.95,30.95,"28,619","Jul 27, 2023"
26-07-2023,31.25,31.35,30.55,30.70,30.70,"18,214","Jul 26, 2023"
25-07-2023,30.70,31.30,30.60,30.90,30.90,"31,534","Jul 25, 2023"
24-07-2023,31.65,31.65,30.00,30.50,30.50,"25,513","Jul 24, 2023"
21-07-2023,31.10,31.65,30.70,30.85,30.85,"60,125","Jul 21, 2023"
20-07-2023,31.55,31.65,30.90,31.10,31.10,"43,776","Jul 20, 2023"
19-07-2023,31.35,31.70,30.95,31.05,31.05,"22,756","Jul 19, 2023"
18-07-2023,31.95,31.95,31.15,31.30,31.30,"28,353","Jul 18, 2023"
17-07-2023,31.70,32.00,30.80,31.50,31.50,"83,787","Jul 17, 2023"
14-07-2023,32.00,32.00,31.30,31.70,31.70,"23,303","Jul 14, 2023"
13-07-2023,31.70,32.00,31.25,31.50,31.50,"52,946","Jul 13, 2023"
12-07-2023,32.60,32.60,31.10,31.60,31.60,"18,967","Jul 12, 2023"
11-07-2023,31.60,32.10,31.30,31.90,31.90,"22,934","Jul 11, 2023"
