date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,227.80,233.65,224.30,227.15,227.15,"231,610","Aug 25, 2023"
24-08-2023,220.80,233.65,220.80,227.80,227.80,"661,190","Aug 24, 2023"
23-08-2023,220.00,222.90,219.00,219.90,219.90,"91,103","Aug 23, 2023"
22-08-2023,212.70,222.00,212.70,219.50,219.50,"189,512","Aug 22, 2023"
21-08-2023,215.65,217.45,210.00,212.35,212.35,"109,243","Aug 21, 2023"
18-08-2023,219.05,220.80,215.00,215.65,215.65,"84,754","Aug 18, 2023"
17-08-2023,218.00,222.95,218.00,219.05,219.05,"86,730","Aug 17, 2023"
16-08-2023,217.05,226.80,214.00,219.15,219.15,"233,077","Aug 16, 2023"
14-08-2023,218.00,224.00,214.00,222.20,222.20,"116,227","Aug 14, 2023"
11-08-2023,219.00,222.45,217.45,218.65,218.65,"101,527","Aug 11, 2023"
10-08-2023,215.30,221.25,215.25,218.65,218.65,"125,364","Aug 10, 2023"
09-08-2023,220.75,220.80,214.45,215.40,215.40,"185,206","Aug 09, 2023"
08-08-2023,222.60,224.15,218.35,220.75,220.75,"82,731","Aug 08, 2023"
07-08-2023,224.55,225.00,219.20,221.05,221.05,"111,195","Aug 07, 2023"
04-08-2023,223.55,225.95,222.05,223.50,223.50,"69,064","Aug 04, 2023"
03-08-2023,216.90,227.40,215.85,223.55,223.55,"207,399","Aug 03, 2023"
02-08-2023,217.00,218.90,214.60,217.30,217.30,"109,081","Aug 02, 2023"
01-08-2023,219.10,223.50,216.50,217.30,217.30,"116,675","Aug 01, 2023"
31-07-2023,219.95,219.95,216.05,219.10,219.10,"69,125","Jul 31, 2023"
28-07-2023,220.00,223.35,217.55,218.50,218.50,"90,063","Jul 28, 2023"
27-07-2023,220.90,223.95,218.10,219.90,219.90,"77,623","Jul 27, 2023"
26-07-2023,223.20,223.40,218.50,219.40,219.40,"73,336","Jul 26, 2023"
25-07-2023,223.90,225.55,220.20,221.75,221.75,"102,312","Jul 25, 2023"
24-07-2023,230.40,230.70,220.90,222.35,222.35,"200,074","Jul 24, 2023"
21-07-2023,228.00,235.65,227.45,229.40,229.40,"312,086","Jul 21, 2023"
20-07-2023,217.00,234.85,216.95,228.50,228.50,"868,251","Jul 20, 2023"
19-07-2023,216.00,218.80,215.65,216.85,216.85,"77,349","Jul 19, 2023"
18-07-2023,219.60,220.00,214.25,215.20,215.20,"95,813","Jul 18, 2023"
17-07-2023,216.60,222.40,214.75,218.70,218.70,"258,883","Jul 17, 2023"
14-07-2023,218.30,219.80,214.10,216.00,216.00,"112,317","Jul 14, 2023"
13-07-2023,216.00,220.30,214.30,217.40,217.40,"228,178","Jul 13, 2023"
12-07-2023,210.55,216.50,208.55,213.75,213.75,"122,553","Jul 12, 2023"
11-07-2023,208.95,211.50,207.75,209.05,209.05,"81,328","Jul 11, 2023"
10-07-2023,213.00,213.00,205.50,208.05,208.05,"101,384","Jul 10, 2023"
07-07-2023,212.80,214.10,211.20,212.05,212.05,"110,715","Jul 07, 2023"
06-07-2023,213.00,221.60,211.05,212.30,212.30,"723,547","Jul 06, 2023"
05-07-2023,211.70,214.90,211.05,212.55,212.55,"43,187","Jul 05, 2023"
04-07-2023,212.60,213.95,209.45,210.65,210.65,"63,434","Jul 04, 2023"
03-07-2023,214.55,214.55,210.90,212.60,212.60,"79,141","Jul 03, 2023"
30-06-2023,212.60,213.95,211.00,212.85,212.85,"70,775","Jun 30, 2023"
28-06-2023,212.75,212.75,212.75,212.75,212.75,-,"Jun 28, 2023"
27-06-2023,218.00,218.00,212.05,212.75,212.75,"89,412","Jun 27, 2023"
26-06-2023,215.40,217.45,213.40,215.20,215.20,"39,580","Jun 26, 2023"
23-06-2023,217.55,218.60,213.50,214.50,214.50,"58,473","Jun 23, 2023"
22-06-2023,219.00,221.90,216.20,216.90,216.90,"76,894","Jun 22, 2023"
21-06-2023,221.95,222.90,217.40,218.85,218.85,"65,995","Jun 21, 2023"
20-06-2023,218.00,225.85,217.65,221.30,221.30,"123,069","Jun 20, 2023"
19-06-2023,218.40,222.90,217.00,218.90,218.90,"85,893","Jun 19, 2023"
16-06-2023,219.20,223.05,216.20,218.10,218.10,"97,644","Jun 16, 2023"
15-06-2023,216.10,226.30,215.00,218.00,218.00,"787,398","Jun 15, 2023"
14-06-2023,210.20,212.60,209.15,210.60,210.60,"48,420","Jun 14, 2023"
13-06-2023,215.20,217.00,208.05,210.15,210.15,"100,869","Jun 13, 2023"
12-06-2023,209.70,215.90,208.30,213.65,213.65,"72,580","Jun 12, 2023"
09-06-2023,211.00,212.40,207.05,208.05,208.05,"60,011","Jun 09, 2023"
08-06-2023,217.00,217.95,210.15,210.70,210.70,"73,707","Jun 08, 2023"
07-06-2023,215.60,219.45,211.00,216.40,216.40,"151,728","Jun 07, 2023"
06-06-2023,208.00,216.55,207.95,214.00,214.00,"209,562","Jun 06, 2023"
05-06-2023,201.00,221.65,199.50,207.20,207.20,"857,496","Jun 05, 2023"
02-06-2023,199.30,200.10,198.45,199.20,199.20,"64,449","Jun 02, 2023"
01-06-2023,196.20,199.10,196.10,197.90,197.90,"34,117","Jun 01, 2023"
31-05-2023,200.00,201.95,194.15,196.10,196.10,"187,350","May 31, 2023"
30-05-2023,208.50,212.00,206.00,206.70,206.70,"85,342","May 30, 2023"
29-05-2023,207.50,208.95,204.50,207.90,207.90,"56,708","May 29, 2023"
26-05-2023,210.50,213.25,206.35,207.35,207.35,"86,061","May 26, 2023"
25-05-2023,204.80,216.60,204.35,209.65,209.65,"292,497","May 25, 2023"
24-05-2023,199.00,206.80,198.05,203.80,203.80,"111,943","May 24, 2023"
23-05-2023,199.75,200.00,197.20,198.20,198.20,"34,542","May 23, 2023"
