date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,314.00,316.40,311.50,312.30,312.30,"127,889","Aug 25, 2023"
24-08-2023,320.70,322.05,313.00,314.10,314.10,"215,635","Aug 24, 2023"
23-08-2023,319.40,324.90,317.55,319.35,319.35,"220,454","Aug 23, 2023"
22-08-2023,309.15,322.40,308.25,318.25,318.25,"537,534","Aug 22, 2023"
21-08-2023,307.80,311.40,306.00,307.60,307.60,"175,664","Aug 21, 2023"
18-08-2023,303.50,308.90,303.25,306.00,306.00,"194,526","Aug 18, 2023"
17-08-2023,306.90,312.10,301.55,303.10,303.10,"247,217","Aug 17, 2023"
16-08-2023,304.60,316.45,301.00,306.55,306.55,"417,166","Aug 16, 2023"
14-08-2023,316.70,316.70,301.00,303.35,303.35,"370,512","Aug 14, 2023"
11-08-2023,324.05,325.20,311.50,314.05,314.05,"345,206","Aug 11, 2023"
10-08-2023,332.45,333.55,322.00,323.55,323.55,"215,330","Aug 10, 2023"
09-08-2023,335.95,336.80,330.00,330.75,330.75,"211,581","Aug 09, 2023"
08-08-2023,330.25,338.85,328.10,335.45,335.45,"209,501","Aug 08, 2023"
07-08-2023,334.00,336.85,327.00,328.60,328.60,"307,617","Aug 07, 2023"
04-08-2023,336.90,342.00,334.00,336.85,336.85,"179,380","Aug 04, 2023"
03-08-2023,331.50,337.35,330.00,333.55,333.55,"159,674","Aug 03, 2023"
02-08-2023,341.70,341.70,323.65,332.65,332.65,"264,613","Aug 02, 2023"
01-08-2023,339.75,343.75,336.00,340.25,340.25,"409,765","Aug 01, 2023"
31-07-2023,333.00,344.30,328.35,337.70,337.70,"918,798","Jul 31, 2023"
28-07-2023,334.25,334.25,323.50,324.70,324.70,"230,627","Jul 28, 2023"
27-07-2023,324.75,332.30,318.70,331.00,331.00,"371,088","Jul 27, 2023"
26-07-2023,336.05,338.00,318.60,320.65,320.65,"358,827","Jul 26, 2023"
25-07-2023,322.05,334.40,322.05,331.10,331.10,"339,510","Jul 25, 2023"
24-07-2023,338.00,338.00,320.10,321.30,321.30,"320,763","Jul 24, 2023"
21-07-2023,345.50,346.90,334.15,335.60,335.60,"252,956","Jul 21, 2023"
20-07-2023,354.05,356.30,345.00,347.00,347.00,"161,040","Jul 20, 2023"
19-07-2023,368.60,369.40,350.60,353.80,353.80,"239,287","Jul 19, 2023"
18-07-2023,360.20,369.35,352.50,364.85,364.85,"225,190","Jul 18, 2023"
17-07-2023,366.80,366.85,357.00,358.60,358.60,"290,472","Jul 17, 2023"
14-07-2023,365.50,388.95,360.00,365.65,365.65,"1,457,451","Jul 14, 2023"
14-07-2023,7:5 Stock Split,,,,,,"Jul 14, 2023"
13-07-2023,343.07,355.00,339.71,343.86,343.86,"622,181","Jul 13, 2023"
12-07-2023,354.25,356.43,310.32,341.68,341.68,"799,901","Jul 12, 2023"
11-07-2023,355.00,359.11,352.18,352.96,352.96,"217,282","Jul 11, 2023"
10-07-2023,357.14,360.32,351.46,353.18,353.18,"247,980","Jul 10, 2023"
07-07-2023,359.29,362.14,351.82,355.18,355.18,"288,792","Jul 07, 2023"
06-07-2023,350.71,361.36,350.18,359.00,359.00,"438,216","Jul 06, 2023"
06-07-2023,7:5 Stock Split,,,,,,"Jul 06, 2023"
05-07-2023,353.39,356.39,347.61,349.57,349.57,"227,224","Jul 05, 2023"
04-07-2023,361.57,361.93,351.43,352.57,352.57,"272,350","Jul 04, 2023"
03-07-2023,360.14,364.64,356.29,359.32,359.32,"399,449","Jul 03, 2023"
30-06-2023,364.54,365.57,355.96,357.93,357.93,"338,051","Jun 30, 2023"
28-06-2023,362.75,362.75,362.75,362.75,362.75,-,"Jun 28, 2023"
27-06-2023,357.93,366.71,356.29,362.75,362.75,"620,494","Jun 27, 2023"
26-06-2023,356.32,358.57,350.61,356.68,356.68,"311,649","Jun 26, 2023"
23-06-2023,356.43,362.39,345.25,356.86,356.86,"774,827","Jun 23, 2023"
22-06-2023,348.57,357.86,348.21,355.54,355.54,"592,488","Jun 22, 2023"
21-06-2023,344.29,352.82,344.25,348.68,348.68,"541,126","Jun 21, 2023"
20-06-2023,354.07,356.18,345.07,348.64,348.64,"777,016","Jun 20, 2023"
19-06-2023,362.11,374.75,350.39,354.07,354.07,"2,098,868","Jun 19, 2023"
16-06-2023,352.75,361.21,339.50,359.89,359.89,"1,388,357","Jun 16, 2023"
15-06-2023,360.11,362.75,346.50,350.82,350.82,"868,974","Jun 15, 2023"
14-06-2023,357.14,365.71,355.64,359.18,359.18,"737,807","Jun 14, 2023"
13-06-2023,359.29,367.14,348.46,355.61,355.61,"1,439,695","Jun 13, 2023"
12-06-2023,364.61,367.18,357.14,357.75,357.75,"934,288","Jun 12, 2023"
09-06-2023,375.96,377.50,361.43,363.89,363.89,"663,100","Jun 09, 2023"
08-06-2023,375.89,381.39,367.96,374.43,374.43,"754,791","Jun 08, 2023"
07-06-2023,381.11,384.71,372.86,374.39,374.39,"565,632","Jun 07, 2023"
06-06-2023,382.64,389.14,375.43,379.18,379.18,"832,721","Jun 06, 2023"
05-06-2023,395.00,397.25,374.57,380.25,380.25,"1,156,023","Jun 05, 2023"
02-06-2023,403.57,405.79,392.89,396.50,396.50,"691,461","Jun 02, 2023"
01-06-2023,402.14,412.82,397.50,401.89,401.89,"915,867","Jun 01, 2023"
01-06-2023,6 Dividend,,,,,,"Jun 01, 2023"
31-05-2023,409.79,414.29,399.32,405.82,399.82,"936,927","May 31, 2023"
30-05-2023,384.93,422.82,383.64,409.82,403.76,"4,574,879","May 30, 2023"
29-05-2023,409.04,409.04,382.00,384.14,378.46,"1,930,824","May 29, 2023"
26-05-2023,357.29,416.57,357.29,399.00,393.10,"4,765,027","May 26, 2023"
25-05-2023,364.29,377.14,353.61,357.29,352.00,"4,701,611","May 25, 2023"
24-05-2023,335.71,352.86,329.11,345.07,339.97,"688,980","May 24, 2023"
23-05-2023,339.86,342.36,334.57,335.93,330.96,"203,053","May 23, 2023"
22-05-2023,339.71,353.57,336.57,340.54,335.50,"847,246","May 22, 2023"
19-05-2023,344.43,353.57,331.79,340.86,335.82,"1,638,838","May 19, 2023"
18-05-2023,309.29,344.29,306.21,340.93,335.89,"2,203,744","May 18, 2023"
17-05-2023,307.04,311.36,303.57,306.11,301.58,"102,034","May 17, 2023"
16-05-2023,306.43,312.86,305.54,307.04,302.50,"89,349","May 16, 2023"
15-05-2023,313.57,315.68,303.57,305.54,301.02,"188,879","May 15, 2023"
12-05-2023,315.71,320.14,310.79,315.18,310.52,"142,602","May 12, 2023"
11-05-2023,316.43,320.50,313.75,315.82,311.15,"234,504","May 11, 2023"
10-05-2023,305.00,317.00,300.93,313.64,309.01,"277,300","May 10, 2023"
09-05-2023,307.14,312.68,303.79,305.61,301.09,"136,595","May 09, 2023"
08-05-2023,308.86,311.29,303.79,309.18,304.61,"148,685","May 08, 2023"
05-05-2023,304.07,313.14,304.07,307.61,303.06,"256,837","May 05, 2023"
04-05-2023,300.00,307.32,296.68,305.50,300.98,"296,949","May 04, 2023"
03-05-2023,307.43,310.71,296.82,299.89,295.46,"294,485","May 03, 2023"
02-05-2023,304.36,312.54,304.36,307.71,303.16,"227,010","May 02, 2023"
28-04-2023,304.82,307.75,302.21,304.18,299.68,"200,412","Apr 28, 2023"
27-04-2023,316.50,328.25,301.14,304.68,300.17,"751,249","Apr 27, 2023"
26-04-2023,315.93,321.07,315.61,317.07,312.38,"153,687","Apr 26, 2023"
25-04-2023,316.50,321.36,314.36,315.93,311.26,"313,296","Apr 25, 2023"
24-04-2023,317.79,320.07,311.64,316.11,311.43,"174,428","Apr 24, 2023"
21-04-2023,316.25,321.32,310.79,316.29,311.61,"477,517","Apr 21, 2023"
20-04-2023,322.93,329.86,314.54,316.86,312.17,"938,224","Apr 20, 2023"
19-04-2023,307.14,325.00,302.54,322.39,317.63,"1,996,012","Apr 19, 2023"
18-04-2023,292.14,310.71,292.11,305.57,301.05,"1,056,790","Apr 18, 2023"
17-04-2023,296.36,301.39,287.75,291.57,287.26,"248,375","Apr 17, 2023"
13-04-2023,294.29,300.00,290.71,296.68,292.29,"215,703","Apr 13, 2023"
12-04-2023,296.43,301.68,290.96,293.71,289.37,"251,235","Apr 12, 2023"
11-04-2023,294.29,301.86,292.61,298.71,294.30,"502,929","Apr 11, 2023"
10-04-2023,292.75,298.36,288.79,296.43,292.05,"736,027","Apr 10, 2023"
06-04-2023,272.14,295.71,267.86,293.75,289.41,"1,944,895","Apr 06, 2023"
05-04-2023,267.86,278.57,267.79,272.21,268.19,"693,462","Apr 05, 2023"
03-04-2023,245.71,270.00,244.93,265.54,261.61,"763,635","Apr 03, 2023"
31-03-2023,242.68,248.82,241.79,243.68,240.08,"96,507","Mar 31, 2023"
29-03-2023,237.50,244.29,235.86,242.68,239.09,"112,098","Mar 29, 2023"
28-03-2023,236.54,238.57,232.86,236.36,232.86,"57,124","Mar 28, 2023"
27-03-2023,239.54,239.54,233.21,236.54,233.04,"67,034","Mar 27, 2023"
24-03-2023,236.39,242.86,235.61,236.00,232.51,"115,907","Mar 24, 2023"
23-03-2023,236.75,240.50,234.54,236.00,232.51,"72,825","Mar 23, 2023"
22-03-2023,240.00,240.00,235.00,236.14,232.65,"67,495","Mar 22, 2023"
21-03-2023,237.00,240.86,233.96,238.04,234.52,"58,997","Mar 21, 2023"
20-03-2023,240.71,240.71,230.54,237.00,233.50,"98,070","Mar 20, 2023"
17-03-2023,245.00,246.79,239.32,241.00,237.44,"137,137","Mar 17, 2023"
16-03-2023,230.00,244.86,225.71,242.71,239.13,"338,980","Mar 16, 2023"
15-03-2023,224.29,231.79,223.93,229.79,226.39,"323,790","Mar 15, 2023"
14-03-2023,227.21,230.57,221.43,223.14,219.84,"83,809","Mar 14, 2023"
13-03-2023,236.46,237.61,225.00,227.21,223.85,"331,409","Mar 13, 2023"
10-03-2023,240.75,240.75,234.71,236.46,232.97,"148,344","Mar 10, 2023"
09-03-2023,242.07,243.43,239.68,241.07,237.51,"114,779","Mar 09, 2023"
08-03-2023,241.43,245.11,238.82,240.68,237.12,"79,326","Mar 08, 2023"
06-03-2023,242.86,244.29,240.11,241.61,238.04,"129,834","Mar 06, 2023"
03-03-2023,241.43,241.96,238.93,240.29,236.73,"190,488","Mar 03, 2023"
02-03-2023,237.86,242.86,237.86,239.43,235.89,"146,819","Mar 02, 2023"
01-03-2023,233.89,240.39,233.89,239.25,235.71,"118,834","Mar 01, 2023"
28-02-2023,230.79,240.00,230.79,233.89,230.43,"185,684","Feb 28, 2023"
27-02-2023,238.57,239.43,228.43,230.11,226.71,"158,809","Feb 27, 2023"
24-02-2023,239.71,243.46,236.61,238.11,234.59,"110,643","Feb 24, 2023"
23-02-2023,240.14,246.39,235.89,240.11,236.56,"258,521","Feb 23, 2023"
22-02-2023,243.61,243.86,237.86,239.61,236.06,"105,137","Feb 22, 2023"
21-02-2023,248.57,252.21,242.96,244.43,240.81,"141,470","Feb 21, 2023"
20-02-2023,254.96,255.75,249.29,250.82,247.11,"180,160","Feb 20, 2023"
17-02-2023,255.54,260.11,253.57,254.61,250.84,"216,360","Feb 17, 2023"
16-02-2023,246.43,262.86,246.43,259.43,255.59,"589,352","Feb 16, 2023"
15-02-2023,254.29,254.29,243.82,244.86,241.24,"174,273","Feb 15, 2023"
14-02-2023,239.29,252.39,228.57,250.36,246.66,"537,608","Feb 14, 2023"
13-02-2023,251.43,256.21,239.29,240.11,236.56,"198,816","Feb 13, 2023"
10-02-2023,264.14,264.21,252.86,255.00,251.23,"236,213","Feb 10, 2023"
09-02-2023,265.18,270.00,260.71,262.75,258.87,"151,005","Feb 09, 2023"
08-02-2023,266.25,268.39,260.93,263.43,259.53,"234,644","Feb 08, 2023"
07-02-2023,260.64,267.07,258.57,264.96,261.05,"337,524","Feb 07, 2023"
06-02-2023,259.79,266.29,257.32,260.71,256.86,"282,919","Feb 06, 2023"
03-02-2023,257.14,263.57,249.04,258.93,255.10,"226,210","Feb 03, 2023"
02-02-2023,245.07,261.68,245.00,255.64,251.86,"365,436","Feb 02, 2023"
01-02-2023,254.93,259.93,240.68,245.46,241.84,"293,687","Feb 01, 2023"
31-01-2023,241.50,254.04,240.21,252.39,248.66,"214,893","Jan 31, 2023"
30-01-2023,242.86,249.50,237.89,240.75,237.19,"261,055","Jan 30, 2023"
27-01-2023,250.43,252.46,235.96,241.21,237.65,"341,136","Jan 27, 2023"
25-01-2023,261.79,263.18,252.50,253.96,250.21,"197,930","Jan 25, 2023"
24-01-2023,258.29,263.43,252.18,261.36,257.49,"327,912","Jan 24, 2023"
23-01-2023,266.04,277.64,258.29,260.96,257.11,"710,057","Jan 23, 2023"
20-01-2023,263.57,267.86,262.07,265.93,262.00,"305,002","Jan 20, 2023"
19-01-2023,266.39,267.89,260.86,262.64,258.76,"149,413","Jan 19, 2023"
18-01-2023,259.50,270.36,257.11,266.46,262.52,"958,693","Jan 18, 2023"
17-01-2023,255.18,263.93,255.04,258.39,254.57,"187,989","Jan 17, 2023"
16-01-2023,259.93,262.39,255.25,256.93,253.13,"96,919","Jan 16, 2023"
13-01-2023,265.36,266.68,259.29,259.93,256.09,"174,468","Jan 13, 2023"
12-01-2023,267.89,269.82,263.07,265.96,262.03,"206,697","Jan 12, 2023"
11-01-2023,260.79,274.43,259.43,268.50,264.53,"441,147","Jan 11, 2023"
10-01-2023,267.18,267.21,257.18,262.29,258.41,"320,391","Jan 10, 2023"
09-01-2023,272.57,274.21,266.07,267.21,263.26,"519,937","Jan 09, 2023"
06-01-2023,252.21,276.29,250.68,271.75,267.73,"2,190,021","Jan 06, 2023"
05-01-2023,258.68,264.43,252.64,253.75,250.00,"491,523","Jan 05, 2023"
04-01-2023,247.79,261.36,243.29,258.21,254.40,"778,226","Jan 04, 2023"
03-01-2023,246.96,252.86,242.21,248.07,244.40,"545,844","Jan 03, 2023"
02-01-2023,235.36,247.14,235.29,245.11,241.48,"881,105","Jan 02, 2023"
30-12-2022,228.50,241.32,226.79,235.21,231.74,"581,350","Dec 30, 2022"
29-12-2022,225.93,229.50,222.14,226.96,223.61,"121,553","Dec 29, 2022"
28-12-2022,229.11,229.11,224.57,225.93,222.59,"98,992","Dec 28, 2022"
27-12-2022,224.82,231.14,223.64,227.36,224.00,"205,546","Dec 27, 2022"
26-12-2022,213.07,224.75,210.75,223.04,219.74,"124,948","Dec 26, 2022"
23-12-2022,217.14,220.32,210.29,213.43,210.27,"625,717","Dec 23, 2022"
22-12-2022,225.64,229.82,217.93,219.75,216.50,"259,698","Dec 22, 2022"
