date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,3.9000,3.9000,3.9000,3.9000,3.9000,"62,749","Aug 25, 2023"
24-08-2023,3.8500,3.8500,3.8500,3.8500,3.8500,"105,546","Aug 24, 2023"
23-08-2023,3.8000,3.8500,3.8000,3.8000,3.8000,"83,786","Aug 23, 2023"
22-08-2023,3.8500,3.9000,3.8500,3.8500,3.8500,"123,842","Aug 22, 2023"
21-08-2023,3.9000,3.9000,3.9000,3.9000,3.9000,"125,055","Aug 21, 2023"
18-08-2023,3.9500,4.0000,3.9500,3.9500,3.9500,"170,562","Aug 18, 2023"
17-08-2023,4.0000,4.0000,4.0000,4.0000,4.0000,"280,017","Aug 17, 2023"
16-08-2023,4.0500,4.0500,4.0500,4.0500,4.0500,"64,877","Aug 16, 2023"
14-08-2023,4.1000,4.1000,4.0500,4.1000,4.1000,"54,973","Aug 14, 2023"
11-08-2023,4.1000,4.1500,4.1000,4.1000,4.1000,"149,297","Aug 11, 2023"
10-08-2023,4.1500,4.1500,4.0500,4.1500,4.1500,"45,662","Aug 10, 2023"
09-08-2023,4.1000,4.1000,4.0000,4.1000,4.1000,"485,344","Aug 09, 2023"
08-08-2023,4.0500,4.0500,4.0500,4.0500,4.0500,"74,340","Aug 08, 2023"
07-08-2023,4.1000,4.1000,4.1000,4.1000,4.1000,"94,237","Aug 07, 2023"
04-08-2023,4.1500,4.1500,4.1500,4.1500,4.1500,"48,898","Aug 04, 2023"
03-08-2023,4.2000,4.2000,4.2000,4.2000,4.2000,"25,523","Aug 03, 2023"
02-08-2023,4.2500,4.2500,4.2500,4.2500,4.2500,"16,310","Aug 02, 2023"
01-08-2023,4.3000,4.3000,4.3000,4.3000,4.3000,"49,858","Aug 01, 2023"
31-07-2023,4.3500,4.3500,4.3500,4.3500,4.3500,"22,674","Jul 31, 2023"
28-07-2023,4.4000,4.4000,4.4000,4.4000,4.4000,"23,355","Jul 28, 2023"
27-07-2023,4.4500,4.4500,4.4500,4.4500,4.4500,"30,072","Jul 27, 2023"
26-07-2023,4.5000,4.5500,4.4500,4.5000,4.5000,"40,859","Jul 26, 2023"
25-07-2023,4.5500,4.6500,4.5500,4.5500,4.5500,"27,532","Jul 25, 2023"
24-07-2023,4.9000,5.0500,4.6000,4.6000,4.6000,"461,831","Jul 24, 2023"
21-07-2023,4.8500,4.8500,4.5000,4.8500,4.8500,"576,275","Jul 21, 2023"
20-07-2023,4.6500,4.6500,4.5500,4.6500,4.6500,"540,775","Jul 20, 2023"
19-07-2023,4.3000,4.4500,4.3000,4.4500,4.4500,"119,588","Jul 19, 2023"
18-07-2023,4.2000,4.3000,4.0500,4.2500,4.2500,"406,934","Jul 18, 2023"
17-07-2023,4.2000,4.2500,4.0500,4.1000,4.1000,"403,020","Jul 17, 2023"
14-07-2023,4.3000,4.3000,4.0500,4.1500,4.1500,"179,557","Jul 14, 2023"
13-07-2023,4.4000,4.4000,4.2000,4.2000,4.2000,"202,715","Jul 13, 2023"
12-07-2023,4.4000,4.4000,4.2500,4.3500,4.3500,"180,677","Jul 12, 2023"
11-07-2023,4.4000,4.5000,4.3500,4.4500,4.4500,"130,938","Jul 11, 2023"
10-07-2023,4.7000,4.7000,4.4000,4.4500,4.4500,"571,491","Jul 10, 2023"
07-07-2023,4.7000,4.7500,4.5000,4.6000,4.6000,"257,288","Jul 07, 2023"
06-07-2023,4.6500,4.8000,4.5500,4.6000,4.6000,"330,187","Jul 06, 2023"
05-07-2023,4.7500,4.8500,4.6500,4.6500,4.6500,"352,474","Jul 05, 2023"
04-07-2023,4.8000,4.9000,4.7000,4.7500,4.7500,"248,702","Jul 04, 2023"
03-07-2023,5.0000,5.0000,4.7500,4.8000,4.8000,"327,059","Jul 03, 2023"
30-06-2023,4.8500,4.8500,4.7000,4.8000,4.8000,"358,580","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,4.9000,4.9000,4.7500,4.8000,4.8000,"244,073","Jun 27, 2023"
26-06-2023,4.9000,4.9000,4.7500,4.8000,4.8000,"211,447","Jun 26, 2023"
23-06-2023,5.0000,5.0500,4.8000,4.9000,4.9000,"377,332","Jun 23, 2023"
22-06-2023,5.0500,5.1500,4.8500,4.9000,4.9000,"434,580","Jun 22, 2023"
21-06-2023,4.8500,4.9500,4.8000,4.9500,4.9500,"230,137","Jun 21, 2023"
20-06-2023,4.9000,5.0500,4.8000,4.8000,4.8000,"523,758","Jun 20, 2023"
19-06-2023,5.1000,5.2000,4.9000,4.9500,4.9500,"276,705","Jun 19, 2023"
16-06-2023,5.0000,5.1000,4.9000,5.1000,5.1000,"450,390","Jun 16, 2023"
15-06-2023,5.0000,5.1000,4.8000,4.9000,4.9000,"693,386","Jun 15, 2023"
14-06-2023,5.0500,5.3500,5.0000,5.0000,5.0000,"801,405","Jun 14, 2023"
13-06-2023,5.4500,5.4500,5.2000,5.2500,5.2500,"374,460","Jun 13, 2023"
12-06-2023,5.7000,5.7000,5.3000,5.4000,5.4000,"420,078","Jun 12, 2023"
09-06-2023,5.4000,5.5500,5.3000,5.5500,5.5500,"330,150","Jun 09, 2023"
08-06-2023,5.4500,5.5000,5.3000,5.3000,5.3000,"305,536","Jun 08, 2023"
07-06-2023,5.5500,5.6000,5.3500,5.4500,5.4500,"338,440","Jun 07, 2023"
06-06-2023,5.7000,5.7500,5.5000,5.5500,5.5500,"372,515","Jun 06, 2023"
05-06-2023,5.9000,5.9000,5.6500,5.7000,5.7000,"941,283","Jun 05, 2023"
02-06-2023,5.8500,5.9500,5.7500,5.8000,5.8000,"272,118","Jun 02, 2023"
01-06-2023,5.8000,5.9000,5.7000,5.8000,5.8000,"925,211","Jun 01, 2023"
31-05-2023,5.8500,5.9500,5.6500,5.8000,5.8000,"503,714","May 31, 2023"
30-05-2023,6.0000,6.0000,5.8500,5.9000,5.9000,"357,269","May 30, 2023"
29-05-2023,5.9500,6.1500,5.8500,5.9000,5.9000,"433,604","May 29, 2023"
26-05-2023,6.1500,6.2000,5.9000,5.9500,5.9500,"227,505","May 26, 2023"
25-05-2023,6.0000,6.2000,5.9500,6.1000,6.1000,"356,977","May 25, 2023"
24-05-2023,6.0000,6.0500,5.9000,5.9500,5.9500,"167,394","May 24, 2023"
23-05-2023,6.2500,6.2500,5.9500,6.0000,6.0000,"281,142","May 23, 2023"
22-05-2023,6.1500,6.3000,6.0000,6.1500,6.1500,"232,780","May 22, 2023"
19-05-2023,6.4500,6.4500,6.1000,6.1500,6.1500,"393,276","May 19, 2023"
18-05-2023,6.2000,6.4000,6.0500,6.3500,6.3500,"1,201,321","May 18, 2023"
17-05-2023,6.2000,6.5000,6.0000,6.1000,6.1000,"1,832,649","May 17, 2023"
16-05-2023,6.1000,6.2000,5.8500,6.2000,6.2000,"1,575,154","May 16, 2023"
15-05-2023,5.9500,6.0500,5.9500,5.9500,5.9500,"177,593","May 15, 2023"
12-05-2023,6.0500,6.1000,5.9000,5.9500,5.9500,"174,301","May 12, 2023"
11-05-2023,6.0500,6.0500,5.8500,6.0000,6.0000,"237,452","May 11, 2023"
10-05-2023,6.0000,6.2000,5.7500,5.9000,5.9000,"647,550","May 10, 2023"
09-05-2023,6.1000,6.2500,5.9000,6.0500,6.0500,"402,048","May 09, 2023"
08-05-2023,6.1000,6.2500,5.9500,6.0500,6.0500,"359,163","May 08, 2023"
05-05-2023,6.1500,6.3000,5.9000,6.1000,6.1000,"755,498","May 05, 2023"
04-05-2023,5.8000,6.0000,5.7500,6.0000,6.0000,"266,139","May 04, 2023"
03-05-2023,5.8500,5.8500,5.7500,5.7500,5.7500,"219,287","May 03, 2023"
02-05-2023,5.8000,5.9000,5.8000,5.8500,5.8500,"205,984","May 02, 2023"
28-04-2023,5.8500,5.9000,5.7500,5.8500,5.8500,"413,471","Apr 28, 2023"
27-04-2023,5.9000,5.9500,5.7500,5.8500,5.8500,"198,904","Apr 27, 2023"
26-04-2023,5.9500,6.0000,5.8500,5.9000,5.9000,"666,649","Apr 26, 2023"
25-04-2023,6.0000,6.0500,5.9000,5.9500,5.9500,"108,218","Apr 25, 2023"
24-04-2023,6.0000,6.0500,5.9000,5.9500,5.9500,"110,755","Apr 24, 2023"
21-04-2023,6.0500,6.0500,5.8500,5.9000,5.9000,"470,629","Apr 21, 2023"
20-04-2023,6.0000,6.1000,5.9500,6.0000,6.0000,"129,709","Apr 20, 2023"
19-04-2023,6.0000,6.2000,5.9000,6.0000,6.0000,"338,466","Apr 19, 2023"
18-04-2023,6.1500,6.1500,6.0000,6.0500,6.0500,"396,338","Apr 18, 2023"
17-04-2023,6.1000,6.1500,5.9500,6.0500,6.0500,"237,768","Apr 17, 2023"
13-04-2023,6.1500,6.1500,5.8000,6.0000,6.0000,"458,042","Apr 13, 2023"
12-04-2023,6.2000,6.4000,5.8000,6.0000,6.0000,"1,641,942","Apr 12, 2023"
11-04-2023,5.9000,6.1000,5.5500,6.1000,6.1000,"2,319,179","Apr 11, 2023"
10-04-2023,5.8500,5.8500,5.8500,5.8500,5.8500,"101,384","Apr 10, 2023"
06-04-2023,5.6000,5.6000,5.6000,5.6000,5.6000,"141,990","Apr 06, 2023"
05-04-2023,5.3500,5.3500,5.3500,5.3500,5.3500,"82,108","Apr 05, 2023"
03-04-2023,4.7000,5.1000,4.7000,5.1000,5.1000,"1,312,481","Apr 03, 2023"
31-03-2023,4.9000,4.9000,4.9000,4.9000,4.9000,"443,924","Mar 31, 2023"
29-03-2023,5.1500,5.1500,5.1500,5.1500,5.1500,"253,476","Mar 29, 2023"
28-03-2023,5.6000,5.6000,5.4000,5.4000,5.4000,"233,763","Mar 28, 2023"
27-03-2023,5.8500,5.8500,5.6500,5.6500,5.6500,"974,778","Mar 27, 2023"
24-03-2023,6.2000,6.3500,5.9500,5.9500,5.9500,"904,966","Mar 24, 2023"
23-03-2023,6.2000,6.4000,6.2000,6.2500,6.2500,"204,169","Mar 23, 2023"
22-03-2023,6.4000,6.5000,6.2000,6.3000,6.3000,"419,678","Mar 22, 2023"
21-03-2023,6.5000,6.5500,6.1500,6.2000,6.2000,"633,151","Mar 21, 2023"
20-03-2023,6.9500,6.9500,6.4000,6.4500,6.4500,"941,144","Mar 20, 2023"
17-03-2023,6.6000,6.7500,6.4500,6.6500,6.6500,"1,137,262","Mar 17, 2023"
16-03-2023,6.5500,6.6000,6.4500,6.4500,6.4500,"1,830,946","Mar 16, 2023"
15-03-2023,6.7500,7.2000,6.7500,6.7500,6.7500,"1,879,358","Mar 15, 2023"
14-03-2023,7.1000,7.2000,7.1000,7.1000,7.1000,"847,914","Mar 14, 2023"
13-03-2023,7.4500,7.6500,7.4500,7.4500,7.4500,"1,031,415","Mar 13, 2023"
10-03-2023,8.2000,8.3000,7.8500,7.8500,7.8500,"1,510,763","Mar 10, 2023"
09-03-2023,8.2000,8.2500,8.0000,8.2500,8.2500,"1,332,302","Mar 09, 2023"
08-03-2023,7.8000,7.9000,7.6500,7.9000,7.9000,"453,803","Mar 08, 2023"
06-03-2023,7.3500,7.5500,7.1000,7.5500,7.5500,"1,146,155","Mar 06, 2023"
03-03-2023,7.2000,7.2000,6.5500,7.2000,7.2000,"3,149,803","Mar 03, 2023"
02-03-2023,6.9000,6.9000,6.9000,6.9000,6.9000,"224,868","Mar 02, 2023"
01-03-2023,6.6000,6.6000,6.6000,6.6000,6.6000,"364,065","Mar 01, 2023"
28-02-2023,6.3000,6.3000,6.3000,6.3000,6.3000,"38,484","Feb 28, 2023"
27-02-2023,6.0000,6.0000,5.6500,6.0000,6.0000,"1,534,991","Feb 27, 2023"
24-02-2023,5.7500,5.7500,5.7500,5.7500,5.7500,"172,428","Feb 24, 2023"
23-02-2023,5.5000,5.5000,5.5000,5.5000,5.5000,"70,749","Feb 23, 2023"
22-02-2023,4.8000,5.2500,4.7500,5.2500,5.2500,"2,923,944","Feb 22, 2023"
21-02-2023,5.1500,5.2500,5.0000,5.0000,5.0000,"2,952,318","Feb 21, 2023"
20-02-2023,5.7000,5.7500,5.2500,5.2500,5.2500,"3,782,012","Feb 20, 2023"
17-02-2023,6.5000,6.5000,5.8000,5.8000,5.8000,"3,174,442","Feb 17, 2023"
16-02-2023,6.6500,6.6500,6.2500,6.4000,6.4000,"639,523","Feb 16, 2023"
15-02-2023,6.5500,6.7500,6.4500,6.5000,6.5000,"406,179","Feb 15, 2023"
14-02-2023,6.7500,6.8000,6.5000,6.5500,6.5500,"825,278","Feb 14, 2023"
13-02-2023,7.2000,7.5000,6.7000,6.7500,6.7500,"403,937","Feb 13, 2023"
10-02-2023,6.8500,7.1000,6.6500,7.0000,7.0000,"464,359","Feb 10, 2023"
09-02-2023,6.5000,6.8500,6.3000,6.7000,6.7000,"758,125","Feb 09, 2023"
08-02-2023,6.5000,6.5500,6.2500,6.4000,6.4000,"545,493","Feb 08, 2023"
07-02-2023,7.0000,7.0000,6.4000,6.4500,6.4500,"829,953","Feb 07, 2023"
06-02-2023,6.7500,7.0000,6.6500,6.7000,6.7000,"650,686","Feb 06, 2023"
03-02-2023,6.9500,7.0000,6.6000,6.8000,6.8000,"455,099","Feb 03, 2023"
02-02-2023,6.8500,7.1000,6.7500,6.8500,6.8500,"868,006","Feb 02, 2023"
01-02-2023,7.0000,7.2000,6.8000,6.8500,6.8500,"867,137","Feb 01, 2023"
31-01-2023,7.1000,7.2500,6.8500,6.9500,6.9500,"897,075","Jan 31, 2023"
30-01-2023,7.4500,7.4500,7.0500,7.0500,7.0500,"940,047","Jan 30, 2023"
27-01-2023,7.7500,7.7500,7.3500,7.4000,7.4000,"418,879","Jan 27, 2023"
25-01-2023,7.7000,7.8500,7.5500,7.6500,7.6500,"336,074","Jan 25, 2023"
24-01-2023,8.1500,8.1500,7.7000,7.7500,7.7500,"464,536","Jan 24, 2023"
23-01-2023,8.3000,8.3000,7.9500,8.0000,8.0000,"310,696","Jan 23, 2023"
20-01-2023,8.4000,8.4000,8.1000,8.1500,8.1500,"421,928","Jan 20, 2023"
19-01-2023,7.9500,8.2000,7.7500,8.2000,8.2000,"292,112","Jan 19, 2023"
18-01-2023,7.9500,7.9500,7.6500,7.8500,7.8500,"192,839","Jan 18, 2023"
17-01-2023,7.7500,7.9500,7.6500,7.7000,7.7000,"367,105","Jan 17, 2023"
16-01-2023,7.8500,8.0500,7.6500,7.7500,7.7500,"674,598","Jan 16, 2023"
13-01-2023,7.8000,8.3000,7.7500,7.9500,7.9500,"1,453,225","Jan 13, 2023"
12-01-2023,8.3500,8.3500,7.9000,7.9500,7.9500,"436,920","Jan 12, 2023"
