date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,111.00,111.00,105.50,105.50,105.50,217,"Aug 25, 2023"
24-08-2023,110.00,111.00,110.00,111.00,111.00,121,"Aug 24, 2023"
23-08-2023,111.00,111.00,111.00,111.00,111.00,309,"Aug 23, 2023"
22-08-2023,104.30,111.00,104.30,111.00,111.00,112,"Aug 22, 2023"
21-08-2023,106.40,109.80,106.40,106.40,106.40,"1,811","Aug 21, 2023"
18-08-2023,112.10,112.10,112.00,112.00,112.00,105,"Aug 18, 2023"
17-08-2023,117.60,117.60,112.10,112.10,112.10,471,"Aug 17, 2023"
16-08-2023,112.00,112.00,112.00,112.00,112.00,10,"Aug 16, 2023"
14-08-2023,113.50,113.50,110.25,112.40,112.40,638,"Aug 14, 2023"
11-08-2023,107.95,108.85,103.75,108.85,108.85,453,"Aug 11, 2023"
10-08-2023,104.20,106.20,103.60,103.70,103.70,249,"Aug 10, 2023"
09-08-2023,109.00,111.00,109.00,109.00,109.00,187,"Aug 09, 2023"
08-08-2023,106.00,109.00,105.70,109.00,109.00,642,"Aug 08, 2023"
07-08-2023,109.25,110.00,104.60,104.70,104.70,"1,598","Aug 07, 2023"
04-08-2023,109.00,113.70,108.00,109.25,109.25,814,"Aug 04, 2023"
03-08-2023,112.10,112.10,108.50,108.65,108.65,934,"Aug 03, 2023"
02-08-2023,116.00,116.00,111.20,112.10,112.10,253,"Aug 02, 2023"
01-08-2023,119.45,119.45,114.00,117.00,117.00,528,"Aug 01, 2023"
31-07-2023,115.00,120.00,112.60,120.00,120.00,"1,311","Jul 31, 2023"
28-07-2023,120.00,120.00,114.50,118.50,118.50,315,"Jul 28, 2023"
27-07-2023,120.00,120.00,119.50,119.50,119.50,7,"Jul 27, 2023"
26-07-2023,114.75,115.00,114.75,114.75,114.75,129,"Jul 26, 2023"
25-07-2023,124.55,124.55,113.75,114.75,114.75,881,"Jul 25, 2023"
24-07-2023,121.55,122.05,118.55,118.65,118.65,"1,794","Jul 24, 2023"
21-07-2023,118.00,121.50,113.60,118.65,118.65,665,"Jul 21, 2023"
20-07-2023,120.90,120.90,118.00,118.00,118.00,168,"Jul 20, 2023"
19-07-2023,117.00,120.90,117.00,118.65,118.65,504,"Jul 19, 2023"
18-07-2023,112.10,119.50,111.00,118.60,118.60,264,"Jul 18, 2023"
17-07-2023,116.00,116.00,111.05,116.00,116.00,480,"Jul 17, 2023"
14-07-2023,116.20,116.20,116.10,116.15,116.15,4,"Jul 14, 2023"
13-07-2023,116.20,116.20,116.10,116.20,116.20,147,"Jul 13, 2023"
12-07-2023,116.00,121.70,115.90,119.20,119.20,482,"Jul 12, 2023"
11-07-2023,107.50,117.20,107.50,116.00,116.00,160,"Jul 11, 2023"
10-07-2023,122.50,122.50,112.10,112.15,112.15,"1,235","Jul 10, 2023"
07-07-2023,108.00,118.10,108.00,118.00,118.00,822,"Jul 07, 2023"
06-07-2023,118.05,118.05,112.50,112.50,112.50,456,"Jul 06, 2023"
05-07-2023,119.50,119.50,113.50,118.40,118.40,9,"Jul 05, 2023"
04-07-2023,113.20,119.50,112.60,119.00,119.00,290,"Jul 04, 2023"
03-07-2023,119.80,119.80,113.90,118.50,118.50,398,"Jul 03, 2023"
30-06-2023,114.00,119.90,113.90,119.80,119.80,601,"Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,116.20,116.20,116.20,116.20,116.20,809,"Jun 27, 2023"
26-06-2023,122.30,122.30,122.30,122.30,122.30,116,"Jun 26, 2023"
23-06-2023,129.05,129.20,128.70,128.70,128.70,534,"Jun 23, 2023"
22-06-2023,149.00,149.00,135.45,135.45,135.45,"8,199","Jun 22, 2023"
21-06-2023,142.00,142.65,137.00,142.55,142.55,"15,144","Jun 21, 2023"
20-06-2023,129.90,135.90,129.75,135.90,135.90,"12,754","Jun 20, 2023"
19-06-2023,116.00,123.55,113.25,123.55,123.55,"6,535","Jun 19, 2023"
16-06-2023,108.35,113.95,106.35,112.35,112.35,"1,739","Jun 16, 2023"
15-06-2023,105.15,109.15,103.15,106.30,106.30,762,"Jun 15, 2023"
14-06-2023,105.65,105.70,104.15,105.65,105.65,737,"Jun 14, 2023"
13-06-2023,105.00,105.75,104.00,105.65,105.65,607,"Jun 13, 2023"
12-06-2023,103.25,104.95,103.25,103.55,103.55,304,"Jun 12, 2023"
09-06-2023,104.45,106.35,98.10,102.10,102.10,"2,643","Jun 09, 2023"
08-06-2023,104.95,107.70,103.25,104.40,104.40,"1,139","Jun 08, 2023"
07-06-2023,106.00,106.70,103.30,105.00,105.00,774,"Jun 07, 2023"
06-06-2023,105.15,109.30,105.15,106.95,106.95,183,"Jun 06, 2023"
05-06-2023,106.00,107.45,102.80,104.70,104.70,"1,349","Jun 05, 2023"
02-06-2023,107.05,108.95,105.65,106.80,106.80,369,"Jun 02, 2023"
01-06-2023,110.50,110.50,108.05,108.95,108.95,407,"Jun 01, 2023"
31-05-2023,108.00,110.50,108.00,110.05,110.05,538,"May 31, 2023"
30-05-2023,107.35,110.50,107.25,107.60,107.60,875,"May 30, 2023"
29-05-2023,107.05,107.35,107.05,107.30,107.30,113,"May 29, 2023"
26-05-2023,108.65,108.65,108.65,108.65,108.65,-,"May 26, 2023"
25-05-2023,108.10,109.50,107.55,108.65,108.65,518,"May 25, 2023"
24-05-2023,109.95,111.55,109.05,110.90,110.90,615,"May 24, 2023"
23-05-2023,112.00,117.10,108.00,109.90,109.90,"2,139","May 23, 2023"
22-05-2023,111.95,111.95,107.15,111.65,111.65,363,"May 22, 2023"
19-05-2023,109.05,110.00,105.10,106.65,106.65,668,"May 19, 2023"
18-05-2023,111.30,114.05,109.00,109.10,109.10,189,"May 18, 2023"
17-05-2023,112.85,116.00,111.00,111.00,111.00,872,"May 17, 2023"
16-05-2023,114.30,116.35,114.05,114.10,114.10,45,"May 16, 2023"
15-05-2023,119.00,119.00,114.05,114.30,114.30,359,"May 15, 2023"
12-05-2023,114.00,117.90,114.00,117.80,117.80,"1,008","May 12, 2023"
11-05-2023,116.00,117.00,113.00,114.40,114.40,924,"May 11, 2023"
10-05-2023,122.50,122.50,112.70,113.25,113.25,"3,776","May 10, 2023"
09-05-2023,115.00,119.25,115.00,118.60,118.60,"2,034","May 09, 2023"
08-05-2023,113.30,116.75,113.30,113.60,113.60,399,"May 08, 2023"
05-05-2023,119.95,119.95,113.25,115.25,115.25,"1,092","May 05, 2023"
04-05-2023,117.75,121.40,117.35,119.20,119.20,"2,108","May 04, 2023"
03-05-2023,114.55,119.55,113.90,117.35,117.35,"1,893","May 03, 2023"
02-05-2023,117.60,122.20,115.00,119.90,119.90,"4,066","May 02, 2023"
28-04-2023,116.40,116.40,111.10,116.40,116.40,"2,484","Apr 28, 2023"
27-04-2023,107.45,110.90,107.35,110.90,110.90,"2,578","Apr 27, 2023"
26-04-2023,105.00,112.00,101.85,105.65,105.65,"2,472","Apr 26, 2023"
25-04-2023,112.10,112.50,107.20,107.20,107.20,"1,932","Apr 25, 2023"
24-04-2023,118.65,118.75,112.80,112.80,112.80,"2,483","Apr 24, 2023"
21-04-2023,119.00,119.00,117.05,118.70,118.70,149,"Apr 21, 2023"
20-04-2023,123.05,124.45,118.30,118.40,118.40,"1,455","Apr 20, 2023"
19-04-2023,128.05,130.70,124.35,124.50,124.50,"3,112","Apr 19, 2023"
18-04-2023,137.30,142.95,130.45,130.90,130.90,"13,316","Apr 18, 2023"
17-04-2023,132.00,137.30,112.40,137.30,137.30,"11,917","Apr 17, 2023"
