date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,19.40,19.40,18.55,18.95,18.95,"8,326","Aug 25, 2023"
24-08-2023,19.50,19.70,18.25,19.15,19.15,"18,912","Aug 24, 2023"
23-08-2023,19.50,19.90,19.05,19.20,19.20,"12,251","Aug 23, 2023"
22-08-2023,19.80,20.00,19.20,19.70,19.70,"14,912","Aug 22, 2023"
21-08-2023,19.95,20.80,19.50,19.80,19.80,"16,725","Aug 21, 2023"
18-08-2023,19.95,20.35,19.80,19.95,19.95,"6,507","Aug 18, 2023"
17-08-2023,19.60,20.00,19.10,19.40,19.40,"5,822","Aug 17, 2023"
16-08-2023,20.85,20.85,19.30,19.60,19.60,"7,030","Aug 16, 2023"
14-08-2023,20.45,20.45,19.30,20.10,20.10,"11,499","Aug 14, 2023"
11-08-2023,19.95,20.30,19.95,20.20,20.20,"7,948","Aug 11, 2023"
10-08-2023,20.85,20.85,19.80,19.95,19.95,"25,155","Aug 10, 2023"
09-08-2023,21.25,21.25,20.40,20.75,20.75,"14,391","Aug 09, 2023"
08-08-2023,20.85,21.80,20.60,20.65,20.65,"25,082","Aug 08, 2023"
07-08-2023,21.10,21.60,20.65,20.85,20.85,"16,585","Aug 07, 2023"
04-08-2023,20.20,20.75,19.75,20.65,20.65,"26,039","Aug 04, 2023"
03-08-2023,20.40,20.95,19.60,19.80,19.80,"23,905","Aug 03, 2023"
02-08-2023,19.60,20.55,19.60,20.50,20.50,"41,413","Aug 02, 2023"
01-08-2023,20.50,20.50,19.55,19.60,19.60,"38,536","Aug 01, 2023"
31-07-2023,21.60,21.60,20.15,20.55,20.55,"14,508","Jul 31, 2023"
28-07-2023,21.85,21.85,20.25,20.85,20.85,"29,907","Jul 28, 2023"
27-07-2023,21.10,22.25,21.00,21.10,21.10,"23,514","Jul 27, 2023"
26-07-2023,23.25,23.80,21.75,22.10,22.10,"31,029","Jul 26, 2023"
25-07-2023,23.15,23.40,22.00,22.75,22.75,"43,595","Jul 25, 2023"
24-07-2023,20.25,22.30,20.20,22.30,22.30,"53,853","Jul 24, 2023"
21-07-2023,21.25,21.25,21.25,21.25,21.25,"24,582","Jul 21, 2023"
20-07-2023,23.00,23.00,22.35,22.35,22.35,"8,708","Jul 20, 2023"
19-07-2023,25.00,25.00,23.40,23.50,23.50,"77,344","Jul 19, 2023"
18-07-2023,25.65,26.00,24.05,24.55,24.55,"102,402","Jul 18, 2023"
17-07-2023,24.30,26.55,24.25,24.80,24.80,"342,685","Jul 17, 2023"
14-07-2023,26.90,27.80,24.15,24.15,24.15,"579,206","Jul 14, 2023"
13-07-2023,25.45,28.65,24.85,26.80,26.80,"2,311,084","Jul 13, 2023"
12-07-2023,21.10,23.90,20.60,23.90,23.90,"358,119","Jul 12, 2023"
11-07-2023,20.00,20.45,19.55,19.95,19.95,"82,908","Jul 11, 2023"
10-07-2023,18.95,19.95,18.95,19.15,19.15,"84,031","Jul 10, 2023"
07-07-2023,19.00,19.35,18.00,18.65,18.65,"86,240","Jul 07, 2023"
06-07-2023,18.45,18.45,17.30,17.80,17.80,"13,947","Jul 06, 2023"
05-07-2023,18.40,18.50,17.05,17.75,17.75,"33,127","Jul 05, 2023"
04-07-2023,17.95,18.55,17.75,18.25,18.25,"49,817","Jul 04, 2023"
03-07-2023,17.50,18.15,17.30,17.65,17.65,"48,415","Jul 03, 2023"
30-06-2023,17.50,18.50,16.60,16.85,16.85,"61,196","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,19.95,19.95,16.05,16.95,16.95,"11,697","Jun 27, 2023"
