date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,11.30,11.30,10.90,10.90,10.90,"56,672","Aug 25, 2023"
24-08-2023,11.10,11.10,11.00,11.10,11.10,"88,316","Aug 24, 2023"
23-08-2023,10.80,11.20,10.80,10.90,10.90,"69,127","Aug 23, 2023"
22-08-2023,11.00,11.00,11.00,11.00,11.00,"14,077","Aug 22, 2023"
21-08-2023,11.20,11.60,11.20,11.20,11.20,"49,930","Aug 21, 2023"
18-08-2023,11.65,11.65,11.25,11.40,11.40,"157,975","Aug 18, 2023"
17-08-2023,11.45,11.45,11.45,11.45,11.45,"54,869","Aug 17, 2023"
16-08-2023,11.25,11.25,11.25,11.25,11.25,"29,447","Aug 16, 2023"
14-08-2023,11.05,11.05,11.05,11.05,11.05,"172,735","Aug 14, 2023"
11-08-2023,10.85,10.85,10.45,10.85,10.85,"47,683","Aug 11, 2023"
10-08-2023,10.65,10.65,10.65,10.65,10.65,"42,330","Aug 10, 2023"
09-08-2023,10.85,10.85,10.85,10.85,10.85,"1,984","Aug 09, 2023"
08-08-2023,11.05,11.05,11.05,11.05,11.05,290,"Aug 08, 2023"
07-08-2023,11.25,11.25,11.25,11.25,11.25,"3,032","Aug 07, 2023"
04-08-2023,11.45,11.45,11.45,11.45,11.45,"26,211","Aug 04, 2023"
03-08-2023,11.65,11.65,11.65,11.65,11.65,"16,803","Aug 03, 2023"
02-08-2023,11.85,11.85,11.85,11.85,11.85,485,"Aug 02, 2023"
01-08-2023,12.10,12.10,12.10,12.10,12.10,"4,382","Aug 01, 2023"
31-07-2023,12.35,12.35,12.35,12.35,12.35,"19,491","Jul 31, 2023"
28-07-2023,12.60,12.60,12.60,12.60,12.60,"7,234","Jul 28, 2023"
27-07-2023,12.40,12.40,12.30,12.40,12.40,"54,862","Jul 27, 2023"
26-07-2023,12.20,12.20,12.00,12.20,12.20,"106,711","Jul 26, 2023"
25-07-2023,12.00,12.00,11.65,12.00,12.00,"235,706","Jul 25, 2023"
24-07-2023,11.80,11.85,11.80,11.80,11.80,"158,886","Jul 24, 2023"
21-07-2023,12.05,12.05,12.05,12.05,12.05,-,"Jul 21, 2023"
20-07-2023,12.05,12.05,12.05,12.05,12.05,-,"Jul 20, 2023"
19-07-2023,12.05,12.05,12.05,12.05,12.05,-,"Jul 19, 2023"
18-07-2023,12.05,12.05,12.05,12.05,12.05,-,"Jul 18, 2023"
17-07-2023,12.05,12.05,12.05,12.05,12.05,"24,811","Jul 17, 2023"
14-07-2023,12.30,12.30,12.30,12.30,12.30,-,"Jul 14, 2023"
13-07-2023,12.30,12.30,12.30,12.30,12.30,-,"Jul 13, 2023"
12-07-2023,12.30,12.30,12.30,12.30,12.30,-,"Jul 12, 2023"
11-07-2023,12.30,12.30,12.30,12.30,12.30,-,"Jul 11, 2023"
10-07-2023,12.30,12.30,12.30,12.30,12.30,-,"Jul 10, 2023"
07-07-2023,12.30,12.30,12.30,12.30,12.30,"26,444","Jul 07, 2023"
06-07-2023,12.10,12.10,12.10,12.10,12.10,"4,336","Jul 06, 2023"
05-07-2023,11.90,11.90,11.90,11.90,11.90,"25,858","Jul 05, 2023"
04-07-2023,11.70,11.70,11.70,11.70,11.70,"28,793","Jul 04, 2023"
03-07-2023,11.50,11.50,11.50,11.50,11.50,"6,851","Jul 03, 2023"
30-06-2023,11.30,11.30,11.30,11.30,11.30,"9,447","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,10.90,10.90,10.90,10.90,10.90,"51,495","Jun 27, 2023"
26-06-2023,10.70,10.70,10.70,10.70,10.70,"32,587","Jun 26, 2023"
23-06-2023,10.50,10.50,10.50,10.50,10.50,"16,584","Jun 23, 2023"
22-06-2023,10.30,10.30,10.30,10.30,10.30,"16,622","Jun 22, 2023"
21-06-2023,10.10,10.10,10.10,10.10,10.10,"8,214","Jun 21, 2023"
20-06-2023,9.95,9.95,9.95,9.95,9.95,"5,954","Jun 20, 2023"
19-06-2023,9.80,9.80,9.80,9.80,9.80,"10,483","Jun 19, 2023"
16-06-2023,9.65,9.65,9.65,9.65,9.65,"12,443","Jun 16, 2023"
15-06-2023,9.50,9.50,9.50,9.50,9.50,"15,975","Jun 15, 2023"
14-06-2023,9.35,9.35,9.35,9.35,9.35,"3,671","Jun 14, 2023"
13-06-2023,9.20,9.20,9.20,9.20,9.20,"4,811","Jun 13, 2023"
12-06-2023,9.05,9.05,9.05,9.05,9.05,"14,067","Jun 12, 2023"
09-06-2023,8.90,8.90,8.90,8.90,8.90,"19,594","Jun 09, 2023"
08-06-2023,8.75,8.75,8.75,8.75,8.75,"8,290","Jun 08, 2023"
07-06-2023,8.60,8.60,8.60,8.60,8.60,"9,265","Jun 07, 2023"
06-06-2023,8.45,8.45,8.45,8.45,8.45,"16,029","Jun 06, 2023"
