date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,743.85,752.00,736.45,739.05,739.05,"768,270","Aug 25, 2023"
24-08-2023,734.00,748.85,728.55,745.80,745.80,"2,556,581","Aug 24, 2023"
23-08-2023,728.45,737.85,727.00,731.25,731.25,"1,329,218","Aug 23, 2023"
22-08-2023,712.25,729.75,708.85,728.50,728.50,"2,220,325","Aug 22, 2023"
21-08-2023,711.10,716.70,705.35,708.85,708.85,"1,704,679","Aug 21, 2023"
18-08-2023,703.45,719.40,701.40,711.05,711.05,"2,034,025","Aug 18, 2023"
17-08-2023,702.00,707.40,696.60,698.40,698.40,"1,814,426","Aug 17, 2023"
16-08-2023,702.00,708.90,696.00,700.70,700.70,"1,513,243","Aug 16, 2023"
14-08-2023,704.00,710.80,699.05,706.60,706.60,"635,962","Aug 14, 2023"
11-08-2023,704.45,708.35,697.10,704.95,704.95,"649,337","Aug 11, 2023"
10-08-2023,717.40,718.25,697.10,701.90,701.90,"3,017,173","Aug 10, 2023"
09-08-2023,725.80,729.95,712.10,717.40,717.40,"1,773,008","Aug 09, 2023"
08-08-2023,725.00,729.70,701.40,720.80,720.80,"2,866,317","Aug 08, 2023"
07-08-2023,729.05,742.00,723.10,725.95,725.95,"1,456,816","Aug 07, 2023"
04-08-2023,737.50,743.05,729.40,738.90,738.90,"1,294,794","Aug 04, 2023"
03-08-2023,728.80,737.25,718.65,728.25,728.25,"2,475,873","Aug 03, 2023"
02-08-2023,720.15,730.65,714.00,725.90,725.90,"2,041,223","Aug 02, 2023"
01-08-2023,730.10,733.55,719.10,721.65,721.65,"1,152,184","Aug 01, 2023"
31-07-2023,716.00,732.00,716.00,729.85,729.85,"1,322,632","Jul 31, 2023"
28-07-2023,731.90,734.40,722.85,725.20,725.20,"1,383,577","Jul 28, 2023"
27-07-2023,735.05,738.40,724.40,729.20,729.20,"2,055,123","Jul 27, 2023"
26-07-2023,738.00,738.90,730.40,732.00,732.00,"1,174,015","Jul 26, 2023"
25-07-2023,745.00,745.30,725.10,731.30,731.30,"1,865,463","Jul 25, 2023"
24-07-2023,740.00,744.00,726.45,739.15,739.15,"3,665,805","Jul 24, 2023"
21-07-2023,770.05,775.85,761.05,767.30,767.30,"795,389","Jul 21, 2023"
20-07-2023,772.90,776.85,765.00,772.35,772.35,"1,504,123","Jul 20, 2023"
19-07-2023,770.00,775.40,761.65,769.35,769.35,"1,119,253","Jul 19, 2023"
18-07-2023,768.95,774.35,764.05,769.90,769.90,"1,034,645","Jul 18, 2023"
17-07-2023,784.00,786.00,763.40,767.45,767.45,"1,279,206","Jul 17, 2023"
14-07-2023,760.00,782.50,759.20,781.25,781.25,"1,319,880","Jul 14, 2023"
13-07-2023,773.05,784.70,758.70,760.20,760.20,"2,268,892","Jul 13, 2023"
12-07-2023,767.45,772.90,753.15,770.75,770.75,"4,025,563","Jul 12, 2023"
11-07-2023,767.90,776.75,761.20,763.55,763.55,"818,918","Jul 11, 2023"
10-07-2023,761.95,769.00,750.50,763.75,763.75,"1,131,126","Jul 10, 2023"
07-07-2023,787.25,787.45,758.00,761.65,761.65,"1,466,776","Jul 07, 2023"
06-07-2023,768.45,792.00,766.05,789.85,789.85,"1,665,090","Jul 06, 2023"
05-07-2023,777.05,782.50,761.10,769.05,769.05,"2,810,140","Jul 05, 2023"
04-07-2023,760.45,780.75,753.30,777.20,777.20,"1,783,462","Jul 04, 2023"
03-07-2023,760.00,763.20,755.80,760.25,760.25,"988,169","Jul 03, 2023"
30-06-2023,754.00,759.80,747.45,753.65,753.65,"1,725,775","Jun 30, 2023"
28-06-2023,749.80,749.80,749.80,749.80,749.80,-,"Jun 28, 2023"
