date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,535.00,536.85,523.55,527.95,527.95,"51,061","Aug 25, 2023"
24-08-2023,525.25,544.70,525.25,536.75,536.75,"117,352","Aug 24, 2023"
23-08-2023,526.30,531.00,520.00,524.05,524.05,"37,858","Aug 23, 2023"
22-08-2023,534.50,535.20,521.45,523.45,523.45,"45,652","Aug 22, 2023"
21-08-2023,520.00,533.00,518.45,529.50,529.50,"49,158","Aug 21, 2023"
18-08-2023,542.35,544.00,526.25,528.15,528.15,"40,487","Aug 18, 2023"
17-08-2023,533.70,545.15,533.70,541.05,541.05,"40,541","Aug 17, 2023"
16-08-2023,534.75,537.90,526.40,532.10,532.10,"37,979","Aug 16, 2023"
14-08-2023,546.60,547.00,533.25,535.25,535.25,"47,840","Aug 14, 2023"
11-08-2023,555.00,561.60,541.15,546.60,546.60,"50,690","Aug 11, 2023"
10-08-2023,569.10,576.30,554.85,558.05,558.05,"98,055","Aug 10, 2023"
09-08-2023,573.00,581.10,568.95,572.30,572.30,"68,755","Aug 09, 2023"
08-08-2023,575.70,576.00,565.00,570.60,570.60,"43,613","Aug 08, 2023"
07-08-2023,578.60,585.75,569.50,572.15,572.15,"79,383","Aug 07, 2023"
04-08-2023,574.00,587.20,571.15,573.65,573.65,"91,389","Aug 04, 2023"
03-08-2023,571.80,597.95,560.65,571.55,571.55,"228,285","Aug 03, 2023"
02-08-2023,580.20,589.70,561.00,570.35,570.35,"85,156","Aug 02, 2023"
01-08-2023,588.00,590.00,576.35,584.30,584.30,"58,780","Aug 01, 2023"
31-07-2023,581.50,597.95,578.20,586.15,586.15,"88,754","Jul 31, 2023"
28-07-2023,586.90,589.10,576.15,579.80,579.80,"65,331","Jul 28, 2023"
27-07-2023,599.70,599.70,578.75,584.70,584.70,"88,914","Jul 27, 2023"
26-07-2023,597.00,610.95,591.00,597.70,597.70,"160,615","Jul 26, 2023"
25-07-2023,598.80,604.00,587.40,595.50,595.50,"191,866","Jul 25, 2023"
24-07-2023,581.40,614.00,577.85,597.25,597.25,"642,521","Jul 24, 2023"
21-07-2023,551.00,573.80,545.45,570.35,570.35,"168,355","Jul 21, 2023"
20-07-2023,548.75,567.50,548.75,553.60,553.60,"153,879","Jul 20, 2023"
19-07-2023,554.45,554.50,540.35,542.00,542.00,"43,730","Jul 19, 2023"
18-07-2023,561.95,563.65,540.10,548.70,548.70,"57,877","Jul 18, 2023"
17-07-2023,556.30,566.65,551.25,559.35,559.35,"93,094","Jul 17, 2023"
14-07-2023,541.50,575.90,526.40,552.10,552.10,"294,000","Jul 14, 2023"
13-07-2023,541.00,546.25,538.55,540.85,540.85,"68,935","Jul 13, 2023"
12-07-2023,534.75,548.20,532.00,541.00,541.00,"136,654","Jul 12, 2023"
11-07-2023,545.70,545.70,537.00,541.65,541.65,"88,071","Jul 11, 2023"
10-07-2023,536.25,549.55,535.50,543.20,543.20,"96,966","Jul 10, 2023"
07-07-2023,526.95,544.00,525.70,533.50,533.50,"117,657","Jul 07, 2023"
06-07-2023,524.90,529.70,523.00,525.45,525.45,"51,361","Jul 06, 2023"
05-07-2023,525.00,528.00,519.00,523.90,523.90,"65,140","Jul 05, 2023"
04-07-2023,533.20,536.70,519.35,523.10,523.10,"99,897","Jul 04, 2023"
03-07-2023,541.75,543.15,530.00,531.30,531.30,"65,488","Jul 03, 2023"
30-06-2023,539.90,550.25,537.35,539.05,539.05,"101,129","Jun 30, 2023"
28-06-2023,545.30,545.30,545.30,545.30,545.30,-,"Jun 28, 2023"
27-06-2023,538.75,548.00,533.10,545.30,545.30,"93,553","Jun 27, 2023"
26-06-2023,530.50,539.90,525.40,536.10,536.10,"67,095","Jun 26, 2023"
23-06-2023,539.30,546.75,525.00,528.95,528.95,"221,540","Jun 23, 2023"
22-06-2023,517.95,564.50,514.95,537.80,537.80,"986,508","Jun 22, 2023"
21-06-2023,514.70,526.00,509.25,516.75,516.75,"167,565","Jun 21, 2023"
20-06-2023,510.10,519.90,505.10,512.80,512.80,"90,983","Jun 20, 2023"
19-06-2023,515.00,517.00,506.90,512.00,512.00,"51,459","Jun 19, 2023"
16-06-2023,501.90,517.50,500.90,506.45,506.45,"110,146","Jun 16, 2023"
15-06-2023,506.90,507.00,494.90,498.40,498.40,"63,235","Jun 15, 2023"
14-06-2023,510.00,513.90,502.50,504.70,504.70,"39,128","Jun 14, 2023"
13-06-2023,515.80,519.00,506.05,508.45,508.45,"45,131","Jun 13, 2023"
12-06-2023,519.20,524.25,507.95,512.95,512.95,"112,101","Jun 12, 2023"
09-06-2023,502.90,518.80,502.90,515.20,515.20,"237,677","Jun 09, 2023"
08-06-2023,506.70,512.90,493.85,494.90,494.90,"87,911","Jun 08, 2023"
07-06-2023,481.60,515.90,477.50,506.10,506.10,"391,525","Jun 07, 2023"
06-06-2023,483.30,484.60,476.50,479.65,479.65,"27,809","Jun 06, 2023"
05-06-2023,486.70,491.00,480.75,482.25,482.25,"37,418","Jun 05, 2023"
02-06-2023,484.40,493.00,480.00,482.15,482.15,"52,090","Jun 02, 2023"
01-06-2023,477.30,486.70,477.30,482.40,482.40,"39,061","Jun 01, 2023"
31-05-2023,475.00,480.10,472.00,476.95,476.95,"33,709","May 31, 2023"
30-05-2023,482.00,482.05,471.80,475.55,475.55,"35,773","May 30, 2023"
29-05-2023,484.40,486.00,478.00,480.95,480.95,"81,366","May 29, 2023"
26-05-2023,483.50,490.45,479.00,481.95,481.95,"54,294","May 26, 2023"
25-05-2023,482.05,488.95,480.90,483.45,483.45,"36,329","May 25, 2023"
24-05-2023,482.90,490.60,478.10,482.05,482.05,"42,572","May 24, 2023"
23-05-2023,491.15,494.40,482.00,483.70,483.70,"27,192","May 23, 2023"
22-05-2023,489.70,496.00,483.50,492.00,492.00,"42,045","May 22, 2023"
19-05-2023,494.50,494.50,477.75,490.10,490.10,"82,067","May 19, 2023"
18-05-2023,500.50,503.50,490.10,493.15,493.15,"46,226","May 18, 2023"
17-05-2023,500.00,508.65,495.00,498.20,498.20,"49,938","May 17, 2023"
16-05-2023,506.00,515.50,496.25,498.10,498.10,"86,057","May 16, 2023"
15-05-2023,504.80,510.70,496.00,504.25,504.25,"63,426","May 15, 2023"
12-05-2023,516.60,524.05,495.15,502.70,502.70,"121,314","May 12, 2023"
11-05-2023,516.00,523.60,512.50,516.60,516.60,"67,756","May 11, 2023"
10-05-2023,517.20,522.05,506.25,510.25,510.25,"81,373","May 10, 2023"
09-05-2023,537.40,537.40,512.20,514.60,514.60,"161,788","May 09, 2023"
08-05-2023,507.00,554.00,506.00,532.95,532.95,"603,985","May 08, 2023"
05-05-2023,509.80,514.05,500.10,503.05,503.05,"41,732","May 05, 2023"
04-05-2023,505.00,520.75,504.05,507.65,507.65,"113,368","May 04, 2023"
03-05-2023,497.95,514.50,495.00,503.00,503.00,"91,556","May 03, 2023"
02-05-2023,506.65,509.00,496.05,499.40,499.40,"63,245","May 02, 2023"
28-04-2023,512.50,512.50,502.05,506.65,506.65,"47,137","Apr 28, 2023"
27-04-2023,508.00,517.30,504.95,506.35,506.35,"57,735","Apr 27, 2023"
26-04-2023,512.00,518.00,505.35,508.45,508.45,"73,806","Apr 26, 2023"
25-04-2023,515.00,522.40,507.70,510.50,510.50,"135,673","Apr 25, 2023"
24-04-2023,495.05,508.80,491.45,505.10,505.10,"70,182","Apr 24, 2023"
21-04-2023,515.00,515.05,494.05,498.95,498.95,"143,693","Apr 21, 2023"
20-04-2023,504.00,524.00,495.80,500.10,500.10,"208,497","Apr 20, 2023"
19-04-2023,472.05,513.85,472.05,501.05,501.05,"260,717","Apr 19, 2023"
18-04-2023,484.00,492.10,467.45,475.70,475.70,"59,753","Apr 18, 2023"
17-04-2023,467.55,485.00,466.05,481.70,481.70,"68,445","Apr 17, 2023"
13-04-2023,478.75,478.80,463.30,470.90,470.90,"53,395","Apr 13, 2023"
12-04-2023,479.25,497.00,475.65,478.05,478.05,"214,480","Apr 12, 2023"
11-04-2023,471.75,478.00,461.90,475.10,475.10,"85,215","Apr 11, 2023"
10-04-2023,475.00,478.05,463.30,468.40,468.40,"66,071","Apr 10, 2023"
06-04-2023,467.25,479.80,460.00,464.15,464.15,"197,330","Apr 06, 2023"
05-04-2023,455.00,466.00,450.85,458.20,458.20,"121,986","Apr 05, 2023"
03-04-2023,443.60,459.80,441.00,448.90,448.90,"121,178","Apr 03, 2023"
31-03-2023,450.00,456.00,432.20,436.15,436.15,"117,380","Mar 31, 2023"
29-03-2023,402.00,435.00,402.00,430.65,430.65,"99,071","Mar 29, 2023"
28-03-2023,406.60,406.95,392.00,400.70,400.70,"56,190","Mar 28, 2023"
27-03-2023,423.30,423.30,401.50,405.15,405.15,"58,282","Mar 27, 2023"
24-03-2023,432.15,434.70,418.05,420.40,420.40,"26,453","Mar 24, 2023"
23-03-2023,430.05,445.00,426.40,432.60,432.60,"107,353","Mar 23, 2023"
22-03-2023,432.90,436.80,427.05,429.30,429.30,"28,386","Mar 22, 2023"
21-03-2023,422.80,432.40,420.00,428.60,428.60,"33,647","Mar 21, 2023"
20-03-2023,426.40,426.50,412.95,419.20,419.20,"36,506","Mar 20, 2023"
17-03-2023,427.00,435.00,422.10,424.85,424.85,"26,754","Mar 17, 2023"
16-03-2023,431.00,431.00,419.75,424.35,424.35,"30,537","Mar 16, 2023"
15-03-2023,442.80,448.00,427.65,430.50,430.50,"41,512","Mar 15, 2023"
14-03-2023,450.50,454.75,436.05,439.25,439.25,"40,845","Mar 14, 2023"
13-03-2023,475.80,481.10,446.45,450.30,450.30,"79,836","Mar 13, 2023"
10-03-2023,467.05,491.00,460.50,475.80,475.80,"201,625","Mar 10, 2023"
09-03-2023,487.90,489.50,467.90,471.40,471.40,"107,290","Mar 09, 2023"
08-03-2023,441.70,504.00,440.05,489.50,489.50,"557,528","Mar 08, 2023"
06-03-2023,434.00,453.70,434.00,442.05,442.05,"56,186","Mar 06, 2023"
03-03-2023,434.95,438.95,430.00,431.75,431.75,"33,427","Mar 03, 2023"
02-03-2023,430.15,442.10,427.80,430.75,430.75,"28,676","Mar 02, 2023"
01-03-2023,417.50,433.90,417.50,429.35,429.35,"33,659","Mar 01, 2023"
28-02-2023,428.90,431.90,414.05,416.40,416.40,"30,585","Feb 28, 2023"
27-02-2023,437.20,437.20,420.05,422.90,422.90,"25,328","Feb 27, 2023"
24-02-2023,434.70,444.30,434.40,436.45,436.45,"21,607","Feb 24, 2023"
23-02-2023,439.00,442.30,431.35,433.20,433.20,"25,763","Feb 23, 2023"
22-02-2023,450.05,450.05,430.85,437.05,437.05,"34,111","Feb 22, 2023"
21-02-2023,456.50,457.90,448.80,451.35,451.35,"15,697","Feb 21, 2023"
20-02-2023,456.00,459.90,446.10,457.05,457.05,"34,895","Feb 20, 2023"
17-02-2023,461.00,477.20,455.00,456.00,456.00,"44,326","Feb 17, 2023"
16-02-2023,451.80,471.25,445.15,466.30,466.30,"54,213","Feb 16, 2023"
15-02-2023,434.70,455.90,433.35,450.75,450.75,"48,039","Feb 15, 2023"
14-02-2023,440.00,445.35,432.00,432.95,432.95,"38,476","Feb 14, 2023"
13-02-2023,455.90,456.50,439.40,443.35,443.35,"49,685","Feb 13, 2023"
10-02-2023,450.85,461.00,450.00,452.10,452.10,"46,698","Feb 10, 2023"
09-02-2023,455.65,461.00,444.75,450.90,450.90,"26,477","Feb 09, 2023"
08-02-2023,455.00,460.05,449.80,454.50,454.50,"34,094","Feb 08, 2023"
07-02-2023,462.95,464.45,451.00,452.80,452.80,"36,207","Feb 07, 2023"
06-02-2023,467.00,470.00,452.10,458.60,458.60,"81,833","Feb 06, 2023"
03-02-2023,479.40,481.40,461.00,466.90,466.90,"25,932","Feb 03, 2023"
02-02-2023,476.05,487.95,470.00,475.90,475.90,"22,074","Feb 02, 2023"
01-02-2023,495.20,501.90,469.15,478.30,478.30,"40,225","Feb 01, 2023"
31-01-2023,479.00,495.00,472.00,490.65,490.65,"31,169","Jan 31, 2023"
30-01-2023,471.00,484.70,468.00,472.50,472.50,"28,523","Jan 30, 2023"
