date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,555.95,555.95,528.00,533.00,533.00,"21,102","Aug 25, 2023"
24-08-2023,551.00,560.00,541.00,542.45,542.45,"33,761","Aug 24, 2023"
23-08-2023,565.90,574.00,545.00,551.10,551.10,"41,114","Aug 23, 2023"
22-08-2023,550.65,578.75,550.65,551.45,551.45,"68,863","Aug 22, 2023"
21-08-2023,570.00,582.30,536.00,579.60,579.60,"86,906","Aug 21, 2023"
18-08-2023,583.95,583.95,550.00,554.60,554.60,"36,573","Aug 18, 2023"
17-08-2023,579.70,605.00,560.00,576.05,576.05,"77,522","Aug 17, 2023"
16-08-2023,577.00,579.70,561.00,579.70,579.70,"29,464","Aug 16, 2023"
14-08-2023,539.95,552.10,526.35,552.10,552.10,"57,037","Aug 14, 2023"
11-08-2023,542.95,542.95,522.55,525.85,525.85,"43,688","Aug 11, 2023"
10-08-2023,519.95,531.00,508.00,520.05,520.05,"34,558","Aug 10, 2023"
09-08-2023,547.90,547.90,504.00,525.95,525.95,"153,363","Aug 09, 2023"
08-08-2023,492.25,521.85,480.00,521.85,521.85,"89,800","Aug 08, 2023"
07-08-2023,456.85,501.00,453.80,497.00,497.00,"69,296","Aug 07, 2023"
04-08-2023,472.50,487.00,472.05,477.65,477.65,"19,603","Aug 04, 2023"
03-08-2023,472.00,482.00,465.00,472.00,472.00,"23,405","Aug 03, 2023"
02-08-2023,479.95,488.95,460.00,469.50,469.50,"29,269","Aug 02, 2023"
01-08-2023,494.00,503.80,470.00,475.95,475.95,"44,415","Aug 01, 2023"
31-07-2023,464.20,487.40,455.00,487.40,487.40,"35,799","Jul 31, 2023"
28-07-2023,480.00,480.00,455.55,464.20,464.20,"16,694","Jul 28, 2023"
27-07-2023,490.75,490.75,465.55,479.30,479.30,"31,220","Jul 27, 2023"
26-07-2023,478.00,478.00,460.00,467.75,467.75,"34,092","Jul 26, 2023"
25-07-2023,450.00,471.95,441.25,471.95,471.95,"60,938","Jul 25, 2023"
24-07-2023,466.00,477.00,448.20,449.50,449.50,"65,864","Jul 24, 2023"
21-07-2023,480.75,493.65,465.10,471.75,471.75,"44,948","Jul 21, 2023"
20-07-2023,485.00,494.50,479.50,486.65,486.65,"18,913","Jul 20, 2023"
19-07-2023,485.00,495.95,481.00,487.15,487.15,"27,175","Jul 19, 2023"
18-07-2023,500.00,502.00,480.00,485.80,485.80,"49,122","Jul 18, 2023"
17-07-2023,466.00,509.00,466.00,494.00,494.00,"32,082","Jul 17, 2023"
14-07-2023,516.95,516.95,479.50,488.35,488.35,"40,976","Jul 14, 2023"
13-07-2023,505.00,530.00,490.00,501.10,501.10,"117,887","Jul 13, 2023"
12-07-2023,507.60,507.60,480.25,507.60,507.60,"102,909","Jul 12, 2023"
11-07-2023,465.00,483.45,465.00,483.45,483.45,"46,860","Jul 11, 2023"
10-07-2023,455.00,478.10,455.00,460.45,460.45,"22,997","Jul 10, 2023"
07-07-2023,470.10,476.00,447.00,455.35,455.35,"38,884","Jul 07, 2023"
06-07-2023,485.00,485.00,468.00,470.10,470.10,"30,773","Jul 06, 2023"
05-07-2023,476.00,490.00,470.05,483.05,483.05,"26,495","Jul 05, 2023"
04-07-2023,485.00,485.00,461.00,471.65,471.65,"54,274","Jul 04, 2023"
03-07-2023,467.00,494.00,467.00,481.20,481.20,"133,039","Jul 03, 2023"
30-06-2023,506.90,517.00,474.55,482.05,482.05,"667,194","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,475.75,475.75,475.75,475.75,475.75,"52,192","Jun 27, 2023"
26-06-2023,453.10,453.10,443.00,453.10,453.10,"137,756","Jun 26, 2023"
23-06-2023,431.55,431.55,418.55,431.55,431.55,"122,644","Jun 23, 2023"
22-06-2023,419.85,424.00,405.75,411.00,411.00,"129,426","Jun 22, 2023"
21-06-2023,436.00,443.40,416.40,422.65,422.65,"487,528","Jun 21, 2023"
20-06-2023,417.50,422.30,405.05,422.30,422.30,"100,013","Jun 20, 2023"
19-06-2023,400.00,402.20,391.35,402.20,402.20,"64,912","Jun 19, 2023"
16-06-2023,368.15,383.05,365.95,383.05,383.05,"48,512","Jun 16, 2023"
15-06-2023,371.00,378.90,357.25,364.85,364.85,"88,344","Jun 15, 2023"
14-06-2023,371.50,378.80,371.00,371.50,371.50,"49,354","Jun 14, 2023"
13-06-2023,393.65,397.00,379.00,380.05,380.05,"72,306","Jun 13, 2023"
12-06-2023,376.95,392.50,376.95,388.45,388.45,"68,435","Jun 12, 2023"
09-06-2023,370.15,379.35,370.15,374.95,374.95,"35,301","Jun 09, 2023"
08-06-2023,392.75,392.75,370.10,373.35,373.35,"88,021","Jun 08, 2023"
07-06-2023,396.05,397.75,380.05,389.55,389.55,"102,387","Jun 07, 2023"
06-06-2023,397.00,411.40,394.00,400.05,400.05,"468,163","Jun 06, 2023"
05-06-2023,378.00,391.85,367.15,391.85,391.85,"169,391","Jun 05, 2023"
02-06-2023,359.30,373.20,358.30,373.20,373.20,"156,896","Jun 02, 2023"
01-06-2023,358.50,363.50,354.00,355.45,355.45,"31,381","Jun 01, 2023"
31-05-2023,359.45,364.70,346.05,358.50,358.50,"51,249","May 31, 2023"
30-05-2023,373.95,379.85,353.60,359.85,359.85,"94,397","May 30, 2023"
29-05-2023,360.05,376.00,360.05,370.30,370.30,"81,304","May 29, 2023"
26-05-2023,388.95,389.90,355.60,366.55,366.55,"117,805","May 26, 2023"
25-05-2023,385.00,386.95,363.60,374.30,374.30,"77,298","May 25, 2023"
24-05-2023,378.00,387.45,369.00,374.15,374.15,"52,961","May 24, 2023"
23-05-2023,394.00,403.00,373.70,378.30,378.30,"144,413","May 23, 2023"
22-05-2023,373.30,385.45,357.00,385.45,385.45,"190,011","May 22, 2023"
19-05-2023,351.40,367.10,345.00,367.10,367.10,"197,904","May 19, 2023"
18-05-2023,333.95,350.20,332.55,349.65,349.65,"285,737","May 18, 2023"
17-05-2023,325.20,336.90,325.00,333.55,333.55,"36,158","May 17, 2023"
16-05-2023,316.75,328.80,314.20,324.85,324.85,"70,326","May 16, 2023"
15-05-2023,339.35,342.00,320.05,322.55,322.55,"133,482","May 15, 2023"
12-05-2023,341.45,344.15,329.55,336.90,336.90,"61,174","May 12, 2023"
11-05-2023,336.00,342.90,333.00,339.40,339.40,"35,653","May 11, 2023"
10-05-2023,343.70,351.00,330.25,333.15,333.15,"74,217","May 10, 2023"
09-05-2023,318.25,341.70,318.25,338.70,338.70,"145,220","May 09, 2023"
08-05-2023,339.00,345.20,320.25,325.50,325.50,"94,161","May 08, 2023"
05-05-2023,342.85,350.45,336.05,337.10,337.10,"51,242","May 05, 2023"
04-05-2023,341.10,352.30,325.95,345.55,345.55,"342,248","May 04, 2023"
03-05-2023,320.40,335.55,313.50,335.55,335.55,"199,448","May 03, 2023"
02-05-2023,301.00,319.70,301.00,319.60,319.60,"144,939","May 02, 2023"
28-04-2023,302.65,310.70,302.05,304.50,304.50,"31,197","Apr 28, 2023"
27-04-2023,308.65,309.15,303.15,304.35,304.35,"20,712","Apr 27, 2023"
26-04-2023,304.35,312.00,300.05,308.60,308.60,"36,261","Apr 26, 2023"
25-04-2023,299.80,311.35,296.85,302.75,302.75,"65,430","Apr 25, 2023"
