date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,26.85,26.85,26.00,26.35,26.35,"175,129","Aug 25, 2023"
24-08-2023,26.55,27.30,26.30,26.40,26.40,"442,840","Aug 24, 2023"
23-08-2023,26.20,26.25,25.95,26.00,26.00,"167,327","Aug 23, 2023"
22-08-2023,26.35,26.35,25.95,26.00,26.00,"168,745","Aug 22, 2023"
21-08-2023,26.35,26.35,25.95,26.10,26.10,"239,474","Aug 21, 2023"
18-08-2023,26.40,26.40,26.00,26.10,26.10,"197,046","Aug 18, 2023"
17-08-2023,26.35,26.40,26.00,26.10,26.10,"160,925","Aug 17, 2023"
16-08-2023,26.60,26.60,26.00,26.05,26.05,"212,895","Aug 16, 2023"
14-08-2023,26.70,26.70,26.00,26.05,26.05,"202,728","Aug 14, 2023"
11-08-2023,26.80,26.80,26.00,26.40,26.40,"403,693","Aug 11, 2023"
10-08-2023,26.95,26.95,26.00,26.30,26.30,"297,071","Aug 10, 2023"
09-08-2023,26.85,27.35,26.15,26.40,26.40,"544,553","Aug 09, 2023"
08-08-2023,26.45,26.45,25.80,26.05,26.05,"227,339","Aug 08, 2023"
07-08-2023,26.90,26.90,25.95,26.00,26.00,"168,737","Aug 07, 2023"
04-08-2023,26.65,26.70,25.90,26.05,26.05,"251,291","Aug 04, 2023"
03-08-2023,26.65,26.90,25.95,26.45,26.45,"223,065","Aug 03, 2023"
02-08-2023,27.15,27.60,26.10,26.30,26.30,"347,650","Aug 02, 2023"
01-08-2023,27.10,27.20,26.45,26.50,26.50,"214,511","Aug 01, 2023"
31-07-2023,27.45,27.50,26.00,26.35,26.35,"245,438","Jul 31, 2023"
28-07-2023,27.50,27.50,27.00,27.05,27.05,"238,702","Jul 28, 2023"
27-07-2023,27.30,27.75,26.50,27.10,27.10,"245,920","Jul 27, 2023"
26-07-2023,27.00,27.50,27.00,27.00,27.00,"770,364","Jul 26, 2023"
25-07-2023,25.55,26.75,25.50,26.35,26.35,"1,992,877","Jul 25, 2023"
24-07-2023,25.70,25.75,25.40,25.50,25.50,"681,935","Jul 24, 2023"
21-07-2023,25.60,26.00,25.50,25.65,25.65,"519,522","Jul 21, 2023"
20-07-2023,25.75,25.80,25.50,25.65,25.65,"627,178","Jul 20, 2023"
19-07-2023,25.85,25.85,25.50,25.65,25.65,"420,231","Jul 19, 2023"
18-07-2023,25.65,25.90,25.50,25.65,25.65,"605,022","Jul 18, 2023"
17-07-2023,26.00,26.05,25.50,25.60,25.60,"342,350","Jul 17, 2023"
14-07-2023,26.00,26.20,25.45,25.70,25.70,"421,335","Jul 14, 2023"
13-07-2023,26.10,26.40,25.70,25.85,25.85,"662,188","Jul 13, 2023"
12-07-2023,26.55,26.95,25.65,26.10,26.10,"1,377,251","Jul 12, 2023"
11-07-2023,26.20,27.00,25.70,26.50,26.50,"1,305,899","Jul 11, 2023"
10-07-2023,26.05,26.50,25.75,26.15,26.15,"784,509","Jul 10, 2023"
07-07-2023,26.30,26.40,25.90,26.00,26.00,"714,708","Jul 07, 2023"
06-07-2023,26.35,26.55,25.95,26.00,26.00,"620,250","Jul 06, 2023"
05-07-2023,26.25,27.20,25.90,26.05,26.05,"882,059","Jul 05, 2023"
04-07-2023,26.05,26.30,25.95,26.00,26.00,"559,629","Jul 04, 2023"
03-07-2023,26.25,26.40,25.95,26.05,26.05,"850,245","Jul 03, 2023"
30-06-2023,26.30,26.30,25.95,26.05,26.05,"1,238,384","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,26.75,26.75,26.30,26.40,26.40,"770,887","Jun 27, 2023"
26-06-2023,26.90,27.40,26.40,26.55,26.55,"1,417,844","Jun 26, 2023"
23-06-2023,27.15,27.30,26.25,26.40,26.40,"1,467,047","Jun 23, 2023"
22-06-2023,27.40,27.80,26.85,27.15,27.15,"1,060,967","Jun 22, 2023"
21-06-2023,28.25,28.35,27.00,27.25,27.25,"1,101,472","Jun 21, 2023"
20-06-2023,28.90,29.80,27.60,28.00,28.00,"1,278,727","Jun 20, 2023"
19-06-2023,27.25,28.60,27.25,28.45,28.45,"1,288,032","Jun 19, 2023"
16-06-2023,27.05,27.55,27.00,27.25,27.25,"1,181,243","Jun 16, 2023"
15-06-2023,27.10,27.65,26.90,27.05,27.05,"630,851","Jun 15, 2023"
14-06-2023,27.45,27.45,26.85,27.10,27.10,"560,707","Jun 14, 2023"
13-06-2023,27.85,27.85,27.10,27.25,27.25,"881,229","Jun 13, 2023"
12-06-2023,27.80,27.95,27.25,27.40,27.40,"816,734","Jun 12, 2023"
09-06-2023,28.45,28.50,27.20,27.45,27.45,"1,028,791","Jun 09, 2023"
08-06-2023,28.40,29.05,27.70,27.90,27.90,"2,170,446","Jun 08, 2023"
07-06-2023,25.70,28.15,25.70,27.70,27.70,"4,944,515","Jun 07, 2023"
06-06-2023,27.05,28.00,27.05,27.05,27.05,"3,313,440","Jun 06, 2023"
05-06-2023,28.45,28.45,28.45,28.45,28.45,"349,667","Jun 05, 2023"
02-06-2023,31.65,32.45,29.95,29.95,29.95,"3,769,521","Jun 02, 2023"
01-06-2023,30.90,31.55,30.50,31.50,31.50,"3,414,778","Jun 01, 2023"
31-05-2023,30.05,30.05,28.90,30.05,30.05,"2,901,549","May 31, 2023"
30-05-2023,28.50,28.65,28.40,28.65,28.65,"488,280","May 30, 2023"
29-05-2023,27.15,27.30,26.00,27.30,27.30,"2,037,081","May 29, 2023"
26-05-2023,27.35,27.40,25.75,26.00,26.00,"1,695,192","May 26, 2023"
25-05-2023,27.95,27.95,26.30,26.90,26.90,"1,613,290","May 25, 2023"
24-05-2023,28.40,28.40,27.05,27.50,27.50,"2,906,750","May 24, 2023"
23-05-2023,27.95,28.70,26.55,27.75,27.75,"4,208,397","May 23, 2023"
22-05-2023,27.35,27.35,25.75,27.35,27.35,"4,407,410","May 22, 2023"
19-05-2023,27.35,27.35,24.75,26.05,26.05,"13,799,327","May 19, 2023"
18-05-2023,26.15,27.00,26.05,26.05,26.05,"3,512,115","May 18, 2023"
17-05-2023,27.40,28.40,27.40,27.40,27.40,"3,391,160","May 17, 2023"
16-05-2023,31.85,31.85,28.85,28.85,28.85,"8,576,961","May 16, 2023"
15-05-2023,27.95,30.85,27.95,30.35,30.35,"11,086,736","May 15, 2023"
12-05-2023,29.40,29.40,29.40,29.40,29.40,"467,820","May 12, 2023"
11-05-2023,30.95,30.95,30.95,30.95,30.95,"143,847","May 11, 2023"
10-05-2023,32.55,32.55,32.55,32.55,32.55,"211,016","May 10, 2023"
09-05-2023,34.25,34.25,34.25,34.25,34.25,"289,586","May 09, 2023"
08-05-2023,36.05,36.05,36.05,36.05,36.05,"317,219","May 08, 2023"
05-05-2023,37.95,37.95,37.95,37.95,37.95,"224,569","May 05, 2023"
04-05-2023,42.15,42.15,42.15,42.15,42.15,"177,693","May 04, 2023"
03-05-2023,46.80,46.80,46.80,46.80,46.80,"213,772","May 03, 2023"
02-05-2023,52.00,52.00,52.00,52.00,52.00,"258,360","May 02, 2023"
28-04-2023,82.40,83.00,65.00,65.00,65.00,"8,775,804","Apr 28, 2023"
27-04-2023,80.30,81.40,80.30,81.25,81.25,"10,366,469","Apr 27, 2023"
26-04-2023,78.20,79.40,78.15,79.20,79.20,"10,879,350","Apr 26, 2023"
25-04-2023,77.00,77.45,77.00,77.20,77.20,"9,768,742","Apr 25, 2023"
24-04-2023,74.60,75.45,74.50,75.20,75.20,"6,840,800","Apr 24, 2023"
21-04-2023,73.20,74.05,73.20,73.75,73.75,"9,347,049","Apr 21, 2023"
20-04-2023,72.20,72.80,72.15,72.60,72.60,"7,768,552","Apr 20, 2023"
19-04-2023,71.00,71.70,71.00,71.45,71.45,"10,122,267","Apr 19, 2023"
18-04-2023,69.15,71.00,69.10,70.20,70.20,"6,848,783","Apr 18, 2023"
17-04-2023,68.30,69.15,68.30,68.65,68.65,"11,638,221","Apr 17, 2023"
13-04-2023,67.00,67.80,67.00,67.65,67.65,"8,491,475","Apr 13, 2023"
12-04-2023,65.75,66.90,65.75,66.55,66.55,"9,452,901","Apr 12, 2023"
11-04-2023,65.00,65.85,65.00,65.60,65.60,"7,095,382","Apr 11, 2023"
10-04-2023,63.25,64.80,63.25,64.35,64.35,"8,343,175","Apr 10, 2023"
06-04-2023,61.55,63.15,61.50,63.05,63.05,"8,860,682","Apr 06, 2023"
05-04-2023,60.35,61.40,60.10,61.20,61.20,"12,148,755","Apr 05, 2023"
03-04-2023,57.40,60.10,56.00,59.85,59.85,"19,213,404","Apr 03, 2023"
31-03-2023,57.10,57.10,55.75,56.45,56.45,"281,522","Mar 31, 2023"
29-03-2023,56.95,57.10,55.50,55.90,55.90,"1,725,566","Mar 29, 2023"
28-03-2023,57.45,57.45,55.00,56.10,56.10,"795,952","Mar 28, 2023"
27-03-2023,56.25,57.70,55.15,56.55,56.55,"439,740","Mar 27, 2023"
24-03-2023,53.80,58.00,49.95,56.25,56.25,"1,956,740","Mar 24, 2023"
23-03-2023,53.00,54.00,52.70,52.95,52.95,"139,820","Mar 23, 2023"
22-03-2023,53.00,54.50,52.40,52.95,52.95,"323,390","Mar 22, 2023"
21-03-2023,54.40,54.60,53.05,53.30,53.30,"356,620","Mar 21, 2023"
20-03-2023,56.80,56.80,53.15,54.00,54.00,"535,160","Mar 20, 2023"
17-03-2023,56.40,57.40,55.00,56.95,56.95,"635,940","Mar 17, 2023"
16-03-2023,57.00,57.00,54.90,55.60,55.60,"370,738","Mar 16, 2023"
15-03-2023,57.15,57.95,56.00,56.90,56.90,"448,549","Mar 15, 2023"
14-03-2023,56.95,57.90,54.50,56.40,56.40,"912,915","Mar 14, 2023"
13-03-2023,53.65,58.40,53.55,56.35,56.35,"2,179,702","Mar 13, 2023"
10-03-2023,53.50,54.00,53.00,53.55,53.55,"419,694","Mar 10, 2023"
09-03-2023,53.00,54.30,52.50,53.70,53.70,"809,537","Mar 09, 2023"
08-03-2023,52.00,54.50,52.00,52.85,52.85,"640,362","Mar 08, 2023"
06-03-2023,51.50,52.80,51.15,52.45,52.45,"454,614","Mar 06, 2023"
03-03-2023,55.00,56.55,51.00,51.45,51.45,"2,592,819","Mar 03, 2023"
02-03-2023,53.65,55.00,52.45,53.85,53.85,"1,016,699","Mar 02, 2023"
01-03-2023,51.50,55.80,51.40,53.05,53.05,"1,006,517","Mar 01, 2023"
28-02-2023,54.50,55.00,50.00,50.85,50.85,"2,643,839","Feb 28, 2023"
27-02-2023,56.50,57.00,54.00,54.25,54.25,"865,924","Feb 27, 2023"
24-02-2023,57.10,58.50,55.50,56.55,56.55,"1,028,375","Feb 24, 2023"
23-02-2023,57.75,58.25,55.55,57.00,57.00,"1,407,233","Feb 23, 2023"
22-02-2023,60.35,60.35,57.10,58.00,58.00,"894,734","Feb 22, 2023"
21-02-2023,62.30,63.25,59.25,60.45,60.45,"1,319,324","Feb 21, 2023"
20-02-2023,63.25,67.00,61.10,61.85,61.85,"2,821,523","Feb 20, 2023"
17-02-2023,58.30,63.75,58.00,61.35,61.35,"1,824,886","Feb 17, 2023"
16-02-2023,63.50,63.95,57.45,58.15,58.15,"2,113,561","Feb 16, 2023"
15-02-2023,68.40,69.70,63.00,63.50,63.50,"2,923,120","Feb 15, 2023"
14-02-2023,65.95,69.05,64.60,66.70,66.70,"3,587,988","Feb 14, 2023"
13-02-2023,67.00,68.50,63.50,65.40,65.40,"2,002,352","Feb 13, 2023"
10-02-2023,65.70,67.00,65.00,65.75,65.75,"661,338","Feb 10, 2023"
09-02-2023,66.00,67.50,63.55,65.75,65.75,"1,322,112","Feb 09, 2023"
08-02-2023,64.95,67.40,61.60,65.40,65.40,"3,852,026","Feb 08, 2023"
07-02-2023,61.40,65.30,60.35,64.10,64.10,"1,793,014","Feb 07, 2023"
06-02-2023,61.45,61.50,59.40,60.50,60.50,"674,852","Feb 06, 2023"
03-02-2023,60.20,62.50,59.70,60.55,60.55,"803,853","Feb 03, 2023"
02-02-2023,58.85,61.80,56.60,60.10,60.10,"1,183,619","Feb 02, 2023"
01-02-2023,61.45,64.00,58.00,59.35,59.35,"1,285,562","Feb 01, 2023"
31-01-2023,57.50,61.95,54.30,60.90,60.90,"3,015,557","Jan 31, 2023"
30-01-2023,57.25,59.45,55.10,56.35,56.35,"995,107","Jan 30, 2023"
27-01-2023,54.95,60.15,50.90,57.25,57.25,"1,539,322","Jan 27, 2023"
