date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,94.10,96.75,93.50,94.25,94.25,"42,761","Aug 25, 2023"
24-08-2023,95.50,95.85,94.00,94.10,94.10,"14,210","Aug 24, 2023"
23-08-2023,95.05,96.30,93.80,94.40,94.40,"40,892","Aug 23, 2023"
22-08-2023,91.90,95.90,90.85,95.05,95.05,"126,100","Aug 22, 2023"
21-08-2023,92.45,93.35,90.35,90.60,90.60,"20,042","Aug 21, 2023"
18-08-2023,90.50,93.20,90.00,92.45,92.45,"35,435","Aug 18, 2023"
17-08-2023,91.95,93.35,89.80,90.15,90.15,"54,932","Aug 17, 2023"
16-08-2023,94.10,96.00,90.35,90.75,90.75,"72,761","Aug 16, 2023"
14-08-2023,94.05,96.80,92.90,94.70,94.70,"34,047","Aug 14, 2023"
11-08-2023,99.00,99.85,94.30,95.80,95.80,"39,980","Aug 11, 2023"
10-08-2023,102.50,103.45,97.60,98.40,98.40,"71,806","Aug 10, 2023"
09-08-2023,102.40,103.55,100.55,101.80,101.80,"66,222","Aug 09, 2023"
08-08-2023,99.90,106.50,99.85,101.70,101.70,"337,486","Aug 08, 2023"
07-08-2023,99.90,102.90,98.80,100.30,100.30,"151,785","Aug 07, 2023"
04-08-2023,99.20,100.50,98.00,99.70,99.70,"64,862","Aug 04, 2023"
03-08-2023,96.00,100.20,95.50,98.40,98.40,"44,950","Aug 03, 2023"
02-08-2023,97.80,98.55,94.50,95.80,95.80,"64,856","Aug 02, 2023"
01-08-2023,99.20,100.25,96.55,97.25,97.25,"82,626","Aug 01, 2023"
31-07-2023,98.85,101.85,98.00,98.55,98.55,"170,607","Jul 31, 2023"
28-07-2023,94.45,102.00,94.00,98.00,98.00,"372,791","Jul 28, 2023"
27-07-2023,95.15,96.00,93.30,93.75,93.75,"36,975","Jul 27, 2023"
26-07-2023,94.30,97.00,94.00,94.30,94.30,"40,583","Jul 26, 2023"
25-07-2023,94.90,95.70,94.20,94.30,94.30,"13,363","Jul 25, 2023"
24-07-2023,93.25,96.00,93.10,93.90,93.90,"20,996","Jul 24, 2023"
21-07-2023,95.00,96.60,93.65,94.00,94.00,"29,089","Jul 21, 2023"
20-07-2023,95.50,97.95,94.50,94.75,94.75,"78,905","Jul 20, 2023"
19-07-2023,96.75,97.80,93.60,94.50,94.50,"34,388","Jul 19, 2023"
18-07-2023,95.05,98.90,95.00,95.80,95.80,"99,884","Jul 18, 2023"
17-07-2023,96.25,96.85,94.15,94.60,94.60,"25,767","Jul 17, 2023"
14-07-2023,96.00,97.65,94.10,95.30,95.30,"54,141","Jul 14, 2023"
13-07-2023,97.05,99.90,94.20,95.00,95.00,"145,026","Jul 13, 2023"
12-07-2023,96.00,99.35,94.85,95.85,95.85,"195,160","Jul 12, 2023"
11-07-2023,92.00,98.00,92.00,94.85,94.85,"220,862","Jul 11, 2023"
10-07-2023,90.25,97.00,90.25,92.10,92.10,"189,050","Jul 10, 2023"
07-07-2023,93.75,95.40,90.25,91.10,91.10,"64,606","Jul 07, 2023"
06-07-2023,89.05,95.40,89.05,92.60,92.60,"175,611","Jul 06, 2023"
05-07-2023,89.95,92.00,88.30,89.75,89.75,"43,923","Jul 05, 2023"
04-07-2023,90.05,92.45,88.65,89.15,89.15,"47,841","Jul 04, 2023"
03-07-2023,91.60,91.95,88.90,89.15,89.15,"29,264","Jul 03, 2023"
30-06-2023,90.95,92.30,89.30,91.60,91.60,"38,620","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,96.90,99.00,93.60,93.80,93.80,"129,948","Jun 27, 2023"
26-06-2023,89.50,97.20,89.50,95.20,95.20,"478,396","Jun 26, 2023"
23-06-2023,87.45,93.05,86.50,89.85,89.85,"193,655","Jun 23, 2023"
22-06-2023,88.50,90.10,87.15,87.45,87.45,"31,561","Jun 22, 2023"
21-06-2023,90.15,91.05,88.00,88.45,88.45,"26,931","Jun 21, 2023"
20-06-2023,88.10,90.20,88.05,89.35,89.35,"22,173","Jun 20, 2023"
19-06-2023,87.40,90.95,87.40,88.80,88.80,"54,640","Jun 19, 2023"
16-06-2023,88.50,92.95,87.05,88.15,88.15,"137,044","Jun 16, 2023"
15-06-2023,87.90,90.00,86.15,88.85,88.85,"43,010","Jun 15, 2023"
14-06-2023,88.85,88.85,87.10,87.55,87.55,"6,947","Jun 14, 2023"
13-06-2023,87.40,89.00,87.40,88.00,88.00,"8,693","Jun 13, 2023"
12-06-2023,88.00,88.15,87.00,87.40,87.40,"11,608","Jun 12, 2023"
09-06-2023,89.65,91.00,87.65,88.10,88.10,"15,103","Jun 09, 2023"
08-06-2023,89.50,91.05,88.05,88.85,88.85,"46,552","Jun 08, 2023"
07-06-2023,89.00,91.15,88.70,89.10,89.10,"63,525","Jun 07, 2023"
06-06-2023,89.60,90.05,87.00,89.60,89.60,"53,174","Jun 06, 2023"
05-06-2023,88.25,90.50,88.00,89.25,89.25,"42,210","Jun 05, 2023"
02-06-2023,90.30,90.85,87.10,87.40,87.40,"40,419","Jun 02, 2023"
01-06-2023,87.05,92.20,87.05,89.20,89.20,"101,479","Jun 01, 2023"
31-05-2023,82.10,90.85,82.10,87.05,87.05,"173,400","May 31, 2023"
30-05-2023,83.10,84.75,82.75,83.00,83.00,"23,256","May 30, 2023"
29-05-2023,86.00,87.95,82.00,83.35,83.35,"42,475","May 29, 2023"
26-05-2023,87.00,87.95,84.65,86.10,86.10,"16,227","May 26, 2023"
25-05-2023,86.00,90.70,86.00,87.15,87.15,"76,605","May 25, 2023"
24-05-2023,84.00,90.75,83.10,86.75,86.75,"222,038","May 24, 2023"
23-05-2023,84.95,85.50,83.30,84.00,84.00,"11,335","May 23, 2023"
22-05-2023,84.85,86.00,84.70,85.10,85.10,"11,428","May 22, 2023"
19-05-2023,83.25,86.00,82.60,84.85,84.85,"19,346","May 19, 2023"
18-05-2023,84.85,86.50,83.00,83.25,83.25,"23,791","May 18, 2023"
17-05-2023,84.10,86.00,83.35,84.20,84.20,"32,129","May 17, 2023"
16-05-2023,82.70,85.00,82.05,84.10,84.10,"13,903","May 16, 2023"
15-05-2023,82.95,84.55,82.50,83.00,83.00,"15,319","May 15, 2023"
12-05-2023,84.90,85.25,82.75,83.50,83.50,"23,007","May 12, 2023"
11-05-2023,81.30,86.90,81.00,85.25,85.25,"88,243","May 11, 2023"
10-05-2023,82.65,83.95,80.85,81.80,81.80,"26,700","May 10, 2023"
09-05-2023,81.00,87.00,81.00,82.25,82.25,"105,245","May 09, 2023"
08-05-2023,82.40,84.05,81.35,81.85,81.85,"13,993","May 08, 2023"
05-05-2023,85.00,86.00,80.00,82.10,82.10,"40,546","May 05, 2023"
