date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,511.80,523.85,505.55,514.25,514.25,"152,526","Aug 25, 2023"
24-08-2023,520.40,522.00,500.00,511.80,511.80,"218,192","Aug 24, 2023"
23-08-2023,528.25,536.50,512.00,517.90,517.90,"277,317","Aug 23, 2023"
22-08-2023,508.70,528.50,500.00,523.45,523.45,"477,355","Aug 22, 2023"
21-08-2023,484.00,509.00,480.15,503.35,503.35,"369,519","Aug 21, 2023"
18-08-2023,479.95,488.15,470.00,481.40,481.40,"292,561","Aug 18, 2023"
17-08-2023,506.50,513.00,474.10,481.40,481.40,"673,057","Aug 17, 2023"
16-08-2023,450.95,500.00,449.65,494.50,494.50,"881,617","Aug 16, 2023"
14-08-2023,443.95,450.00,433.05,448.00,448.00,"489,329","Aug 14, 2023"
11-08-2023,434.80,443.25,430.00,432.00,432.00,"589,698","Aug 11, 2023"
10-08-2023,405.45,444.70,405.45,431.35,431.35,"2,041,583","Aug 10, 2023"
09-08-2023,405.00,415.60,392.45,405.45,405.45,"2,120,325","Aug 09, 2023"
08-08-2023,362.50,400.95,362.50,400.95,400.95,"3,262,628","Aug 08, 2023"
07-08-2023,340.25,341.60,327.25,334.15,334.15,"313,462","Aug 07, 2023"
04-08-2023,342.50,346.80,338.15,340.25,340.25,"102,470","Aug 04, 2023"
03-08-2023,342.25,345.70,338.00,340.80,340.80,"117,065","Aug 03, 2023"
02-08-2023,354.50,358.50,335.65,342.25,342.25,"327,225","Aug 02, 2023"
01-08-2023,354.00,356.00,350.00,354.60,354.60,"154,524","Aug 01, 2023"
31-07-2023,342.40,355.60,341.00,354.00,354.00,"321,427","Jul 31, 2023"
28-07-2023,346.00,346.00,337.85,340.55,340.55,"102,467","Jul 28, 2023"
27-07-2023,343.00,343.05,337.05,340.35,340.35,"140,518","Jul 27, 2023"
26-07-2023,340.00,342.70,333.50,335.95,335.95,"195,855","Jul 26, 2023"
25-07-2023,347.00,348.70,332.35,335.00,335.00,"283,896","Jul 25, 2023"
24-07-2023,330.50,353.80,329.80,341.00,341.00,"924,023","Jul 24, 2023"
21-07-2023,327.85,332.50,324.25,328.90,328.90,"157,298","Jul 21, 2023"
20-07-2023,327.60,332.50,326.05,330.20,330.20,"148,713","Jul 20, 2023"
19-07-2023,329.45,333.90,323.10,326.10,326.10,"167,579","Jul 19, 2023"
18-07-2023,335.15,337.30,325.00,327.90,327.90,"333,225","Jul 18, 2023"
17-07-2023,316.00,337.90,315.80,332.75,332.75,"845,615","Jul 17, 2023"
14-07-2023,316.50,318.15,312.00,313.90,313.90,"113,877","Jul 14, 2023"
13-07-2023,314.05,327.00,310.05,314.15,314.15,"613,817","Jul 13, 2023"
12-07-2023,314.00,317.70,311.00,312.20,312.20,"161,670","Jul 12, 2023"
11-07-2023,308.00,319.90,305.00,312.00,312.00,"474,976","Jul 11, 2023"
10-07-2023,309.00,309.05,301.55,306.00,306.00,"73,062","Jul 10, 2023"
07-07-2023,304.45,309.00,303.50,307.10,307.10,"130,633","Jul 07, 2023"
06-07-2023,301.85,308.95,301.85,304.45,304.45,"100,778","Jul 06, 2023"
05-07-2023,303.85,306.35,298.60,302.90,302.90,"138,661","Jul 05, 2023"
04-07-2023,308.70,312.80,300.35,303.85,303.85,"142,621","Jul 04, 2023"
03-07-2023,303.00,310.00,303.00,307.30,307.30,"124,907","Jul 03, 2023"
30-06-2023,303.95,306.00,298.15,301.35,301.35,"126,876","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,303.35,308.05,303.35,305.90,305.90,"56,668","Jun 27, 2023"
26-06-2023,305.00,306.00,301.50,304.55,304.55,"72,109","Jun 26, 2023"
23-06-2023,309.95,309.95,297.85,303.45,303.45,"108,967","Jun 23, 2023"
22-06-2023,312.45,313.90,306.95,309.40,309.40,"106,972","Jun 22, 2023"
21-06-2023,308.65,318.30,304.25,311.15,311.15,"360,284","Jun 21, 2023"
20-06-2023,309.25,309.50,303.80,306.80,306.80,"113,619","Jun 20, 2023"
19-06-2023,308.05,313.35,306.30,308.25,308.25,"157,198","Jun 19, 2023"
16-06-2023,302.75,310.80,300.95,306.75,306.75,"235,187","Jun 16, 2023"
15-06-2023,301.00,307.95,300.00,300.90,300.90,"137,905","Jun 15, 2023"
