date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,152.75,155.15,151.85,153.40,153.40,"24,952","Aug 25, 2023"
24-08-2023,154.05,155.70,152.05,153.35,153.35,"50,149","Aug 24, 2023"
23-08-2023,156.60,157.50,152.05,153.10,153.10,"52,340","Aug 23, 2023"
22-08-2023,156.30,158.70,154.85,155.30,155.30,"42,843","Aug 22, 2023"
21-08-2023,153.75,157.70,153.00,155.70,155.70,"51,149","Aug 21, 2023"
18-08-2023,153.95,155.45,152.00,153.00,153.00,"41,734","Aug 18, 2023"
17-08-2023,155.50,157.40,151.10,152.85,152.85,"62,350","Aug 17, 2023"
16-08-2023,151.45,159.20,148.90,155.80,155.80,"158,478","Aug 16, 2023"
14-08-2023,145.85,151.45,145.85,150.85,150.85,"93,125","Aug 14, 2023"
11-08-2023,149.30,150.00,145.00,145.85,145.85,"56,067","Aug 11, 2023"
10-08-2023,147.25,149.85,145.00,147.70,147.70,"147,032","Aug 10, 2023"
09-08-2023,142.70,147.00,140.00,145.85,145.85,"115,729","Aug 09, 2023"
08-08-2023,139.40,145.65,137.65,141.60,141.60,"153,492","Aug 08, 2023"
07-08-2023,141.00,142.00,133.10,138.55,138.55,"650,026","Aug 07, 2023"
04-08-2023,147.40,149.90,145.00,147.20,147.20,"67,438","Aug 04, 2023"
03-08-2023,147.50,149.85,145.15,146.85,146.85,"65,629","Aug 03, 2023"
02-08-2023,151.00,152.00,145.35,147.50,147.50,"95,175","Aug 02, 2023"
01-08-2023,147.30,152.00,147.30,150.15,150.15,"79,491","Aug 01, 2023"
31-07-2023,149.55,149.65,146.40,147.20,147.20,"59,125","Jul 31, 2023"
28-07-2023,148.40,149.75,147.25,148.35,148.35,"64,842","Jul 28, 2023"
27-07-2023,151.20,151.75,148.90,150.05,150.05,"78,084","Jul 27, 2023"
26-07-2023,149.50,152.25,149.45,150.10,150.10,"108,586","Jul 26, 2023"
25-07-2023,150.40,153.05,148.20,149.30,149.30,"125,115","Jul 25, 2023"
24-07-2023,153.60,153.60,147.90,149.15,149.15,"83,913","Jul 24, 2023"
21-07-2023,149.95,154.65,145.65,152.25,152.25,"329,819","Jul 21, 2023"
20-07-2023,160.50,160.50,146.70,148.40,148.40,"457,627","Jul 20, 2023"
19-07-2023,159.50,160.25,155.00,159.45,159.45,"141,682","Jul 19, 2023"
18-07-2023,162.70,163.85,157.10,158.45,158.45,"80,070","Jul 18, 2023"
17-07-2023,157.60,162.80,157.60,161.40,161.40,"106,893","Jul 17, 2023"
14-07-2023,159.90,160.65,154.80,156.55,156.55,"203,323","Jul 14, 2023"
13-07-2023,164.40,165.45,157.85,158.90,158.90,"127,817","Jul 13, 2023"
12-07-2023,166.95,168.75,162.60,163.10,163.10,"84,563","Jul 12, 2023"
11-07-2023,171.50,173.85,164.25,165.95,165.95,"73,968","Jul 11, 2023"
10-07-2023,165.55,172.40,165.00,170.00,170.00,"103,873","Jul 10, 2023"
07-07-2023,165.45,169.15,164.00,166.70,166.70,"60,783","Jul 07, 2023"
06-07-2023,164.30,168.85,163.85,167.95,167.95,"55,206","Jul 06, 2023"
05-07-2023,168.85,168.85,164.05,166.15,166.15,"84,259","Jul 05, 2023"
04-07-2023,167.95,169.95,165.30,168.05,168.05,"51,460","Jul 04, 2023"
03-07-2023,171.20,171.20,166.00,166.75,166.75,"44,190","Jul 03, 2023"
30-06-2023,169.00,171.95,166.70,167.70,167.70,"58,509","Jun 30, 2023"
28-06-2023,170.15,170.15,170.15,170.15,170.15,-,"Jun 28, 2023"
27-06-2023,167.60,174.50,167.45,170.15,170.15,"156,078","Jun 27, 2023"
26-06-2023,171.00,172.40,164.35,166.30,166.30,"130,246","Jun 26, 2023"
23-06-2023,170.90,174.70,166.65,171.40,171.40,"142,042","Jun 23, 2023"
22-06-2023,172.10,176.90,169.55,170.00,170.00,"204,718","Jun 22, 2023"
21-06-2023,171.05,175.80,169.50,170.40,170.40,"136,285","Jun 21, 2023"
20-06-2023,169.35,175.20,168.85,171.05,171.05,"240,384","Jun 20, 2023"
