date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,700.00,707.75,687.90,698.00,698.00,"55,185","Aug 25, 2023"
24-08-2023,700.10,707.70,685.55,700.55,700.55,"36,366","Aug 24, 2023"
23-08-2023,696.45,710.80,694.05,699.30,699.30,"64,380","Aug 23, 2023"
22-08-2023,693.60,705.00,669.40,692.80,692.80,"80,376","Aug 22, 2023"
21-08-2023,692.50,699.90,680.60,689.70,689.70,"60,058","Aug 21, 2023"
18-08-2023,664.45,699.00,661.00,687.60,687.60,"358,047","Aug 18, 2023"
17-08-2023,659.00,669.00,655.05,665.95,665.95,"40,507","Aug 17, 2023"
16-08-2023,669.10,669.10,650.00,655.15,655.15,"59,303","Aug 16, 2023"
14-08-2023,651.00,674.00,642.35,669.55,669.55,"75,084","Aug 14, 2023"
11-08-2023,655.00,663.80,648.95,651.15,651.15,"60,677","Aug 11, 2023"
10-08-2023,675.00,677.30,651.25,656.90,656.90,"118,414","Aug 10, 2023"
09-08-2023,686.00,687.95,671.70,674.85,674.85,"68,701","Aug 09, 2023"
08-08-2023,675.00,687.85,671.00,680.30,680.30,"115,756","Aug 08, 2023"
07-08-2023,727.25,729.00,671.15,683.95,683.95,"363,453","Aug 07, 2023"
04-08-2023,715.00,729.00,708.75,721.40,721.40,"336,204","Aug 04, 2023"
03-08-2023,692.50,715.00,692.50,705.05,705.05,"129,220","Aug 03, 2023"
02-08-2023,708.00,723.05,683.00,697.75,697.75,"261,865","Aug 02, 2023"
01-08-2023,682.70,716.90,681.00,702.80,702.80,"492,360","Aug 01, 2023"
31-07-2023,672.60,682.00,670.40,678.50,678.50,"45,471","Jul 31, 2023"
28-07-2023,670.00,679.00,663.80,668.10,668.10,"29,461","Jul 28, 2023"
27-07-2023,683.00,687.00,663.50,666.00,666.00,"87,973","Jul 27, 2023"
26-07-2023,675.05,688.00,675.05,679.90,679.90,"49,099","Jul 26, 2023"
25-07-2023,681.70,681.70,670.10,673.15,673.15,"30,754","Jul 25, 2023"
24-07-2023,676.40,686.95,673.35,677.85,677.85,"51,947","Jul 24, 2023"
21-07-2023,663.95,682.00,663.95,672.35,672.35,"45,645","Jul 21, 2023"
20-07-2023,680.05,685.05,670.10,673.95,673.95,"36,769","Jul 20, 2023"
19-07-2023,678.00,688.35,675.30,683.90,683.90,"56,809","Jul 19, 2023"
18-07-2023,686.00,691.40,670.00,674.15,674.15,"73,590","Jul 18, 2023"
17-07-2023,681.95,693.50,678.50,685.45,685.45,"112,287","Jul 17, 2023"
14-07-2023,672.50,681.00,672.50,678.90,678.90,"65,859","Jul 14, 2023"
13-07-2023,656.60,673.95,656.60,671.85,671.85,"135,253","Jul 13, 2023"
12-07-2023,658.80,661.35,651.00,654.20,654.20,"47,123","Jul 12, 2023"
11-07-2023,660.00,664.85,654.00,655.60,655.60,"32,712","Jul 11, 2023"
10-07-2023,669.00,695.00,654.20,658.90,658.90,"55,471","Jul 10, 2023"
07-07-2023,660.35,674.00,651.00,665.90,665.90,"82,995","Jul 07, 2023"
06-07-2023,658.40,660.95,651.35,656.60,656.60,"30,632","Jul 06, 2023"
05-07-2023,655.15,665.40,652.50,655.35,655.35,"48,787","Jul 05, 2023"
04-07-2023,658.30,663.90,648.65,658.55,658.55,"80,191","Jul 04, 2023"
03-07-2023,664.40,665.40,650.45,654.50,654.50,"63,154","Jul 03, 2023"
30-06-2023,650.00,666.00,649.05,660.30,660.30,"151,379","Jun 30, 2023"
28-06-2023,648.50,648.50,648.50,648.50,648.50,-,"Jun 28, 2023"
27-06-2023,672.00,672.55,643.00,648.50,648.50,"250,152","Jun 27, 2023"
26-06-2023,666.00,673.70,648.00,670.35,670.35,"70,623","Jun 26, 2023"
23-06-2023,656.90,659.95,645.55,654.05,654.05,"56,861","Jun 23, 2023"
22-06-2023,667.65,676.20,652.00,654.45,654.45,"130,498","Jun 22, 2023"
21-06-2023,685.00,686.00,661.15,664.85,664.85,"204,311","Jun 21, 2023"
20-06-2023,707.75,711.90,675.00,680.25,680.25,"240,860","Jun 20, 2023"
19-06-2023,682.00,704.75,675.65,701.00,701.00,"331,332","Jun 19, 2023"
16-06-2023,664.40,694.00,660.25,682.10,682.10,"480,479","Jun 16, 2023"
15-06-2023,667.75,667.90,657.45,659.15,659.15,"56,160","Jun 15, 2023"
14-06-2023,670.00,678.30,661.05,664.75,664.75,"117,744","Jun 14, 2023"
13-06-2023,660.00,670.75,654.00,663.60,663.60,"170,075","Jun 13, 2023"
12-06-2023,650.90,663.45,645.00,654.85,654.85,"75,625","Jun 12, 2023"
09-06-2023,663.70,663.75,644.05,646.80,646.80,"74,433","Jun 09, 2023"
08-06-2023,678.00,688.40,652.40,657.15,657.15,"131,023","Jun 08, 2023"
07-06-2023,678.00,691.40,667.55,677.95,677.95,"297,331","Jun 07, 2023"
06-06-2023,636.85,675.95,629.50,667.45,667.45,"340,024","Jun 06, 2023"
05-06-2023,641.05,644.90,624.05,627.05,627.05,"115,789","Jun 05, 2023"
02-06-2023,622.00,634.80,615.20,631.65,631.65,"98,493","Jun 02, 2023"
01-06-2023,614.85,620.20,609.30,614.80,614.80,"50,321","Jun 01, 2023"
31-05-2023,614.70,616.45,601.60,606.30,606.30,"106,604","May 31, 2023"
30-05-2023,623.00,630.00,610.50,611.95,611.95,"127,164","May 30, 2023"
29-05-2023,615.15,628.45,600.00,617.65,617.65,"245,127","May 29, 2023"
26-05-2023,645.05,651.30,633.00,636.85,636.85,"150,820","May 26, 2023"
25-05-2023,634.55,649.00,630.60,644.10,644.10,"134,245","May 25, 2023"
24-05-2023,629.50,646.95,622.00,630.70,630.70,"110,038","May 24, 2023"
23-05-2023,624.70,642.00,620.00,626.90,626.90,"86,175","May 23, 2023"
22-05-2023,625.00,630.85,620.00,621.60,621.60,"53,004","May 22, 2023"
19-05-2023,622.30,650.20,618.80,628.25,628.25,"314,210","May 19, 2023"
18-05-2023,627.60,635.00,615.00,619.05,619.05,"93,471","May 18, 2023"
17-05-2023,625.00,654.00,619.50,624.65,624.65,"384,054","May 17, 2023"
16-05-2023,598.10,635.35,598.10,624.80,624.80,"371,589","May 16, 2023"
15-05-2023,602.60,605.95,594.05,596.20,596.20,"78,495","May 15, 2023"
12-05-2023,608.70,608.70,596.00,599.90,599.90,"64,225","May 12, 2023"
11-05-2023,598.95,623.50,597.75,603.15,603.15,"211,065","May 11, 2023"
10-05-2023,608.90,610.70,595.25,596.85,596.85,"87,994","May 10, 2023"
09-05-2023,606.95,613.40,604.05,607.05,607.05,"54,717","May 09, 2023"
08-05-2023,605.00,612.95,598.95,606.80,606.80,"79,076","May 08, 2023"
05-05-2023,619.00,619.00,596.50,599.90,599.90,"258,964","May 05, 2023"
04-05-2023,618.90,629.00,612.95,614.45,614.45,"138,306","May 04, 2023"
03-05-2023,609.30,632.70,607.05,615.10,615.10,"219,429","May 03, 2023"
02-05-2023,608.10,618.90,605.85,607.25,607.25,"81,024","May 02, 2023"
28-04-2023,618.70,618.70,603.95,605.65,605.65,"90,519","Apr 28, 2023"
27-04-2023,619.35,629.70,605.60,607.05,607.05,"117,609","Apr 27, 2023"
26-04-2023,620.00,621.80,606.60,613.80,613.80,"195,104","Apr 26, 2023"
25-04-2023,612.00,634.00,610.55,613.70,613.70,"148,168","Apr 25, 2023"
24-04-2023,621.25,627.00,605.05,608.25,608.25,"162,222","Apr 24, 2023"
21-04-2023,624.00,641.30,615.00,617.30,617.30,"55,179","Apr 21, 2023"
20-04-2023,632.70,641.35,617.55,624.40,624.40,"83,085","Apr 20, 2023"
19-04-2023,630.00,636.35,625.05,629.35,629.35,"69,112","Apr 19, 2023"
18-04-2023,638.90,643.20,623.40,629.15,629.15,"58,448","Apr 18, 2023"
