date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,48.30,49.20,46.70,48.50,48.50,"158,696","Aug 25, 2023"
24-08-2023,49.95,50.40,48.00,48.25,48.25,"121,911","Aug 24, 2023"
23-08-2023,50.85,51.50,49.45,49.85,49.85,"184,558","Aug 23, 2023"
22-08-2023,49.00,50.90,49.00,49.95,49.95,"232,402","Aug 22, 2023"
21-08-2023,47.00,49.90,46.65,48.50,48.50,"242,767","Aug 21, 2023"
18-08-2023,46.85,47.80,44.55,46.80,46.80,"222,127","Aug 18, 2023"
17-08-2023,45.45,47.60,45.10,46.85,46.85,"98,757","Aug 17, 2023"
16-08-2023,45.45,45.70,43.80,45.20,45.20,"120,543","Aug 16, 2023"
14-08-2023,47.75,47.75,44.70,46.00,46.00,"99,351","Aug 14, 2023"
11-08-2023,47.85,49.25,46.50,46.90,46.90,"136,385","Aug 11, 2023"
10-08-2023,46.40,48.80,46.30,47.50,47.50,"181,477","Aug 10, 2023"
09-08-2023,46.75,48.35,46.10,47.10,47.10,"143,436","Aug 09, 2023"
08-08-2023,47.30,47.30,46.05,46.15,46.15,"38,595","Aug 08, 2023"
07-08-2023,45.55,47.95,45.55,46.85,46.85,"94,647","Aug 07, 2023"
04-08-2023,46.05,47.05,45.30,45.65,45.65,"49,594","Aug 04, 2023"
03-08-2023,45.60,46.60,45.15,46.05,46.05,"35,669","Aug 03, 2023"
02-08-2023,47.00,47.30,45.25,45.60,45.60,"53,322","Aug 02, 2023"
01-08-2023,45.00,47.45,45.00,46.85,46.85,"115,647","Aug 01, 2023"
31-07-2023,45.15,45.95,44.60,44.90,44.90,"73,159","Jul 31, 2023"
28-07-2023,45.20,45.60,45.05,45.15,45.15,"27,276","Jul 28, 2023"
27-07-2023,45.75,46.00,45.10,45.25,45.25,"25,505","Jul 27, 2023"
26-07-2023,45.55,46.25,45.00,45.25,45.25,"69,056","Jul 26, 2023"
25-07-2023,46.05,46.55,45.30,45.35,45.35,"47,246","Jul 25, 2023"
24-07-2023,46.40,46.50,45.50,46.05,46.05,"42,629","Jul 24, 2023"
21-07-2023,46.75,46.90,45.50,45.60,45.60,"70,432","Jul 21, 2023"
20-07-2023,46.95,47.40,46.40,46.70,46.70,"38,651","Jul 20, 2023"
19-07-2023,46.90,47.10,45.80,46.35,46.35,"55,859","Jul 19, 2023"
18-07-2023,47.70,47.90,46.25,46.75,46.75,"47,895","Jul 18, 2023"
17-07-2023,47.50,48.25,46.65,46.95,46.95,"65,982","Jul 17, 2023"
14-07-2023,47.00,48.20,46.00,47.75,47.75,"115,598","Jul 14, 2023"
13-07-2023,47.40,48.25,45.50,46.75,46.75,"143,318","Jul 13, 2023"
12-07-2023,46.15,47.50,45.95,46.85,46.85,"119,253","Jul 12, 2023"
11-07-2023,45.25,47.30,45.05,45.40,45.40,"99,400","Jul 11, 2023"
10-07-2023,47.40,47.40,45.20,45.35,45.35,"35,276","Jul 10, 2023"
07-07-2023,46.40,46.80,44.80,45.30,45.30,"105,761","Jul 07, 2023"
06-07-2023,46.85,47.15,46.15,46.40,46.40,"53,388","Jul 06, 2023"
05-07-2023,48.00,48.00,46.40,46.70,46.70,"80,774","Jul 05, 2023"
04-07-2023,47.05,49.10,45.05,47.35,47.35,"163,426","Jul 04, 2023"
03-07-2023,47.00,47.75,46.25,46.45,46.45,"69,016","Jul 03, 2023"
30-06-2023,46.90,47.35,46.25,46.70,46.70,"71,170","Jun 30, 2023"
28-06-2023,46.95,46.95,46.95,46.95,46.95,-,"Jun 28, 2023"
27-06-2023,47.55,48.35,46.65,46.95,46.95,"72,957","Jun 27, 2023"
26-06-2023,47.10,48.00,47.00,47.35,47.35,"36,015","Jun 26, 2023"
23-06-2023,48.00,48.25,46.20,47.45,47.45,"64,069","Jun 23, 2023"
22-06-2023,48.95,49.35,46.75,47.10,47.10,"111,018","Jun 22, 2023"
21-06-2023,49.00,49.45,48.20,48.75,48.75,"61,881","Jun 21, 2023"
20-06-2023,48.00,50.85,47.50,49.00,49.00,"143,827","Jun 20, 2023"
19-06-2023,48.80,49.25,47.50,48.00,48.00,"108,611","Jun 19, 2023"
16-06-2023,48.25,49.05,47.35,48.05,48.05,"162,531","Jun 16, 2023"
15-06-2023,47.50,48.60,46.60,47.65,47.65,"142,356","Jun 15, 2023"
14-06-2023,49.30,49.55,47.50,47.90,47.90,"89,579","Jun 14, 2023"
13-06-2023,48.15,50.45,47.85,48.80,48.80,"116,309","Jun 13, 2023"
12-06-2023,49.90,50.00,47.50,47.65,47.65,"118,655","Jun 12, 2023"
09-06-2023,49.70,51.15,48.05,49.85,49.85,"243,258","Jun 09, 2023"
