date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"4,724.00","4,724.00","4,659.95","4,712.30","4,712.30","8,360","Aug 25, 2023"
24-08-2023,"4,724.00","4,749.90","4,672.85","4,701.20","4,701.20","10,784","Aug 24, 2023"
23-08-2023,"4,760.00","4,772.70","4,658.00","4,688.15","4,688.15","36,722","Aug 23, 2023"
22-08-2023,"4,760.00","4,784.80","4,711.15","4,740.50","4,740.50","8,535","Aug 22, 2023"
21-08-2023,"4,710.00","4,800.00","4,700.00","4,781.45","4,781.45","7,656","Aug 21, 2023"
18-08-2023,"4,824.90","4,850.00","4,702.55","4,733.90","4,733.90","14,985","Aug 18, 2023"
17-08-2023,"4,796.00","4,844.60","4,768.35","4,818.35","4,818.35","17,270","Aug 17, 2023"
16-08-2023,"4,692.50","4,810.00","4,692.50","4,778.35","4,778.35","17,132","Aug 16, 2023"
14-08-2023,"4,753.05","4,759.00","4,679.75","4,716.05","4,716.05","16,024","Aug 14, 2023"
11-08-2023,"4,805.00","4,805.05","4,721.00","4,753.05","4,753.05","7,276","Aug 11, 2023"
10-08-2023,"4,811.00","4,843.10","4,745.30","4,781.10","4,781.10","16,049","Aug 10, 2023"
09-08-2023,"4,852.50","4,865.00","4,775.90","4,817.75","4,817.75","43,143","Aug 09, 2023"
08-08-2023,"4,720.00","4,881.40","4,636.00","4,827.30","4,827.30","122,039","Aug 08, 2023"
07-08-2023,"4,595.00","4,605.00","4,540.00","4,592.65","4,592.65","12,399","Aug 07, 2023"
04-08-2023,"4,547.00","4,593.70","4,500.80","4,570.25","4,570.25","11,867","Aug 04, 2023"
03-08-2023,"4,553.00","4,592.90","4,540.05","4,551.90","4,551.90","10,717","Aug 03, 2023"
02-08-2023,"4,528.95","4,600.00","4,500.15","4,584.25","4,584.25","17,766","Aug 02, 2023"
01-08-2023,"4,483.50","4,515.00","4,468.00","4,507.05","4,507.05","11,990","Aug 01, 2023"
31-07-2023,"4,381.55","4,467.45","4,380.95","4,448.75","4,448.75","13,380","Jul 31, 2023"
28-07-2023,"4,424.40","4,443.95","4,350.85","4,393.75","4,393.75","12,967","Jul 28, 2023"
