date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,27.45,27.70,27.45,27.70,27.70,"10,971","Aug 25, 2023"
24-08-2023,27.20,27.20,26.55,27.20,27.20,"18,451","Aug 24, 2023"
23-08-2023,26.70,26.85,26.70,26.70,26.70,"28,493","Aug 23, 2023"
22-08-2023,26.95,27.05,26.75,26.95,26.95,"15,013","Aug 22, 2023"
21-08-2023,27.05,27.15,26.95,27.05,27.05,"33,096","Aug 21, 2023"
18-08-2023,27.15,28.25,27.15,27.15,27.15,"30,486","Aug 18, 2023"
17-08-2023,27.70,27.70,27.25,27.70,27.70,"10,333","Aug 17, 2023"
16-08-2023,27.30,27.75,27.20,27.30,27.30,"9,999","Aug 16, 2023"
14-08-2023,27.75,28.00,27.75,27.75,27.75,"30,254","Aug 14, 2023"
11-08-2023,28.25,28.25,28.25,28.25,28.25,"19,864","Aug 11, 2023"
10-08-2023,27.70,27.70,27.70,27.70,27.70,"19,576","Aug 10, 2023"
09-08-2023,27.20,27.20,27.15,27.20,27.20,"28,844","Aug 09, 2023"
08-08-2023,27.70,27.70,27.70,27.70,27.70,"15,675","Aug 08, 2023"
07-08-2023,28.25,28.75,28.25,28.25,28.25,"7,864","Aug 07, 2023"
04-08-2023,28.80,28.85,28.35,28.80,28.80,"17,540","Aug 04, 2023"
03-08-2023,28.30,28.30,27.20,28.30,28.30,"31,683","Aug 03, 2023"
02-08-2023,27.75,28.25,27.75,27.75,27.75,"16,528","Aug 02, 2023"
01-08-2023,28.30,28.85,28.30,28.30,28.30,"28,134","Aug 01, 2023"
31-07-2023,28.85,28.85,28.85,28.85,28.85,"21,347","Jul 31, 2023"
28-07-2023,29.40,29.40,29.40,29.40,29.40,"10,270","Jul 28, 2023"
27-07-2023,30.00,30.00,30.00,30.00,30.00,"7,288","Jul 27, 2023"
26-07-2023,30.60,30.60,30.60,30.60,30.60,"6,826","Jul 26, 2023"
25-07-2023,31.20,31.20,31.20,31.20,31.20,"5,736","Jul 25, 2023"
24-07-2023,31.80,31.80,31.80,31.80,31.80,"5,678","Jul 24, 2023"
21-07-2023,33.30,33.50,32.15,32.45,32.45,"133,281","Jul 21, 2023"
20-07-2023,33.70,33.90,32.10,33.85,33.85,"203,722","Jul 20, 2023"
19-07-2023,31.50,32.30,31.10,32.30,32.30,"108,154","Jul 19, 2023"
18-07-2023,32.80,32.80,30.25,30.80,30.80,"156,917","Jul 18, 2023"
17-07-2023,31.10,31.25,31.00,31.25,31.25,"92,210","Jul 17, 2023"
14-07-2023,29.20,29.80,28.60,29.80,29.80,"54,089","Jul 14, 2023"
13-07-2023,30.95,30.95,28.10,28.40,28.40,"142,275","Jul 13, 2023"
12-07-2023,29.50,29.50,29.50,29.50,29.50,"53,627","Jul 12, 2023"
11-07-2023,28.30,28.60,27.40,28.10,28.10,"25,409","Jul 11, 2023"
10-07-2023,27.10,28.15,26.55,27.95,27.95,"38,103","Jul 10, 2023"
07-07-2023,26.35,27.50,26.25,27.05,27.05,"28,303","Jul 07, 2023"
06-07-2023,26.35,27.05,26.35,26.85,26.85,"35,156","Jul 06, 2023"
05-07-2023,27.45,27.45,26.20,26.75,26.75,"49,210","Jul 05, 2023"
04-07-2023,26.85,28.00,26.20,27.10,27.10,"57,764","Jul 04, 2023"
03-07-2023,27.70,28.80,26.50,26.85,26.85,"90,836","Jul 03, 2023"
30-06-2023,27.35,28.50,27.35,27.60,27.60,"57,881","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,29.05,29.50,28.50,28.75,28.75,"22,137","Jun 27, 2023"
26-06-2023,27.95,29.20,27.90,29.05,29.05,"39,559","Jun 26, 2023"
23-06-2023,28.00,28.00,27.40,27.85,27.85,"27,339","Jun 23, 2023"
22-06-2023,28.90,28.95,28.00,28.00,28.00,"61,634","Jun 22, 2023"
21-06-2023,30.35,30.35,28.50,29.00,29.00,"56,885","Jun 21, 2023"
20-06-2023,30.50,30.50,29.00,29.60,29.60,"67,406","Jun 20, 2023"
19-06-2023,28.60,29.55,27.75,29.35,29.35,"78,070","Jun 19, 2023"
16-06-2023,29.80,30.40,27.75,28.15,28.15,"85,880","Jun 16, 2023"
15-06-2023,31.50,31.50,29.10,29.10,29.10,"114,638","Jun 15, 2023"
14-06-2023,32.70,32.70,30.15,30.60,30.60,"98,940","Jun 14, 2023"
13-06-2023,29.95,31.40,28.45,31.40,31.40,"249,291","Jun 13, 2023"
12-06-2023,31.50,32.40,29.95,29.95,29.95,"170,509","Jun 12, 2023"
09-06-2023,31.50,34.45,31.50,31.50,31.50,"303,551","Jun 09, 2023"
08-06-2023,33.15,33.15,33.15,33.15,33.15,"33,083","Jun 08, 2023"
07-06-2023,37.00,37.50,34.90,34.90,34.90,"94,514","Jun 07, 2023"
06-06-2023,37.00,37.70,34.20,36.70,36.70,"864,180","Jun 06, 2023"
05-06-2023,34.35,36.60,33.15,35.85,35.85,"1,310,818","Jun 05, 2023"
02-06-2023,33.95,36.00,30.75,33.40,33.40,"1,781,260","Jun 02, 2023"
01-06-2023,27.30,32.75,27.30,32.40,32.40,"2,256,175","Jun 01, 2023"
31-05-2023,28.25,28.25,26.50,27.30,27.30,"100,857","May 31, 2023"
30-05-2023,28.80,28.80,26.30,27.40,27.40,"283,799","May 30, 2023"
29-05-2023,26.10,29.50,26.05,28.35,28.35,"1,219,139","May 29, 2023"
26-05-2023,25.60,25.95,23.95,25.05,25.05,"399,831","May 26, 2023"
25-05-2023,22.90,26.50,22.85,24.95,24.95,"703,026","May 25, 2023"
24-05-2023,22.35,22.85,22.00,22.40,22.40,"39,538","May 24, 2023"
23-05-2023,23.60,23.60,22.25,22.35,22.35,"61,595","May 23, 2023"
22-05-2023,23.00,23.50,22.85,22.95,22.95,"33,177","May 22, 2023"
19-05-2023,23.75,23.80,22.85,23.05,23.05,"44,714","May 19, 2023"
18-05-2023,23.75,23.85,22.95,23.10,23.10,"41,647","May 18, 2023"
17-05-2023,24.45,24.45,23.15,23.35,23.35,"59,508","May 17, 2023"
16-05-2023,23.25,24.10,23.20,23.55,23.55,"61,168","May 16, 2023"
15-05-2023,24.20,24.50,23.20,23.25,23.25,"13,071","May 15, 2023"
12-05-2023,23.90,24.25,23.30,23.70,23.70,"26,144","May 12, 2023"
11-05-2023,23.75,24.75,22.85,23.95,23.95,"151,942","May 11, 2023"
10-05-2023,22.70,23.95,22.70,23.40,23.40,"87,715","May 10, 2023"
09-05-2023,22.95,23.00,22.40,22.65,22.65,"24,479","May 09, 2023"
08-05-2023,23.40,23.80,22.40,22.70,22.70,"37,400","May 08, 2023"
05-05-2023,22.60,23.40,22.00,22.50,22.50,"71,059","May 05, 2023"
04-05-2023,21.65,22.30,21.65,22.00,22.00,"28,043","May 04, 2023"
03-05-2023,22.00,22.00,21.65,21.75,21.75,"10,068","May 03, 2023"
02-05-2023,21.60,22.45,21.60,21.85,21.85,"28,184","May 02, 2023"
28-04-2023,21.85,22.10,20.80,21.65,21.65,"25,721","Apr 28, 2023"
27-04-2023,21.95,22.00,21.50,21.70,21.70,"16,056","Apr 27, 2023"
26-04-2023,22.35,22.35,21.50,21.65,21.65,"21,592","Apr 26, 2023"
25-04-2023,22.15,22.45,21.60,21.70,21.70,"18,673","Apr 25, 2023"
24-04-2023,22.50,22.50,21.40,22.00,22.00,"13,342","Apr 24, 2023"
21-04-2023,22.00,22.65,21.50,21.90,21.90,"32,933","Apr 21, 2023"
20-04-2023,22.70,22.80,21.75,22.20,22.20,"16,564","Apr 20, 2023"
