date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,074.05","1,082.05","1,040.00","1,052.50","1,052.50","79,331","Aug 25, 2023"
24-08-2023,"1,042.90","1,084.80","1,036.05","1,076.50","1,076.50","132,618","Aug 24, 2023"
23-08-2023,"1,027.90","1,045.60","1,017.00","1,034.80","1,034.80","86,906","Aug 23, 2023"
22-08-2023,"1,020.15","1,034.75","1,016.00","1,019.80","1,019.80","118,825","Aug 22, 2023"
21-08-2023,"1,074.95","1,079.95","1,012.15","1,020.05","1,020.05","195,206","Aug 21, 2023"
18-08-2023,"1,093.45","1,120.80","1,065.15","1,074.95","1,074.95","124,602","Aug 18, 2023"
17-08-2023,"1,122.00","1,134.95","1,072.95","1,093.45","1,093.45","183,374","Aug 17, 2023"
16-08-2023,"1,102.95","1,125.10","1,100.05","1,114.90","1,114.90","145,836","Aug 16, 2023"
14-08-2023,"1,095.00","1,134.95","1,006.00","1,101.95","1,101.95","347,692","Aug 14, 2023"
11-08-2023,"1,032.00","1,100.00","1,032.00","1,090.65","1,090.65","434,783","Aug 11, 2023"
10-08-2023,"1,054.00","1,055.45","1,019.00","1,030.45","1,030.45","316,478","Aug 10, 2023"
09-08-2023,999.00,"1,067.95",992.65,"1,049.00","1,049.00","428,280","Aug 09, 2023"
08-08-2023,963.00,"1,010.55",945.15,992.10,992.10,"485,381","Aug 08, 2023"
07-08-2023,935.00,998.90,926.00,944.30,944.30,"846,137","Aug 07, 2023"
04-08-2023,879.95,908.55,872.00,897.45,897.45,"363,035","Aug 04, 2023"
03-08-2023,875.85,895.00,866.25,875.95,875.95,"222,748","Aug 03, 2023"
02-08-2023,900.00,901.90,861.20,870.95,870.95,"119,977","Aug 02, 2023"
01-08-2023,919.00,926.15,865.65,896.95,896.95,"276,731","Aug 01, 2023"
31-07-2023,887.00,928.85,887.00,918.70,918.70,"306,437","Jul 31, 2023"
28-07-2023,870.00,890.00,870.00,879.80,879.80,"171,030","Jul 28, 2023"
27-07-2023,869.30,882.00,861.20,875.70,875.70,"214,798","Jul 27, 2023"
26-07-2023,871.80,888.00,850.25,867.20,867.20,"408,323","Jul 26, 2023"
25-07-2023,828.00,909.00,812.65,863.85,863.85,"451,348","Jul 25, 2023"
24-07-2023,833.15,845.00,800.05,818.55,818.55,"227,532","Jul 24, 2023"
21-07-2023,842.20,858.10,832.65,839.75,839.75,"95,783","Jul 21, 2023"
20-07-2023,840.00,848.95,831.00,842.20,842.20,"214,062","Jul 20, 2023"
19-07-2023,848.00,851.80,830.10,833.65,833.65,"110,869","Jul 19, 2023"
18-07-2023,831.60,859.70,831.60,844.70,844.70,"157,370","Jul 18, 2023"
17-07-2023,825.25,839.75,814.60,831.60,831.60,"73,161","Jul 17, 2023"
14-07-2023,844.05,856.00,817.50,825.05,825.05,"235,490","Jul 14, 2023"
13-07-2023,828.85,849.50,822.20,843.10,843.10,"140,954","Jul 13, 2023"
12-07-2023,833.75,843.50,820.00,822.20,822.20,"84,192","Jul 12, 2023"
11-07-2023,793.15,835.00,793.15,829.15,829.15,"326,879","Jul 11, 2023"
10-07-2023,798.00,805.90,788.05,793.15,793.15,"75,859","Jul 10, 2023"
07-07-2023,817.70,830.00,786.50,803.15,803.15,"282,589","Jul 07, 2023"
06-07-2023,819.05,825.00,810.45,817.70,817.70,"264,588","Jul 06, 2023"
05-07-2023,812.70,828.00,807.20,819.05,819.05,"159,433","Jul 05, 2023"
04-07-2023,836.90,836.90,807.45,812.70,812.70,"105,726","Jul 04, 2023"
03-07-2023,813.00,835.00,810.40,830.65,830.65,"183,327","Jul 03, 2023"
30-06-2023,822.40,824.00,802.95,806.95,806.95,"116,808","Jun 30, 2023"
28-06-2023,814.95,814.95,814.95,814.95,814.95,-,"Jun 28, 2023"
