date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,186.00,188.20,172.95,178.05,178.05,"315,565","Aug 25, 2023"
24-08-2023,189.80,189.80,184.10,185.60,185.60,"186,010","Aug 24, 2023"
23-08-2023,185.85,193.45,185.30,186.65,186.65,"362,646","Aug 23, 2023"
22-08-2023,185.30,188.00,183.90,184.65,184.65,"205,878","Aug 22, 2023"
21-08-2023,189.00,193.00,183.55,186.75,186.75,"892,336","Aug 21, 2023"
18-08-2023,176.00,194.80,172.80,186.80,186.80,"2,576,555","Aug 18, 2023"
17-08-2023,163.70,175.15,160.05,169.60,169.60,"389,887","Aug 17, 2023"
16-08-2023,160.00,163.70,159.05,161.90,161.90,"67,204","Aug 16, 2023"
14-08-2023,163.95,164.20,160.50,162.35,162.35,"103,296","Aug 14, 2023"
11-08-2023,166.00,173.25,161.10,164.55,164.55,"562,299","Aug 11, 2023"
10-08-2023,161.25,171.00,160.10,164.95,164.95,"528,795","Aug 10, 2023"
09-08-2023,163.50,165.00,158.30,160.05,160.05,"114,857","Aug 09, 2023"
08-08-2023,160.00,165.10,157.15,162.90,162.90,"332,996","Aug 08, 2023"
07-08-2023,154.00,162.10,154.00,158.00,158.00,"235,407","Aug 07, 2023"
04-08-2023,154.55,155.70,153.60,153.75,153.75,"97,261","Aug 04, 2023"
03-08-2023,155.20,156.50,153.30,154.45,154.45,"75,723","Aug 03, 2023"
02-08-2023,158.80,159.45,154.10,155.60,155.60,"162,558","Aug 02, 2023"
01-08-2023,159.45,159.85,156.60,157.55,157.55,"102,912","Aug 01, 2023"
31-07-2023,156.50,161.00,154.90,158.20,158.20,"185,491","Jul 31, 2023"
28-07-2023,156.00,157.75,153.10,154.30,154.30,"79,618","Jul 28, 2023"
27-07-2023,158.75,158.85,155.55,156.05,156.05,"79,073","Jul 27, 2023"
26-07-2023,155.80,159.40,154.35,157.25,157.25,"136,732","Jul 26, 2023"
25-07-2023,156.40,156.40,153.50,154.20,154.20,"60,974","Jul 25, 2023"
24-07-2023,154.80,157.15,154.50,155.00,155.00,"78,652","Jul 24, 2023"
21-07-2023,155.80,156.95,153.10,154.20,154.20,"85,158","Jul 21, 2023"
20-07-2023,154.40,162.00,152.00,155.80,155.80,"284,333","Jul 20, 2023"
19-07-2023,153.00,156.30,152.60,152.90,152.90,"75,014","Jul 19, 2023"
18-07-2023,153.70,155.40,152.60,153.20,153.20,"59,724","Jul 18, 2023"
