date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,276.00,284.35,276.00,280.15,280.15,"2,096,458","Aug 25, 2023"
24-08-2023,277.00,282.55,275.80,280.15,280.15,"1,968,901","Aug 24, 2023"
23-08-2023,280.50,282.80,273.30,275.95,275.95,"2,083,970","Aug 23, 2023"
22-08-2023,285.00,286.05,277.55,282.20,282.20,"2,690,326","Aug 22, 2023"
21-08-2023,259.35,286.40,259.35,283.85,283.85,"12,768,099","Aug 21, 2023"
18-08-2023,255.40,261.00,253.90,259.35,259.35,"4,665,004","Aug 18, 2023"
17-08-2023,244.90,255.75,244.90,254.50,254.50,"3,891,087","Aug 17, 2023"
16-08-2023,242.95,247.25,241.95,244.25,244.25,"1,028,361","Aug 16, 2023"
14-08-2023,247.95,248.50,245.00,245.60,245.60,"1,023,032","Aug 14, 2023"
11-08-2023,251.90,253.70,248.20,248.95,248.95,"1,582,234","Aug 11, 2023"
10-08-2023,255.00,259.00,249.25,250.75,250.75,"4,283,341","Aug 10, 2023"
09-08-2023,248.70,253.00,244.50,250.55,250.55,"4,585,200","Aug 09, 2023"
08-08-2023,246.25,253.90,246.10,247.10,247.10,"3,378,326","Aug 08, 2023"
07-08-2023,243.90,247.40,242.85,245.75,245.75,"3,018,432","Aug 07, 2023"
04-08-2023,242.95,246.70,240.50,241.95,241.95,"2,512,975","Aug 04, 2023"
03-08-2023,242.90,247.50,240.00,242.45,242.45,"3,331,295","Aug 03, 2023"
02-08-2023,242.90,244.90,236.45,242.35,242.35,"2,901,834","Aug 02, 2023"
01-08-2023,242.50,251.25,238.75,243.15,243.15,"5,898,777","Aug 01, 2023"
31-07-2023,217.10,248.00,215.55,242.90,242.90,"20,513,061","Jul 31, 2023"
28-07-2023,214.40,215.10,212.00,212.55,212.55,"1,090,178","Jul 28, 2023"
27-07-2023,214.00,216.95,212.00,214.45,214.45,"1,640,459","Jul 27, 2023"
26-07-2023,215.75,217.35,212.30,213.55,213.55,"1,914,002","Jul 26, 2023"
25-07-2023,216.70,219.80,214.10,215.75,215.75,"2,858,044","Jul 25, 2023"
24-07-2023,216.75,218.70,214.90,216.00,216.00,"3,695,219","Jul 24, 2023"
21-07-2023,214.80,218.00,214.15,216.70,216.70,"2,284,926","Jul 21, 2023"
20-07-2023,219.60,220.30,215.60,216.50,216.50,"1,130,986","Jul 20, 2023"
19-07-2023,220.55,222.20,217.00,219.25,219.25,"2,354,533","Jul 19, 2023"
18-07-2023,222.80,224.60,217.30,219.05,219.05,"2,097,248","Jul 18, 2023"
17-07-2023,221.40,224.50,219.20,221.10,221.10,"3,993,973","Jul 17, 2023"
14-07-2023,220.00,220.95,216.50,219.55,219.55,"1,614,137","Jul 14, 2023"
13-07-2023,220.45,226.25,216.65,218.80,218.80,"4,297,004","Jul 13, 2023"
12-07-2023,216.60,220.45,212.50,219.95,219.95,"4,205,954","Jul 12, 2023"
11-07-2023,214.00,218.40,213.75,215.45,215.45,"6,459,265","Jul 11, 2023"
10-07-2023,207.05,214.90,206.20,212.75,212.75,"7,008,003","Jul 10, 2023"
07-07-2023,209.90,211.55,205.20,206.75,206.75,"1,740,156","Jul 07, 2023"
06-07-2023,209.90,212.65,207.00,210.05,210.05,"4,223,372","Jul 06, 2023"
05-07-2023,204.40,211.70,202.40,210.65,210.65,"8,276,209","Jul 05, 2023"
04-07-2023,212.90,213.90,201.65,204.00,204.00,"4,334,707","Jul 04, 2023"
03-07-2023,210.50,220.70,210.20,211.80,211.80,"10,009,699","Jul 03, 2023"
30-06-2023,208.85,216.00,206.15,207.90,207.90,"8,571,595","Jun 30, 2023"
28-06-2023,197.15,197.15,197.15,197.15,197.15,-,"Jun 28, 2023"
27-06-2023,200.10,203.00,196.25,197.15,197.15,"4,052,167","Jun 27, 2023"
26-06-2023,194.50,198.45,191.50,193.70,193.70,"2,066,809","Jun 26, 2023"
23-06-2023,199.70,200.45,192.10,194.25,194.25,"1,593,259","Jun 23, 2023"
