date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,64.75,66.50,64.40,64.85,64.85,"89,170","Aug 25, 2023"
24-08-2023,66.95,66.95,64.55,64.90,64.90,"82,897","Aug 24, 2023"
23-08-2023,66.50,67.85,66.00,66.20,66.20,"112,269","Aug 23, 2023"
22-08-2023,65.00,66.70,64.60,66.20,66.20,"116,283","Aug 22, 2023"
21-08-2023,64.15,66.25,63.95,64.65,64.65,"154,319","Aug 21, 2023"
18-08-2023,66.85,66.95,63.00,63.40,63.40,"224,797","Aug 18, 2023"
17-08-2023,66.50,67.80,66.10,66.55,66.55,"75,430","Aug 17, 2023"
16-08-2023,66.35,67.90,65.50,66.05,66.05,"129,755","Aug 16, 2023"
14-08-2023,67.00,67.65,64.90,65.50,65.50,"114,912","Aug 14, 2023"
11-08-2023,68.05,68.30,65.70,66.35,66.35,"110,327","Aug 11, 2023"
10-08-2023,68.50,69.80,67.10,67.30,67.30,"144,676","Aug 10, 2023"
09-08-2023,67.90,70.00,67.10,68.35,68.35,"235,179","Aug 09, 2023"
08-08-2023,69.90,70.25,66.95,67.45,67.45,"203,236","Aug 08, 2023"
07-08-2023,69.85,71.35,67.10,69.40,69.40,"469,932","Aug 07, 2023"
04-08-2023,68.70,71.65,67.80,68.35,68.35,"822,652","Aug 04, 2023"
03-08-2023,63.40,70.70,63.10,68.00,68.00,"1,936,276","Aug 03, 2023"
02-08-2023,64.60,65.75,62.55,63.00,63.00,"212,008","Aug 02, 2023"
01-08-2023,65.10,66.00,63.55,63.95,63.95,"190,825","Aug 01, 2023"
31-07-2023,63.30,65.30,63.25,64.20,64.20,"228,875","Jul 31, 2023"
28-07-2023,61.60,63.75,61.60,63.20,63.20,"152,791","Jul 28, 2023"
27-07-2023,63.30,63.40,61.60,61.75,61.75,"118,378","Jul 27, 2023"
26-07-2023,63.50,64.45,62.50,62.95,62.95,"159,418","Jul 26, 2023"
25-07-2023,59.65,68.00,59.65,63.50,63.50,"1,624,233","Jul 25, 2023"
24-07-2023,60.80,60.80,59.30,59.70,59.70,"60,583","Jul 24, 2023"
21-07-2023,60.10,60.60,59.50,60.05,60.05,"68,813","Jul 21, 2023"
20-07-2023,60.75,61.00,60.05,60.20,60.20,"62,544","Jul 20, 2023"
19-07-2023,60.95,61.50,60.15,60.30,60.30,"104,296","Jul 19, 2023"
18-07-2023,59.75,61.60,59.15,60.60,60.60,"218,384","Jul 18, 2023"
17-07-2023,59.45,60.40,59.00,59.40,59.40,"75,035","Jul 17, 2023"
14-07-2023,59.75,59.75,58.75,59.00,59.00,"66,716","Jul 14, 2023"
13-07-2023,60.00,60.35,58.25,59.15,59.15,"84,098","Jul 13, 2023"
12-07-2023,60.00,60.50,59.45,59.55,59.55,"80,199","Jul 12, 2023"
11-07-2023,59.55,61.00,59.20,59.70,59.70,"93,934","Jul 11, 2023"
10-07-2023,60.80,60.85,59.20,59.55,59.55,"68,512","Jul 10, 2023"
07-07-2023,60.60,62.00,60.25,60.55,60.55,"102,539","Jul 07, 2023"
06-07-2023,60.80,61.30,60.60,60.90,60.90,"65,882","Jul 06, 2023"
05-07-2023,61.00,61.95,60.40,60.75,60.75,"110,876","Jul 05, 2023"
04-07-2023,59.70,61.80,58.95,60.45,60.45,"186,891","Jul 04, 2023"
03-07-2023,61.00,61.00,58.80,59.00,59.00,"78,653","Jul 03, 2023"
30-06-2023,60.00,60.50,59.15,59.50,59.50,"65,572","Jun 30, 2023"
28-06-2023,60.15,60.15,60.15,60.15,60.15,-,"Jun 28, 2023"
27-06-2023,59.45,61.45,59.15,60.15,60.15,"146,820","Jun 27, 2023"
26-06-2023,59.90,59.90,58.60,58.90,58.90,"27,791","Jun 26, 2023"
23-06-2023,59.75,59.85,58.50,59.15,59.15,"64,764","Jun 23, 2023"
22-06-2023,60.90,61.60,58.95,59.35,59.35,"86,311","Jun 22, 2023"
21-06-2023,60.80,62.80,60.65,60.90,60.90,"144,646","Jun 21, 2023"
20-06-2023,62.00,62.30,60.50,60.80,60.80,"71,227","Jun 20, 2023"
19-06-2023,62.00,62.45,60.90,61.55,61.55,"48,371","Jun 19, 2023"
16-06-2023,62.50,63.00,61.50,61.60,61.60,"85,962","Jun 16, 2023"
15-06-2023,63.25,63.50,61.80,62.10,62.10,"89,863","Jun 15, 2023"
14-06-2023,61.60,65.95,61.60,62.65,62.65,"282,694","Jun 14, 2023"
