date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,295.00,306.50,294.60,305.05,305.05,"2,166,921","Aug 25, 2023"
24-08-2023,310.25,311.50,290.00,294.55,294.55,"4,067,966","Aug 24, 2023"
23-08-2023,316.00,318.80,306.80,307.80,307.80,"1,656,893","Aug 23, 2023"
22-08-2023,318.90,323.50,311.00,314.10,314.10,"2,376,931","Aug 22, 2023"
21-08-2023,309.80,320.00,309.80,315.65,315.65,"3,571,550","Aug 21, 2023"
18-08-2023,294.70,310.95,290.55,306.25,306.25,"5,737,994","Aug 18, 2023"
17-08-2023,297.40,298.20,292.50,293.60,293.60,"909,713","Aug 17, 2023"
16-08-2023,295.75,298.15,293.30,295.95,295.95,"964,066","Aug 16, 2023"
14-08-2023,292.40,302.00,290.50,295.75,295.75,"2,755,845","Aug 14, 2023"
11-08-2023,294.25,299.50,284.15,289.25,289.25,"3,930,972","Aug 11, 2023"
10-08-2023,290.00,292.50,287.00,288.05,288.05,"804,132","Aug 10, 2023"
09-08-2023,292.00,292.00,288.00,288.80,288.80,"554,502","Aug 09, 2023"
08-08-2023,291.95,294.10,289.00,289.60,289.60,"659,471","Aug 08, 2023"
07-08-2023,293.85,293.95,287.50,290.75,290.75,"771,740","Aug 07, 2023"
04-08-2023,297.00,297.30,291.25,291.80,291.80,"1,120,024","Aug 04, 2023"
03-08-2023,294.85,298.45,292.05,295.00,295.00,"1,511,735","Aug 03, 2023"
02-08-2023,302.00,302.00,282.75,290.00,290.00,"11,680,182","Aug 02, 2023"
01-08-2023,303.95,304.35,302.00,303.00,303.00,"351,623","Aug 01, 2023"
31-07-2023,302.95,303.10,301.00,302.15,302.15,"379,503","Jul 31, 2023"
28-07-2023,303.25,303.25,300.05,300.80,300.80,"321,034","Jul 28, 2023"
27-07-2023,304.95,306.45,298.00,298.55,298.55,"771,628","Jul 27, 2023"
26-07-2023,300.85,308.00,300.80,301.75,301.75,"950,417","Jul 26, 2023"
25-07-2023,309.25,310.80,298.50,299.55,299.55,"1,593,756","Jul 25, 2023"
24-07-2023,310.85,310.85,308.05,308.85,308.85,"281,150","Jul 24, 2023"
21-07-2023,309.65,311.00,308.00,309.00,309.00,"326,848","Jul 21, 2023"
20-07-2023,310.00,313.00,308.85,309.75,309.75,"555,806","Jul 20, 2023"
19-07-2023,317.80,320.00,308.90,309.55,309.55,"1,014,974","Jul 19, 2023"
18-07-2023,317.25,320.30,315.30,316.00,316.00,"342,433","Jul 18, 2023"
17-07-2023,316.75,322.60,314.90,315.30,315.30,"562,208","Jul 17, 2023"
14-07-2023,317.50,319.30,315.05,316.70,316.70,"256,442","Jul 14, 2023"
13-07-2023,320.80,321.90,313.05,313.95,313.95,"336,609","Jul 13, 2023"
12-07-2023,324.70,324.75,318.00,319.05,319.05,"323,954","Jul 12, 2023"
11-07-2023,323.95,325.90,321.20,323.15,323.15,"441,429","Jul 11, 2023"
10-07-2023,322.60,338.90,319.05,321.05,321.05,"2,177,705","Jul 10, 2023"
07-07-2023,311.55,322.80,310.05,319.40,319.40,"1,426,729","Jul 07, 2023"
06-07-2023,311.95,313.00,309.45,311.55,311.55,"357,768","Jul 06, 2023"
05-07-2023,308.50,312.60,308.25,310.85,310.85,"348,640","Jul 05, 2023"
04-07-2023,312.55,312.55,307.50,307.90,307.90,"477,942","Jul 04, 2023"
03-07-2023,311.70,315.50,310.00,310.70,310.70,"611,760","Jul 03, 2023"
30-06-2023,313.40,315.70,309.20,310.00,310.00,"917,776","Jun 30, 2023"
28-06-2023,315.20,315.20,315.20,315.20,315.20,-,"Jun 28, 2023"
27-06-2023,315.55,318.35,314.10,315.20,315.20,"248,011","Jun 27, 2023"
26-06-2023,315.05,319.00,311.85,313.35,313.35,"417,962","Jun 26, 2023"
23-06-2023,319.95,320.90,314.00,314.70,314.70,"691,934","Jun 23, 2023"
