date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,212.95,212.95,202.00,202.65,202.65,"12,567","Aug 25, 2023"
24-08-2023,210.60,213.00,206.00,207.50,207.50,"16,364","Aug 24, 2023"
23-08-2023,214.00,214.00,207.00,210.60,210.60,"15,480","Aug 23, 2023"
22-08-2023,213.05,216.00,207.00,214.20,214.20,"14,930","Aug 22, 2023"
21-08-2023,215.00,215.00,209.00,213.05,213.05,"20,445","Aug 21, 2023"
18-08-2023,207.00,215.00,207.00,210.25,210.25,"16,232","Aug 18, 2023"
17-08-2023,217.40,217.40,200.00,211.40,211.40,"83,862","Aug 17, 2023"
16-08-2023,207.10,207.10,207.10,207.10,207.10,"25,563","Aug 16, 2023"
14-08-2023,191.50,199.90,191.10,197.25,197.25,"17,891","Aug 14, 2023"
11-08-2023,190.35,194.00,188.05,191.25,191.25,"19,542","Aug 11, 2023"
10-08-2023,186.90,192.00,181.75,188.05,188.05,"15,865","Aug 10, 2023"
09-08-2023,185.80,187.00,182.00,185.90,185.90,"30,449","Aug 09, 2023"
08-08-2023,185.85,188.90,175.50,186.80,186.80,"50,655","Aug 08, 2023"
07-08-2023,187.00,188.80,183.55,184.30,184.30,"20,903","Aug 07, 2023"
04-08-2023,188.65,189.95,185.00,186.55,186.55,"13,059","Aug 04, 2023"
03-08-2023,194.20,194.20,187.00,189.30,189.30,"9,201","Aug 03, 2023"
02-08-2023,190.60,190.60,185.55,189.55,189.55,"6,916","Aug 02, 2023"
01-08-2023,190.95,192.50,185.50,190.15,190.15,"15,902","Aug 01, 2023"
31-07-2023,194.10,197.00,184.60,188.50,188.50,"47,287","Jul 31, 2023"
28-07-2023,193.00,198.70,188.00,194.30,194.30,"23,458","Jul 28, 2023"
27-07-2023,174.80,193.20,174.80,193.20,193.20,"79,063","Jul 27, 2023"
26-07-2023,193.40,197.70,184.00,184.00,184.00,"67,489","Jul 26, 2023"
25-07-2023,203.80,208.00,193.65,193.65,193.65,"44,312","Jul 25, 2023"
24-07-2023,214.00,214.00,203.80,203.80,203.80,"19,703","Jul 24, 2023"
21-07-2023,215.85,216.95,213.00,214.50,214.50,"25,059","Jul 21, 2023"
20-07-2023,212.55,217.70,212.55,214.15,214.15,"34,311","Jul 20, 2023"
19-07-2023,213.15,215.80,212.20,213.15,213.15,"30,132","Jul 19, 2023"
18-07-2023,213.05,215.45,211.95,212.75,212.75,"24,131","Jul 18, 2023"
17-07-2023,217.50,219.95,212.05,213.05,213.05,"54,516","Jul 17, 2023"
14-07-2023,216.00,217.70,211.00,214.65,214.65,"42,397","Jul 14, 2023"
