date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,612.90,612.90,605.05,608.95,608.95,"51,515","Aug 25, 2023"
24-08-2023,615.00,617.05,608.80,610.45,610.45,"92,065","Aug 24, 2023"
23-08-2023,613.00,614.00,606.50,610.35,610.35,"58,446","Aug 23, 2023"
22-08-2023,611.00,613.95,606.00,611.70,611.70,"82,778","Aug 22, 2023"
21-08-2023,607.95,614.95,606.50,608.45,608.45,"65,910","Aug 21, 2023"
18-08-2023,615.65,619.50,604.50,606.05,606.05,"68,884","Aug 18, 2023"
17-08-2023,604.00,617.20,604.00,615.65,615.65,"90,794","Aug 17, 2023"
16-08-2023,601.00,615.55,600.95,605.05,605.05,"88,347","Aug 16, 2023"
14-08-2023,600.00,607.50,592.80,601.70,601.70,"106,852","Aug 14, 2023"
11-08-2023,610.75,614.40,603.40,604.95,604.95,"88,955","Aug 11, 2023"
10-08-2023,614.25,617.50,607.20,611.90,611.90,"108,702","Aug 10, 2023"
09-08-2023,602.40,614.00,601.55,611.20,611.20,"63,808","Aug 09, 2023"
08-08-2023,611.30,617.70,601.00,602.40,602.40,"148,219","Aug 08, 2023"
07-08-2023,618.95,618.95,610.55,612.75,612.75,"93,810","Aug 07, 2023"
04-08-2023,625.00,625.00,614.00,616.75,616.75,"74,953","Aug 04, 2023"
03-08-2023,616.65,622.50,612.45,619.90,619.90,"72,878","Aug 03, 2023"
02-08-2023,616.80,623.30,614.00,616.65,616.65,"410,872","Aug 02, 2023"
01-08-2023,618.00,621.90,612.10,616.35,616.35,"166,979","Aug 01, 2023"
31-07-2023,614.00,619.55,613.10,614.95,614.95,"168,918","Jul 31, 2023"
28-07-2023,617.60,619.20,608.40,612.35,612.35,"853,644","Jul 28, 2023"
27-07-2023,613.00,623.05,611.10,617.55,617.55,"113,734","Jul 27, 2023"
26-07-2023,613.70,621.70,611.00,613.25,613.25,"159,651","Jul 26, 2023"
25-07-2023,621.05,629.60,605.00,610.20,610.20,"311,742","Jul 25, 2023"
24-07-2023,630.90,631.50,617.50,622.15,622.15,"204,588","Jul 24, 2023"
21-07-2023,611.95,629.80,610.20,627.55,627.55,"269,135","Jul 21, 2023"
20-07-2023,620.95,625.80,609.25,611.80,611.80,"286,809","Jul 20, 2023"
19-07-2023,625.05,633.95,611.85,619.60,619.60,"563,822","Jul 19, 2023"
18-07-2023,672.00,684.45,616.50,620.55,620.55,"1,177,096","Jul 18, 2023"
17-07-2023,715.00,717.95,676.00,678.90,678.90,"734,935","Jul 17, 2023"
14-07-2023,744.00,749.50,724.90,729.90,729.90,"142,731","Jul 14, 2023"
13-07-2023,727.00,744.30,722.45,739.60,739.60,"171,212","Jul 13, 2023"
12-07-2023,731.00,731.00,712.85,726.75,726.75,"76,578","Jul 12, 2023"
11-07-2023,728.95,734.40,720.05,727.10,727.10,"81,630","Jul 11, 2023"
10-07-2023,709.70,726.65,705.65,722.50,722.50,"98,777","Jul 10, 2023"
07-07-2023,726.30,740.00,703.00,705.50,705.50,"165,274","Jul 07, 2023"
06-07-2023,694.90,729.75,693.05,726.30,726.30,"640,484","Jul 06, 2023"
05-07-2023,681.00,699.30,673.00,692.05,692.05,"241,893","Jul 05, 2023"
04-07-2023,670.00,682.20,660.60,676.05,676.05,"202,946","Jul 04, 2023"
03-07-2023,662.05,668.00,655.50,665.90,665.90,"113,569","Jul 03, 2023"
30-06-2023,669.00,669.00,657.00,664.45,664.45,"79,732","Jun 30, 2023"
28-06-2023,650.25,650.25,650.25,650.25,650.25,-,"Jun 28, 2023"
27-06-2023,655.85,655.85,641.25,650.25,650.25,"70,748","Jun 27, 2023"
26-06-2023,630.85,649.00,630.85,646.25,646.25,"67,741","Jun 26, 2023"
23-06-2023,657.60,659.00,631.00,638.15,638.15,"107,375","Jun 23, 2023"
22-06-2023,653.25,669.70,650.25,655.10,655.10,"118,513","Jun 22, 2023"
21-06-2023,652.00,659.95,650.30,651.50,651.50,"67,556","Jun 21, 2023"
20-06-2023,662.00,669.95,646.50,653.50,653.50,"157,701","Jun 20, 2023"
19-06-2023,650.00,667.00,647.60,659.85,659.85,"235,908","Jun 19, 2023"
16-06-2023,639.90,655.75,639.90,649.75,649.75,"166,879","Jun 16, 2023"
15-06-2023,643.00,644.35,635.00,638.20,638.20,"45,582","Jun 15, 2023"
14-06-2023,643.45,643.95,635.10,641.30,641.30,"108,835","Jun 14, 2023"
13-06-2023,643.50,645.00,634.05,640.35,640.35,"70,908","Jun 13, 2023"
12-06-2023,637.00,644.95,633.70,642.45,642.45,"93,633","Jun 12, 2023"
09-06-2023,656.35,656.35,634.45,636.90,636.90,"346,476","Jun 09, 2023"
08-06-2023,642.75,643.35,627.80,633.40,633.40,"168,361","Jun 08, 2023"
07-06-2023,637.25,646.00,636.65,642.75,642.75,"42,520","Jun 07, 2023"
06-06-2023,640.60,641.30,630.00,636.05,636.05,"76,976","Jun 06, 2023"
05-06-2023,639.80,653.05,636.10,637.30,637.30,"144,865","Jun 05, 2023"
02-06-2023,639.65,644.50,633.00,636.45,636.45,"164,537","Jun 02, 2023"
01-06-2023,636.80,638.15,629.60,636.35,636.35,"85,784","Jun 01, 2023"
31-05-2023,620.80,636.95,617.25,634.50,634.50,"271,553","May 31, 2023"
30-05-2023,624.70,624.70,617.00,620.25,620.25,"92,859","May 30, 2023"
29-05-2023,624.50,624.50,616.35,622.20,622.20,"143,011","May 29, 2023"
26-05-2023,614.65,622.95,609.00,617.35,617.35,"121,421","May 26, 2023"
25-05-2023,612.00,619.00,604.05,614.10,614.10,"122,441","May 25, 2023"
24-05-2023,602.95,613.00,597.00,611.10,611.10,"155,774","May 24, 2023"
23-05-2023,598.80,604.70,592.15,602.65,602.65,"159,498","May 23, 2023"
22-05-2023,599.35,603.20,593.65,598.25,598.25,"87,351","May 22, 2023"
19-05-2023,612.95,614.70,593.50,596.85,596.85,"139,304","May 19, 2023"
18-05-2023,609.95,623.00,607.15,609.45,609.45,"228,096","May 18, 2023"
17-05-2023,610.00,627.00,593.95,607.55,607.55,"864,494","May 17, 2023"
16-05-2023,610.95,611.95,590.05,592.40,592.40,"110,814","May 16, 2023"
15-05-2023,595.15,608.50,593.55,606.50,606.50,"218,207","May 15, 2023"
12-05-2023,601.95,601.95,590.00,595.05,595.05,"81,569","May 12, 2023"
11-05-2023,600.95,607.75,597.15,601.95,601.95,"130,825","May 11, 2023"
10-05-2023,601.00,603.45,590.50,599.40,599.40,"218,837","May 10, 2023"
09-05-2023,584.90,619.90,584.90,599.60,599.60,"724,501","May 09, 2023"
08-05-2023,577.50,589.00,573.95,583.25,583.25,"141,341","May 08, 2023"
05-05-2023,575.40,580.00,567.30,572.20,572.20,"99,620","May 05, 2023"
04-05-2023,569.30,574.00,565.70,572.40,572.40,"135,596","May 04, 2023"
03-05-2023,581.35,583.85,561.25,564.00,564.00,"349,478","May 03, 2023"
02-05-2023,605.30,607.00,575.15,579.60,579.60,"454,627","May 02, 2023"
28-04-2023,603.00,608.00,596.00,602.25,602.25,"205,245","Apr 28, 2023"
27-04-2023,592.90,604.00,590.95,599.90,599.90,"470,287","Apr 27, 2023"
26-04-2023,571.90,604.40,568.60,590.15,590.15,"1,190,515","Apr 26, 2023"
25-04-2023,570.00,577.95,567.60,571.55,571.55,"71,658","Apr 25, 2023"
24-04-2023,559.85,572.50,557.15,568.60,568.60,"185,512","Apr 24, 2023"
21-04-2023,558.50,562.70,553.40,558.60,558.60,"183,443","Apr 21, 2023"
20-04-2023,561.70,561.70,553.00,556.05,556.05,"216,275","Apr 20, 2023"
19-04-2023,561.95,568.90,553.60,559.00,559.00,"143,448","Apr 19, 2023"
18-04-2023,554.75,561.45,548.00,559.20,559.20,"182,453","Apr 18, 2023"
17-04-2023,561.85,561.85,550.00,551.85,551.85,"260,233","Apr 17, 2023"
13-04-2023,564.55,565.00,557.00,560.50,560.50,"89,377","Apr 13, 2023"
12-04-2023,569.50,569.90,559.00,562.25,562.25,"85,641","Apr 12, 2023"
11-04-2023,565.65,566.45,559.00,564.45,564.45,"67,797","Apr 11, 2023"
10-04-2023,566.75,570.00,554.55,563.20,563.20,"121,820","Apr 10, 2023"
06-04-2023,577.35,578.55,559.85,563.90,563.90,"188,762","Apr 06, 2023"
05-04-2023,579.20,579.20,560.70,569.10,569.10,"132,364","Apr 05, 2023"
03-04-2023,570.55,590.00,568.35,577.90,577.90,"130,219","Apr 03, 2023"
31-03-2023,567.30,572.35,560.20,567.65,567.65,"87,923","Mar 31, 2023"
29-03-2023,560.00,569.00,553.35,565.40,565.40,"121,935","Mar 29, 2023"
28-03-2023,549.15,561.35,542.00,557.95,557.95,"213,632","Mar 28, 2023"
27-03-2023,557.00,563.00,546.00,549.15,549.15,"119,760","Mar 27, 2023"
24-03-2023,559.30,564.55,555.00,558.20,558.20,"52,367","Mar 24, 2023"
23-03-2023,560.35,562.60,555.00,556.50,556.50,"349,835","Mar 23, 2023"
22-03-2023,565.50,569.25,558.00,559.90,559.90,"68,199","Mar 22, 2023"
21-03-2023,553.50,569.00,553.50,563.35,563.35,"71,760","Mar 21, 2023"
20-03-2023,565.05,566.90,550.05,557.15,557.15,"65,988","Mar 20, 2023"
17-03-2023,567.00,579.00,563.40,565.05,565.05,"107,393","Mar 17, 2023"
16-03-2023,570.00,570.00,555.00,566.80,566.80,"93,231","Mar 16, 2023"
15-03-2023,558.90,574.95,558.90,567.15,567.15,"73,573","Mar 15, 2023"
14-03-2023,569.15,569.15,553.00,557.20,557.20,"71,646","Mar 14, 2023"
13-03-2023,580.75,580.75,550.00,569.15,569.15,"213,938","Mar 13, 2023"
10-03-2023,581.85,593.00,566.80,579.95,579.95,"238,842","Mar 10, 2023"
09-03-2023,567.80,593.00,559.00,579.95,579.95,"698,179","Mar 09, 2023"
08-03-2023,558.95,567.30,552.95,565.20,565.20,"105,254","Mar 08, 2023"
06-03-2023,560.60,571.25,555.60,558.95,558.95,"107,633","Mar 06, 2023"
03-03-2023,556.20,566.00,548.35,560.60,560.60,"137,937","Mar 03, 2023"
02-03-2023,565.00,565.05,551.55,555.30,555.30,"60,798","Mar 02, 2023"
01-03-2023,547.00,566.05,546.00,562.25,562.25,"593,169","Mar 01, 2023"
28-02-2023,538.25,551.05,535.30,546.95,546.95,"73,275","Feb 28, 2023"
27-02-2023,547.65,551.65,534.55,536.35,536.35,"80,892","Feb 27, 2023"
24-02-2023,545.20,555.55,544.50,550.95,550.95,"114,023","Feb 24, 2023"
23-02-2023,551.90,557.65,540.00,549.45,549.45,"255,274","Feb 23, 2023"
22-02-2023,537.45,551.75,535.10,549.05,549.05,"202,292","Feb 22, 2023"
21-02-2023,545.30,545.30,532.00,535.15,535.15,"43,949","Feb 21, 2023"
20-02-2023,553.15,553.15,541.70,543.10,543.10,"48,499","Feb 20, 2023"
17-02-2023,550.00,562.20,545.80,549.00,549.00,"131,014","Feb 17, 2023"
16-02-2023,536.80,553.00,534.10,549.00,549.00,"127,927","Feb 16, 2023"
15-02-2023,534.05,542.60,531.25,535.00,535.00,"75,893","Feb 15, 2023"
14-02-2023,558.00,558.00,531.20,534.25,534.25,"178,162","Feb 14, 2023"
13-02-2023,547.80,552.95,542.00,546.10,546.10,"36,181","Feb 13, 2023"
10-02-2023,544.20,558.50,540.00,547.80,547.80,"98,280","Feb 10, 2023"
09-02-2023,548.00,553.40,539.50,542.00,542.00,"44,464","Feb 09, 2023"
08-02-2023,540.90,557.75,531.00,549.00,549.00,"147,113","Feb 08, 2023"
07-02-2023,549.75,558.20,535.35,538.05,538.05,"145,197","Feb 07, 2023"
06-02-2023,569.05,570.00,543.60,547.40,547.40,"143,873","Feb 06, 2023"
03-02-2023,559.30,579.40,548.00,569.05,569.05,"394,103","Feb 03, 2023"
02-02-2023,537.10,570.10,533.15,564.40,564.40,"252,429","Feb 02, 2023"
01-02-2023,543.05,553.60,528.20,535.55,535.55,"154,489","Feb 01, 2023"
31-01-2023,527.00,545.00,522.00,542.95,542.95,"104,742","Jan 31, 2023"
30-01-2023,518.95,534.00,517.05,529.00,529.00,"155,397","Jan 30, 2023"
27-01-2023,536.50,540.20,511.65,516.40,516.40,"120,244","Jan 27, 2023"
25-01-2023,539.00,543.85,524.20,533.65,533.65,"82,200","Jan 25, 2023"
24-01-2023,546.00,547.80,537.70,539.75,539.75,"128,837","Jan 24, 2023"
23-01-2023,533.00,549.70,529.40,545.00,545.00,"366,656","Jan 23, 2023"
20-01-2023,524.80,538.45,522.05,532.05,532.05,"414,836","Jan 20, 2023"
19-01-2023,514.80,527.00,513.85,521.00,521.00,"220,290","Jan 19, 2023"
18-01-2023,522.50,539.00,515.00,517.55,517.55,"642,211","Jan 18, 2023"
17-01-2023,524.60,524.60,515.00,519.45,519.45,"63,257","Jan 17, 2023"
16-01-2023,520.75,522.30,515.00,516.85,516.85,"212,505","Jan 16, 2023"
13-01-2023,514.60,523.00,509.55,519.75,519.75,"89,350","Jan 13, 2023"
12-01-2023,524.75,524.75,511.10,512.00,512.00,"112,338","Jan 12, 2023"
11-01-2023,515.00,528.50,513.30,523.50,523.50,"87,559","Jan 11, 2023"
10-01-2023,519.00,523.75,509.00,516.35,516.35,"119,955","Jan 10, 2023"
09-01-2023,529.00,529.00,515.00,519.00,519.00,"82,732","Jan 09, 2023"
06-01-2023,540.35,542.00,515.00,518.05,518.05,"138,450","Jan 06, 2023"
