date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,389.00","2,390.75","2,290.75","2,299.80","2,299.80","178,802","Aug 25, 2023"
24-08-2023,"2,414.00","2,422.70","2,366.60","2,376.20","2,376.20","138,696","Aug 24, 2023"
23-08-2023,"2,400.00","2,412.20","2,367.80","2,389.55","2,389.55","201,446","Aug 23, 2023"
22-08-2023,"2,307.00","2,356.00","2,307.00","2,350.75","2,350.75","75,243","Aug 22, 2023"
21-08-2023,"2,304.00","2,335.70","2,260.85","2,318.85","2,318.85","127,137","Aug 21, 2023"
18-08-2023,"2,365.00","2,365.00","2,286.30","2,292.50","2,292.50","79,182","Aug 18, 2023"
17-08-2023,"2,336.60","2,388.20","2,330.15","2,347.45","2,347.45","95,731","Aug 17, 2023"
16-08-2023,"2,268.60","2,365.65","2,245.05","2,336.90","2,336.90","184,762","Aug 16, 2023"
14-08-2023,"2,324.00","2,334.80","2,202.05","2,256.65","2,256.65","193,367","Aug 14, 2023"
11-08-2023,"2,342.95","2,357.95","2,310.15","2,323.45","2,323.45","91,100","Aug 11, 2023"
10-08-2023,"2,405.00","2,408.10","2,315.00","2,329.40","2,329.40","138,090","Aug 10, 2023"
09-08-2023,"2,400.00","2,430.90","2,385.40","2,402.85","2,402.85","93,563","Aug 09, 2023"
08-08-2023,"2,417.90","2,430.10","2,385.00","2,394.15","2,394.15","85,770","Aug 08, 2023"
07-08-2023,"2,470.80","2,480.20","2,400.00","2,411.45","2,411.45","115,424","Aug 07, 2023"
04-08-2023,"2,431.00","2,498.00","2,417.50","2,461.95","2,461.95","201,264","Aug 04, 2023"
03-08-2023,"2,425.00","2,446.75","2,373.00","2,430.10","2,430.10","186,974","Aug 03, 2023"
02-08-2023,"2,466.80","2,466.80","2,406.00","2,429.80","2,429.80","110,931","Aug 02, 2023"
01-08-2023,"2,485.00","2,498.75","2,425.40","2,450.40","2,450.40","150,034","Aug 01, 2023"
31-07-2023,"2,452.10","2,481.85","2,430.00","2,471.45","2,471.45","203,827","Jul 31, 2023"
28-07-2023,"2,455.00","2,460.45","2,420.00","2,434.25","2,434.25","188,332","Jul 28, 2023"
27-07-2023,"2,511.25","2,516.00","2,447.00","2,467.70","2,467.70","224,185","Jul 27, 2023"
26-07-2023,"2,570.05","2,598.00","2,480.00","2,495.65","2,495.65","1,547,839","Jul 26, 2023"
25-07-2023,"2,462.40","2,547.70","2,429.25","2,476.55","2,476.55","532,172","Jul 25, 2023"
24-07-2023,"2,439.45","2,454.25","2,402.30","2,437.95","2,437.95","212,113","Jul 24, 2023"
21-07-2023,"2,487.95","2,528.50","2,418.05","2,429.40","2,429.40","325,629","Jul 21, 2023"
20-07-2023,"2,377.00","2,554.70","2,365.00","2,483.35","2,483.35","1,549,810","Jul 20, 2023"
19-07-2023,"2,422.00","2,423.60","2,363.00","2,383.05","2,383.05","257,180","Jul 19, 2023"
18-07-2023,"2,465.00","2,489.70","2,391.50","2,407.20","2,407.20","238,457","Jul 18, 2023"
17-07-2023,"2,448.90","2,488.75","2,406.00","2,449.90","2,449.90","380,916","Jul 17, 2023"
14-07-2023,"2,488.40","2,538.80","2,395.50","2,424.70","2,424.70","343,488","Jul 14, 2023"
13-07-2023,"2,499.00","2,590.10","2,450.00","2,476.85","2,476.85","548,751","Jul 13, 2023"
12-07-2023,"2,461.10","2,592.90","2,455.00","2,487.80","2,487.80","1,030,379","Jul 12, 2023"
11-07-2023,"2,495.00","2,499.00","2,422.00","2,461.00","2,461.00","707,981","Jul 11, 2023"
10-07-2023,"2,408.00","2,642.00","2,370.00","2,515.55","2,515.55","3,165,628","Jul 10, 2023"
07-07-2023,"2,440.00","2,494.40","2,351.05","2,412.95","2,412.95","2,232,057","Jul 07, 2023"
06-07-2023,"2,098.65","2,512.20","2,088.35","2,485.30","2,485.30","5,383,140","Jul 06, 2023"
05-07-2023,"2,053.85","2,140.00","2,050.60","2,093.50","2,093.50","393,966","Jul 05, 2023"
04-07-2023,"2,083.00","2,087.30","2,025.10","2,039.95","2,039.95","124,027","Jul 04, 2023"
03-07-2023,"2,110.00","2,110.00","2,065.00","2,072.05","2,072.05","88,219","Jul 03, 2023"
30-06-2023,"2,073.95","2,108.80","2,066.10","2,077.40","2,077.40","424,068","Jun 30, 2023"
28-06-2023,"2,081.75","2,081.75","2,081.75","2,081.75","2,081.75",-,"Jun 28, 2023"
27-06-2023,"2,059.95","2,098.90","2,054.35","2,081.75","2,081.75","391,213","Jun 27, 2023"
26-06-2023,"2,009.55","2,067.70","2,003.05","2,050.55","2,050.55","115,785","Jun 26, 2023"
23-06-2023,"2,064.95","2,076.15","1,992.40","2,000.15","2,000.15","124,346","Jun 23, 2023"
22-06-2023,"2,062.90","2,113.50","2,051.00","2,060.65","2,060.65","168,033","Jun 22, 2023"
21-06-2023,"2,057.70","2,105.00","2,043.00","2,058.45","2,058.45","157,257","Jun 21, 2023"
20-06-2023,"2,045.55","2,085.00","2,018.15","2,053.40","2,053.40","120,222","Jun 20, 2023"
20-06-2023,12 Dividend,,,,,,"Jun 20, 2023"
19-06-2023,"2,078.95","2,116.85","2,034.10","2,046.65","2,034.65","184,479","Jun 19, 2023"
16-06-2023,"2,080.90","2,100.55","2,065.00","2,076.45","2,064.28","210,072","Jun 16, 2023"
15-06-2023,"2,050.95","2,086.45","2,047.95","2,073.05","2,060.90","228,975","Jun 15, 2023"
14-06-2023,"2,067.00","2,069.70","2,032.55","2,048.15","2,036.14","201,886","Jun 14, 2023"
13-06-2023,"2,007.80","2,075.00","1,991.15","2,067.50","2,055.38","510,494","Jun 13, 2023"
12-06-2023,"1,949.95","2,005.50","1,942.00","1,997.90","1,986.19","354,493","Jun 12, 2023"
09-06-2023,"1,957.00","1,990.00","1,911.05","1,941.00","1,929.62","327,406","Jun 09, 2023"
08-06-2023,"1,973.80","1,995.00","1,939.85","1,944.05","1,932.65","233,107","Jun 08, 2023"
07-06-2023,"1,895.00","1,989.00","1,885.45","1,966.55","1,955.02","601,175","Jun 07, 2023"
06-06-2023,"1,931.30","1,931.30","1,885.45","1,893.35","1,882.25","144,142","Jun 06, 2023"
05-06-2023,"1,944.00","1,944.00","1,920.00","1,927.20","1,915.90","131,453","Jun 05, 2023"
02-06-2023,"1,943.70","1,943.70","1,912.15","1,928.90","1,917.59","173,158","Jun 02, 2023"
01-06-2023,"1,932.35","1,963.70","1,921.00","1,928.20","1,916.89","152,686","Jun 01, 2023"
31-05-2023,"1,916.30","1,969.40","1,915.00","1,927.80","1,916.50","340,768","May 31, 2023"
30-05-2023,"2,032.00","2,032.00","1,898.95","1,915.15","1,903.92","458,592","May 30, 2023"
29-05-2023,"2,118.00","2,120.95","2,005.40","2,024.90","2,013.03","359,382","May 29, 2023"
26-05-2023,"2,160.65","2,177.80","2,078.00","2,106.60","2,094.25","480,619","May 26, 2023"
25-05-2023,"2,059.95","2,185.00","2,040.05","2,160.65","2,147.98","1,121,090","May 25, 2023"
24-05-2023,"1,973.00","2,112.00","1,940.00","2,076.70","2,064.52",-,"May 24, 2023"
23-05-2023,"1,928.05","1,984.80","1,900.05","1,974.50","1,962.92","458,585","May 23, 2023"
22-05-2023,"1,871.00","1,948.25","1,870.00","1,928.05","1,916.75","420,118","May 22, 2023"
19-05-2023,"1,881.55","1,888.00","1,820.20","1,870.20","1,859.23","222,947","May 19, 2023"
18-05-2023,"1,847.80","1,912.05","1,845.05","1,881.55","1,870.52","639,613","May 18, 2023"
17-05-2023,"1,862.40","1,862.40","1,813.80","1,834.70","1,823.94","244,950","May 17, 2023"
16-05-2023,"1,783.90","1,875.00","1,780.00","1,862.40","1,851.48","584,716","May 16, 2023"
15-05-2023,"1,865.00","1,865.00","1,765.00","1,776.15","1,765.74","351,011","May 15, 2023"
12-05-2023,"1,839.10","1,879.90","1,821.75","1,865.75","1,854.81","505,546","May 12, 2023"
11-05-2023,"1,744.00","1,849.00","1,735.25","1,831.55","1,820.81","1,031,760","May 11, 2023"
10-05-2023,"1,702.00","1,740.00","1,702.00","1,730.50","1,720.35","253,453","May 10, 2023"
09-05-2023,"1,718.75","1,749.95","1,691.20","1,704.25","1,694.26","323,688","May 09, 2023"
08-05-2023,"1,719.00","1,747.85","1,691.95","1,710.35","1,700.32","388,968","May 08, 2023"
05-05-2023,"1,698.00","1,748.80","1,694.25","1,716.60","1,706.54","1,539,128","May 05, 2023"
04-05-2023,"1,630.40","1,685.00","1,628.25","1,655.90","1,646.19","738,283","May 04, 2023"
03-05-2023,"1,541.85","1,650.00","1,525.05","1,638.30","1,628.69","2,026,250","May 03, 2023"
02-05-2023,"1,561.00","1,561.00","1,511.95","1,521.40","1,512.48","311,229","May 02, 2023"
28-04-2023,"1,410.00","1,594.00","1,410.00","1,557.20","1,548.07","1,999,986","Apr 28, 2023"
27-04-2023,"1,402.10","1,422.00","1,390.00","1,403.30","1,395.07","114,524","Apr 27, 2023"
26-04-2023,"1,404.95","1,419.40","1,391.00","1,394.75","1,386.57","58,076","Apr 26, 2023"
25-04-2023,"1,410.10","1,424.40","1,390.95","1,399.50","1,391.29","67,677","Apr 25, 2023"
24-04-2023,"1,399.50","1,432.95","1,396.00","1,405.75","1,397.51","71,361","Apr 24, 2023"
21-04-2023,"1,416.00","1,420.00","1,381.75","1,397.45","1,389.26","68,994","Apr 21, 2023"
20-04-2023,"1,431.95","1,441.00","1,401.05","1,409.10","1,400.84","67,630","Apr 20, 2023"
