date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,790.00","1,829.45","1,722.00","1,734.25","1,734.25","112,551","Aug 25, 2023"
24-08-2023,"1,844.00","1,948.65","1,736.70","1,766.95","1,766.95","590,784","Aug 24, 2023"
23-08-2023,"1,490.00","1,698.00","1,480.85","1,643.45","1,643.45","203,664","Aug 23, 2023"
22-08-2023,"1,412.90","1,471.90","1,401.05","1,439.20","1,439.20","36,605","Aug 22, 2023"
21-08-2023,"1,418.75","1,437.00","1,372.00","1,397.40","1,397.40","17,772","Aug 21, 2023"
18-08-2023,"1,412.00","1,432.00","1,384.35","1,401.05","1,401.05","21,728","Aug 18, 2023"
17-08-2023,"1,510.85","1,520.00","1,400.00","1,412.65","1,412.65","40,824","Aug 17, 2023"
16-08-2023,"1,400.45","1,498.00","1,385.35","1,461.00","1,461.00","35,031","Aug 16, 2023"
14-08-2023,"1,371.10","1,399.85","1,244.20","1,377.85","1,377.85","140,001","Aug 14, 2023"
11-08-2023,"1,580.00","1,587.00","1,459.00","1,474.50","1,474.50","32,632","Aug 11, 2023"
10-08-2023,"1,582.60","1,613.95","1,550.00","1,558.40","1,558.40","14,163","Aug 10, 2023"
09-08-2023,"1,601.25","1,617.00","1,553.10","1,567.15","1,567.15","21,257","Aug 09, 2023"
08-08-2023,"1,644.00","1,696.50","1,588.05","1,601.00","1,601.00","27,138","Aug 08, 2023"
07-08-2023,"1,569.95","1,630.00","1,530.00","1,603.20","1,603.20","45,677","Aug 07, 2023"
04-08-2023,"1,464.85","1,555.00","1,446.15","1,523.85","1,523.85","26,548","Aug 04, 2023"
03-08-2023,"1,447.25","1,499.00","1,436.85","1,449.70","1,449.70","38,275","Aug 03, 2023"
02-08-2023,"1,483.65","1,483.65","1,416.10","1,423.75","1,423.75","29,544","Aug 02, 2023"
02-08-2023,4 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,"1,484.40","1,523.50","1,453.60","1,467.85","1,463.85","37,169","Aug 01, 2023"
01-08-2023,4 Dividend,,,,,,"Aug 01, 2023"
31-07-2023,"1,473.25","1,495.00","1,449.10","1,466.30","1,458.32","40,279","Jul 31, 2023"
28-07-2023,"1,441.00","1,459.85","1,422.25","1,449.10","1,441.21","14,113","Jul 28, 2023"
27-07-2023,"1,455.00","1,460.00","1,421.75","1,438.00","1,430.17","10,510","Jul 27, 2023"
26-07-2023,"1,451.00","1,454.95","1,429.05","1,439.45","1,431.61","16,565","Jul 26, 2023"
25-07-2023,"1,388.00","1,448.20","1,388.00","1,431.00","1,423.21","19,574","Jul 25, 2023"
24-07-2023,"1,429.25","1,434.85","1,375.00","1,387.05","1,379.50","20,421","Jul 24, 2023"
21-07-2023,"1,408.60","1,410.00","1,389.95","1,402.65","1,395.01","13,534","Jul 21, 2023"
20-07-2023,"1,434.95","1,445.00","1,383.00","1,388.20","1,380.64","24,779","Jul 20, 2023"
19-07-2023,"1,421.00","1,452.75","1,400.20","1,409.90","1,402.22","41,507","Jul 19, 2023"
18-07-2023,"1,409.85","1,423.00","1,363.10","1,397.40","1,389.79","21,643","Jul 18, 2023"
17-07-2023,"1,414.85","1,520.00","1,385.00","1,395.65","1,388.05","23,464","Jul 17, 2023"
14-07-2023,"1,379.00","1,430.40","1,374.95","1,400.65","1,393.02","31,235","Jul 14, 2023"
13-07-2023,"1,391.80","1,426.95","1,365.00","1,378.95","1,371.44","33,846","Jul 13, 2023"
12-07-2023,"1,370.00","1,471.45","1,355.00","1,391.60","1,384.02","53,351","Jul 12, 2023"
11-07-2023,"1,283.20","1,370.00","1,281.30","1,352.10","1,344.74","44,627","Jul 11, 2023"
10-07-2023,"1,310.00","1,344.95","1,256.65","1,272.20","1,265.27","24,120","Jul 10, 2023"
07-07-2023,"1,336.20","1,365.00","1,284.30","1,318.50","1,311.32","27,972","Jul 07, 2023"
06-07-2023,"1,360.00","1,370.50","1,320.00","1,327.85","1,320.62","16,134","Jul 06, 2023"
05-07-2023,"1,354.00","1,377.90","1,345.00","1,357.10","1,349.71","12,080","Jul 05, 2023"
04-07-2023,"1,397.00","1,410.00","1,331.00","1,341.95","1,334.64","17,328","Jul 04, 2023"
03-07-2023,"1,400.00","1,420.00","1,360.00","1,376.65","1,369.15","28,695","Jul 03, 2023"
30-06-2023,"1,371.65","1,391.50","1,314.20","1,383.05","1,375.52","31,772","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,"1,365.00","1,411.85","1,329.15","1,361.40","1,353.99","54,043","Jun 27, 2023"
26-06-2023,"1,249.25","1,365.00","1,242.05","1,336.55","1,329.27","62,188","Jun 26, 2023"
23-06-2023,"1,284.90","1,308.30","1,210.05","1,232.05","1,225.34","45,940","Jun 23, 2023"
22-06-2023,"1,262.25","1,340.00","1,257.05","1,273.90","1,266.96","51,474","Jun 22, 2023"
21-06-2023,"1,330.00","1,357.45","1,231.00","1,250.80","1,243.99","51,229","Jun 21, 2023"
20-06-2023,"1,323.25","1,363.50","1,288.60","1,328.90","1,321.66","66,884","Jun 20, 2023"
19-06-2023,"1,237.25","1,305.60","1,201.00","1,296.30","1,289.24","47,741","Jun 19, 2023"
16-06-2023,"1,169.00","1,222.00","1,168.95","1,215.35","1,208.73","26,485","Jun 16, 2023"
15-06-2023,"1,180.05","1,198.95","1,155.20","1,164.30","1,157.96","24,372","Jun 15, 2023"
14-06-2023,"1,251.35","1,273.45","1,169.80","1,192.20","1,185.71","41,976","Jun 14, 2023"
13-06-2023,"1,238.90","1,312.10","1,224.05","1,232.90","1,226.19","94,105","Jun 13, 2023"
12-06-2023,"1,165.00","1,230.00","1,164.85","1,224.10","1,217.43","50,346","Jun 12, 2023"
09-06-2023,"1,190.00","1,195.00","1,150.20","1,165.95","1,159.60","15,159","Jun 09, 2023"
08-06-2023,"1,192.65","1,200.00","1,165.00","1,178.80","1,172.38","98,935","Jun 08, 2023"
07-06-2023,"1,159.95","1,220.00","1,157.20","1,192.65","1,186.16","85,252","Jun 07, 2023"
06-06-2023,"1,144.00","1,160.50","1,110.00","1,155.05","1,148.76","34,707","Jun 06, 2023"
05-06-2023,"1,139.00","1,140.00","1,060.50","1,129.15","1,123.00","48,089","Jun 05, 2023"
02-06-2023,"1,140.00","1,160.00","1,092.00","1,106.60","1,100.57","45,912","Jun 02, 2023"
01-06-2023,"1,035.00","1,204.95","1,032.80","1,123.00","1,116.88","195,843","Jun 01, 2023"
31-05-2023,"1,034.45","1,064.90","1,007.00","1,028.40","1,022.80","83,741","May 31, 2023"
30-05-2023,"1,015.00","1,079.65","1,012.20","1,035.60","1,029.96","449,142","May 30, 2023"
29-05-2023,905.00,973.25,905.00,973.25,967.95,"180,190","May 29, 2023"
26-05-2023,808.00,823.70,805.50,811.05,806.63,"14,996","May 26, 2023"
25-05-2023,811.00,827.00,805.05,810.20,805.79,"14,152","May 25, 2023"
24-05-2023,813.80,830.10,804.25,811.45,807.03,"23,873","May 24, 2023"
23-05-2023,815.00,847.00,805.95,813.80,809.37,"62,073","May 23, 2023"
22-05-2023,775.00,836.00,775.00,810.25,805.84,"79,285","May 22, 2023"
19-05-2023,790.05,849.70,787.00,834.15,829.61,"106,528","May 19, 2023"
18-05-2023,797.80,799.80,777.75,786.10,781.82,"7,961","May 18, 2023"
17-05-2023,773.05,801.00,768.30,793.20,788.88,"25,774","May 17, 2023"
16-05-2023,771.00,784.00,761.40,771.20,767.00,"11,735","May 16, 2023"
