date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,414.45,421.40,412.45,417.95,417.95,"1,138,418","Aug 25, 2023"
24-08-2023,419.95,420.00,412.25,414.75,414.75,"847,091","Aug 24, 2023"
23-08-2023,424.95,427.45,414.00,417.00,417.00,"879,842","Aug 23, 2023"
22-08-2023,426.00,427.90,419.25,424.95,424.95,"929,212","Aug 22, 2023"
21-08-2023,435.00,435.00,421.00,423.10,423.10,"1,875,220","Aug 21, 2023"
18-08-2023,414.50,432.00,414.00,429.65,429.65,"3,336,542","Aug 18, 2023"
17-08-2023,409.00,425.50,405.95,412.40,412.40,"2,523,108","Aug 17, 2023"
16-08-2023,401.50,413.65,401.00,408.30,408.30,"1,491,227","Aug 16, 2023"
14-08-2023,403.95,407.25,398.90,401.70,401.70,"683,453","Aug 14, 2023"
11-08-2023,403.65,404.90,401.00,403.95,403.95,"1,438,246","Aug 11, 2023"
10-08-2023,404.00,406.80,400.00,401.40,401.40,"687,611","Aug 10, 2023"
09-08-2023,408.50,409.70,402.20,403.85,403.85,"725,021","Aug 09, 2023"
08-08-2023,404.00,408.90,402.85,407.95,407.95,"813,604","Aug 08, 2023"
07-08-2023,410.00,411.90,403.00,404.90,404.90,"562,836","Aug 07, 2023"
04-08-2023,409.20,412.45,403.60,408.05,408.05,"846,840","Aug 04, 2023"
03-08-2023,409.05,413.10,404.15,406.30,406.30,"1,014,133","Aug 03, 2023"
02-08-2023,409.35,412.35,402.05,407.40,407.40,"1,243,991","Aug 02, 2023"
01-08-2023,401.00,410.05,394.10,408.00,408.00,"1,740,052","Aug 01, 2023"
31-07-2023,403.75,404.95,398.25,402.05,402.05,"1,147,205","Jul 31, 2023"
28-07-2023,403.85,407.30,395.00,403.75,403.75,"2,271,602","Jul 28, 2023"
27-07-2023,403.60,404.80,391.20,396.80,396.80,"3,611,506","Jul 27, 2023"
26-07-2023,400.00,408.00,398.00,400.45,400.45,"1,935,916","Jul 26, 2023"
25-07-2023,404.80,409.80,398.50,399.50,399.50,"981,046","Jul 25, 2023"
24-07-2023,408.00,412.50,400.05,401.85,401.85,"1,076,880","Jul 24, 2023"
21-07-2023,413.00,414.00,404.10,408.05,408.05,"1,047,371","Jul 21, 2023"
20-07-2023,419.10,419.40,411.00,412.30,412.30,"933,152","Jul 20, 2023"
19-07-2023,424.05,424.65,414.10,417.40,417.40,"1,570,254","Jul 19, 2023"
18-07-2023,409.00,424.00,405.05,422.70,422.70,"2,378,567","Jul 18, 2023"
17-07-2023,410.90,410.90,405.00,406.90,406.90,"615,003","Jul 17, 2023"
14-07-2023,404.50,410.00,397.05,408.75,408.75,"1,226,202","Jul 14, 2023"
13-07-2023,406.90,408.45,401.50,403.95,403.95,"1,165,892","Jul 13, 2023"
12-07-2023,403.50,407.65,401.75,405.85,405.85,"1,785,862","Jul 12, 2023"
11-07-2023,389.85,400.00,386.95,399.05,399.05,"2,580,097","Jul 11, 2023"
10-07-2023,386.45,389.80,379.90,388.65,388.65,"1,894,464","Jul 10, 2023"
07-07-2023,392.35,393.85,384.70,386.45,386.45,"1,208,758","Jul 07, 2023"
06-07-2023,385.00,395.00,384.30,390.25,390.25,"2,410,088","Jul 06, 2023"
05-07-2023,378.50,385.00,378.00,384.15,384.15,"1,237,128","Jul 05, 2023"
04-07-2023,379.90,381.80,375.25,379.05,379.05,"557,086","Jul 04, 2023"
03-07-2023,379.95,383.90,375.60,378.90,378.90,"802,497","Jul 03, 2023"
30-06-2023,376.25,379.95,374.60,378.50,378.50,"875,942","Jun 30, 2023"
28-06-2023,373.30,373.30,373.30,373.30,373.30,-,"Jun 28, 2023"
27-06-2023,374.00,378.75,371.00,373.30,373.30,"629,123","Jun 27, 2023"
26-06-2023,370.00,374.80,367.15,373.90,373.90,"1,703,097","Jun 26, 2023"
23-06-2023,373.35,373.35,364.40,368.80,368.80,"1,167,160","Jun 23, 2023"
22-06-2023,377.45,379.40,371.05,372.60,372.60,"615,591","Jun 22, 2023"
21-06-2023,369.00,379.75,367.95,377.15,377.15,"1,625,233","Jun 21, 2023"
20-06-2023,366.90,371.00,363.40,366.80,366.80,"2,131,374","Jun 20, 2023"
19-06-2023,377.00,380.25,362.40,364.50,364.50,"4,434,760","Jun 19, 2023"
16-06-2023,379.40,380.95,373.60,377.10,377.10,"1,256,088","Jun 16, 2023"
15-06-2023,377.40,381.00,376.35,378.30,378.30,"691,330","Jun 15, 2023"
14-06-2023,383.90,384.00,376.10,378.10,378.10,"1,358,222","Jun 14, 2023"
13-06-2023,377.85,383.90,375.85,382.40,382.40,"1,074,668","Jun 13, 2023"
12-06-2023,382.00,384.80,376.05,377.85,377.85,"835,240","Jun 12, 2023"
09-06-2023,375.00,389.00,374.25,379.95,379.95,"1,529,117","Jun 09, 2023"
08-06-2023,372.20,377.00,371.10,375.05,375.05,"1,331,695","Jun 08, 2023"
07-06-2023,376.65,380.60,369.00,370.10,370.10,"1,354,189","Jun 07, 2023"
06-06-2023,381.00,382.65,373.00,374.60,374.60,"944,775","Jun 06, 2023"
05-06-2023,380.85,383.25,377.60,381.45,381.45,"3,094,541","Jun 05, 2023"
02-06-2023,390.55,392.00,378.10,380.85,380.85,"1,858,421","Jun 02, 2023"
01-06-2023,392.75,394.30,386.20,388.55,388.55,"3,435,479","Jun 01, 2023"
31-05-2023,385.90,397.80,382.00,392.85,392.85,"6,088,536","May 31, 2023"
30-05-2023,383.35,388.70,375.55,385.90,385.90,"3,152,139","May 30, 2023"
29-05-2023,388.90,395.30,378.00,383.75,383.75,"2,939,627","May 29, 2023"
26-05-2023,375.10,389.25,373.30,387.00,387.00,"3,040,632","May 26, 2023"
25-05-2023,363.85,375.00,358.45,373.25,373.25,"3,876,292","May 25, 2023"
24-05-2023,356.00,365.55,354.55,364.30,364.30,"1,791,179","May 24, 2023"
23-05-2023,351.65,362.00,351.10,357.40,357.40,"2,640,866","May 23, 2023"
22-05-2023,340.95,354.60,339.10,353.00,353.00,"3,438,288","May 22, 2023"
19-05-2023,338.25,344.75,333.25,340.65,340.65,"1,280,319","May 19, 2023"
18-05-2023,339.00,339.80,334.65,336.65,336.65,"778,622","May 18, 2023"
17-05-2023,338.45,340.40,332.45,336.40,336.40,"1,454,973","May 17, 2023"
16-05-2023,332.00,344.70,331.00,338.45,338.45,"3,037,654","May 16, 2023"
15-05-2023,330.30,341.50,329.05,332.15,332.15,"3,198,066","May 15, 2023"
12-05-2023,326.30,335.00,322.85,332.35,332.35,"4,621,280","May 12, 2023"
11-05-2023,316.70,329.00,316.45,327.00,327.00,"4,777,643","May 11, 2023"
10-05-2023,323.00,325.00,315.00,315.85,315.85,"1,526,594","May 10, 2023"
09-05-2023,315.50,323.40,309.30,320.50,320.50,"3,493,120","May 09, 2023"
08-05-2023,306.75,314.15,290.00,312.35,312.35,"3,569,790","May 08, 2023"
05-05-2023,308.70,311.25,303.50,305.55,305.55,"1,842,407","May 05, 2023"
04-05-2023,313.65,315.80,309.00,311.25,311.25,"791,174","May 04, 2023"
03-05-2023,306.80,316.40,305.10,311.80,311.80,"2,687,959","May 03, 2023"
02-05-2023,308.00,311.35,305.25,306.85,306.85,"999,558","May 02, 2023"
28-04-2023,307.75,310.80,303.80,308.85,308.85,"1,189,908","Apr 28, 2023"
27-04-2023,309.25,310.20,303.00,307.75,307.75,"1,138,840","Apr 27, 2023"
26-04-2023,306.15,310.80,302.70,308.75,308.75,"2,238,883","Apr 26, 2023"
25-04-2023,302.90,307.35,299.10,306.15,306.15,"1,323,830","Apr 25, 2023"
24-04-2023,304.00,304.40,300.25,302.45,302.45,"561,124","Apr 24, 2023"
21-04-2023,298.00,304.00,294.30,302.80,302.80,"908,853","Apr 21, 2023"
20-04-2023,299.50,302.10,295.35,300.15,300.15,"756,569","Apr 20, 2023"
19-04-2023,303.85,303.90,296.30,298.60,298.60,"593,807","Apr 19, 2023"
18-04-2023,303.00,304.95,300.50,303.85,303.85,"913,636","Apr 18, 2023"
17-04-2023,299.00,305.50,298.05,301.10,301.10,"1,662,067","Apr 17, 2023"
13-04-2023,302.00,306.00,296.50,298.00,298.00,"1,467,802","Apr 13, 2023"
12-04-2023,295.00,303.00,292.75,301.25,301.25,"1,163,685","Apr 12, 2023"
11-04-2023,288.15,295.50,286.80,294.55,294.55,"1,144,355","Apr 11, 2023"
10-04-2023,290.10,291.30,286.85,288.05,288.05,"2,150,819","Apr 10, 2023"
06-04-2023,290.50,292.35,290.00,290.70,290.70,"876,239","Apr 06, 2023"
05-04-2023,294.05,297.00,289.10,290.50,290.50,"2,588,114","Apr 05, 2023"
03-04-2023,303.00,304.80,295.60,296.70,296.70,"1,250,839","Apr 03, 2023"
31-03-2023,307.60,307.60,297.55,300.05,300.05,"2,761,619","Mar 31, 2023"
29-03-2023,289.00,308.05,287.40,305.05,305.05,"2,925,120","Mar 29, 2023"
28-03-2023,289.35,291.45,283.25,289.55,289.55,"1,100,200","Mar 28, 2023"
27-03-2023,290.00,291.90,284.10,287.70,287.70,"1,469,877","Mar 27, 2023"
24-03-2023,296.00,296.85,286.10,288.75,288.75,"1,060,023","Mar 24, 2023"
23-03-2023,292.95,298.90,292.15,296.30,296.30,"1,145,571","Mar 23, 2023"
22-03-2023,297.80,299.80,292.20,293.90,293.90,"796,707","Mar 22, 2023"
21-03-2023,288.35,298.95,288.35,296.30,296.30,"2,262,931","Mar 21, 2023"
20-03-2023,285.50,291.00,276.65,286.85,286.85,"2,344,438","Mar 20, 2023"
17-03-2023,292.05,293.45,286.00,289.15,289.15,"1,801,010","Mar 17, 2023"
16-03-2023,292.95,294.00,283.50,290.80,290.80,"1,772,334","Mar 16, 2023"
15-03-2023,293.20,299.70,289.10,292.20,292.20,"1,559,818","Mar 15, 2023"
15-03-2023,1.5 Dividend,,,,,,"Mar 15, 2023"
14-03-2023,290.00,298.20,280.75,293.00,291.50,"2,059,502","Mar 14, 2023"
13-03-2023,296.85,298.20,286.80,290.95,289.46,"2,083,004","Mar 13, 2023"
10-03-2023,295.85,302.00,294.00,297.35,295.83,"2,168,497","Mar 10, 2023"
09-03-2023,301.65,304.80,295.10,297.05,295.53,"1,812,978","Mar 09, 2023"
08-03-2023,298.70,305.40,297.00,301.30,299.76,"2,094,412","Mar 08, 2023"
06-03-2023,301.00,301.60,294.05,298.35,296.82,"1,748,045","Mar 06, 2023"
03-03-2023,302.00,306.00,296.10,300.75,299.21,"2,251,488","Mar 03, 2023"
02-03-2023,308.90,309.80,291.00,300.05,298.51,"3,935,281","Mar 02, 2023"
01-03-2023,300.00,309.60,299.15,306.80,305.23,"1,547,803","Mar 01, 2023"
28-02-2023,315.00,318.80,298.80,305.25,303.69,"78,490,279","Feb 28, 2023"
27-02-2023,314.40,319.75,308.40,310.90,309.31,"3,505,642","Feb 27, 2023"
24-02-2023,315.75,319.85,313.00,314.85,313.24,"3,877,334","Feb 24, 2023"
23-02-2023,315.70,320.50,312.65,314.20,312.59,"3,645,631","Feb 23, 2023"
22-02-2023,318.75,320.80,312.00,314.40,312.79,"2,921,934","Feb 22, 2023"
21-02-2023,316.30,324.35,315.05,319.90,318.26,"3,231,711","Feb 21, 2023"
20-02-2023,319.95,323.80,314.00,317.00,315.38,"7,742,141","Feb 20, 2023"
17-02-2023,320.95,325.75,317.50,320.15,318.51,"2,437,429","Feb 17, 2023"
16-02-2023,322.95,327.45,321.50,323.75,322.09,"4,072,105","Feb 16, 2023"
15-02-2023,334.95,336.35,315.45,320.75,319.11,"4,085,177","Feb 15, 2023"
14-02-2023,334.00,338.60,333.30,335.75,334.03,"3,557,133","Feb 14, 2023"
13-02-2023,328.80,335.25,328.00,334.45,332.74,"4,193,247","Feb 13, 2023"
10-02-2023,321.15,333.00,318.20,327.85,326.17,"7,281,913","Feb 10, 2023"
09-02-2023,316.35,316.35,306.05,311.45,309.86,"2,591,230","Feb 09, 2023"
08-02-2023,316.10,319.45,315.00,316.45,314.83,"1,538,187","Feb 08, 2023"
07-02-2023,308.95,319.50,307.85,315.30,313.69,"3,715,973","Feb 07, 2023"
06-02-2023,308.00,310.00,306.10,307.40,305.83,"2,066,418","Feb 06, 2023"
03-02-2023,307.00,310.50,303.90,309.25,307.67,"3,179,890","Feb 03, 2023"
02-02-2023,303.45,308.30,300.05,306.10,304.53,"1,711,354","Feb 02, 2023"
01-02-2023,303.85,306.00,291.55,302.40,300.85,"2,732,882","Feb 01, 2023"
31-01-2023,304.00,306.50,298.15,302.45,300.90,"1,912,210","Jan 31, 2023"
30-01-2023,299.10,305.80,298.55,301.75,300.21,"3,383,826","Jan 30, 2023"
27-01-2023,300.00,306.25,286.50,298.40,296.87,"3,339,589","Jan 27, 2023"
25-01-2023,299.00,311.80,297.00,300.40,298.86,"3,645,017","Jan 25, 2023"
24-01-2023,304.85,308.30,294.00,299.35,297.82,"2,343,669","Jan 24, 2023"
23-01-2023,312.70,313.25,297.00,303.55,302.00,"2,595,157","Jan 23, 2023"
20-01-2023,315.00,315.05,310.10,312.75,311.15,"2,704,855","Jan 20, 2023"
19-01-2023,308.40,315.30,307.55,313.85,312.24,"4,884,677","Jan 19, 2023"
18-01-2023,307.00,310.95,303.10,308.35,306.77,"2,775,644","Jan 18, 2023"
17-01-2023,303.30,310.20,301.75,305.65,304.09,"3,243,763","Jan 17, 2023"
16-01-2023,311.30,315.40,300.10,302.00,300.45,"4,344,439","Jan 16, 2023"
13-01-2023,296.50,310.70,295.90,308.55,306.97,"5,903,809","Jan 13, 2023"
12-01-2023,300.70,305.00,293.20,295.10,293.59,"3,568,679","Jan 12, 2023"
11-01-2023,291.00,300.00,288.00,299.20,297.67,"4,627,649","Jan 11, 2023"
10-01-2023,286.50,298.60,285.50,289.80,288.32,"4,651,066","Jan 10, 2023"
09-01-2023,272.00,291.40,271.10,289.45,287.97,"6,464,804","Jan 09, 2023"
06-01-2023,270.05,271.20,267.20,270.00,268.62,"721,930","Jan 06, 2023"
05-01-2023,272.50,273.90,269.00,270.90,269.51,"953,714","Jan 05, 2023"
04-01-2023,275.25,277.10,270.00,274.30,272.90,"1,018,706","Jan 04, 2023"
03-01-2023,275.95,275.95,269.00,274.20,272.80,"753,832","Jan 03, 2023"
02-01-2023,267.00,273.00,265.00,270.60,269.21,"1,512,754","Jan 02, 2023"
30-12-2022,267.95,272.35,263.90,270.30,268.92,"919,336","Dec 30, 2022"
29-12-2022,268.00,270.40,265.00,266.70,265.33,"426,656","Dec 29, 2022"
