date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,664.00,664.50,654.00,663.30,663.30,"685,048","Aug 25, 2023"
24-08-2023,664.00,667.70,660.15,665.10,665.10,"304,652","Aug 24, 2023"
23-08-2023,663.00,672.90,656.90,660.70,660.70,"836,022","Aug 23, 2023"
22-08-2023,659.55,664.10,655.15,662.50,662.50,"608,286","Aug 22, 2023"
21-08-2023,654.70,661.00,653.00,657.90,657.90,"1,406,612","Aug 21, 2023"
18-08-2023,658.95,663.40,652.00,654.75,654.75,"1,328,417","Aug 18, 2023"
18-08-2023,2 Dividend,,,,,,"Aug 18, 2023"
17-08-2023,658.00,665.95,652.00,661.05,659.05,"1,117,217","Aug 17, 2023"
16-08-2023,665.10,665.65,654.15,658.00,656.01,"1,110,423","Aug 16, 2023"
14-08-2023,665.00,669.95,645.90,665.05,663.04,"2,043,555","Aug 14, 2023"
11-08-2023,685.00,687.35,669.00,677.95,675.90,"1,982,467","Aug 11, 2023"
10-08-2023,707.00,709.60,691.65,696.55,694.44,"742,235","Aug 10, 2023"
09-08-2023,714.45,714.45,697.75,709.35,707.20,"1,200,579","Aug 09, 2023"
08-08-2023,702.00,713.00,695.70,710.65,708.50,"1,433,476","Aug 08, 2023"
07-08-2023,691.55,700.00,685.55,699.00,696.89,"565,425","Aug 07, 2023"
04-08-2023,694.00,697.00,687.25,695.15,693.05,"468,756","Aug 04, 2023"
03-08-2023,673.50,691.00,673.50,688.95,686.87,"626,316","Aug 03, 2023"
02-08-2023,693.60,696.90,674.00,679.40,677.34,"1,130,856","Aug 02, 2023"
01-08-2023,698.75,704.90,690.65,693.55,691.45,"1,289,474","Aug 01, 2023"
31-07-2023,689.00,698.80,684.55,694.70,692.60,"1,015,449","Jul 31, 2023"
28-07-2023,675.00,690.95,671.45,689.75,687.66,"1,040,732","Jul 28, 2023"
27-07-2023,682.00,683.50,670.50,675.05,673.01,"561,343","Jul 27, 2023"
26-07-2023,680.00,687.00,677.10,678.95,676.90,"504,923","Jul 26, 2023"
25-07-2023,685.00,687.00,674.10,679.55,677.49,"1,182,873","Jul 25, 2023"
24-07-2023,678.00,687.45,666.00,680.55,678.49,"905,295","Jul 24, 2023"
21-07-2023,684.35,685.45,671.60,674.90,672.86,"1,377,045","Jul 21, 2023"
20-07-2023,690.00,705.00,682.60,685.70,683.63,"1,698,375","Jul 20, 2023"
19-07-2023,680.00,690.00,670.25,685.90,683.82,"832,127","Jul 19, 2023"
18-07-2023,684.00,691.65,673.35,681.05,678.99,"665,435","Jul 18, 2023"
17-07-2023,684.40,694.15,663.10,684.70,682.63,"1,636,750","Jul 17, 2023"
14-07-2023,678.50,690.00,677.25,688.80,686.72,"554,148","Jul 14, 2023"
13-07-2023,683.25,686.95,675.10,678.35,676.30,"707,954","Jul 13, 2023"
12-07-2023,678.00,684.00,672.00,683.15,681.08,"828,232","Jul 12, 2023"
11-07-2023,671.70,682.50,667.45,677.25,675.20,"1,007,871","Jul 11, 2023"
10-07-2023,674.95,674.95,659.00,671.65,669.62,"584,713","Jul 10, 2023"
07-07-2023,692.45,692.60,666.00,670.65,668.62,"781,925","Jul 07, 2023"
06-07-2023,674.00,691.55,671.00,690.00,687.91,"1,338,976","Jul 06, 2023"
05-07-2023,665.00,674.90,658.40,673.05,671.01,"1,193,025","Jul 05, 2023"
04-07-2023,666.00,666.50,655.80,664.70,662.69,"1,051,281","Jul 04, 2023"
03-07-2023,667.00,677.35,655.35,657.05,655.06,"1,034,099","Jul 03, 2023"
30-06-2023,658.00,663.60,652.25,661.80,659.80,"580,747","Jun 30, 2023"
28-06-2023,648.75,648.75,648.75,648.75,646.79,-,"Jun 28, 2023"
27-06-2023,649.80,653.55,641.45,648.75,646.79,"1,023,867","Jun 27, 2023"
26-06-2023,642.70,650.90,632.45,649.80,647.83,"685,285","Jun 26, 2023"
23-06-2023,642.45,649.80,633.05,642.40,640.46,"653,943","Jun 23, 2023"
22-06-2023,654.00,654.00,640.00,642.45,640.51,"1,073,821","Jun 22, 2023"
21-06-2023,638.00,654.20,637.45,653.15,651.17,"1,522,352","Jun 21, 2023"
20-06-2023,651.95,653.95,629.20,636.35,634.42,"2,796,342","Jun 20, 2023"
19-06-2023,671.80,671.80,659.00,660.95,658.95,"1,260,021","Jun 19, 2023"
16-06-2023,665.00,670.00,658.05,668.30,666.28,"1,114,808","Jun 16, 2023"
15-06-2023,659.75,669.40,655.00,659.45,657.45,"1,467,295","Jun 15, 2023"
14-06-2023,655.00,665.55,651.30,662.30,660.30,"1,913,846","Jun 14, 2023"
13-06-2023,662.00,666.15,646.05,651.05,649.08,"3,992,107","Jun 13, 2023"
12-06-2023,665.00,671.15,651.70,663.40,661.39,"1,405,896","Jun 12, 2023"
09-06-2023,674.00,683.30,665.95,673.45,671.41,"682,120","Jun 09, 2023"
08-06-2023,674.00,688.00,669.40,674.15,672.11,"948,257","Jun 08, 2023"
07-06-2023,672.70,676.10,665.60,672.60,670.57,"331,455","Jun 07, 2023"
06-06-2023,672.20,674.80,664.60,670.30,668.27,"273,405","Jun 06, 2023"
05-06-2023,672.50,680.00,664.10,671.50,669.47,"1,604,415","Jun 05, 2023"
02-06-2023,659.50,668.00,659.50,667.05,665.03,"894,538","Jun 02, 2023"
01-06-2023,671.50,674.85,658.00,659.45,657.45,"377,426","Jun 01, 2023"
31-05-2023,667.10,677.65,667.10,670.95,668.92,"882,663","May 31, 2023"
30-05-2023,675.90,675.90,663.10,670.45,668.42,"753,031","May 30, 2023"
29-05-2023,672.75,678.50,667.00,673.70,671.66,"845,659","May 29, 2023"
26-05-2023,668.00,674.90,664.15,672.75,670.71,"421,631","May 26, 2023"
25-05-2023,660.95,670.00,659.80,668.45,666.43,"769,540","May 25, 2023"
24-05-2023,660.95,667.65,656.25,661.70,659.70,"1,290,952","May 24, 2023"
23-05-2023,648.30,663.55,641.40,661.20,659.20,"1,255,607","May 23, 2023"
22-05-2023,630.00,646.10,622.25,644.90,642.95,"908,178","May 22, 2023"
19-05-2023,625.00,630.35,610.00,626.35,624.45,"2,513,385","May 19, 2023"
18-05-2023,643.35,643.35,628.20,631.40,629.49,"1,677,962","May 18, 2023"
17-05-2023,643.00,647.50,635.50,639.30,637.37,"1,030,002","May 17, 2023"
16-05-2023,646.00,649.60,640.15,643.20,641.25,"903,952","May 16, 2023"
15-05-2023,638.00,647.45,636.05,646.85,644.89,"748,724","May 15, 2023"
12-05-2023,642.05,646.35,635.25,638.25,636.32,"534,620","May 12, 2023"
11-05-2023,641.90,645.75,636.90,642.05,640.11,"708,501","May 11, 2023"
10-05-2023,636.00,643.00,630.00,639.65,637.71,"442,717","May 10, 2023"
09-05-2023,638.80,641.00,629.85,634.90,632.98,"721,060","May 09, 2023"
08-05-2023,623.70,636.85,623.20,635.85,633.93,"949,897","May 08, 2023"
05-05-2023,636.00,636.05,620.10,623.70,621.81,"797,805","May 05, 2023"
04-05-2023,622.95,633.95,622.95,633.00,631.08,"1,325,697","May 04, 2023"
03-05-2023,620.60,625.90,617.70,623.60,621.71,"1,502,363","May 03, 2023"
02-05-2023,614.90,623.30,611.40,620.85,618.97,"1,046,906","May 02, 2023"
28-04-2023,608.50,614.50,607.20,611.70,609.85,"1,013,705","Apr 28, 2023"
