date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,38.90,39.50,38.50,38.85,38.85,"298,217","Aug 25, 2023"
24-08-2023,39.90,41.35,38.75,38.90,38.90,"735,972","Aug 24, 2023"
23-08-2023,40.30,41.00,38.80,38.95,38.95,"804,185","Aug 23, 2023"
22-08-2023,38.20,40.50,37.55,39.90,39.90,"339,490","Aug 22, 2023"
21-08-2023,38.45,38.45,37.35,37.70,37.70,"46,971","Aug 21, 2023"
18-08-2023,37.80,38.50,37.55,37.65,37.65,"39,982","Aug 18, 2023"
17-08-2023,38.80,38.80,37.25,37.65,37.65,"82,707","Aug 17, 2023"
16-08-2023,37.30,38.95,36.10,38.00,38.00,"140,569","Aug 16, 2023"
14-08-2023,37.25,37.80,35.80,36.95,36.95,"85,278","Aug 14, 2023"
11-08-2023,36.85,37.50,35.55,36.65,36.65,"63,206","Aug 11, 2023"
10-08-2023,36.90,36.90,35.90,36.20,36.20,"22,996","Aug 10, 2023"
09-08-2023,35.65,36.80,35.10,35.65,35.65,"34,152","Aug 09, 2023"
08-08-2023,37.40,37.70,35.65,36.20,36.20,"46,746","Aug 08, 2023"
07-08-2023,35.45,37.40,34.85,36.25,36.25,"40,795","Aug 07, 2023"
04-08-2023,34.60,35.00,34.60,34.80,34.80,"13,338","Aug 04, 2023"
03-08-2023,34.35,35.50,34.35,34.60,34.60,"19,682","Aug 03, 2023"
02-08-2023,35.15,36.00,34.60,34.85,34.85,"30,663","Aug 02, 2023"
01-08-2023,35.00,35.60,35.00,35.50,35.50,"30,252","Aug 01, 2023"
31-07-2023,35.70,35.90,34.55,34.80,34.80,"55,964","Jul 31, 2023"
28-07-2023,35.90,35.90,34.75,34.90,34.90,"13,890","Jul 28, 2023"
27-07-2023,35.40,35.80,34.85,35.10,35.10,"20,284","Jul 27, 2023"
26-07-2023,35.60,35.60,34.35,35.00,35.00,"42,325","Jul 26, 2023"
25-07-2023,36.25,36.35,34.45,35.15,35.15,"64,355","Jul 25, 2023"
24-07-2023,36.00,36.25,35.50,35.65,35.65,"25,332","Jul 24, 2023"
21-07-2023,35.30,35.75,35.05,35.40,35.40,"19,058","Jul 21, 2023"
20-07-2023,36.40,36.45,35.50,35.60,35.60,"30,580","Jul 20, 2023"
19-07-2023,37.40,37.40,35.30,35.80,35.80,"62,980","Jul 19, 2023"
18-07-2023,36.85,37.25,36.40,36.80,36.80,"45,560","Jul 18, 2023"
17-07-2023,35.75,37.40,35.55,36.85,36.85,"104,049","Jul 17, 2023"
14-07-2023,34.95,35.90,34.55,35.05,35.05,"37,085","Jul 14, 2023"
13-07-2023,36.20,36.20,34.50,34.60,34.60,"32,156","Jul 13, 2023"
12-07-2023,35.30,35.90,35.00,35.55,35.55,"19,802","Jul 12, 2023"
11-07-2023,35.50,36.45,35.00,35.10,35.10,"36,133","Jul 11, 2023"
10-07-2023,35.90,37.00,35.60,35.80,35.80,"53,714","Jul 10, 2023"
07-07-2023,37.60,37.60,35.25,36.15,36.15,"78,697","Jul 07, 2023"
07-07-2023,0.3 Dividend,,,,,,"Jul 07, 2023"
06-07-2023,36.35,38.45,36.35,37.05,36.75,"65,132","Jul 06, 2023"
06-07-2023,0.3 Dividend,,,,,,"Jul 06, 2023"
05-07-2023,36.85,37.25,35.65,36.70,36.11,"68,368","Jul 05, 2023"
04-07-2023,35.60,36.90,34.75,36.50,35.91,"48,230","Jul 04, 2023"
03-07-2023,36.10,36.45,35.00,35.25,34.68,"57,114","Jul 03, 2023"
30-06-2023,37.00,37.00,35.60,36.05,35.47,"53,217","Jun 30, 2023"
28-06-2023,36.25,36.25,36.25,36.25,35.66,-,"Jun 28, 2023"
27-06-2023,37.40,41.50,36.05,36.25,35.66,"1,520,816","Jun 27, 2023"
26-06-2023,33.80,39.90,33.00,36.85,36.25,"458,011","Jun 26, 2023"
23-06-2023,33.50,33.55,33.00,33.25,32.71,"17,220","Jun 23, 2023"
22-06-2023,33.75,33.75,33.00,33.25,32.71,"29,683","Jun 22, 2023"
21-06-2023,33.15,33.80,32.75,33.10,32.56,"16,854","Jun 21, 2023"
20-06-2023,33.25,33.80,32.95,33.20,32.66,"25,784","Jun 20, 2023"
19-06-2023,33.80,33.85,33.15,33.30,32.76,"19,158","Jun 19, 2023"
16-06-2023,34.00,34.00,33.10,33.25,32.71,"35,579","Jun 16, 2023"
15-06-2023,34.00,34.00,33.10,33.70,33.15,"16,479","Jun 15, 2023"
14-06-2023,33.00,33.60,33.00,33.40,32.86,"30,705","Jun 14, 2023"
13-06-2023,33.85,33.85,32.80,33.05,32.51,"17,232","Jun 13, 2023"
12-06-2023,33.90,33.90,32.50,33.30,32.76,"29,538","Jun 12, 2023"
09-06-2023,33.50,34.20,32.95,33.40,32.86,"32,000","Jun 09, 2023"
08-06-2023,33.00,33.15,32.50,32.90,32.37,"23,805","Jun 08, 2023"
07-06-2023,33.10,33.10,32.50,32.65,32.12,"29,865","Jun 07, 2023"
06-06-2023,32.40,32.85,32.30,32.50,31.97,"17,612","Jun 06, 2023"
