date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,91.20,93.90,91.10,93.00,93.00,"19,996","Aug 25, 2023"
24-08-2023,92.55,94.65,92.55,92.95,92.95,"35,701","Aug 24, 2023"
23-08-2023,92.15,94.95,92.00,92.55,92.55,"20,759","Aug 23, 2023"
22-08-2023,93.90,95.40,93.00,93.15,93.15,"28,274","Aug 22, 2023"
21-08-2023,89.10,95.00,89.10,93.05,93.05,"28,820","Aug 21, 2023"
18-08-2023,92.75,93.50,91.00,92.20,92.20,"23,297","Aug 18, 2023"
17-08-2023,93.00,93.70,91.00,92.30,92.30,"17,115","Aug 17, 2023"
16-08-2023,93.85,96.30,91.60,93.00,93.00,"20,102","Aug 16, 2023"
14-08-2023,97.00,97.75,90.65,93.60,93.60,"28,931","Aug 14, 2023"
11-08-2023,99.40,99.40,94.45,95.40,95.40,"33,924","Aug 11, 2023"
10-08-2023,100.00,100.00,96.00,96.65,96.65,"28,519","Aug 10, 2023"
09-08-2023,97.95,99.90,96.00,97.70,97.70,"32,363","Aug 09, 2023"
08-08-2023,101.00,101.40,96.10,97.20,97.20,"77,514","Aug 08, 2023"
07-08-2023,94.00,96.70,94.00,96.70,96.70,"53,237","Aug 07, 2023"
04-08-2023,90.60,92.50,88.50,92.10,92.10,"39,158","Aug 04, 2023"
03-08-2023,88.40,90.45,88.30,88.85,88.85,"20,723","Aug 03, 2023"
02-08-2023,90.55,92.45,87.60,88.40,88.40,"39,534","Aug 02, 2023"
01-08-2023,89.60,92.55,89.50,90.55,90.55,"40,269","Aug 01, 2023"
31-07-2023,92.60,93.50,89.00,90.85,90.85,"66,222","Jul 31, 2023"
28-07-2023,95.95,97.90,91.20,92.20,92.20,"79,808","Jul 28, 2023"
27-07-2023,95.55,96.50,94.20,95.60,95.60,"25,171","Jul 27, 2023"
26-07-2023,93.90,95.95,93.50,94.45,94.45,"33,672","Jul 26, 2023"
25-07-2023,95.45,97.30,92.50,93.10,93.10,"71,307","Jul 25, 2023"
24-07-2023,98.10,98.10,96.05,96.30,96.30,"42,082","Jul 24, 2023"
21-07-2023,98.70,99.90,97.00,98.10,98.10,"31,254","Jul 21, 2023"
20-07-2023,97.50,101.20,97.10,98.35,98.35,"139,468","Jul 20, 2023"
19-07-2023,94.45,98.00,93.50,96.40,96.40,"87,872","Jul 19, 2023"
18-07-2023,92.95,96.00,92.00,93.60,93.60,"44,509","Jul 18, 2023"
17-07-2023,93.70,95.25,92.65,92.85,92.85,"44,473","Jul 17, 2023"
14-07-2023,93.60,94.95,92.00,93.75,93.75,"71,111","Jul 14, 2023"
13-07-2023,93.60,93.60,91.55,93.60,93.60,"138,422","Jul 13, 2023"
12-07-2023,91.00,93.40,88.05,89.15,89.15,"24,365","Jul 12, 2023"
11-07-2023,86.60,90.30,85.40,90.15,90.15,"56,099","Jul 11, 2023"
10-07-2023,88.50,89.80,85.50,86.00,86.00,"26,583","Jul 10, 2023"
07-07-2023,88.55,89.95,88.50,89.20,89.20,"26,035","Jul 07, 2023"
06-07-2023,89.00,89.95,88.00,89.10,89.10,"37,630","Jul 06, 2023"
05-07-2023,90.80,91.45,88.00,88.45,88.45,"29,672","Jul 05, 2023"
04-07-2023,89.80,92.70,89.00,89.50,89.50,"39,770","Jul 04, 2023"
03-07-2023,91.30,91.30,88.00,88.35,88.35,"31,674","Jul 03, 2023"
30-06-2023,95.50,96.00,88.40,89.65,89.65,"79,962","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,85.85,88.65,85.50,88.65,88.65,"53,381","Jun 27, 2023"
26-06-2023,89.00,89.00,84.35,84.45,84.45,"60,060","Jun 26, 2023"
23-06-2023,87.45,91.90,85.10,88.65,88.65,"68,555","Jun 23, 2023"
22-06-2023,89.35,92.95,88.65,88.85,88.85,"113,765","Jun 22, 2023"
21-06-2023,98.00,98.00,93.20,93.30,93.30,"100,035","Jun 21, 2023"
20-06-2023,103.00,103.00,98.10,98.10,98.10,"61,763","Jun 20, 2023"
19-06-2023,103.75,106.85,101.40,103.25,103.25,"198,948","Jun 19, 2023"
16-06-2023,109.50,109.70,103.80,104.40,104.40,"402,114","Jun 16, 2023"
15-06-2023,94.00,109.30,93.80,108.00,108.00,"2,357,789","Jun 15, 2023"
14-06-2023,96.20,96.20,93.60,94.40,94.40,"77,281","Jun 14, 2023"
13-06-2023,93.55,98.65,93.55,96.20,96.20,"182,415","Jun 13, 2023"
12-06-2023,93.70,96.95,93.00,94.20,94.20,"121,770","Jun 12, 2023"
09-06-2023,95.95,95.95,93.00,93.70,93.70,"94,694","Jun 09, 2023"
08-06-2023,99.90,100.75,94.05,94.80,94.80,"236,219","Jun 08, 2023"
07-06-2023,95.30,100.05,94.10,97.90,97.90,"645,609","Jun 07, 2023"
06-06-2023,93.65,95.70,93.30,93.80,93.80,"95,136","Jun 06, 2023"
05-06-2023,94.95,96.40,92.50,92.95,92.95,"114,635","Jun 05, 2023"
02-06-2023,92.45,96.20,92.10,93.60,93.60,"233,083","Jun 02, 2023"
01-06-2023,90.55,94.20,90.55,91.75,91.75,"154,453","Jun 01, 2023"
31-05-2023,91.20,94.45,90.00,91.10,91.10,"132,335","May 31, 2023"
30-05-2023,91.45,96.20,91.00,91.80,91.80,"153,603","May 30, 2023"
29-05-2023,96.10,96.20,91.00,91.25,91.25,"178,442","May 29, 2023"
26-05-2023,96.45,97.00,94.35,95.30,95.30,"175,055","May 26, 2023"
25-05-2023,93.95,99.90,93.95,95.70,95.70,"705,181","May 25, 2023"
24-05-2023,96.40,97.80,93.50,93.65,93.65,"231,310","May 24, 2023"
23-05-2023,95.00,100.30,93.05,96.20,96.20,"845,901","May 23, 2023"
22-05-2023,95.55,97.80,90.20,95.10,95.10,"1,689,437","May 22, 2023"
19-05-2023,83.05,95.00,81.25,93.55,93.55,"3,239,404","May 19, 2023"
18-05-2023,77.25,82.85,76.05,80.90,80.90,"645,416","May 18, 2023"
17-05-2023,74.90,78.90,74.70,76.25,76.25,"101,782","May 17, 2023"
16-05-2023,75.10,75.60,74.05,74.55,74.55,"33,407","May 16, 2023"
15-05-2023,75.85,77.25,74.10,74.35,74.35,"49,120","May 15, 2023"
12-05-2023,74.95,76.55,74.65,75.20,75.20,"55,560","May 12, 2023"
11-05-2023,76.15,77.40,74.70,75.00,75.00,"41,047","May 11, 2023"
10-05-2023,76.00,76.95,75.00,75.15,75.15,"44,327","May 10, 2023"
09-05-2023,76.70,77.25,74.90,75.45,75.45,"54,423","May 09, 2023"
08-05-2023,77.70,77.70,75.10,75.35,75.35,"49,414","May 08, 2023"
05-05-2023,77.70,79.80,76.10,76.60,76.60,"89,233","May 05, 2023"
04-05-2023,77.50,77.80,76.10,76.90,76.90,"62,599","May 04, 2023"
03-05-2023,78.95,79.90,75.90,76.30,76.30,"87,019","May 03, 2023"
02-05-2023,79.70,81.70,75.60,78.45,78.45,"341,046","May 02, 2023"
28-04-2023,75.45,79.50,74.85,78.20,78.20,"146,787","Apr 28, 2023"
27-04-2023,77.75,78.40,74.10,75.15,75.15,"169,695","Apr 27, 2023"
26-04-2023,74.95,81.00,74.05,77.75,77.75,"784,923","Apr 26, 2023"
25-04-2023,66.80,76.45,66.40,74.55,74.55,"809,937","Apr 25, 2023"
24-04-2023,66.20,67.50,66.15,66.85,66.85,"21,614","Apr 24, 2023"
21-04-2023,68.20,68.20,65.10,66.30,66.30,"42,909","Apr 21, 2023"
20-04-2023,68.50,68.75,67.30,67.60,67.60,"22,327","Apr 20, 2023"
19-04-2023,67.55,69.45,66.80,68.15,68.15,"34,986","Apr 19, 2023"
18-04-2023,67.10,68.35,66.60,67.00,67.00,"36,861","Apr 18, 2023"
17-04-2023,67.70,67.70,65.95,66.25,66.25,"38,833","Apr 17, 2023"
13-04-2023,67.00,68.30,66.50,67.15,67.15,"21,542","Apr 13, 2023"
12-04-2023,66.45,69.90,66.10,67.70,67.70,"60,095","Apr 12, 2023"
11-04-2023,67.80,67.80,65.85,66.05,66.05,"22,247","Apr 11, 2023"
10-04-2023,67.85,69.50,66.15,66.55,66.55,"77,401","Apr 10, 2023"
06-04-2023,67.55,69.30,66.35,66.90,66.90,"45,497","Apr 06, 2023"
05-04-2023,62.95,69.80,62.95,67.35,67.35,"119,349","Apr 05, 2023"
03-04-2023,63.60,63.90,62.45,63.25,63.25,"30,243","Apr 03, 2023"
31-03-2023,62.90,65.85,62.35,62.65,62.65,"91,777","Mar 31, 2023"
29-03-2023,63.30,64.90,61.10,62.25,62.25,"55,207","Mar 29, 2023"
28-03-2023,61.70,64.15,61.05,62.65,62.65,"54,613","Mar 28, 2023"
