date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,100.00","1,100.00","1,064.05","1,066.05","1,066.05","309,763","Aug 25, 2023"
24-08-2023,"1,076.25","1,115.00","1,065.75","1,095.40","1,095.40","798,875","Aug 24, 2023"
23-08-2023,"1,065.00","1,074.65","1,063.00","1,067.55","1,067.55","231,392","Aug 23, 2023"
22-08-2023,"1,070.00","1,073.20","1,065.00","1,068.50","1,068.50","194,268","Aug 22, 2023"
21-08-2023,"1,080.00","1,093.75","1,065.00","1,071.25","1,071.25","399,610","Aug 21, 2023"
18-08-2023,"1,069.45","1,080.00","1,060.80","1,069.95","1,069.95","299,417","Aug 18, 2023"
17-08-2023,"1,066.00","1,074.10","1,061.30","1,069.90","1,069.90","128,462","Aug 17, 2023"
16-08-2023,"1,063.25","1,072.00","1,047.05","1,070.20","1,070.20","200,384","Aug 16, 2023"
14-08-2023,"1,064.80","1,068.85","1,043.05","1,063.35","1,063.35","187,168","Aug 14, 2023"
11-08-2023,"1,079.65","1,081.65","1,061.65","1,065.10","1,065.10","264,965","Aug 11, 2023"
10-08-2023,"1,060.00","1,079.40","1,054.05","1,074.90","1,074.90","343,123","Aug 10, 2023"
09-08-2023,"1,062.30","1,070.00","1,058.55","1,062.80","1,062.80","293,518","Aug 09, 2023"
08-08-2023,"1,053.00","1,065.00","1,048.00","1,056.50","1,056.50","460,082","Aug 08, 2023"
07-08-2023,"1,048.00","1,052.00","1,035.00","1,046.65","1,046.65","355,982","Aug 07, 2023"
04-08-2023,"1,039.00","1,050.00","1,030.80","1,042.70","1,042.70","349,206","Aug 04, 2023"
03-08-2023,"1,022.00","1,039.10","1,017.05","1,034.05","1,034.05","402,447","Aug 03, 2023"
02-08-2023,"1,040.00","1,040.00","1,021.10","1,027.00","1,027.00","578,333","Aug 02, 2023"
01-08-2023,"1,031.05","1,049.90","1,022.05","1,043.40","1,043.40","534,657","Aug 01, 2023"
31-07-2023,988.90,"1,033.20",981.25,"1,029.45","1,029.45","1,366,440","Jul 31, 2023"
28-07-2023,"1,004.55","1,006.50",977.00,979.50,979.50,"518,758","Jul 28, 2023"
27-07-2023,997.05,"1,024.25",984.00,"1,004.55","1,004.55","1,699,982","Jul 27, 2023"
26-07-2023,972.35,999.90,967.00,992.80,992.80,"751,121","Jul 26, 2023"
25-07-2023,970.05,972.90,953.00,967.30,967.30,"401,687","Jul 25, 2023"
24-07-2023,985.25,989.00,960.65,970.15,970.15,"577,849","Jul 24, 2023"
21-07-2023,958.10,985.00,954.05,980.40,980.40,"634,531","Jul 21, 2023"
20-07-2023,955.75,966.20,947.30,964.65,964.65,"313,158","Jul 20, 2023"
19-07-2023,958.00,960.00,948.80,951.00,951.00,"216,858","Jul 19, 2023"
18-07-2023,965.00,973.65,942.00,958.30,958.30,"319,680","Jul 18, 2023"
17-07-2023,944.00,974.00,944.00,960.45,960.45,"420,915","Jul 17, 2023"
14-07-2023,930.00,947.85,921.25,944.10,944.10,"1,073,070","Jul 14, 2023"
14-07-2023,6 Dividend,,,,,,"Jul 14, 2023"
13-07-2023,963.00,963.00,933.30,935.15,929.15,"326,072","Jul 13, 2023"
13-07-2023,6 Dividend,,,,,,"Jul 13, 2023"
12-07-2023,966.00,967.85,955.05,959.30,947.18,"134,151","Jul 12, 2023"
11-07-2023,964.90,968.10,954.95,964.35,952.17,"290,711","Jul 11, 2023"
10-07-2023,961.95,963.45,951.10,960.70,948.57,"292,382","Jul 10, 2023"
07-07-2023,979.00,980.00,957.10,961.65,949.50,"359,447","Jul 07, 2023"
06-07-2023,959.95,979.30,956.00,975.60,963.28,"560,948","Jul 06, 2023"
05-07-2023,956.10,965.85,948.80,961.05,948.91,"232,384","Jul 05, 2023"
04-07-2023,969.00,970.00,953.00,956.90,944.81,"406,496","Jul 04, 2023"
03-07-2023,954.00,968.00,944.45,964.15,951.97,"440,000","Jul 03, 2023"
30-06-2023,950.10,955.00,939.30,948.40,936.42,"497,354","Jun 30, 2023"
28-06-2023,939.40,939.40,939.40,939.40,927.53,-,"Jun 28, 2023"
27-06-2023,939.90,951.00,932.50,939.40,927.53,"390,876","Jun 27, 2023"
26-06-2023,928.05,939.50,913.55,936.40,924.57,"583,323","Jun 26, 2023"
23-06-2023,953.00,957.25,916.00,928.25,916.53,"759,784","Jun 23, 2023"
22-06-2023,948.00,968.85,946.00,950.35,938.35,"2,225,708","Jun 22, 2023"
21-06-2023,948.00,948.00,936.00,942.25,930.35,"330,585","Jun 21, 2023"
20-06-2023,942.00,946.95,932.00,944.50,932.57,"300,459","Jun 20, 2023"
19-06-2023,938.00,948.75,931.60,940.30,928.42,"409,707","Jun 19, 2023"
16-06-2023,940.95,944.30,931.10,936.55,924.72,"465,272","Jun 16, 2023"
15-06-2023,946.60,950.00,935.00,939.65,927.78,"269,672","Jun 15, 2023"
14-06-2023,937.00,955.90,934.65,946.25,934.30,"450,746","Jun 14, 2023"
13-06-2023,936.00,951.50,931.35,936.30,924.47,"426,509","Jun 13, 2023"
12-06-2023,935.00,936.70,921.00,933.80,922.01,"856,019","Jun 12, 2023"
