date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"4,004.20","4,004.20","3,904.20","3,937.95","3,937.95","18,556","Aug 25, 2023"
24-08-2023,"4,049.35","4,069.90","3,950.00","4,004.20","4,004.20","12,986","Aug 24, 2023"
23-08-2023,"4,050.00","4,075.00","4,000.00","4,029.25","4,029.25","19,166","Aug 23, 2023"
22-08-2023,"3,955.90","4,064.95","3,920.15","4,023.50","4,023.50","46,937","Aug 22, 2023"
21-08-2023,"3,835.80","3,997.95","3,814.55","3,955.95","3,955.95","63,720","Aug 21, 2023"
18-08-2023,"3,875.40","3,890.75","3,805.00","3,815.75","3,815.75","12,274","Aug 18, 2023"
17-08-2023,"3,887.05","3,899.90","3,857.75","3,871.50","3,871.50","8,069","Aug 17, 2023"
16-08-2023,"3,780.00","3,909.90","3,780.00","3,887.15","3,887.15","17,065","Aug 16, 2023"
14-08-2023,"3,944.00","3,944.00","3,716.05","3,820.25","3,820.25","39,673","Aug 14, 2023"
11-08-2023,"3,900.10","4,040.00","3,875.00","3,937.05","3,937.05","125,448","Aug 11, 2023"
10-08-2023,"3,847.85","3,919.00","3,832.10","3,899.25","3,899.25","31,382","Aug 10, 2023"
09-08-2023,"3,845.05","3,890.00","3,810.20","3,847.95","3,847.95","9,409","Aug 09, 2023"
08-08-2023,"3,858.70","3,884.00","3,830.00","3,865.40","3,865.40","12,250","Aug 08, 2023"
07-08-2023,"3,833.90","3,870.00","3,777.00","3,838.50","3,838.50","17,782","Aug 07, 2023"
04-08-2023,"3,849.65","3,871.60","3,800.00","3,815.25","3,815.25","9,252","Aug 04, 2023"
03-08-2023,"3,851.00","3,872.00","3,800.00","3,823.60","3,823.60","11,119","Aug 03, 2023"
02-08-2023,"3,900.00","3,911.95","3,851.30","3,872.95","3,872.95","17,577","Aug 02, 2023"
02-08-2023,8 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,"3,936.10","3,959.85","3,872.00","3,884.35","3,876.35","12,302","Aug 01, 2023"
31-07-2023,"3,863.00","3,942.00","3,831.95","3,915.50","3,907.44","31,206","Jul 31, 2023"
28-07-2023,"3,875.00","3,882.35","3,832.00","3,844.65","3,836.73","13,321","Jul 28, 2023"
27-07-2023,"3,824.00","3,884.00","3,824.00","3,863.05","3,855.09","16,735","Jul 27, 2023"
26-07-2023,"3,799.05","3,869.40","3,799.05","3,824.60","3,816.72","6,346","Jul 26, 2023"
25-07-2023,"3,849.00","3,849.00","3,781.00","3,790.75","3,782.94","10,646","Jul 25, 2023"
24-07-2023,"3,918.95","3,918.95","3,802.00","3,830.70","3,822.81","13,372","Jul 24, 2023"
21-07-2023,"3,871.00","3,930.00","3,871.00","3,900.30","3,892.27","9,514","Jul 21, 2023"
20-07-2023,"3,939.95","3,952.45","3,892.00","3,902.90","3,894.86","19,380","Jul 20, 2023"
19-07-2023,"3,940.00","3,983.00","3,851.50","3,867.40","3,859.43","46,872","Jul 19, 2023"
18-07-2023,"3,890.00","3,936.00","3,866.75","3,912.00","3,903.94","19,599","Jul 18, 2023"
17-07-2023,"3,850.00","3,919.00","3,850.00","3,880.30","3,872.31","21,175","Jul 17, 2023"
14-07-2023,"3,869.00","3,910.75","3,821.55","3,835.15","3,827.25","16,320","Jul 14, 2023"
13-07-2023,"3,850.00","3,870.00","3,817.00","3,860.75","3,852.80","17,100","Jul 13, 2023"
12-07-2023,"3,830.00","3,867.75","3,772.00","3,827.40","3,819.52","15,310","Jul 12, 2023"
11-07-2023,"3,831.00","3,855.60","3,802.00","3,821.20","3,813.33","8,614","Jul 11, 2023"
