date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,330.85,334.70,316.95,320.30,320.30,"62,017","Aug 25, 2023"
24-08-2023,341.50,348.00,327.00,332.25,332.25,"45,188","Aug 24, 2023"
23-08-2023,328.05,341.00,324.00,338.85,338.85,"64,640","Aug 23, 2023"
22-08-2023,332.70,332.70,323.80,327.80,327.80,"10,453","Aug 22, 2023"
21-08-2023,323.90,329.00,318.00,327.05,327.05,"31,768","Aug 21, 2023"
18-08-2023,329.90,329.90,315.60,320.30,320.30,"41,996","Aug 18, 2023"
17-08-2023,318.95,330.00,316.15,327.00,327.00,"37,879","Aug 17, 2023"
16-08-2023,337.15,337.30,314.00,318.15,318.15,"90,797","Aug 16, 2023"
14-08-2023,338.40,342.30,327.45,336.10,336.10,"25,055","Aug 14, 2023"
11-08-2023,345.45,351.95,336.60,338.40,338.40,"46,006","Aug 11, 2023"
10-08-2023,342.70,361.00,340.50,345.45,345.45,"102,189","Aug 10, 2023"
09-08-2023,366.95,366.95,340.20,342.70,342.70,"111,663","Aug 09, 2023"
08-08-2023,345.00,365.00,342.65,355.70,355.70,"291,610","Aug 08, 2023"
07-08-2023,330.60,344.35,323.55,340.55,340.55,"180,086","Aug 07, 2023"
04-08-2023,336.50,336.50,329.55,330.55,330.55,"25,580","Aug 04, 2023"
03-08-2023,343.95,344.00,328.60,332.25,332.25,"35,101","Aug 03, 2023"
02-08-2023,346.50,347.00,328.05,336.75,336.75,"163,032","Aug 02, 2023"
01-08-2023,324.60,338.00,324.60,336.55,336.55,"31,488","Aug 01, 2023"
31-07-2023,337.50,340.45,319.35,329.15,329.15,"63,024","Jul 31, 2023"
28-07-2023,342.25,345.85,328.50,331.80,331.80,"80,233","Jul 28, 2023"
27-07-2023,333.85,349.90,331.65,347.00,347.00,"113,398","Jul 27, 2023"
26-07-2023,328.95,341.00,325.00,330.60,330.60,"59,916","Jul 26, 2023"
25-07-2023,335.70,339.00,325.00,325.70,325.70,"33,432","Jul 25, 2023"
24-07-2023,345.00,348.30,331.25,333.45,333.45,"26,841","Jul 24, 2023"
21-07-2023,340.00,352.70,339.00,343.35,343.35,"88,985","Jul 21, 2023"
20-07-2023,335.00,343.20,331.20,337.95,337.95,"43,545","Jul 20, 2023"
19-07-2023,330.50,337.60,328.10,330.05,330.05,"21,299","Jul 19, 2023"
18-07-2023,340.10,342.90,328.55,333.95,333.95,"44,041","Jul 18, 2023"
17-07-2023,347.95,352.35,334.70,343.40,343.40,"130,944","Jul 17, 2023"
14-07-2023,315.05,345.00,315.05,340.15,340.15,"132,526","Jul 14, 2023"
13-07-2023,318.15,321.75,315.80,318.00,318.00,"33,535","Jul 13, 2023"
12-07-2023,323.95,324.40,317.00,318.25,318.25,"15,939","Jul 12, 2023"
11-07-2023,324.90,327.65,315.35,318.80,318.80,"28,158","Jul 11, 2023"
10-07-2023,333.85,333.90,317.00,321.60,321.60,"21,339","Jul 10, 2023"
07-07-2023,333.70,334.00,322.25,327.45,327.45,"20,013","Jul 07, 2023"
06-07-2023,337.00,339.45,317.55,333.70,333.70,"52,390","Jul 06, 2023"
05-07-2023,327.15,339.00,327.15,333.75,333.75,"98,940","Jul 05, 2023"
04-07-2023,338.05,338.65,321.55,328.35,328.35,"37,085","Jul 04, 2023"
03-07-2023,324.85,340.00,320.00,337.05,337.05,"145,699","Jul 03, 2023"
30-06-2023,314.55,324.00,314.10,320.05,320.05,"23,625","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,330.00,334.00,321.00,326.70,326.70,"157,408","Jun 27, 2023"
26-06-2023,322.70,339.85,319.00,331.60,331.60,"204,838","Jun 26, 2023"
23-06-2023,334.40,350.00,320.80,329.95,329.95,"235,173","Jun 23, 2023"
22-06-2023,319.20,337.60,310.25,332.75,332.75,"190,651","Jun 22, 2023"
21-06-2023,323.05,330.85,317.00,319.20,319.20,"137,771","Jun 21, 2023"
20-06-2023,272.90,327.15,270.05,326.85,326.85,"663,033","Jun 20, 2023"
19-06-2023,274.00,280.00,270.00,272.65,272.65,"27,426","Jun 19, 2023"
16-06-2023,272.50,280.60,269.30,273.50,273.50,"58,324","Jun 16, 2023"
15-06-2023,279.40,281.40,267.55,269.65,269.65,"37,112","Jun 15, 2023"
14-06-2023,271.00,280.10,270.00,278.35,278.35,"56,997","Jun 14, 2023"
13-06-2023,280.60,280.60,267.30,270.60,270.60,"66,922","Jun 13, 2023"
12-06-2023,259.00,282.90,257.60,276.45,276.45,"275,533","Jun 12, 2023"
09-06-2023,239.80,256.50,236.35,255.60,255.60,"163,546","Jun 09, 2023"
08-06-2023,238.75,241.00,233.80,239.80,239.80,"47,008","Jun 08, 2023"
07-06-2023,231.80,241.70,230.20,232.90,232.90,"110,898","Jun 07, 2023"
06-06-2023,240.00,246.00,228.00,236.80,236.80,"275,425","Jun 06, 2023"
05-06-2023,229.95,250.00,224.25,239.25,239.25,"219,929","Jun 05, 2023"
02-06-2023,215.10,229.50,213.45,227.05,227.05,"116,391","Jun 02, 2023"
01-06-2023,204.80,218.75,204.00,212.90,212.90,"38,472","Jun 01, 2023"
31-05-2023,202.50,208.70,200.10,203.25,203.25,"14,286","May 31, 2023"
30-05-2023,210.00,210.15,198.00,203.15,203.15,"56,482","May 30, 2023"
29-05-2023,212.80,213.60,205.10,207.80,207.80,"19,829","May 29, 2023"
26-05-2023,204.70,211.00,202.80,209.65,209.65,"13,007","May 26, 2023"
25-05-2023,208.10,209.00,203.35,204.30,204.30,"4,489","May 25, 2023"
24-05-2023,201.45,210.75,201.40,207.85,207.85,"10,894","May 24, 2023"
23-05-2023,211.35,211.35,199.05,201.45,201.45,"38,505","May 23, 2023"
22-05-2023,218.00,218.00,206.00,207.75,207.75,"37,033","May 22, 2023"
19-05-2023,219.10,222.65,212.60,214.40,214.40,"38,316","May 19, 2023"
18-05-2023,223.00,231.05,215.00,215.85,215.85,"112,604","May 18, 2023"
17-05-2023,228.00,228.00,212.50,213.75,213.75,"1,262,803","May 17, 2023"
16-05-2023,217.45,225.00,212.05,221.65,221.65,"28,616","May 16, 2023"
15-05-2023,214.00,219.00,210.60,212.95,212.95,"22,747","May 15, 2023"
12-05-2023,219.15,219.40,213.05,214.05,214.05,"16,548","May 12, 2023"
11-05-2023,215.35,225.25,212.50,218.85,218.85,"24,813","May 11, 2023"
10-05-2023,218.05,224.05,215.00,217.35,217.35,"9,869","May 10, 2023"
09-05-2023,212.40,223.50,212.40,220.90,220.90,"12,499","May 09, 2023"
08-05-2023,215.05,221.00,211.55,216.35,216.35,"7,185","May 08, 2023"
05-05-2023,219.20,224.95,214.05,216.90,216.90,"7,875","May 05, 2023"
04-05-2023,215.50,223.45,215.50,217.05,217.05,"7,821","May 04, 2023"
03-05-2023,223.15,223.95,215.50,216.80,216.80,"2,652","May 03, 2023"
02-05-2023,229.50,229.50,220.65,223.55,223.55,"9,091","May 02, 2023"
28-04-2023,220.35,229.35,220.20,225.00,225.00,"13,470","Apr 28, 2023"
27-04-2023,211.25,235.05,208.40,222.40,222.40,"313,293","Apr 27, 2023"
26-04-2023,218.00,218.00,205.00,209.60,209.60,"8,129","Apr 26, 2023"
25-04-2023,210.15,221.95,205.65,216.65,216.65,"13,981","Apr 25, 2023"
24-04-2023,211.15,211.15,204.95,209.05,209.05,"6,479","Apr 24, 2023"
21-04-2023,212.30,215.55,210.35,211.80,211.80,"1,795","Apr 21, 2023"
20-04-2023,216.55,218.50,210.45,213.35,213.35,"5,308","Apr 20, 2023"
19-04-2023,207.85,217.95,207.60,212.25,212.25,"8,646","Apr 19, 2023"
18-04-2023,205.55,207.15,203.00,205.85,205.85,"5,218","Apr 18, 2023"
