date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,124.40,125.00,122.75,123.80,123.80,"2,813,379","Aug 25, 2023"
24-08-2023,127.85,127.85,124.50,124.75,124.75,"4,141,010","Aug 24, 2023"
23-08-2023,124.60,126.95,123.40,126.25,126.25,"5,818,940","Aug 23, 2023"
22-08-2023,122.50,125.50,122.15,123.90,123.90,"4,792,713","Aug 22, 2023"
21-08-2023,122.00,122.65,121.05,122.35,122.35,"3,351,437","Aug 21, 2023"
18-08-2023,122.90,123.25,121.10,121.85,121.85,"2,802,190","Aug 18, 2023"
17-08-2023,123.10,123.85,122.15,122.60,122.60,"2,419,438","Aug 17, 2023"
16-08-2023,121.50,123.00,120.20,122.25,122.25,"3,673,945","Aug 16, 2023"
14-08-2023,126.00,126.00,120.50,121.50,121.50,"15,633,076","Aug 14, 2023"
11-08-2023,132.30,132.45,128.25,129.05,129.05,"3,756,983","Aug 11, 2023"
11-08-2023,1 Dividend,,,,,,"Aug 11, 2023"
10-08-2023,134.00,134.50,132.00,132.65,131.65,"1,432,872","Aug 10, 2023"
09-08-2023,133.20,133.95,132.50,133.70,132.69,"1,068,946","Aug 09, 2023"
08-08-2023,134.00,135.25,132.50,133.35,132.34,"2,568,623","Aug 08, 2023"
07-08-2023,133.05,134.00,131.80,133.45,132.44,"1,886,913","Aug 07, 2023"
04-08-2023,131.90,133.65,131.40,132.75,131.75,"3,236,137","Aug 04, 2023"
03-08-2023,131.25,131.65,129.70,130.90,129.91,"1,548,034","Aug 03, 2023"
02-08-2023,134.60,134.60,129.45,130.95,129.96,"3,327,559","Aug 02, 2023"
01-08-2023,134.00,135.90,133.55,134.65,133.63,"2,352,779","Aug 01, 2023"
31-07-2023,134.45,134.70,132.95,133.20,132.20,"2,421,031","Jul 31, 2023"
28-07-2023,135.65,135.65,133.50,134.00,132.99,"2,107,106","Jul 28, 2023"
27-07-2023,132.70,135.60,131.60,134.20,133.19,"7,988,304","Jul 27, 2023"
26-07-2023,130.30,132.95,129.85,131.85,130.86,"4,174,151","Jul 26, 2023"
25-07-2023,131.10,131.65,129.40,129.70,128.72,"2,710,803","Jul 25, 2023"
24-07-2023,131.00,132.40,130.00,130.40,129.42,"4,056,759","Jul 24, 2023"
21-07-2023,129.20,133.65,129.10,131.35,130.36,"7,843,686","Jul 21, 2023"
20-07-2023,130.35,130.65,129.20,129.80,128.82,"1,569,425","Jul 20, 2023"
19-07-2023,130.45,131.20,129.60,129.80,128.82,"1,249,428","Jul 19, 2023"
18-07-2023,131.95,132.00,129.20,129.95,128.97,"2,598,841","Jul 18, 2023"
17-07-2023,128.65,131.60,127.70,131.15,130.16,"3,771,312","Jul 17, 2023"
14-07-2023,127.40,128.95,126.60,127.80,126.84,"2,292,169","Jul 14, 2023"
13-07-2023,128.65,129.95,126.10,126.30,125.35,"2,589,321","Jul 13, 2023"
12-07-2023,129.45,130.00,128.10,128.65,127.68,"1,898,077","Jul 12, 2023"
11-07-2023,128.95,130.00,128.50,128.95,127.98,"1,818,676","Jul 11, 2023"
10-07-2023,131.50,131.50,127.40,128.55,127.58,"4,324,964","Jul 10, 2023"
07-07-2023,131.55,132.50,129.05,130.70,129.71,"3,940,306","Jul 07, 2023"
06-07-2023,129.95,132.30,129.30,131.20,130.21,"4,701,730","Jul 06, 2023"
05-07-2023,127.50,130.50,126.60,129.90,128.92,"6,147,640","Jul 05, 2023"
04-07-2023,128.75,129.25,126.00,127.60,126.64,"5,144,607","Jul 04, 2023"
03-07-2023,128.20,128.80,126.00,127.70,126.74,"7,200,049","Jul 03, 2023"
30-06-2023,123.50,127.80,123.05,127.30,126.34,"11,231,891","Jun 30, 2023"
28-06-2023,124.70,124.70,124.70,124.70,123.76,-,"Jun 28, 2023"
27-06-2023,123.20,124.95,122.25,124.70,123.76,"3,351,532","Jun 27, 2023"
26-06-2023,121.00,122.75,119.65,122.15,121.23,"4,828,475","Jun 26, 2023"
23-06-2023,124.25,124.25,119.50,119.90,119.00,"5,279,965","Jun 23, 2023"
22-06-2023,125.10,125.85,123.20,123.95,123.02,"2,534,039","Jun 22, 2023"
21-06-2023,124.90,125.55,124.00,125.00,124.06,"2,976,275","Jun 21, 2023"
20-06-2023,124.40,124.95,123.75,124.50,123.56,"1,988,950","Jun 20, 2023"
19-06-2023,125.40,125.50,123.60,124.35,123.41,"2,935,717","Jun 19, 2023"
16-06-2023,124.30,125.70,123.85,124.65,123.71,"1,980,587","Jun 16, 2023"
15-06-2023,125.15,125.85,123.85,124.10,123.16,"1,932,231","Jun 15, 2023"
14-06-2023,125.10,125.65,124.10,125.00,124.06,"2,619,390","Jun 14, 2023"
13-06-2023,125.25,125.25,124.20,124.40,123.46,"1,825,350","Jun 13, 2023"
12-06-2023,125.35,125.35,124.00,124.45,123.51,"1,449,698","Jun 12, 2023"
09-06-2023,125.55,126.75,124.35,124.50,123.56,"2,927,877","Jun 09, 2023"
08-06-2023,125.75,126.85,125.05,125.50,124.55,"2,835,601","Jun 08, 2023"
07-06-2023,125.95,126.25,124.80,125.75,124.80,"2,760,684","Jun 07, 2023"
06-06-2023,125.30,126.45,124.55,125.30,124.36,"2,378,880","Jun 06, 2023"
05-06-2023,123.90,126.20,123.80,125.35,124.41,"5,637,309","Jun 05, 2023"
02-06-2023,124.45,125.05,123.15,123.45,122.52,"5,699,009","Jun 02, 2023"
01-06-2023,124.50,125.00,122.30,123.50,122.57,"15,647,347","Jun 01, 2023"
31-05-2023,125.55,125.80,124.55,125.15,124.21,"2,385,148","May 31, 2023"
30-05-2023,127.00,127.30,124.45,124.80,123.86,"7,264,152","May 30, 2023"
29-05-2023,134.50,134.50,125.30,125.65,124.70,"23,948,387","May 29, 2023"
26-05-2023,138.45,140.50,137.45,139.40,138.35,"2,157,130","May 26, 2023"
25-05-2023,140.00,140.00,136.15,137.45,136.41,"1,985,045","May 25, 2023"
24-05-2023,140.90,141.20,139.70,140.00,138.94,"1,104,587","May 24, 2023"
23-05-2023,140.85,142.35,139.50,141.40,140.33,"1,899,874","May 23, 2023"
22-05-2023,140.70,141.15,138.05,140.65,139.59,"2,338,113","May 22, 2023"
19-05-2023,139.10,141.20,138.05,140.45,139.39,"1,896,784","May 19, 2023"
18-05-2023,141.00,142.70,138.75,139.05,138.00,"3,011,836","May 18, 2023"
17-05-2023,139.00,141.25,138.50,140.60,139.54,"2,680,806","May 17, 2023"
16-05-2023,141.00,141.00,138.30,138.70,137.65,"3,509,665","May 16, 2023"
15-05-2023,138.35,142.15,136.25,141.35,140.28,"2,038,111","May 15, 2023"
12-05-2023,139.15,139.45,137.20,138.20,137.16,"1,171,422","May 12, 2023"
11-05-2023,138.65,140.10,137.60,138.95,137.90,"1,267,586","May 11, 2023"
10-05-2023,139.90,139.90,136.45,137.95,136.91,"2,245,242","May 10, 2023"
09-05-2023,138.35,141.00,136.55,138.80,137.75,"3,354,119","May 09, 2023"
08-05-2023,137.40,138.20,133.25,137.45,136.41,"2,694,035","May 08, 2023"
05-05-2023,142.30,143.40,135.80,136.15,135.12,"4,011,294","May 05, 2023"
04-05-2023,142.50,143.35,141.30,142.30,141.23,"831,405","May 04, 2023"
03-05-2023,142.50,144.30,141.40,142.45,141.38,"6,947,083","May 03, 2023"
02-05-2023,142.50,143.25,140.80,142.80,141.72,"4,065,158","May 02, 2023"
28-04-2023,140.15,142.00,139.00,141.65,140.58,"5,961,127","Apr 28, 2023"
27-04-2023,144.00,146.00,137.80,139.70,138.65,"29,263,151","Apr 27, 2023"
26-04-2023,133.25,134.50,130.65,133.20,132.20,"3,009,548","Apr 26, 2023"
25-04-2023,134.10,135.50,132.10,133.25,132.25,"4,176,960","Apr 25, 2023"
24-04-2023,131.35,135.20,129.75,134.45,133.44,"4,393,553","Apr 24, 2023"
21-04-2023,133.60,133.60,128.75,130.50,129.52,"5,106,012","Apr 21, 2023"
20-04-2023,129.00,133.90,128.05,133.20,132.20,"6,126,145","Apr 20, 2023"
19-04-2023,130.40,130.65,128.15,128.70,127.73,"2,634,657","Apr 19, 2023"
18-04-2023,130.75,131.45,128.80,129.95,128.97,"4,077,822","Apr 18, 2023"
17-04-2023,126.50,130.20,126.10,129.95,128.97,"4,722,246","Apr 17, 2023"
13-04-2023,126.00,127.80,124.20,126.00,125.05,"4,451,734","Apr 13, 2023"
12-04-2023,125.40,125.70,123.70,124.15,123.21,"2,200,450","Apr 12, 2023"
11-04-2023,126.55,127.55,124.50,124.90,123.96,"2,896,783","Apr 11, 2023"
10-04-2023,126.35,127.00,124.55,125.65,124.70,"3,023,520","Apr 10, 2023"
06-04-2023,125.65,126.40,124.30,124.95,124.01,"3,189,122","Apr 06, 2023"
05-04-2023,127.05,128.50,123.90,125.00,124.06,"6,569,972","Apr 05, 2023"
03-04-2023,127.00,128.50,126.05,128.20,127.23,"763,082","Apr 03, 2023"
31-03-2023,123.15,127.85,123.10,125.85,124.90,"3,220,329","Mar 31, 2023"
29-03-2023,121.20,123.10,120.35,122.50,121.58,"3,876,153","Mar 29, 2023"
28-03-2023,124.80,124.90,120.40,120.90,119.99,"3,012,417","Mar 28, 2023"
27-03-2023,125.55,126.50,121.80,124.20,123.26,"2,404,279","Mar 27, 2023"
24-03-2023,127.90,128.35,124.35,124.90,123.96,"2,879,478","Mar 24, 2023"
23-03-2023,129.45,129.50,127.40,127.80,126.84,"983,307","Mar 23, 2023"
22-03-2023,129.00,130.45,127.85,129.25,128.28,"985,198","Mar 22, 2023"
21-03-2023,128.00,129.10,127.00,128.35,127.38,"2,546,307","Mar 21, 2023"
20-03-2023,129.20,131.80,126.45,127.15,126.19,"2,447,767","Mar 20, 2023"
17-03-2023,131.10,132.50,129.00,130.30,129.32,"2,072,847","Mar 17, 2023"
16-03-2023,133.10,133.10,127.75,130.10,129.12,"6,886,975","Mar 16, 2023"
15-03-2023,136.15,137.00,131.85,132.45,131.45,"4,238,019","Mar 15, 2023"
14-03-2023,133.75,137.20,132.25,134.30,133.29,"4,696,511","Mar 14, 2023"
13-03-2023,138.40,138.40,133.75,134.35,133.34,"6,405,118","Mar 13, 2023"
10-03-2023,139.95,139.95,137.05,138.05,137.01,"5,872,986","Mar 10, 2023"
09-03-2023,142.25,142.90,139.75,140.25,139.19,"2,967,680","Mar 09, 2023"
08-03-2023,142.50,143.00,139.50,141.55,140.48,"4,332,197","Mar 08, 2023"
06-03-2023,143.00,143.50,141.70,142.35,141.28,"1,266,794","Mar 06, 2023"
03-03-2023,141.10,143.50,141.00,142.20,141.13,"1,410,009","Mar 03, 2023"
02-03-2023,140.60,142.50,140.60,141.10,140.04,"969,787","Mar 02, 2023"
01-03-2023,138.45,141.80,138.45,141.35,140.28,"3,033,796","Mar 01, 2023"
28-02-2023,135.50,139.15,135.20,138.45,137.41,"3,400,716","Feb 28, 2023"
27-02-2023,135.00,136.40,133.60,135.00,133.98,"4,174,557","Feb 27, 2023"
24-02-2023,133.10,135.00,131.70,134.60,133.59,"3,037,415","Feb 24, 2023"
23-02-2023,133.00,133.20,129.00,132.50,131.50,"6,129,857","Feb 23, 2023"
22-02-2023,134.00,135.50,131.60,132.30,131.30,"4,104,191","Feb 22, 2023"
21-02-2023,138.00,138.85,134.75,135.05,134.03,"2,468,447","Feb 21, 2023"
20-02-2023,139.35,139.70,137.00,137.55,136.51,"1,887,850","Feb 20, 2023"
17-02-2023,139.25,143.60,137.20,138.65,137.60,"6,433,191","Feb 17, 2023"
16-02-2023,139.00,142.10,138.00,141.20,140.14,"5,417,507","Feb 16, 2023"
15-02-2023,138.00,140.00,135.20,137.85,136.81,"7,290,156","Feb 15, 2023"
14-02-2023,135.00,141.30,132.25,138.10,137.06,"20,372,667","Feb 14, 2023"
13-02-2023,157.00,157.00,133.10,134.90,133.88,"27,708,041","Feb 13, 2023"
10-02-2023,156.50,161.90,156.50,160.05,158.84,"2,905,255","Feb 10, 2023"
09-02-2023,159.50,160.50,156.40,157.25,156.06,"1,779,573","Feb 09, 2023"
08-02-2023,159.40,160.35,155.15,159.80,158.60,"2,375,564","Feb 08, 2023"
07-02-2023,158.90,160.20,156.85,159.35,158.15,"1,937,832","Feb 07, 2023"
06-02-2023,157.70,160.70,156.75,158.35,157.16,"2,256,069","Feb 06, 2023"
03-02-2023,157.25,159.20,155.10,157.70,156.51,"964,594","Feb 03, 2023"
02-02-2023,154.90,159.80,153.50,156.45,155.27,"2,024,539","Feb 02, 2023"
01-02-2023,159.90,160.55,152.25,154.60,153.43,"1,716,303","Feb 01, 2023"
31-01-2023,153.10,159.50,151.90,158.60,157.40,"2,885,522","Jan 31, 2023"
30-01-2023,150.95,153.35,148.50,152.25,151.10,"1,948,211","Jan 30, 2023"
27-01-2023,149.10,153.85,149.10,151.55,150.41,"2,425,844","Jan 27, 2023"
25-01-2023,154.95,155.00,151.50,152.50,151.35,"3,054,483","Jan 25, 2023"
24-01-2023,159.20,159.40,154.75,155.45,154.28,"1,879,753","Jan 24, 2023"
23-01-2023,160.30,160.35,157.15,158.40,157.21,"1,725,353","Jan 23, 2023"
20-01-2023,160.20,161.15,158.60,159.75,158.55,"2,032,491","Jan 20, 2023"
19-01-2023,159.60,161.35,158.20,159.50,158.30,"2,040,868","Jan 19, 2023"
18-01-2023,160.50,160.85,157.20,159.65,158.45,"5,163,812","Jan 18, 2023"
17-01-2023,166.00,166.00,159.00,160.45,159.24,"4,666,342","Jan 17, 2023"
16-01-2023,166.05,167.55,163.75,165.35,164.10,"3,815,362","Jan 16, 2023"
13-01-2023,166.45,166.85,164.10,165.10,163.86,"3,244,111","Jan 13, 2023"
12-01-2023,167.05,168.00,164.00,165.65,164.40,"2,195,788","Jan 12, 2023"
11-01-2023,166.50,167.45,163.90,166.20,164.95,"3,501,079","Jan 11, 2023"
10-01-2023,172.10,172.75,164.60,165.65,164.40,"3,228,354","Jan 10, 2023"
09-01-2023,176.30,178.20,171.00,171.50,170.21,"3,727,839","Jan 09, 2023"
06-01-2023,178.70,179.20,173.45,175.40,174.08,"1,685,832","Jan 06, 2023"
05-01-2023,179.50,179.90,175.90,177.85,176.51,"1,574,435","Jan 05, 2023"
04-01-2023,178.95,180.00,175.15,178.65,177.30,"2,148,254","Jan 04, 2023"
03-01-2023,178.50,180.90,177.45,178.95,177.60,"1,749,309","Jan 03, 2023"
02-01-2023,180.55,182.40,177.50,178.25,176.91,"1,840,216","Jan 02, 2023"
30-12-2022,179.50,182.00,177.40,180.40,179.04,"2,787,207","Dec 30, 2022"
29-12-2022,173.60,180.00,170.00,178.20,176.86,"2,635,501","Dec 29, 2022"
28-12-2022,178.00,178.55,174.15,175.00,173.68,"1,831,043","Dec 28, 2022"
27-12-2022,178.75,178.75,174.25,177.50,176.16,"2,294,299","Dec 27, 2022"
26-12-2022,165.00,177.35,149.00,175.95,174.62,"6,746,754","Dec 26, 2022"
23-12-2022,174.35,175.00,165.00,165.55,164.30,"5,259,317","Dec 23, 2022"
22-12-2022,179.00,181.15,175.25,176.30,174.97,"3,802,897","Dec 22, 2022"
21-12-2022,181.35,182.20,172.00,177.25,175.91,"23,969,206","Dec 21, 2022"
20-12-2022,193.05,193.95,186.10,188.80,187.38,"2,243,367","Dec 20, 2022"
19-12-2022,191.60,194.50,187.75,193.05,191.59,"3,498,770","Dec 19, 2022"
16-12-2022,195.50,198.35,189.55,190.20,188.77,"3,732,999","Dec 16, 2022"
15-12-2022,203.90,205.00,196.55,197.60,196.11,"5,394,259","Dec 15, 2022"
14-12-2022,197.30,203.70,196.00,203.10,201.57,"8,146,578","Dec 14, 2022"
13-12-2022,194.05,200.50,194.05,195.80,194.32,"4,828,983","Dec 13, 2022"
12-12-2022,192.95,194.90,189.65,194.40,192.93,"1,391,170","Dec 12, 2022"
09-12-2022,196.70,197.45,189.70,192.10,190.65,"1,702,231","Dec 09, 2022"
08-12-2022,192.90,197.15,192.00,196.10,194.62,"2,298,730","Dec 08, 2022"
07-12-2022,195.90,196.85,190.40,191.60,190.16,"3,416,465","Dec 07, 2022"
06-12-2022,196.45,197.60,193.20,194.60,193.13,"2,473,508","Dec 06, 2022"
05-12-2022,192.00,199.40,191.25,195.65,194.18,"6,629,358","Dec 05, 2022"
02-12-2022,190.50,193.00,189.95,191.65,190.21,"3,569,588","Dec 02, 2022"
01-12-2022,189.70,195.50,188.80,189.45,188.02,"6,254,194","Dec 01, 2022"
30-11-2022,187.70,190.10,185.05,188.80,187.38,"3,539,834","Nov 30, 2022"
29-11-2022,191.05,191.55,186.40,186.75,185.34,"1,240,479","Nov 29, 2022"
28-11-2022,186.75,190.70,186.55,189.95,188.52,"2,290,313","Nov 28, 2022"
25-11-2022,185.40,187.80,184.50,186.55,185.14,"1,515,546","Nov 25, 2022"
24-11-2022,185.90,187.75,181.95,184.20,182.81,"2,173,414","Nov 24, 2022"
23-11-2022,185.50,187.50,184.10,184.95,183.56,"1,769,202","Nov 23, 2022"
22-11-2022,184.50,185.65,181.90,184.45,183.06,"1,709,198","Nov 22, 2022"
21-11-2022,182.40,184.50,179.00,183.55,182.17,"2,214,856","Nov 21, 2022"
18-11-2022,187.55,188.95,179.70,182.70,181.32,"3,161,659","Nov 18, 2022"
17-11-2022,189.70,189.70,185.75,187.60,186.19,"1,611,500","Nov 17, 2022"
16-11-2022,190.15,192.50,187.60,189.55,188.12,"2,460,384","Nov 16, 2022"
15-11-2022,185.40,191.15,183.80,190.05,188.62,"4,659,728","Nov 15, 2022"
14-11-2022,188.10,191.75,183.25,184.60,183.21,"5,054,829","Nov 14, 2022"
11-11-2022,194.20,196.50,188.70,189.70,188.27,"3,881,754","Nov 11, 2022"
10-11-2022,193.30,196.50,188.05,192.65,191.20,"3,871,392","Nov 10, 2022"
09-11-2022,198.45,199.95,191.55,193.35,191.89,"6,111,860","Nov 09, 2022"
07-11-2022,192.00,199.25,191.00,196.25,194.77,"10,138,415","Nov 07, 2022"
04-11-2022,188.20,192.50,187.25,190.05,188.62,"4,966,475","Nov 04, 2022"
03-11-2022,186.30,190.00,185.45,187.75,186.33,"3,183,955","Nov 03, 2022"
02-11-2022,186.70,189.60,185.50,186.30,184.90,"1,666,122","Nov 02, 2022"
01-11-2022,186.70,191.15,185.30,185.75,184.35,"2,234,105","Nov 01, 2022"
31-10-2022,189.65,189.80,184.00,186.00,184.60,"1,924,954","Oct 31, 2022"
28-10-2022,188.20,191.30,185.40,187.75,186.33,"1,231,013","Oct 28, 2022"
27-10-2022,187.90,191.90,186.00,188.45,187.03,"3,553,111","Oct 27, 2022"
25-10-2022,187.00,188.95,185.00,186.75,185.34,"1,850,454","Oct 25, 2022"
