date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,562.00,586.05,561.10,574.50,574.50,"342,540","Aug 25, 2023"
24-08-2023,570.00,576.00,555.00,568.60,568.60,"376,212","Aug 24, 2023"
23-08-2023,557.00,577.35,550.25,562.25,562.25,"502,513","Aug 23, 2023"
22-08-2023,562.00,573.00,545.25,554.10,554.10,"594,514","Aug 22, 2023"
21-08-2023,519.40,567.90,512.50,554.25,554.25,"1,338,130","Aug 21, 2023"
18-08-2023,514.90,518.00,505.00,515.40,515.40,"335,915","Aug 18, 2023"
17-08-2023,495.00,513.00,491.80,507.90,507.90,"284,248","Aug 17, 2023"
16-08-2023,494.05,502.15,491.80,495.45,495.45,"124,664","Aug 16, 2023"
14-08-2023,487.00,498.40,466.05,494.25,494.25,"204,079","Aug 14, 2023"
11-08-2023,503.00,503.00,479.00,487.75,487.75,"260,714","Aug 11, 2023"
10-08-2023,491.00,503.65,490.00,496.75,496.75,"153,840","Aug 10, 2023"
09-08-2023,497.95,498.00,490.00,491.30,491.30,"92,396","Aug 09, 2023"
08-08-2023,498.20,498.40,490.35,495.00,495.00,"366,379","Aug 08, 2023"
07-08-2023,509.00,510.00,491.30,498.20,498.20,"463,115","Aug 07, 2023"
04-08-2023,493.65,509.05,483.05,504.70,504.70,"1,010,093","Aug 04, 2023"
03-08-2023,493.80,498.45,488.00,489.80,489.80,"193,486","Aug 03, 2023"
02-08-2023,509.00,510.70,490.00,493.90,493.90,"293,450","Aug 02, 2023"
01-08-2023,514.80,517.00,503.00,512.95,512.95,"256,967","Aug 01, 2023"
31-07-2023,523.35,523.40,510.60,515.80,515.80,"474,234","Jul 31, 2023"
28-07-2023,505.90,531.20,498.55,509.30,509.30,"1,026,623","Jul 28, 2023"
27-07-2023,499.00,506.95,490.20,503.35,503.35,"697,707","Jul 27, 2023"
26-07-2023,478.95,498.40,474.95,495.45,495.45,"474,453","Jul 26, 2023"
25-07-2023,500.00,500.00,470.00,478.70,478.70,"377,215","Jul 25, 2023"
24-07-2023,470.15,506.70,450.05,493.95,493.95,"2,061,687","Jul 24, 2023"
21-07-2023,505.05,508.25,492.95,496.80,496.80,"548,249","Jul 21, 2023"
20-07-2023,506.45,513.00,501.95,508.20,508.20,"588,540","Jul 20, 2023"
19-07-2023,498.95,508.00,492.00,504.75,504.75,"978,219","Jul 19, 2023"
18-07-2023,513.90,517.40,494.55,497.50,497.50,"821,334","Jul 18, 2023"
17-07-2023,507.50,532.35,505.10,510.65,510.65,"2,250,952","Jul 17, 2023"
14-07-2023,516.50,522.20,493.55,501.90,501.90,"1,395,304","Jul 14, 2023"
13-07-2023,524.55,537.00,502.00,514.00,514.00,"3,189,609","Jul 13, 2023"
12-07-2023,507.50,547.00,505.60,518.30,518.30,"7,921,315","Jul 12, 2023"
11-07-2023,425.25,504.70,420.80,493.20,493.20,"14,891,955","Jul 11, 2023"
10-07-2023,403.00,427.00,403.00,420.60,420.60,"21,041,989","Jul 10, 2023"
