date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,549.95,555.60,540.05,544.95,544.95,"55,424","Aug 25, 2023"
24-08-2023,557.10,560.00,542.00,544.40,544.40,"106,141","Aug 24, 2023"
23-08-2023,556.25,562.80,548.00,552.70,552.70,"105,995","Aug 23, 2023"
22-08-2023,551.00,559.95,550.00,555.75,555.75,"129,508","Aug 22, 2023"
21-08-2023,549.00,560.00,531.55,550.20,550.20,"167,476","Aug 21, 2023"
18-08-2023,553.95,555.60,537.00,545.60,545.60,"97,966","Aug 18, 2023"
17-08-2023,555.75,556.85,543.65,552.95,552.95,"132,782","Aug 17, 2023"
16-08-2023,521.00,554.00,512.30,550.25,550.25,"339,176","Aug 16, 2023"
14-08-2023,507.00,528.00,485.45,520.20,520.20,"212,662","Aug 14, 2023"
11-08-2023,517.60,532.85,502.20,507.05,507.05,"237,688","Aug 11, 2023"
10-08-2023,545.05,555.00,477.75,504.70,504.70,"352,975","Aug 10, 2023"
09-08-2023,544.00,547.70,540.00,541.55,541.55,"75,700","Aug 09, 2023"
08-08-2023,550.85,564.75,536.05,540.55,540.55,"175,436","Aug 08, 2023"
07-08-2023,541.15,554.00,540.20,547.05,547.05,"81,869","Aug 07, 2023"
04-08-2023,543.70,553.95,536.60,540.20,540.20,"94,961","Aug 04, 2023"
03-08-2023,534.00,547.65,533.00,543.65,543.65,"67,580","Aug 03, 2023"
02-08-2023,561.00,561.00,508.65,538.05,538.05,"194,799","Aug 02, 2023"
01-08-2023,564.95,566.30,548.05,554.25,554.25,"99,447","Aug 01, 2023"
31-07-2023,548.00,562.00,540.00,558.15,558.15,"198,798","Jul 31, 2023"
28-07-2023,551.90,558.95,539.00,541.30,541.30,"115,804","Jul 28, 2023"
27-07-2023,554.80,559.95,548.00,549.95,549.95,"66,778","Jul 27, 2023"
26-07-2023,557.35,563.20,546.00,548.65,548.65,"99,793","Jul 26, 2023"
25-07-2023,545.25,567.60,543.00,556.30,556.30,"230,925","Jul 25, 2023"
24-07-2023,555.00,561.90,539.30,545.25,545.25,"239,518","Jul 24, 2023"
21-07-2023,565.00,569.00,555.00,557.25,557.25,"233,138","Jul 21, 2023"
20-07-2023,588.00,589.90,561.10,564.65,564.65,"407,858","Jul 20, 2023"
19-07-2023,608.95,616.00,567.30,586.20,586.20,"932,816","Jul 19, 2023"
18-07-2023,549.70,617.05,546.30,602.65,602.65,"3,103,518","Jul 18, 2023"
17-07-2023,667.90,677.00,532.75,539.15,539.15,"1,722,412","Jul 17, 2023"
14-07-2023,650.70,678.70,647.05,665.90,665.90,"1,049,448","Jul 14, 2023"
13-07-2023,611.90,663.50,611.35,646.80,646.80,"1,945,242","Jul 13, 2023"
12-07-2023,611.90,619.95,603.00,609.05,609.05,"344,296","Jul 12, 2023"
11-07-2023,596.30,616.60,591.30,610.05,610.05,"487,594","Jul 11, 2023"
10-07-2023,620.85,620.90,588.10,594.65,594.65,"608,088","Jul 10, 2023"
07-07-2023,595.00,633.50,592.55,617.70,617.70,"1,583,092","Jul 07, 2023"
06-07-2023,578.00,617.65,575.80,593.00,593.00,"1,399,295","Jul 06, 2023"
05-07-2023,562.00,589.00,560.00,576.90,576.90,"667,926","Jul 05, 2023"
04-07-2023,563.60,573.95,554.00,560.25,560.25,"289,328","Jul 04, 2023"
03-07-2023,556.40,571.60,555.10,561.10,561.10,"252,729","Jul 03, 2023"
30-06-2023,564.90,567.00,552.25,558.20,558.20,"208,900","Jun 30, 2023"
28-06-2023,536.40,536.40,536.40,536.40,536.40,-,"Jun 28, 2023"
27-06-2023,550.00,553.95,533.75,536.40,536.40,"288,442","Jun 27, 2023"
26-06-2023,549.80,554.50,542.60,547.35,547.35,"120,695","Jun 26, 2023"
23-06-2023,551.95,554.05,538.05,549.05,549.05,"424,109","Jun 23, 2023"
22-06-2023,566.95,567.40,545.00,551.65,551.65,"296,617","Jun 22, 2023"
21-06-2023,576.85,584.10,563.00,566.95,566.95,"294,068","Jun 21, 2023"
