date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,241.80,243.60,230.35,232.65,232.65,"159,895","Aug 25, 2023"
24-08-2023,256.00,256.00,235.70,238.45,238.45,"387,063","Aug 24, 2023"
23-08-2023,236.00,255.30,229.90,255.05,255.05,"747,125","Aug 23, 2023"
22-08-2023,239.00,239.95,230.60,232.10,232.10,"322,069","Aug 22, 2023"
21-08-2023,250.85,251.00,237.00,239.00,239.00,"179,971","Aug 21, 2023"
18-08-2023,248.70,250.90,242.35,249.45,249.45,"217,139","Aug 18, 2023"
17-08-2023,250.80,250.80,243.85,246.85,246.85,"164,544","Aug 17, 2023"
16-08-2023,239.75,252.50,238.70,249.40,249.40,"238,321","Aug 16, 2023"
14-08-2023,242.90,244.30,226.35,240.60,240.60,"185,510","Aug 14, 2023"
11-08-2023,245.00,248.00,240.65,241.65,241.65,"196,329","Aug 11, 2023"
10-08-2023,241.80,244.70,240.15,243.85,243.85,"146,581","Aug 10, 2023"
09-08-2023,236.00,247.90,232.35,241.20,241.20,"590,735","Aug 09, 2023"
08-08-2023,232.80,237.15,229.35,232.85,232.85,"155,789","Aug 08, 2023"
07-08-2023,230.50,235.00,227.65,230.85,230.85,"196,868","Aug 07, 2023"
04-08-2023,232.90,237.90,226.15,230.05,230.05,"262,743","Aug 04, 2023"
03-08-2023,232.00,245.00,223.40,230.25,230.25,"487,744","Aug 03, 2023"
02-08-2023,233.80,252.00,222.00,229.35,229.35,"1,864,146","Aug 02, 2023"
01-08-2023,217.35,234.30,215.25,229.10,229.10,"410,433","Aug 01, 2023"
31-07-2023,215.60,222.00,215.60,218.85,218.85,"189,673","Jul 31, 2023"
28-07-2023,220.40,223.85,213.95,220.30,220.30,"245,302","Jul 28, 2023"
27-07-2023,222.90,226.00,214.15,220.40,220.40,"182,935","Jul 27, 2023"
26-07-2023,217.35,226.00,216.05,220.80,220.80,"516,183","Jul 26, 2023"
25-07-2023,223.85,227.00,211.90,215.65,215.65,"668,870","Jul 25, 2023"
24-07-2023,229.00,231.00,221.00,223.85,223.85,"1,452,824","Jul 24, 2023"
21-07-2023,197.00,237.20,195.10,230.60,230.60,"9,944,315","Jul 21, 2023"
20-07-2023,195.15,207.00,192.00,197.70,197.70,"3,184,850","Jul 20, 2023"
19-07-2023,192.00,196.20,188.25,194.10,194.10,"499,434","Jul 19, 2023"
18-07-2023,191.00,199.90,186.05,191.40,191.40,"1,484,114","Jul 18, 2023"
17-07-2023,186.20,189.50,183.00,188.00,188.00,"680,478","Jul 17, 2023"
14-07-2023,176.00,185.75,175.10,184.60,184.60,"610,680","Jul 14, 2023"
13-07-2023,182.50,187.00,173.35,174.60,174.60,"1,077,619","Jul 13, 2023"
12-07-2023,170.05,182.50,168.70,178.35,178.35,"1,086,038","Jul 12, 2023"
11-07-2023,165.00,171.10,163.15,169.40,169.40,"646,173","Jul 11, 2023"
10-07-2023,155.80,165.95,155.75,164.40,164.40,"1,214,599","Jul 10, 2023"
07-07-2023,156.75,156.80,152.00,154.35,154.35,"223,425","Jul 07, 2023"
06-07-2023,153.55,158.85,152.15,156.05,156.05,"596,536","Jul 06, 2023"
05-07-2023,144.65,154.40,144.15,152.55,152.55,"920,182","Jul 05, 2023"
04-07-2023,145.50,149.60,143.55,144.60,144.60,"463,497","Jul 04, 2023"
03-07-2023,141.00,146.85,139.95,144.45,144.45,"370,332","Jul 03, 2023"
30-06-2023,139.90,142.10,137.80,141.10,141.10,"247,988","Jun 30, 2023"
28-06-2023,138.35,138.35,138.35,138.35,138.35,-,"Jun 28, 2023"
27-06-2023,137.25,141.45,137.10,138.35,138.35,"111,609","Jun 27, 2023"
26-06-2023,142.25,143.00,137.70,138.65,138.65,"190,234","Jun 26, 2023"
23-06-2023,139.75,142.20,136.00,140.15,140.15,"314,440","Jun 23, 2023"
22-06-2023,142.45,142.45,137.25,138.35,138.35,"211,286","Jun 22, 2023"
21-06-2023,137.00,142.55,137.00,141.10,141.10,"387,163","Jun 21, 2023"
20-06-2023,139.65,139.75,136.55,137.85,137.85,"172,324","Jun 20, 2023"
19-06-2023,136.85,141.00,135.25,139.60,139.60,"312,427","Jun 19, 2023"
16-06-2023,135.00,139.20,135.00,135.95,135.95,"190,207","Jun 16, 2023"
15-06-2023,137.00,139.80,134.35,135.35,135.35,"339,611","Jun 15, 2023"
14-06-2023,135.00,138.90,134.05,135.85,135.85,"287,316","Jun 14, 2023"
13-06-2023,133.00,136.70,132.90,134.70,134.70,"269,498","Jun 13, 2023"
12-06-2023,132.85,135.80,131.85,132.60,132.60,"223,763","Jun 12, 2023"
09-06-2023,132.85,133.90,130.30,131.60,131.60,"115,682","Jun 09, 2023"
08-06-2023,133.90,134.40,131.25,131.95,131.95,"228,209","Jun 08, 2023"
07-06-2023,132.95,134.60,131.65,132.80,132.80,"101,710","Jun 07, 2023"
06-06-2023,132.35,134.65,129.90,132.00,132.00,"234,342","Jun 06, 2023"
05-06-2023,131.70,136.90,131.70,132.35,132.35,"372,853","Jun 05, 2023"
02-06-2023,131.00,134.85,130.65,132.30,132.30,"311,556","Jun 02, 2023"
01-06-2023,133.10,134.10,130.20,131.25,131.25,"325,615","Jun 01, 2023"
31-05-2023,124.00,135.45,122.55,132.90,132.90,"495,592","May 31, 2023"
30-05-2023,128.00,128.50,125.60,126.75,126.75,"148,096","May 30, 2023"
29-05-2023,128.30,131.40,126.75,127.45,127.45,"241,860","May 29, 2023"
26-05-2023,128.00,130.20,126.30,127.25,127.25,"160,302","May 26, 2023"
25-05-2023,128.30,133.25,127.00,127.60,127.60,"519,866","May 25, 2023"
24-05-2023,120.70,129.50,119.30,128.15,128.15,"892,459","May 24, 2023"
23-05-2023,121.80,122.85,120.00,120.70,120.70,"181,570","May 23, 2023"
22-05-2023,122.00,125.35,120.35,121.50,121.50,"501,047","May 22, 2023"
19-05-2023,119.15,124.40,113.65,120.10,120.10,"1,525,184","May 19, 2023"
18-05-2023,120.95,121.00,118.50,119.15,119.15,"83,555","May 18, 2023"
17-05-2023,121.00,123.90,118.35,119.65,119.65,"157,261","May 17, 2023"
16-05-2023,119.25,121.80,119.25,120.30,120.30,"106,486","May 16, 2023"
15-05-2023,120.50,120.50,118.55,119.50,119.50,"55,767","May 15, 2023"
12-05-2023,121.20,121.40,118.85,119.35,119.35,"77,506","May 12, 2023"
11-05-2023,119.50,120.85,117.95,120.00,120.00,"122,840","May 11, 2023"
10-05-2023,119.50,122.40,118.00,118.45,118.45,"162,894","May 10, 2023"
09-05-2023,118.90,121.00,117.75,118.50,118.50,"127,035","May 09, 2023"
08-05-2023,119.50,121.85,118.30,118.85,118.85,"114,130","May 08, 2023"
05-05-2023,118.30,121.00,116.15,119.05,119.05,"159,023","May 05, 2023"
04-05-2023,121.00,121.35,117.35,118.70,118.70,"167,688","May 04, 2023"
03-05-2023,119.50,124.50,119.50,121.30,121.30,"267,107","May 03, 2023"
02-05-2023,118.45,121.00,116.70,119.30,119.30,"195,322","May 02, 2023"
28-04-2023,119.80,120.05,116.25,117.30,117.30,"123,797","Apr 28, 2023"
27-04-2023,121.00,122.35,118.00,119.80,119.80,"186,060","Apr 27, 2023"
26-04-2023,117.20,121.75,116.45,121.20,121.20,"314,800","Apr 26, 2023"
25-04-2023,118.00,120.60,116.35,117.15,117.15,"271,502","Apr 25, 2023"
24-04-2023,111.25,119.45,111.25,117.30,117.30,"559,750","Apr 24, 2023"
21-04-2023,112.80,115.80,111.00,111.40,111.40,"480,863","Apr 21, 2023"
20-04-2023,112.00,114.00,109.40,110.45,110.45,"178,744","Apr 20, 2023"
19-04-2023,108.30,115.00,107.50,110.90,110.90,"378,675","Apr 19, 2023"
18-04-2023,107.70,109.70,107.10,107.55,107.55,"87,718","Apr 18, 2023"
17-04-2023,105.00,111.00,104.40,109.25,109.25,"241,472","Apr 17, 2023"
13-04-2023,106.55,106.75,103.85,105.45,105.45,"88,709","Apr 13, 2023"
12-04-2023,107.70,107.70,104.70,105.55,105.55,"161,886","Apr 12, 2023"
11-04-2023,104.50,106.30,104.20,105.30,105.30,"57,017","Apr 11, 2023"
10-04-2023,106.95,107.30,103.50,103.90,103.90,"125,900","Apr 10, 2023"
06-04-2023,106.30,107.45,104.85,106.40,106.40,"75,198","Apr 06, 2023"
05-04-2023,105.60,107.50,104.25,106.30,106.30,"166,509","Apr 05, 2023"
03-04-2023,99.00,105.20,97.75,104.75,104.75,"232,578","Apr 03, 2023"
31-03-2023,98.35,101.00,97.05,97.55,97.55,"152,781","Mar 31, 2023"
29-03-2023,96.65,97.80,94.60,96.90,96.90,"173,931","Mar 29, 2023"
28-03-2023,97.05,99.00,95.25,96.30,96.30,"239,027","Mar 28, 2023"
27-03-2023,100.65,100.65,96.30,97.05,97.05,"176,755","Mar 27, 2023"
24-03-2023,99.95,100.50,98.95,99.90,99.90,"95,335","Mar 24, 2023"
23-03-2023,100.00,100.45,99.20,99.60,99.60,"116,005","Mar 23, 2023"
22-03-2023,98.65,100.80,98.55,100.00,100.00,"92,470","Mar 22, 2023"
21-03-2023,97.85,100.15,96.80,99.65,99.65,"123,393","Mar 21, 2023"
20-03-2023,98.50,98.50,96.05,97.85,97.85,"108,331","Mar 20, 2023"
17-03-2023,98.10,98.95,97.55,98.40,98.40,"70,210","Mar 17, 2023"
16-03-2023,97.80,98.60,94.75,98.00,98.00,"231,172","Mar 16, 2023"
15-03-2023,98.65,98.90,97.00,97.50,97.50,"113,718","Mar 15, 2023"
14-03-2023,99.85,99.85,96.60,97.20,97.20,"64,348","Mar 14, 2023"
13-03-2023,100.60,101.95,98.10,98.85,98.85,"250,727","Mar 13, 2023"
10-03-2023,100.20,101.75,98.45,100.25,100.25,"99,215","Mar 10, 2023"
09-03-2023,101.00,101.80,98.85,100.45,100.45,"148,709","Mar 09, 2023"
08-03-2023,97.10,101.60,95.80,100.30,100.30,"188,560","Mar 08, 2023"
06-03-2023,99.70,100.50,95.50,96.15,96.15,"259,118","Mar 06, 2023"
03-03-2023,97.80,99.85,96.70,98.85,98.85,"241,118","Mar 03, 2023"
02-03-2023,97.75,97.90,94.90,96.35,96.35,"159,744","Mar 02, 2023"
01-03-2023,93.05,97.50,93.05,96.80,96.80,"89,459","Mar 01, 2023"
28-02-2023,95.70,95.80,92.75,94.10,94.10,"172,357","Feb 28, 2023"
27-02-2023,96.00,96.95,95.10,95.75,95.75,"87,602","Feb 27, 2023"
24-02-2023,99.80,100.70,95.05,96.10,96.10,"291,849","Feb 24, 2023"
23-02-2023,99.05,100.60,97.85,99.80,99.80,"157,667","Feb 23, 2023"
22-02-2023,99.90,99.90,98.25,99.15,99.15,"65,969","Feb 22, 2023"
21-02-2023,99.35,100.60,98.00,99.90,99.90,"96,846","Feb 21, 2023"
20-02-2023,102.00,102.15,99.05,99.35,99.35,"116,993","Feb 20, 2023"
17-02-2023,100.00,102.40,99.95,101.15,101.15,"71,282","Feb 17, 2023"
16-02-2023,101.40,102.00,98.65,100.20,100.20,"220,312","Feb 16, 2023"
15-02-2023,103.35,103.45,99.80,101.10,101.10,"144,272","Feb 15, 2023"
14-02-2023,101.95,104.60,100.50,102.95,102.95,"128,451","Feb 14, 2023"
13-02-2023,104.10,104.45,98.65,101.95,101.95,"241,361","Feb 13, 2023"
10-02-2023,105.20,105.90,102.35,102.95,102.95,"129,949","Feb 10, 2023"
09-02-2023,104.45,107.70,102.30,105.25,105.25,"277,259","Feb 09, 2023"
08-02-2023,106.00,106.15,103.50,104.50,104.50,"165,484","Feb 08, 2023"
07-02-2023,107.25,108.85,103.00,105.10,105.10,"249,690","Feb 07, 2023"
06-02-2023,106.60,109.80,105.00,107.15,107.15,"382,801","Feb 06, 2023"
03-02-2023,108.05,113.00,102.75,106.35,106.35,"675,047","Feb 03, 2023"
02-02-2023,118.40,121.40,107.75,109.50,109.50,"1,183,338","Feb 02, 2023"
01-02-2023,124.70,124.70,117.00,119.05,119.05,"184,046","Feb 01, 2023"
31-01-2023,121.40,125.75,120.05,124.70,124.70,"121,189","Jan 31, 2023"
30-01-2023,120.15,124.15,118.45,120.45,120.45,"277,427","Jan 30, 2023"
27-01-2023,126.15,127.40,118.50,122.50,122.50,"316,102","Jan 27, 2023"
25-01-2023,128.05,129.35,124.25,126.95,126.95,"198,182","Jan 25, 2023"
24-01-2023,130.55,132.00,127.85,129.40,129.40,"152,989","Jan 24, 2023"
23-01-2023,127.10,131.00,126.80,130.50,130.50,"260,435","Jan 23, 2023"
20-01-2023,127.40,128.50,126.05,127.10,127.10,"113,551","Jan 20, 2023"
19-01-2023,128.00,129.15,126.20,127.40,127.40,"109,788","Jan 19, 2023"
18-01-2023,127.25,130.75,127.25,128.65,128.65,"161,817","Jan 18, 2023"
17-01-2023,128.35,130.80,126.40,126.85,126.85,"193,393","Jan 17, 2023"
16-01-2023,131.40,131.95,127.00,127.20,127.20,"149,420","Jan 16, 2023"
13-01-2023,129.65,131.00,128.20,130.00,130.00,"166,178","Jan 13, 2023"
12-01-2023,135.65,137.50,128.05,129.55,129.55,"554,298","Jan 12, 2023"
11-01-2023,131.70,135.85,131.00,135.15,135.15,"478,416","Jan 11, 2023"
10-01-2023,131.80,133.00,129.25,130.80,130.80,"199,247","Jan 10, 2023"
09-01-2023,132.80,135.85,129.10,131.40,131.40,"512,728","Jan 09, 2023"
06-01-2023,124.00,132.40,123.50,131.65,131.65,"1,002,093","Jan 06, 2023"
05-01-2023,126.50,127.00,123.00,123.90,123.90,"161,193","Jan 05, 2023"
04-01-2023,129.50,131.25,125.00,125.90,125.90,"288,059","Jan 04, 2023"
03-01-2023,131.80,135.00,129.25,130.45,130.45,"537,389","Jan 03, 2023"
02-01-2023,122.00,135.00,122.00,131.75,131.75,"2,389,428","Jan 02, 2023"
30-12-2022,120.20,124.50,120.20,123.35,123.35,"313,743","Dec 30, 2022"
29-12-2022,120.90,121.40,119.50,120.20,120.20,"51,625","Dec 29, 2022"
28-12-2022,122.55,123.80,119.05,120.65,120.65,"204,780","Dec 28, 2022"
27-12-2022,120.00,122.40,116.05,121.40,121.40,"196,146","Dec 27, 2022"
26-12-2022,114.00,119.95,112.55,118.70,118.70,"245,086","Dec 26, 2022"
23-12-2022,118.00,118.50,112.50,114.85,114.85,"518,900","Dec 23, 2022"
22-12-2022,119.15,123.80,116.05,118.80,118.80,"538,201","Dec 22, 2022"
21-12-2022,125.80,126.90,113.25,118.60,118.60,"488,512","Dec 21, 2022"
20-12-2022,123.40,126.80,121.95,124.55,124.55,"327,783","Dec 20, 2022"
19-12-2022,120.75,124.50,118.50,123.60,123.60,"220,471","Dec 19, 2022"
16-12-2022,122.90,124.00,119.10,119.85,119.85,"199,997","Dec 16, 2022"
15-12-2022,124.05,128.40,121.25,123.20,123.20,"440,205","Dec 15, 2022"
14-12-2022,122.75,125.00,120.80,124.05,124.05,"232,049","Dec 14, 2022"
13-12-2022,121.05,124.80,120.50,122.75,122.75,"209,152","Dec 13, 2022"
12-12-2022,118.55,123.10,118.55,121.25,121.25,"165,204","Dec 12, 2022"
09-12-2022,124.90,126.70,119.20,120.25,120.25,"433,774","Dec 09, 2022"
08-12-2022,119.30,125.95,119.05,123.70,123.70,"516,072","Dec 08, 2022"
07-12-2022,121.25,122.05,118.45,119.30,119.30,"125,960","Dec 07, 2022"
06-12-2022,124.15,125.60,119.60,120.70,120.70,"261,916","Dec 06, 2022"
05-12-2022,117.80,126.00,117.80,124.05,124.05,"765,466","Dec 05, 2022"
02-12-2022,117.00,118.65,116.00,117.25,117.25,"213,640","Dec 02, 2022"
01-12-2022,116.40,119.00,115.50,117.45,117.45,"249,294","Dec 01, 2022"
30-11-2022,116.05,117.50,114.10,116.40,116.40,"208,531","Nov 30, 2022"
29-11-2022,114.35,116.80,112.30,115.45,115.45,"463,454","Nov 29, 2022"
28-11-2022,111.40,114.75,111.40,113.55,113.55,"312,073","Nov 28, 2022"
