date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,905.50,905.50,896.20,901.10,901.10,"16,382","Aug 25, 2023"
24-08-2023,910.00,911.00,896.30,900.75,900.75,"19,183","Aug 24, 2023"
23-08-2023,903.95,918.00,899.00,901.20,901.20,"28,020","Aug 23, 2023"
22-08-2023,899.00,911.80,899.00,903.25,903.25,"30,509","Aug 22, 2023"
21-08-2023,908.75,913.65,897.00,903.95,903.95,"53,282","Aug 21, 2023"
18-08-2023,894.00,915.85,890.00,909.15,909.15,"42,531","Aug 18, 2023"
17-08-2023,907.45,908.60,899.10,902.90,902.90,"22,108","Aug 17, 2023"
16-08-2023,896.00,912.00,887.20,908.60,908.60,"46,887","Aug 16, 2023"
14-08-2023,872.00,902.00,861.00,898.95,898.95,"67,257","Aug 14, 2023"
11-08-2023,890.70,902.00,863.00,879.30,879.30,"55,977","Aug 11, 2023"
10-08-2023,877.05,895.00,876.35,890.70,890.70,"57,418","Aug 10, 2023"
09-08-2023,862.00,879.95,858.00,877.05,877.05,"68,349","Aug 09, 2023"
08-08-2023,865.95,865.95,850.45,862.20,862.20,"27,857","Aug 08, 2023"
07-08-2023,851.00,864.90,851.00,863.40,863.40,"29,311","Aug 07, 2023"
04-08-2023,847.55,859.95,846.00,854.65,854.65,"42,356","Aug 04, 2023"
03-08-2023,847.50,855.00,842.00,847.85,847.85,"37,122","Aug 03, 2023"
02-08-2023,846.10,846.95,834.00,845.00,845.00,"52,420","Aug 02, 2023"
01-08-2023,843.00,846.95,835.30,841.70,841.70,"45,935","Aug 01, 2023"
31-07-2023,846.90,846.90,826.30,838.30,838.30,"54,834","Jul 31, 2023"
28-07-2023,847.95,847.95,834.00,842.50,842.50,"36,600","Jul 28, 2023"
27-07-2023,843.20,845.70,838.80,844.25,844.25,"26,193","Jul 27, 2023"
26-07-2023,853.00,855.95,833.25,838.75,838.75,"94,572","Jul 26, 2023"
25-07-2023,860.00,870.00,840.05,848.50,848.50,"346,802","Jul 25, 2023"
24-07-2023,907.75,915.95,890.00,904.05,904.05,"52,814","Jul 24, 2023"
21-07-2023,892.00,906.75,892.00,905.20,905.20,"45,136","Jul 21, 2023"
20-07-2023,901.85,911.95,897.25,905.50,905.50,"39,282","Jul 20, 2023"
19-07-2023,912.90,919.00,896.95,901.35,901.35,"61,934","Jul 19, 2023"
18-07-2023,909.00,919.90,900.65,908.55,908.55,"64,499","Jul 18, 2023"
18-07-2023,3.6 Dividend,,,,,,"Jul 18, 2023"
17-07-2023,902.00,917.00,898.00,906.00,902.40,"110,412","Jul 17, 2023"
17-07-2023,3.6 Dividend,,,,,,"Jul 17, 2023"
14-07-2023,910.00,917.95,888.50,897.95,890.80,"54,242","Jul 14, 2023"
13-07-2023,898.00,910.00,895.05,905.65,898.43,"50,890","Jul 13, 2023"
12-07-2023,907.75,911.50,890.20,896.65,889.51,"40,148","Jul 12, 2023"
11-07-2023,915.00,920.95,903.20,907.75,900.52,"66,717","Jul 11, 2023"
10-07-2023,895.90,950.00,881.00,910.30,903.05,"341,822","Jul 10, 2023"
07-07-2023,896.80,898.65,880.20,893.75,886.63,"23,776","Jul 07, 2023"
06-07-2023,885.65,900.95,881.35,898.65,891.49,"38,942","Jul 06, 2023"
05-07-2023,885.00,897.20,875.05,887.95,880.88,"52,272","Jul 05, 2023"
04-07-2023,895.00,895.20,880.00,881.95,874.92,"32,261","Jul 04, 2023"
03-07-2023,907.50,909.80,888.00,893.90,886.78,"57,112","Jul 03, 2023"
30-06-2023,903.35,917.95,894.00,902.75,895.56,"63,042","Jun 30, 2023"
28-06-2023,911.00,911.00,911.00,911.00,903.74,-,"Jun 28, 2023"
27-06-2023,910.00,932.00,908.05,911.00,903.74,"109,890","Jun 27, 2023"
26-06-2023,915.00,944.85,905.10,910.25,903.00,"527,063","Jun 26, 2023"
23-06-2023,870.00,934.50,869.00,917.40,910.09,"2,762,586","Jun 23, 2023"
22-06-2023,881.00,903.00,847.65,866.60,859.70,"157,213","Jun 22, 2023"
21-06-2023,862.90,884.00,862.05,876.40,869.42,"55,517","Jun 21, 2023"
20-06-2023,860.90,874.95,858.10,863.05,856.17,"26,911","Jun 20, 2023"
19-06-2023,860.10,875.00,853.10,860.25,853.40,"39,768","Jun 19, 2023"
16-06-2023,863.50,864.90,855.00,860.10,853.25,"22,685","Jun 16, 2023"
15-06-2023,850.90,861.50,850.00,859.35,852.50,"15,615","Jun 15, 2023"
14-06-2023,865.85,871.00,848.00,850.90,844.12,"49,759","Jun 14, 2023"
13-06-2023,862.90,871.70,861.50,866.40,859.50,"34,314","Jun 13, 2023"
12-06-2023,878.60,880.00,858.00,861.45,854.59,"32,096","Jun 12, 2023"
09-06-2023,863.40,879.95,858.20,874.35,867.38,"52,733","Jun 09, 2023"
08-06-2023,850.95,868.00,850.95,860.55,853.69,"57,380","Jun 08, 2023"
07-06-2023,858.90,886.00,847.30,850.95,844.17,"125,289","Jun 07, 2023"
06-06-2023,847.00,862.80,842.00,855.60,848.78,"33,143","Jun 06, 2023"
05-06-2023,855.40,860.90,841.20,847.00,840.25,"43,908","Jun 05, 2023"
02-06-2023,864.80,864.80,848.00,854.30,847.49,"48,207","Jun 02, 2023"
01-06-2023,864.80,865.00,855.00,862.00,855.13,"31,170","Jun 01, 2023"
31-05-2023,862.95,865.00,852.00,860.85,853.99,"22,957","May 31, 2023"
30-05-2023,857.25,862.95,849.50,858.70,851.86,"23,098","May 30, 2023"
29-05-2023,855.95,863.50,851.00,857.25,850.42,"26,179","May 29, 2023"
26-05-2023,868.15,872.00,851.00,855.85,849.03,"30,537","May 26, 2023"
25-05-2023,850.00,870.00,840.95,860.35,853.50,"46,919","May 25, 2023"
24-05-2023,851.85,855.90,847.55,851.15,844.37,"12,699","May 24, 2023"
23-05-2023,841.80,865.00,840.00,848.35,841.59,"43,683","May 23, 2023"
22-05-2023,834.50,843.00,828.65,841.80,835.09,"17,210","May 22, 2023"
19-05-2023,825.00,845.00,819.05,834.50,827.85,"32,539","May 19, 2023"
18-05-2023,831.85,835.15,817.00,822.10,815.55,"27,796","May 18, 2023"
17-05-2023,830.00,834.45,825.00,827.70,821.11,"19,909","May 17, 2023"
16-05-2023,842.90,842.90,822.05,824.95,818.38,"68,838","May 16, 2023"
15-05-2023,838.00,853.90,830.55,843.30,836.58,"33,636","May 15, 2023"
12-05-2023,834.40,845.00,830.00,838.25,831.57,"44,582","May 12, 2023"
11-05-2023,821.85,836.95,821.85,830.50,823.88,"27,396","May 11, 2023"
10-05-2023,814.30,827.00,812.10,821.85,815.30,"35,953","May 10, 2023"
09-05-2023,814.90,834.30,812.00,814.80,808.31,"72,950","May 09, 2023"
08-05-2023,814.00,818.30,806.10,815.25,808.76,"64,484","May 08, 2023"
05-05-2023,825.90,831.00,810.00,814.30,807.81,"65,957","May 05, 2023"
04-05-2023,805.00,830.85,805.00,821.60,815.05,"108,425","May 04, 2023"
03-05-2023,772.05,815.75,772.05,804.40,797.99,"250,775","May 03, 2023"
02-05-2023,817.40,830.00,813.05,819.35,812.82,"40,841","May 02, 2023"
28-04-2023,826.00,826.00,815.25,817.40,810.89,"32,293","Apr 28, 2023"
27-04-2023,825.60,827.45,816.00,820.85,814.31,"17,950","Apr 27, 2023"
26-04-2023,813.75,833.95,812.55,821.45,814.91,"49,949","Apr 26, 2023"
25-04-2023,823.70,823.70,802.30,809.70,803.25,"41,172","Apr 25, 2023"
24-04-2023,841.15,847.80,812.25,818.25,811.73,"136,922","Apr 24, 2023"
21-04-2023,800.05,870.70,796.65,854.90,848.09,"965,471","Apr 21, 2023"
20-04-2023,826.50,827.80,797.00,799.45,793.08,"43,586","Apr 20, 2023"
19-04-2023,847.60,854.75,815.05,827.10,820.51,"45,975","Apr 19, 2023"
18-04-2023,833.05,844.90,833.05,843.15,836.43,"30,235","Apr 18, 2023"
17-04-2023,846.00,849.50,838.50,840.50,833.80,"35,628","Apr 17, 2023"
13-04-2023,846.45,857.80,844.35,846.50,839.76,"16,079","Apr 13, 2023"
12-04-2023,843.10,853.05,840.00,846.45,839.71,"12,583","Apr 12, 2023"
11-04-2023,845.00,845.40,832.60,843.90,837.18,"19,593","Apr 11, 2023"
